# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98814003
# NOM_USUEL= CHEPENEHE
# LATITUDE (°) = -20.785
# LONGITUDE(°)= 167.152
# ALTITUDE (m) = 10
# NUM_SERIE= MRR198814003
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : 196512
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;88.7;1
196102;101.7;1
196103;316;1
196104;185.7;1
196105;206.2;1
196106;238.8;1
196107;147.7;1
196108;194.9;1
196109;92.6;1
196110;57.9;1
196111;85.6;1
196112;73.6;1
196201;345.8;1
196202;181.1;1
196203;171.2;1
196204;261.2;1
196205;216.7;1
196206;94.5;1
196207;149.8;1
196208;126.3;1
196209;27.6;1
196210;73.6;1
196211;101;1
196212;52.9;1
196301;157;1
196302;220.7;1
196303;185.5;1
196304;185.4;1
196305;203;1
196306;247.2;1
196307;140.3;1
196308;117.3;1
196309;47.2;1
196310;34.9;1
196311;88.3;1
196312;1.3;1
196401;52.1;1
196402;297;1
196403;192.6;1
196404;255.9;1
196405;24;1
196406;192.4;1
196407;13.6;1
196408;42.3;1
196409;17.2;1
196410;41.5;1
196411;151.2;1
196412;36.1;1
196501;131.4;1
196502;497.9;1
196503;87.6;1
196504;73.8;1
196505;27.4;1
196506;103;1
196507;35;1
196508;52.5;1
196509;136.5;1
196510;27.9;1
196511;14;1
196512;195.5;1
196601;57.1;1
196602;460.5;1
196603;121.1;1
196604;36.6;1
196605;36.4;1
196606;245.5;1
196607;156.1;1
196608;16.8;1
196609;8.2;1
196610;5.6;1
196611;48.9;1
196612;65.6;1
196701;244.4;1
196702;158.4;1
196703;552.2;1
196704;487.2;1
196705;138.3;1
196706;119.1;1
196707;276.7;1
196708;59.2;1
196709;98.9;1
196710;86.2;1
196711;86;1
196712;323.1;1
196801;67.8;1
196802;104;1
196803;38.2;1
196804;70.5;1
196805;19.7;1
196806;265.9;1
196807;13.6;1
196808;101.1;1
196809;4;1
196810;19.1;1
196811;35.2;1
196812;42.2;1
196901;228.2;1
196902;481.7;1
196903;367;1
196904;18.2;1
196905;101.3;1
196906;67.7;1
196907;43.6;1
196908;168.7;1
196909;70.2;1
196910;43.5;1
196911;90.6;1
196912;50.3;1
197001;125;1
197002;71.3;1
197003;40;1
197004;150.4;1
197005;173.3;1
197006;86.5;1
197007;130.1;1
197008;97;1
197009;45.3;1
197010;43.5;1
197011;342.7;1
197012;62.1;1
197101;468.1;1
197102;74.9;1
197103;274.9;1
197104;154;1
197105;350;1
197106;233.5;1
197107;120.4;1
197108;16.1;1
197109;172.4;1
197110;25.5;1
197111;217;1
197112;73.6;1
197201;144.6;1
197202;72;1
197203;257.1;1
197204;50.2;1
197205;173.6;1
197206;98.6;1
197207;4.1;1
197208;43.3;1
197209;117.7;1
197210;55.9;1
197211;14.8;1
197212;10.1;1
197301;29.7;1
197302;78.9;1
197303;240.9;1
197304;22.5;1
197305;97.6;1
197306;52.1;1
197307;211.3;1
197308;90.8;1
197309;48.4;1
197310;34.6;1
197311;345.1;1
197312;190.2;1
197401;288.9;1
197402;124.9;1
197403;197.6;1
197404;43.7;1
197405;58.9;1
197406;216.3;1
197407;52.1;1
197408;0.2;1
197409;4;1
197410;343.1;1
197411;36.3;1
197412;74.2;1
197501;249.5;1
197502;465;1
197503;464.2;1
197504;289.7;1
197505;254.4;1
197506;113.9;1
197507;62.7;1
197508;195.4;1
197509;62.5;1
197510;103.2;1
197511;129.7;1
197512;489.1;1
197601;327.1;1
197602;182.4;1
197603;247.3;1
197604;68.6;1
197605;12.3;1
197606;40.8;1
197607;124.2;1
197608;117.9;1
197609;98.2;1
197610;117;1
197611;33.9;1
197612;81.9;1
197701;505.4;1
197702;129.4;1
197703;97.9;1
197704;14.7;1
197705;38.4;1
197706;57.3;1
197707;100.4;1
197708;129.4;1
197709;135.6;1
197710;11.5;1
197711;133.3;1
197712;429.2;1
197801;61.9;1
197802;106.8;1
197803;343;1
197804;79;1
197805;70.2;1
197806;102.5;1
197807;189.8;1
197808;118.1;1
197809;23;1
197810;36.8;1
197811;189.4;1
197812;426.6;1
197901;319.7;1
197902;261;1
197903;210.8;1
197904;145.1;1
197905;110.9;1
197906;121.1;1
197907;42.6;1
197908;1.4;1
197909;8;1
197910;42.3;1
197911;41.9;1
197912;27.5;1
198001;156.1;1
198002;333.6;1
198003;164.7;1
198004;83.6;1
198005;77.9;1
198006;87.8;1
198007;120.7;1
198008;48.7;1
198009;76.6;1
198010;27.8;1
198011;43.4;1
198012;66.3;1
198101;109.8;1
198102;282.1;1
198103;162.1;1
198104;62.4;1
198105;39.3;1
198106;44.3;1
198107;24.6;1
198108;18.5;1
198109;11.4;1
198110;67.1;1
198111;66.4;1
198112;247.7;1
198201;134.6;1
198202;217.7;1
198203;428.3;1
198204;54;1
198205;25.5;1
198206;139.3;1
198207;144.3;1
198208;113.3;1
198209;13.7;1
198210;78;1
198211;63.5;1
198212;133.2;1
198301;50.7;1
198302;78.8;1
198303;287.5;1
198304;84;1
198305;24.5;1
198306;98;1
198307;16.6;1
198308;60.2;1
198309;14.8;1
198310;158.5;1
198311;110.2;1
198312;139.9;1
198401;142.4;1
198402;432.7;1
198403;58.4;1
198404;90.7;1
198405;105.3;1
198406;295.5;1
198407;92;1
198408;27.2;1
198409;40.5;1
198410;72.6;1
198411;122.8;1
198412;170.1;1
198501;66.8;1
198502;198.7;1
198503;244.2;1
198504;137.2;1
198505;453.8;1
198506;163.7;1
198507;108.1;1
198508;21.9;1
198509;196.4;1
198510;130.2;1
198511;138;1
198512;156.2;1
198601;187.4;1
198602;229.8;1
198603;407.4;1
198604;61.2;1
198605;163.8;1
198606;61.8;1
198607;20.3;1
198608;51.6;1
198609;68;1
198610;47.5;1
198611;36;1
198612;361;1
198701;27;1
198702;82.7;1
198703;67.4;1
198704;11.2;1
198705;68.8;1
198706;36.1;1
198707;146.9;1
198708;130.4;1
198709;47.8;1
198710;79;1
198711;77.6;1
198712;66.6;1
198801;485.7;1
198802;482.8;1
198803;342.1;1
198804;67.3;1
198805;167.8;1
198806;194.3;1
198807;162.8;1
198808;27.6;1
198809;62.6;1
198810;19.8;1
198811;269.8;1
198812;346.5;1
198901;671.9;1
198902;615.6;1
198903;164;1
198904;243.5;1
198905;131.5;1
198906;248.7;1
198907;35.9;1
198908;144.1;1
198909;197.7;1
198910;32.1;1
198911;59.2;1
198912;256.1;1
199001;339.2;1
199002;481.8;1
199003;365;1
199004;205.6;1
199005;68.2;1
199006;33.6;1
199007;87.8;1
199008;63.1;1
199009;45.4;1
199010;23.3;1
199011;151.3;1
199012;97.9;1
199101;290.7;1
199102;187.2;1
199103;505.5;1
199104;86.9;1
199105;201.2;1
199106;110.7;1
199107;14.3;1
199108;6.1;1
199109;36.9;1
199110;41.5;1
199111;7;1
199112;37.7;1
199201;52.9;1
199202;232.6;1
199203;304.8;1
199204;79.6;1
199205;74.2;1
199206;287.7;1
199207;140.1;1
199208;31;1
199209;1.2;1
199210;7.9;1
199211;19;1
199212;50.3;1
199301;55.4;1
199302;259.7;1
199303;192.5;1
199304;110.3;1
199305;63;1
199306;52.9;1
199307;67.5;1
199308;25;1
199309;16.4;1
199310;37.2;1
199311;7.3;1
199312;137;1
199401;316.7;1
199402;189;1
199403;107.2;1
199404;26;1
199405;35.7;1
199406;90.5;1
199407;52.6;1
199408;42.2;1
199409;4.4;1
199410;10.4;1
199411;200.5;1
199412;59.8;1
199501;107.7;1
199502;183.9;1
199503;222.9;1
199504;331.1;1
199505;36.1;1
199506;126.8;1
199507;26.3;1
199508;44;1
199509;40.3;1
199510;47.3;1
199511;7;1
199512;227.2;1
199601;204.3;1
199602;118.3;1
199603;315.2;1
199604;235.7;1
199605;105.5;1
199606;105.7;1
199607;221.8;1
199608;140.9;1
199609;77.8;1
199610;42.9;1
199611;84.4;1
199612;36.1;1
199701;55.5;1
199702;149.5;1
199703;95.7;1
199704;101.1;1
