# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98815001
# NOM_USUEL= LA ROCHE
# LATITUDE (°) = -21.482
# LONGITUDE(°)= 168.036
# ALTITUDE (m) = 41
# NUM_SERIE= MRR198815001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;206.8;1
196102;115.4;1
196103;100.6;1
196104;276;1
196105;58.1;1
196106;239.5;1
196107;181.6;1
196108;245.7;1
196109;99.2;1
196110;103.2;1
196111;77.2;1
196112;32.5;1
196201;234.3;1
196202;177.9;1
196203;147.1;1
196204;153.9;1
196205;272.6;1
196206;213.9;1
196207;90.9;1
196208;162.8;1
196209;41.2;1
196210;139.4;1
196211;217.7;1
196212;100.1;1
196301;205.9;1
196302;178.4;1
196303;192;1
196304;283.8;1
196305;207.6;1
196306;146.9;1
196307;132.4;1
196308;78.3;1
196309;50.2;1
196310;91.4;1
196311;34.1;1
196312;17;1
196401;41.7;1
196402;390.1;1
196403;36.6;1
196404;152;1
196405;34.4;1
196406;203.4;1
196407;20.5;1
196408;111.6;1
196409;37.3;1
196410;14.9;1
196411;281.3;1
196412;52.1;1
196501;90.4;1
196502;474.6;1
196503;139.9;1
196504;24;1
196505;39.3;1
196506;112.1;1
196507;31.6;1
196508;89.7;1
196509;101.5;1
196510;23.8;1
196511;29.5;1
196512;145;1
196601;38.8;1
196602;380.9;1
196603;124.3;1
196604;52.8;1
196605;53.6;1
196606;286.9;1
196607;164.3;1
196608;27.2;1
196609;12.8;1
196610;18.9;1
196611;67.5;1
196612;68.9;1
196701;285.4;1
196702;232;1
196703;541.6;1
196704;512.1;1
196705;139.9;1
196706;147.5;1
196707;298.7;1
196708;74;1
196709;88.2;1
196710;128.8;1
196711;96.1;1
196712;234.3;1
196801;112.1;1
196802;133.3;1
196803;4.6;1
196804;46.7;1
196805;10;1
196806;284.4;1
196807;42.1;1
196808;174.5;1
196809;56.3;1
196810;49.4;1
196811;27.1;1
196812;72.6;1
196901;140.1;1
196902;339.3;1
196903;356.7;1
196904;19.6;1
196905;106.7;1
196906;72.3;1
196907;67.1;1
196908;181.3;1
196909;53.8;1
196910;39.1;1
196911;54.8;1
196912;67.5;1
197001;91.8;1
197002;50.1;1
197003;60.8;1
197004;61.8;1
197005;38;1
197006;70.1;1
197007;82.7;1
197008;114.3;1
197009;79.1;1
197010;90.3;1
197011;190.2;1
197012;28.3;1
197101;227.5;1
197102;124;1
197103;391;1
197104;152;1
197105;133;1
197106;317;1
197107;173.3;1
197108;27.1;1
197109;192.6;1
197110;41.9;1
197111;150.6;1
197112;98.3;1
197201;259.4;1
197202;172.4;1
197203;351.6;1
197204;11.6;1
197205;199.7;1
197206;146;1
197207;41.8;1
197208;62.3;1
197209;83.2;1
197210;126.3;1
