# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98817002
# NOM_USUEL= PLUM
# LATITUDE (°) = -22.295
# LONGITUDE(°)= 166.658
# ALTITUDE (m) = 5
# NUM_SERIE= MRR198817002
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;166;1
195202;103.4;1
195203;227.2;1
195204;161.7;1
195205;167.5;1
195206;92.1;1
195207;269.4;1
195208;132.3;1
195209;31.6;1
195210;113.6;1
195211;41.9;1
195212;186.1;1
195301;67.4;1
195302;150.5;1
195303;102.3;1
195304;207.8;1
195305;170.2;1
195306;58.6;1
195307;110.3;1
195308;149.2;1
195309;79.3;1
195310;37.1;1
195311;80.3;1
195312;83;1
195401;258.2;1
195402;101.3;1
195403;26;1
195404;286.9;1
195405;516.8;1
195406;142.3;1
195407;38.9;1
195408;51.1;1
195409;69;1
195410;142.4;1
195411;50.7;1
195412;264.7;1
195501;37.9;1
195502;196.4;1
195503;427.8;1
195504;81;1
195505;162.9;1
195506;34.3;1
195507;119.4;1
195508;75.9;1
195509;248.2;1
195510;34.4;1
195511;27.7;1
195512;173.1;1
195601;229;1
195602;148.9;1
195603;162.3;1
195604;278.3;1
195605;115.2;1
195606;97.5;1
195607;56;1
195608;112.1;1
195609;215.8;1
195610;48.5;1
195611;103;1
195612;112.4;1
195701;320.8;1
195702;169;1
195703;114.8;1
195704;69;1
195705;79.7;1
195706;44.4;1
195707;35.3;1
195708;105.5;1
195709;4;1
195710;0;1
195711;19.4;1
195712;65.4;1
195801;382;1
195802;35.9;1
195803;320.8;1
195804;79.7;1
195805;45.8;1
195806;114.9;1
195807;111.3;1
195808;47.1;1
195809;145;1
195810;53.7;1
195811;87.5;1
195812;12;1
195901;360.3;1
195902;149.7;1
195903;219;1
195904;76.2;1
195905;106.2;1
195906;160.6;1
195907;32.5;1
195908;60.5;1
195909;90.1;1
195910;33.7;1
195911;151.9;1
195912;93.2;1
196001;92.4;1
196002;109.8;1
196003;142.8;1
196004;366.4;1
196005;242.4;1
196006;184.2;1
196007;94.3;1
196008;102;1
196009;74.1;1
196010;59.3;1
196011;75.9;1
196012;110.8;1
196101;95.8;1
196102;437.5;1
196103;141.5;1
196104;401.2;1
196105;45;1
196106;143.3;1
196107;78.9;1
196108;261.3;1
196109;27.9;1
196110;107.3;1
196111;39.1;1
196112;132.3;1
196201;103.3;1
196202;126.4;1
196203;197.7;1
196204;176.4;1
196205;184.6;1
196206;76;1
196207;153.4;1
196208;82.1;1
196209;7.3;1
196210;41.6;1
196211;116.1;1
196212;48.3;1
196301;120.5;1
196302;198.3;1
196303;124.1;1
196304;339.2;1
196305;187.2;1
196306;72.8;1
196307;64.2;1
196308;185.2;1
196309;25.7;1
196310;64.9;1
196311;57.1;1
196312;1;1
196401;110.5;1
196402;77.5;1
196403;73.5;1
196404;174.4;1
196405;74.4;1
196406;263.8;1
196407;46.2;1
196408;56.1;1
196409;11.7;1
196410;57;1
196411;177.1;1
196412;48.8;1
196501;119.4;1
196502;239.5;1
196503;166.8;1
196504;74.9;1
196505;37.7;1
196506;126.7;1
196507;28.6;1
196508;39.6;1
196509;75.5;1
196510;6.2;1
196511;16.5;1
196512;181.1;1
196601;27.1;1
196602;321.1;1
196603;109.6;1
196604;73.7;1
196605;44.9;1
196606;121;1
196607;113.2;1
196608;28.8;1
196609;6;1
196610;90;1
196611;94.4;1
196612;149.3;1
196701;241;1
196702;100.7;1
196703;443;1
196704;432.6;1
196705;218.7;1
196706;180;1
196707;139.2;1
196708;112.7;1
196709;194.3;1
196710;43.6;1
196711;54.5;1
196712;138;1
196801;295.8;1
196802;128;1
196803;25.5;1
196804;57.3;1
196805;65.8;1
196806;120.4;1
196807;23;1
196808;55.7;1
196809;11.5;1
196810;38.2;1
196811;46.4;1
196812;109.1;1
196901;10.3;1
196902;399.5;1
196903;430.7;1
196904;43.8;1
196905;94.3;1
196906;107.9;1
196907;66.4;1
196908;57.4;1
196909;46.8;1
196910;44.5;1
196911;95.2;1
196912;12.9;1
197001;38.2;1
197002;125.5;1
197003;51.7;1
197004;206.4;1
197005;78.7;1
197006;169;1
197007;86.9;1
197008;103.7;1
197009;55.6;1
197010;37.6;1
197011;151.7;1
197012;42.6;1
197101;191.7;1
197102;166.2;1
197103;273.1;1
197104;51.3;1
197105;102.3;1
197106;197.9;1
197107;73.4;1
197108;16.1;1
197109;55.3;1
197110;34.6;1
197111;169.6;1
197112;106.7;1
197201;140.5;1
197202;341.7;1
197203;196.4;1
197204;74.2;1
197205;61.2;1
197206;372.5;1
197207;43.7;1
197208;63.1;1
197209;104.2;1
197210;42.7;1
197211;20.7;1
197212;18.4;1
197301;69.3;1
197302;188.1;1
197303;267;1
197304;47.4;1
197305;89.7;1
197306;78.9;1
197307;197.6;1
197308;27.7;1
197309;55.9;1
197310;32.1;1
197311;38.1;1
197312;90.1;1
197401;129.4;1
197402;288.2;1
197403;108.7;1
197404;95.6;1
197405;110;1
197406;133.9;1
197407;79.1;1
197408;39.3;1
197409;49.3;1
197410;321.9;1
197411;171.4;1
197412;48.4;1
197501;147.2;1
197502;319.9;1
197503;433.8;1
197504;391.2;1
197505;106;1
197506;175.8;1
197507;55.9;1
197508;106.2;1
197509;33.4;1
197510;70;1
197511;123.5;1
197512;98.4;1
197601;252.3;1
197602;132.2;1
197603;235.5;1
197604;382.9;1
197605;99.8;1
197606;107.7;1
197607;94.3;1
197608;85.6;1
197609;126.6;1
197610;147.8;1
197611;24.4;1
197612;32.8;1
197701;267.8;1
197702;62.7;1
197703;50.9;1
197704;62.2;1
197705;44.3;1
197706;109.7;1
197707;152.1;1
197708;80.5;1
197709;59.9;1
197710;5.5;1
197711;52.6;1
197712;86.3;1
197801;148.5;1
197802;30.4;1
197803;214.9;1
197804;49.4;1
197805;118.5;1
197806;134.8;1
197807;196.8;1
197808;157.3;1
197809;26.5;1
197810;36.3;1
197811;128.5;1
197812;94.5;1
197901;192.8;1
197902;173.3;1
197903;89.1;1
197904;145.7;1
197905;113.1;1
197906;117.7;1
197907;109.4;1
197908;20.8;1
197909;37.9;1
197910;51.2;1
197911;78.4;1
197912;21.2;1
198001;240.1;1
198002;141.5;1
198003;278.4;1
198004;175.7;1
198005;90.1;1
198006;115;1
198007;64.6;1
198008;60.7;1
198009;23.3;1
198010;42.9;1
198011;20;1
198012;158.3;1
198101;229.8;1
198102;386.9;1
198103;394.7;1
198104;68.6;1
198105;39.2;1
198106;79.6;1
198107;32.3;1
198108;51.9;1
198109;56.6;1
198110;53.5;1
198111;89;1
198112;363.6;1
198201;26;1
198202;126.7;1
198203;349.6;1
198204;112.4;1
198205;56.8;1
198206;151.8;1
198207;43.1;1
198208;156.2;1
198209;24.6;1
198210;81.4;1
198211;90.5;1
198212;72.7;1
198301;123.6;1
198302;192.9;1
198303;120.1;1
198304;76.7;1
198305;90.5;1
198306;42.1;1
198307;60.9;1
198308;126;1
198309;27.2;1
198310;106.7;1
198311;99.2;1
198312;62.3;1
198401;45.6;1
198402;225.3;1
198403;25.5;1
198404;79.4;1
198405;171.1;1
198406;478.6;1
198407;75.6;1
198408;54.8;1
198409;39.6;1
198410;452.4;1
198411;271.1;1
198412;97.9;1
198501;181.4;1
198502;94.6;1
198503;369.1;1
198504;72.8;1
198505;139.2;1
198506;61.6;1
198507;139.5;1
198508;52;1
198509;121.8;1
198510;71.1;1
198511;70.2;1
198512;72.5;1
198601;180.2;1
198602;149.4;1
198603;358.4;1
198604;72.9;1
198605;311.6;1
198606;87.5;1
198607;30.4;1
198608;64.4;1
198609;14.7;1
198610;16.8;1
198611;64.1;1
198612;238.5;1
198701;101.6;1
198702;129.3;1
198703;68.6;1
198704;80.4;1
198705;120.1;1
198706;74.7;1
198707;124.4;1
198708;181.7;1
198709;15.4;1
198710;159.9;1
198711;115.5;1
198712;291.4;1
198801;389.7;1
198802;190.6;1
198803;203.4;1
198804;158.8;1
198805;145.7;1
198806;200.3;1
198807;69.7;1
198808;87;1
198809;97.2;1
198810;0.9;1
198811;289.9;1
198812;230.9;1
198901;417.8;1
198902;419.9;1
198903;317.1;1
198904;200;1
198905;183.3;1
198906;172.1;1
198907;66.3;1
198908;113.3;1
198909;56.7;1
198910;48.6;1
198911;105.7;1
198912;79.6;1
199001;571.2;1
199002;689.2;1
199003;247;1
199004;61.1;1
199005;44.5;1
199006;261.9;1
199007;76.2;1
199008;94;1
199009;44.2;1
199010;30.7;1
199011;371.3;1
199012;26.8;1
199101;163.4;1
199102;159.3;1
199103;388.9;1
199104;274.3;1
199105;82.2;1
199106;120.1;1
199107;21.8;1
199108;21.2;1
199109;22.3;1
199110;15.7;1
199111;17.3;1
199112;45.5;1
199201;93.6;1
199202;160.3;1
199203;282.5;1
199204;548.7;1
199205;54.1;1
199206;238.2;1
199207;23.8;1
199208;80.8;1
199209;31.5;1
199210;17.5;1
199211;16;1
199212;71.1;1
199301;73.5;1
199302;101.3;1
199303;302.8;1
199304;106.7;1
199305;58.3;1
199306;62.2;1
199307;86.6;1
199308;65.4;1
199309;22.1;1
199310;17;1
199311;37.2;1
199312;44.1;1
199401;319.6;1
199402;242.3;1
199403;144.8;1
199404;90.7;1
199405;33.4;1
199406;71;1
199407;29.7;1
199408;84.3;1
199409;4.5;1
199410;3.6;1
199411;35.1;1
199412;46.2;1
199501;42.4;1
199502;56.9;1
199503;307.2;1
199504;187.5;1
199505;65.8;1
199506;61.4;1
199507;21.5;1
199508;120.6;1
199509;27.7;1
199510;28.8;1
199511;35.9;1
199512;144.9;1
199601;117.2;1
199602;70;1
199603;419.3;1
199604;100.4;1
199605;174.3;1
199606;65.5;1
199607;122.9;1
199608;158.5;1
199609;117.9;1
199610;46.6;1
199611;117.2;1
199612;289.8;1
199701;168.1;1
199702;85.5;1
199703;95;1
199704;127.7;1
199705;180;1
199706;180.7;1
199707;288.9;1
199708;36;1
199709;18.6;1
199710;60.4;1
199711;16.3;1
199712;61.8;1
199801;39.9;1
199802;106.9;1
199803;149.3;1
199804;190.5;1
199805;206.3;1
199806;78.9;1
199807;70;1
199808;145.4;1
199809;92.6;1
199810;15.7;1
199811;113.9;1
199812;351.9;1
199901;201;1
199902;181.5;1
199903;104.3;1
199904;270.3;1
199905;213.5;1
199906;57.9;1
199907;150.3;1
199908;139;1
199909;164;1
199910;22.5;1
199911;101.6;1
199912;236.4;1
200001;197.4;1
200002;695.8;1
200003;198.8;1
200004;83.8;1
200005;179.6;1
200006;136.4;1
200007;35.9;1
200008;69.9;1
200009;2.3;1
200010;147.3;1
200011;36.9;1
200012;30.5;1
200101;165.2;1
200102;511.5;1
