# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98818001
# NOM_USUEL= NOUMEA
# LATITUDE (°) = -22.276
# LONGITUDE(°)= 166.453
# ALTITUDE (m) = 69
# NUM_SERIE= MRR198818001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;62;1
195202;35.5;1
195203;140.2;1
195204;87;1
195205;133.1;1
195206;104.6;1
195207;209.9;1
195208;127;1
195209;20.1;1
195210;66.9;1
195211;8.8;1
195212;77.9;1
195301;12.6;1
195302;65.7;1
195303;56.2;1
195304;110.7;1
195305;61.3;1
195306;39.6;1
195307;87.3;1
195308;32.9;1
195309;74.1;1
195310;6.1;1
195311;21.5;1
195312;9.1;1
195401;116.8;1
195402;43.7;1
195403;37.9;1
195404;241.1;1
195405;339;1
195406;88.7;1
195407;32;1
195408;19.7;1
195409;62.4;1
195410;82.8;1
195411;84;1
195412;158;1
195501;11.2;1
195502;126.9;1
195503;269.6;1
195504;83.5;1
195505;146.4;1
195506;57.2;1
195507;77.9;1
195508;61.7;1
195509;106.1;1
195510;30.9;1
195511;95.6;1
195512;273.7;1
195601;229.3;1
195602;154.3;1
195603;128.2;1
195604;209.7;1
195605;103.3;1
195606;79.1;1
195607;47.6;1
195608;116.7;1
195609;112.6;1
195610;37.8;1
195611;85.8;1
195612;85.6;1
195701;351.6;1
195702;62.6;1
195703;81.4;1
195704;51;1
195705;48.5;1
195706;53.1;1
195707;10.8;1
195708;96.5;1
195709;7.8;1
195710;4.4;1
195711;16.7;1
195712;22.7;1
195801;234.1;1
195802;49.6;1
195803;166.4;1
195804;96.3;1
195805;36.4;1
195806;106.2;1
195807;119;1
195808;48;1
195809;53.4;1
195810;74.2;1
195811;35.1;1
195812;0.4;1
195901;211.1;1
195902;54.6;1
195903;155.1;1
195904;61.1;1
195905;71.2;1
195906;87.7;1
195907;75.6;1
195908;29.3;1
195909;37.5;1
195910;15.7;1
195911;30.6;1
195912;38.6;1
196001;46.4;1
196002;15.1;1
196003;177.8;1
196004;111.3;1
196005;168.6;1
196006;90.5;1
196007;50.4;1
196008;87.2;1
196009;61.3;1
196010;10.6;1
196011;21.4;1
196012;39.8;1
196101;69.9;1
196102;183.9;1
196103;67.6;1
196104;235.9;1
196105;58.1;1
196106;114.2;1
196107;89.9;1
196108;226.7;1
196109;23.1;1
196110;33.6;1
196111;20.6;1
196112;60.7;1
196201;88;1
196202;76;1
196203;117.4;1
196204;151.2;1
196205;241.9;1
196206;101.8;1
196207;129.4;1
196208;82.8;1
196209;21.4;1
196210;13.8;1
196211;85.5;1
196212;15.3;1
196301;95;1
196302;157.8;1
196303;65.7;1
196304;231.5;1
196305;136.7;1
196306;101.2;1
196307;101.3;1
196308;115.5;1
196309;24.2;1
196310;52.3;1
196311;22.5;1
196312;8.6;1
196401;59.2;1
196402;103.5;1
196403;64.2;1
196404;263.6;1
196405;89.9;1
196406;207.6;1
196407;46.4;1
196408;73.2;1
196409;1.2;1
196410;54.4;1
196411;58.6;1
196412;26;1
196501;53.6;1
196502;143.9;1
196503;126.7;1
196504;21.8;1
196505;19.1;1
196506;99.2;1
196507;39.2;1
196508;28.6;1
196509;60.8;1
196510;21.4;1
196511;13;1
196512;126.5;1
196601;18.7;1
196602;146.3;1
196603;61.6;1
196604;29.5;1
196605;45;1
196606;88.9;1
196607;53.5;1
196608;13.6;1
196609;3.9;1
196610;89.9;1
196611;77.3;1
196612;48.4;1
196701;192.6;1
196702;82.6;1
196703;251;1
196704;199.4;1
196705;196.6;1
196706;133.5;1
196707;124.8;1
196708;84.3;1
196709;138.4;1
196710;37.7;1
196711;45.8;1
196712;121.6;1
196801;206.3;1
196802;84.4;1
196803;24.6;1
196804;44.9;1
196805;67.5;1
196806;204.2;1
196807;38.9;1
196808;100.8;1
196809;7.4;1
196810;23.9;1
196811;107.6;1
196812;72.7;1
196901;24.5;1
196902;267.7;1
196903;212;1
196904;23.9;1
196905;66.6;1
196906;85.7;1
196907;45.1;1
196908;52.6;1
196909;28.1;1
196910;4.5;1
196911;31.8;1
196912;4.9;1
197001;23.6;1
197002;38.7;1
197003;53.4;1
197004;111.2;1
197005;68.9;1
197006;102.2;1
197007;103.3;1
197008;63.4;1
197009;49.5;1
197010;38.6;1
197011;70.5;1
197012;15.9;1
197101;137.7;1
197102;66.3;1
197103;205.5;1
197104;47.7;1
197105;114.5;1
197106;142;1
197107;57.7;1
197108;9.9;1
197109;41.1;1
197110;21;1
197111;113.7;1
197112;79.9;1
197201;105.9;1
197202;216.6;1
197203;155.2;1
197204;32.3;1
197205;46.9;1
