# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98821001
# NOM_USUEL= LA TONTOUTA
# LATITUDE (°) = -22.017
# LONGITUDE(°)= 166.222
# ALTITUDE (m) = 37
# NUM_SERIE= MRR198821001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : 198203
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;59.6;1
195202;91.9;1
195203;184.8;1
195204;69.1;1
195205;70.1;1
195206;60.8;1
195207;140.8;1
195208;103.5;1
195209;32.5;1
195210;102.1;1
195211;18.2;1
195212;88.2;1
195301;59.2;1
195302;90.1;1
195303;54;1
195304;44.2;1
195305;67.9;1
195306;21.8;1
195307;60.3;1
195308;36.2;1
195309;53.7;1
195310;32.3;1
195311;64.7;1
195312;47.2;1
195401;114.7;1
195402;41.7;1
195403;73.1;1
195404;97.2;1
195405;125.2;1
195406;93.6;1
195407;25.7;1
195408;16.1;1
195409;42.5;1
195410;126;1
195411;31.5;1
195412;155.8;1
195501;22.1;1
195502;68.4;1
195503;215.1;1
195504;36.7;1
195505;81.5;1
195506;36.2;1
195507;58;1
195508;46.1;1
195509;185.7;1
195510;44.2;1
195511;47.7;1
195512;280.6;1
195601;160.7;1
195602;208.9;1
195603;85;1
195604;149.5;1
195605;141.4;1
195606;112.9;1
195607;61.1;1
195608;93.3;1
195609;116.9;1
195610;44.9;1
195611;67.6;1
195612;105.7;1
195701;344;1
195702;66.7;1
195703;49.6;1
195704;39.6;1
195705;30.8;1
195706;37.7;1
195707;27.1;1
195708;57.7;1
195709;6.5;1
195710;0.5;1
195711;13.4;1
195712;11.8;1
195801;233.8;1
195802;92.6;1
195803;132.4;1
195804;28.2;1
195805;16;1
195806;78.3;1
195807;116.6;1
195808;19;1
195809;67.1;1
195810;42.5;1
195811;15.1;1
195812;13.7;1
195901;204.6;1
195902;33.9;1
195903;124.1;1
195904;45.3;1
195905;46.5;1
195906;47.2;1
195907;52.6;1
195908;15.1;1
195909;12.3;1
195910;31.1;1
195911;44.7;1
195912;103.8;1
196001;41.1;1
196002;37.4;1
196003;128.9;1
196004;83.2;1
196005;147.7;1
196006;90.1;1
196007;59.8;1
196008;68;1
196009;66.3;1
196010;3.1;1
196011;42.4;1
196012;21.1;1
196101;32.9;1
196102;220.7;1
196103;141.5;1
196104;167.9;1
196105;48.8;1
196106;81.5;1
196107;86.1;1
196108;227.2;1
196109;17.6;1
196110;31.1;1
196111;22.9;1
196112;103.8;1
196201;106.8;1
196202;56;1
196203;110.6;1
196204;172.5;1
196205;233.8;1
196206;46.8;1
196207;90;1
196208;68.6;1
196209;8.8;1
196210;16;1
196211;36;1
196212;32;1
196301;155.3;1
196302;107;1
196303;56;1
196304;148.9;1
196305;100.6;1
196306;74.4;1
196307;62.5;1
196308;61.8;1
196309;21.3;1
196310;26.2;1
196311;1.4;1
196312;42.7;1
196401;53.9;1
196402;61.1;1
196403;31.5;1
196404;116;1
196405;35.4;1
196406;211.1;1
196407;25.2;1
196408;60.4;1
196409;2.5;1
196410;36.1;1
196411;54;1
196412;25.1;1
196501;40.7;1
196502;98.7;1
196503;99.7;1
196504;32.6;1
196505;5.4;1
196506;76.1;1
196507;25.6;1
196508;26.4;1
196509;19.6;1
196510;0;1
196511;5.7;1
196512;85;1
196601;19.5;1
196602;279.4;1
196603;68.1;1
196604;32;1
196605;40.5;1
196606;98.4;1
196607;83.8;1
196608;11;1
196609;2.8;1
196610;57.1;1
196611;46.1;1
196612;21.6;1
196701;223.5;1
196702;138.5;1
196703;283.6;1
196704;161.2;1
196705;132.8;1
196706;135.9;1
196707;117.2;1
196708;73.2;1
196709;141.9;1
196710;26.5;1
196711;113;1
196712;165.5;1
196801;164;1
196802;22.3;1
196803;40.7;1
196804;51;1
196805;57.7;1
196806;54.8;1
196807;24;1
196808;46.9;1
196809;21.4;1
196810;12.4;1
196811;0.2;1
196812;94.2;1
196901;12.8;1
196902;208.7;1
196903;86;1
196904;19.2;1
196905;67.2;1
196906;81.4;1
196907;7.1;1
196908;22.4;1
196909;19.6;1
196910;0.2;1
196911;49.4;1
196912;2.8;1
197001;72.2;1
197002;38.2;1
197003;59.5;1
197004;77.7;1
197005;68.1;1
197006;148.3;1
197007;54.5;1
197008;78;1
197009;26.9;1
197010;54;1
197011;100.2;1
197012;11.9;1
197101;148.9;1
197102;152.1;1
197103;205.4;1
197104;56.8;1
197105;111.4;1
197106;112.1;1
197107;47.5;1
197108;16;1
197109;34.4;1
197110;30.3;1
197111;108.1;1
197112;24.6;1
197201;196.6;1
197202;280.9;1
197203;158.7;1
197204;9.5;1
197205;43.2;1
197206;186.2;1
197207;27.7;1
197208;53.9;1
197209;37;1
197210;19.2;1
197211;6.4;1
197212;4.8;1
197301;62.5;1
197302;55.1;1
197303;124;1
197304;6.1;1
197305;22.4;1
197306;19.3;1
197307;120.5;1
197308;33.7;1
197309;39.4;1
197310;4.9;1
197311;42.4;1
197312;92;1
197401;93.7;1
197402;285.8;1
197403;26.7;1
197404;64.4;1
197405;12.9;1
197406;94.2;1
197407;79;1
197408;38.2;1
197409;32.7;1
197410;183.9;1
197411;76.9;1
197412;33.9;1
197501;129.2;1
197502;257.1;1
197503;307.1;1
197504;144.4;1
197505;77.7;1
197506;119.5;1
197507;30;1
197508;50.9;1
197509;9.5;1
197510;59.3;1
197511;35.8;1
197512;48.8;1
197601;188.1;1
197602;101.9;1
197603;118.6;1
197604;52.9;1
197605;21.7;1
197606;54.4;1
197607;53.3;1
197608;62.2;1
197609;80.2;1
197610;121.5;1
197611;28.6;1
197612;2.8;1
197701;93.6;1
197702;13.8;1
197703;50.8;1
197704;2.9;1
197705;40.2;1
197706;69.3;1
197707;53.4;1
197708;52.9;1
197709;36.8;1
197710;3.7;1
197711;39.6;1
197712;102.5;1
197801;100;1
197802;38;1
197803;106.4;1
197804;58;1
197805;35.2;1
197806;90.8;1
197807;130.2;1
197808;75.2;1
197809;11.4;1
197810;18.6;1
197811;25.1;1
197812;88.7;1
197901;90.5;1
197902;158;1
197903;95.6;1
197904;40.7;1
197905;70.7;1
197906;110.7;1
197907;82.7;1
197908;12.2;1
197909;20.3;1
197910;20.8;1
197911;24.3;1
197912;40.5;1
198001;91.6;1
198002;137;1
198003;92.1;1
198004;139.7;1
198005;3.7;1
198006;25.2;1
198007;67.2;1
198008;22.8;1
198009;14.3;1
198010;57.1;1
198011;0.4;1
198012;51.3;1
198101;79.9;1
198102;227;1
198103;169.3;1
198104;20.4;1
198105;32.2;1
198106;42.6;1
198107;16.6;1
198108;39;1
198109;3.4;1
198110;4.4;1
198111;61.3;1
198112;236.6;1
198201;30.9;1
198202;140.2;1
198203;149.4;1
198204;56.9;1
198205;24.9;1
198206;82.6;1
198207;31.1;1
198208;32.5;1
198209;9.9;1
198210;71.2;1
198211;19.9;1
198212;92.6;1
198301;83.4;1
198302;53.1;1
198303;107.7;1
198304;39.4;1
198305;5.3;1
198306;63.7;1
198307;50.7;1
198308;42.5;1
198309;3.9;1
198310;65.1;1
198311;50.5;1
198312;36.5;1
198401;32.5;1
198402;156;1
198403;1.6;1
198404;20.8;1
198405;82.7;1
198406;187.1;1
198407;36.3;1
198408;36.3;1
198409;33.3;1
198410;213.3;1
198411;179.1;1
198412;17.7;1
198501;75;1
198502;165.1;1
198503;118.3;1
198504;49.7;1
198505;74;1
198506;58.1;1
198507;130.1;1
198508;37.8;1
198509;113.9;1
198510;53.3;1
198511;46.4;1
198512;92.2;1
198601;96.4;1
198602;87.9;1
198603;194.1;1
198604;18.1;1
198605;215.3;1
198606;65.4;1
198607;43.7;1
198608;47.4;1
198609;10.9;1
198610;0.5;1
198611;60.2;1
198612;105.7;1
198701;17.9;1
198702;67.9;1
198703;18.3;1
198704;41.1;1
198705;10;1
198706;24.7;1
198707;60.4;1
198708;51.5;1
198709;12.8;1
198710;57.1;1
198711;31.1;1
198712;25.6;1
198801;275.2;1
198802;99.6;1
198803;79;1
198804;141.4;1
198805;76.8;1
198806;102;1
198807;64.3;1
198808;42.8;1
198809;48.2;1
198810;0.1;1
198811;341.6;1
198812;86.5;1
198901;342;1
198902;91.4;1
198903;79;1
198904;86.3;1
198905;77.2;1
198906;110;1
198907;49.4;1
198908;68.6;1
198909;37.8;1
198910;37.4;1
198911;20.8;1
198912;172.2;1
199001;378.7;1
199002;232.8;1
199003;147.3;1
199004;11.8;1
199005;14.5;1
199006;70.8;1
199007;42.8;1
199008;80.3;1
199009;10.9;1
199010;19.8;1
199011;109.3;1
199012;4.8;1
199101;66.3;1
199102;150;1
199103;130.3;1
199104;57.1;1
199105;41.3;1
199106;71.7;1
199107;17.4;1
199108;5.9;1
199109;20;1
199110;5.1;1
199111;1.1;1
199112;99.2;1
199201;83.3;1
199202;175.9;1
199203;229.2;1
199204;195.1;1
199205;34.1;1
199206;151.6;1
199207;19.2;1
199208;48.2;1
199209;15.6;1
199210;18.8;1
199211;4.6;1
199212;27.7;1
199301;20.4;1
199302;63.8;1
199303;176.5;1
199304;25.4;1
199305;5.9;1
199306;19.2;1
199307;27.9;1
199308;24.7;1
199309;3.2;1
199310;9.2;1
199311;36.2;1
199312;43.8;1
199401;92.4;1
199402;135.2;1
199403;71.8;1
199404;23.6;1
199405;1.2;1
199406;56.2;1
199407;21.8;1
199408;44.2;1
199409;12.6;1
199410;0;1
199411;5.6;1
199412;15;1
199501;5.6;1
199502;102.3;1
199503;256.4;1
