# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98821002
# NOM_USUEL= PAITA
# LATITUDE (°) = -22.137
# LONGITUDE(°)= 166.37
# ALTITUDE (m) = 21
# NUM_SERIE= MRR198821002
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : 200312
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;41.2;1
195202;33.3;1
195203;148;1
195204;93.5;1
195205;160.5;1
195206;72;1
195207;189.4;1
195208;110.3;1
195209;29.6;1
195210;95.4;1
195211;25.9;1
195212;93.2;1
195301;14.4;1
195302;116.3;1
195303;106.1;1
195304;27.1;1
195305;100.6;1
195306;39.1;1
195307;72.5;1
195308;27.2;1
195309;118.4;1
195310;4.9;1
195311;55;1
195312;52.7;1
195401;91.6;1
195402;42.4;1
195403;46;1
195404;168.2;1
195405;221.2;1
195406;96.8;1
195407;28.3;1
195408;16.5;1
195409;50.9;1
195410;107.4;1
195411;68;1
195412;149.1;1
195501;66;1
195502;119.2;1
195503;300.3;1
195504;53.2;1
195505;137.6;1
195506;48.1;1
195507;75.9;1
195508;87.9;1
195509;149.9;1
195510;48.9;1
195511;57.5;1
195512;337;1
195601;168.9;1
195602;232.2;1
195603;50.3;1
195604;207.8;1
195605;128.9;1
195606;71.8;1
195607;67.6;1
195608;80;1
195609;137.8;1
195610;59.5;1
195611;58.8;1
195612;146.7;1
195701;339;1
195702;50.7;1
195703;58.4;1
195704;42.2;1
195705;69.4;1
195706;49.2;1
195707;17.8;1
195708;64.3;1
195709;11.5;1
195710;1.8;1
195711;27.7;1
195712;37.9;1
195801;246.9;1
195802;86.6;1
195803;210.9;1
195804;41.9;1
195805;18.1;1
195806;123.6;1
195807;115.7;1
195808;55.7;1
195809;72.6;1
195810;81.2;1
195811;7;1
195812;14.6;1
195901;255.4;1
195902;37.3;1
195903;154.6;1
195904;142.8;1
195905;67.5;1
195906;94.6;1
195907;62.3;1
195908;17.5;1
195909;15.3;1
195910;23.8;1
195911;93.3;1
195912;97.1;1
196001;52.8;1
196002;61.9;1
196003;149.2;1
196004;146.7;1
196005;171.3;1
196006;93.3;1
196007;59.3;1
196008;83.6;1
196009;89.7;1
196010;5.7;1
196011;32.2;1
196012;42.5;1
196101;75.7;1
196102;276.3;1
196103;63.9;1
196104;290.9;1
196105;49.8;1
196106;112.8;1
196107;94.1;1
196108;284.1;1
196109;45.5;1
196110;40.3;1
196111;5.8;1
196112;93.4;1
196201;143;1
196202;88.1;1
196203;208.3;1
196204;144.9;1
196205;208.5;1
196206;51.1;1
196207;126.3;1
196208;62.9;1
196209;15.5;1
196210;44;1
196211;40.5;1
196212;8;1
196301;158.8;1
196302;164.9;1
196303;44.7;1
196304;162.2;1
196305;173.9;1
196306;96.7;1
196307;61.4;1
196308;110.3;1
196309;22.6;1
196310;39.5;1
196311;16.7;1
196312;1.6;1
196401;45.4;1
196402;168.7;1
196403;41;1
196404;162.5;1
196405;61.8;1
196406;221.2;1
196407;35.8;1
196408;67;1
196409;1.3;1
196410;95.8;1
196411;20.4;1
196412;5.5;1
196501;63.1;1
196502;92.1;1
196503;105.6;1
196504;8.2;1
196505;8.1;1
196506;104.5;1
196507;27.9;1
196508;28.4;1
196509;17.8;1
196510;15.5;1
196511;11;1
196512;99.2;1
196601;37.5;1
196602;197.6;1
196603;121.4;1
196604;69.6;1
196605;33;1
196606;85.6;1
196607;77.3;1
196608;8.6;1
196609;6.3;1
196610;57.3;1
196611;112.7;1
196612;23.6;1
196701;177.6;1
196702;97.6;1
196703;336.9;1
196704;242.8;1
196705;178.3;1
196706;111.8;1
196707;90.6;1
196708;67.5;1
196709;153.2;1
196710;18.9;1
196711;91.1;1
196712;143.6;1
196801;223.6;1
196802;106.3;1
196803;44.6;1
196804;32.8;1
196805;103.5;1
196806;105.3;1
196807;33.5;1
196808;57.5;1
196809;20.1;1
196810;37.3;1
196811;39.2;1
196812;131.7;1
196901;8.9;1
196902;299.5;1
196903;175.2;1
196904;32.3;1
196905;87.4;1
196906;95.7;1
196907;25.8;1
196908;27.4;1
196909;32.3;1
196910;7.9;1
196911;58.1;1
196912;16.6;1
197001;43.9;1
197002;62.6;1
