# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98821005
# NOM_USUEL= PORT LAGUERRE
# LATITUDE (°) = -22.105
# LONGITUDE(°)= 166.32
# ALTITUDE (m) = 23
# NUM_SERIE= MRR198821005
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;70;1
195202;95.7;1
195203;176;1
195204;94.2;1
195205;140.8;1
195206;95.3;1
195207;173.2;1
195208;104.1;1
195209;32.8;1
195210;63.5;1
195211;5.2;1
195212;75.9;1
195301;35.7;1
195302;100.3;1
195303;117;1
195304;63.9;1
195305;103;1
195306;32.5;1
195307;95.1;1
195308;34.7;1
195309;118.3;1
195310;8;1
195311;76.8;1
195312;51.9;1
195401;109.7;1
195402;58.1;1
195403;46.2;1
195404;227.5;1
195405;222.5;1
195406;108.5;1
195407;29.3;1
195408;28.6;1
195409;50.5;1
195410;165.1;1
195411;77.3;1
195412;181.2;1
195501;33.2;1
195502;109.1;1
195503;371.1;1
195504;17.4;1
195505;185.6;1
195506;49.4;1
195507;64.4;1
195508;101.6;1
195509;291.4;1
195510;46.7;1
195511;44.1;1
195512;404.3;1
195601;190.3;1
195602;217.1;1
195603;102.7;1
195604;249.3;1
195605;157.8;1
195606;109.4;1
195607;77.4;1
195608;120.8;1
195609;185;1
195610;69.4;1
195611;72.4;1
195612;127.7;1
195701;397.6;1
195702;105.5;1
195703;79.4;1
195704;42.9;1
195705;84.2;1
195706;68.6;1
195707;39.9;1
195708;88.9;1
195709;11.6;1
195710;1.5;1
195711;35;1
195712;40.5;1
195801;330;1
195802;82.9;1
195803;246.4;1
195804;43.2;1
195805;16.3;1
195806;119.7;1
195807;144;1
195808;31.4;1
195809;72.2;1
195810;59;1
195811;14.2;1
195812;17.8;1
195901;287.8;1
195902;44;1
195903;167.8;1
195904;124.5;1
195905;70.6;1
195906;79.8;1
195907;66.7;1
195908;17;1
195909;17.4;1
195910;24;1
195911;62.2;1
195912;81;1
