# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98823001
# NOM_USUEL= PONERIHOUEN
# LATITUDE (°) = -21.072
# LONGITUDE(°)= 165.404
# ALTITUDE (m) = 27
# NUM_SERIE= MRR198823001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;222.5;1
195202;180.8;1
195203;418.6;1
195204;181;1
195205;141.5;1
195206;226.9;1
195207;256.9;1
195208;133.3;1
195209;60.2;1
195210;240;1
195211;213.1;1
195212;654.4;1
195301;159.5;1
195302;347.7;1
195303;89.9;1
195304;82.6;1
195305;128.8;1
195306;8.2;1
195307;70.9;1
195308;134.3;1
195309;109.7;1
195310;33.3;1
195311;71.7;1
195312;168.9;1
195401;756.6;1
195402;363.4;1
195403;612.4;1
195404;172.9;1
195405;484.3;1
195406;248.6;1
195407;189.4;1
195408;22.3;1
195409;162.1;1
195410;46.5;1
195411;265.2;1
195412;320.5;1
195501;112.4;1
195502;432.6;1
195503;472;1
195504;317.9;1
195505;134.5;1
195506;30.7;1
195507;36.2;1
195508;63.1;1
195509;236.2;1
195510;6.6;1
195511;64.9;1
195512;458.5;1
195601;587.6;1
195602;455.6;1
195603;220;1
195604;349.2;1
195605;119.1;1
195606;126;1
195607;42.2;1
195608;351.7;1
195609;266.5;1
195610;40.8;1
195611;106.9;1
195612;184.4;1
195701;883.6;1
195702;495.1;1
195703;95;1
195704;149.9;1
195705;32.2;1
195706;8.5;1
195707;27.3;1
195708;138.5;1
195709;27.1;1
195710;7.9;1
195711;98.7;1
195712;331.2;1
195801;767.1;1
195802;283;1
195803;714.4;1
195804;283.1;1
195805;108.5;1
195806;395.5;1
195807;68.1;1
195808;49.5;1
195809;360.7;1
195810;54.7;1
195811;90.6;1
195812;119.1;1
195901;936.7;1
195902;306.1;1
195903;284.8;1
195904;32.1;1
195905;138.3;1
195906;156.2;1
195907;146.6;1
195908;16.8;1
195909;30.5;1
195910;90.6;1
195911;380.2;1
195912;363.1;1
196001;221.2;1
196002;334.5;1
196003;252;1
196004;315.8;1
196005;347.6;1
196006;100.6;1
196007;301.9;1
196008;125.9;1
196009;95.6;1
196010;66.8;1
196011;169.7;1
196012;133.6;1
196101;313.7;1
196102;350.5;1
196103;278.8;1
196104;153.8;1
196105;156.8;1
196106;150.9;1
196107;211.6;1
196108;250.2;1
196109;105.5;1
196110;181;1
196111;345.1;1
196112;384.3;1
196201;320.7;1
196202;187.6;1
196203;264.7;1
196204;646;1
196205;278.7;1
196206;135.2;1
196207;229.9;1
196208;120.4;1
196209;56.7;1
196210;156.4;1
196211;220.6;1
196212;365.6;1
196301;652.5;1
196302;491.6;1
196303;308.7;1
196304;175.4;1
196305;346.6;1
196306;189.5;1
196307;92.5;1
196308;118.3;1
196309;60.7;1
196310;196.3;1
196311;50.3;1
196312;89.2;1
196401;362.9;1
196402;339.4;1
196403;278.8;1
196404;429.1;1
196405;98.2;1
196406;307.1;1
196407;75.9;1
196408;208.4;1
196409;62.9;1
196410;74.4;1
196411;372;1
196412;113.4;1
196501;189.9;1
196502;900.5;1
196503;429.3;1
196504;135.9;1
196505;30.7;1
196506;208;1
196507;106.6;1
196508;24.4;1
196509;126.8;1
196510;49.2;1
196511;26.3;1
196512;242.3;1
196601;60.4;1
196602;373;1
196603;147.8;1
196604;127;1
196605;108;1
196606;276;1
196607;327.6;1
196608;29.2;1
196609;3.3;1
196610;99.8;1
196611;164.1;1
196612;67.9;1
196701;1016.9;1
196702;465.9;1
196703;862.8;1
196704;452.7;1
196705;286.3;1
196706;265;1
196707;481;1
196708;172.1;1
196709;325.4;1
196710;195.6;1
196711;134.3;1
196712;212.3;1
196801;652.7;1
196802;165.7;1
196803;103.1;1
196804;114.6;1
196805;51.2;1
196806;113.2;1
196807;25.6;1
196808;40.4;1
196809;51.9;1
196810;49.8;1
196811;32.8;1
196812;282.5;1
196901;93.9;1
196902;494.2;1
196903;340.2;1
196904;47;1
196905;167.4;1
196906;175.9;1
196907;208.9;1
196908;155.9;1
196909;65.2;1
196910;43.1;1
196911;327.8;1
196912;145;1
197001;533.8;1
197002;257.9;1
197003;600;1
197004;186.8;1
197005;96.6;1
197006;180.8;1
197007;188.1;1
197008;344.3;1
197009;176.1;1
197010;159.7;1
197011;203.3;1
197012;198.9;1
197101;691.9;1
197102;565.1;1
197103;370;1
197104;273.4;1
197105;141.8;1
197106;290.1;1
197107;165.6;1
197108;47.9;1
197109;105.3;1
197110;8.7;1
197111;151.2;1
197112;85.6;1
197201;386.1;1
197202;401.3;1
197203;625.8;1
197204;73.4;1
197205;102.8;1
197206;213.7;1
197207;5.1;1
197208;22;1
197209;58.6;1
197210;82.9;1
197211;163.9;1
197212;71.9;1
197301;280.9;1
197302;166.2;1
197303;211.1;1
197304;38.1;1
197305;177.9;1
197306;15.6;1
197307;546.5;1
197308;76.5;1
197309;53.9;1
197310;203.5;1
197311;288.2;1
197312;166.8;1
197401;442.6;1
197402;453.4;1
197403;333.2;1
197404;131.8;1
197405;136.8;1
197406;785.9;1
197407;42.9;1
197408;13.2;1
197409;41.5;1
197410;336.4;1
197411;248.3;1
197412;217.2;1
197501;284.9;1
197502;273.2;1
197503;791.2;1
197504;1026.7;1
197505;324.6;1
197506;369.2;1
197507;58.4;1
197508;175.2;1
197509;27.6;1
197510;53.3;1
197511;214;1
197512;496.5;1
197601;559.4;1
197602;251.8;1
197603;667.7;1
197604;104.1;1
197605;231.8;1
197606;147.1;1
197607;138.3;1
197608;128.3;1
197609;166.6;1
197610;237.4;1
197611;65.6;1
197612;146.4;1
197701;176.9;1
197702;178.8;1
197703;55.2;1
197704;29.6;1
197705;94.6;1
197706;149.9;1
197707;52;1
197708;123.6;1
197709;140.9;1
197710;14.3;1
197711;291.1;1
197712;195.9;1
197801;298.3;1
197802;162.7;1
197803;545.1;1
197804;304.4;1
197805;115.3;1
197806;120.4;1
197807;153.6;1
197808;169.4;1
197809;39.3;1
197810;54.3;1
197811;133.8;1
197812;137.5;1
197901;314;1
197902;280;1
197903;332;1
197904;241.7;1
197905;109.3;1
197906;170.8;1
197907;168.3;1
197908;0.9;1
197909;3.5;1
197910;240.5;1
197911;140.9;1
197912;88;1
198001;383.3;1
198002;588.6;1
198003;173.8;1
198004;378.6;1
198005;157.3;1
198006;140.3;1
198007;90.9;1
198008;30.8;1
198009;132.9;1
198010;60.2;1
198011;86.5;1
198012;215.9;1
198101;213.2;1
198102;422.7;1
198103;420.9;1
198104;72.3;1
198105;97.5;1
198106;33.5;1
198107;53.3;1
198108;33.8;1
198109;42.9;1
198110;77.8;1
198111;230.5;1
198112;545.6;1
198201;666.1;1
198202;428.2;1
198203;466.8;1
198204;113.8;1
198205;24.6;1
198206;120.2;1
198207;65.5;1
198208;52.1;1
198209;37.6;1
198210;126.9;1
198211;263.1;1
198212;279.4;1
198301;450.3;1
198302;371;1
198303;392.4;1
198304;88.4;1
198305;79;1
198306;106.6;1
198307;98.8;1
198308;106.8;1
198309;104.3;1
198310;286.5;1
198311;189.9;1
198312;139;1
198401;194.9;1
198402;331.4;1
198403;127.2;1
198404;254.1;1
198405;533.7;1
198406;172.4;1
198407;98.9;1
198408;21.4;1
198409;74.1;1
198410;574.1;1
198411;525.1;1
198412;180.3;1
198501;261.7;1
198502;293.2;1
198503;406.8;1
198504;126;1
198505;126.4;1
198506;113.3;1
198507;221.3;1
198508;143.1;1
198509;270.1;1
198510;60.9;1
198511;303.9;1
198512;250.6;1
198601;223.3;1
198602;458.2;1
198603;684;1
198604;336.2;1
198605;391.5;1
198606;71.3;1
198607;16.5;1
198608;55;1
198609;33.7;1
198610;23.6;1
198611;121.5;1
198612;175.6;1
198701;149.2;1
198702;214.5;1
198703;153.2;1
198704;60.5;1
198705;103.2;1
198706;81.5;1
198707;90.9;1
198708;158.8;1
198709;107.8;1
198710;222.6;1
198711;263.7;1
198712;138.4;1
198801;729.5;1
198802;621.2;1
198803;239.3;1
198804;156.8;1
198805;605.8;1
198806;399.5;1
198807;192.1;1
198808;120;1
198809;329.1;1
198810;51.9;1
198811;775.5;1
198812;789.4;1
198901;1490.7;1
198902;580;1
198903;237.5;1
198904;414.6;1
198905;364;1
198906;240.8;1
198907;53.7;1
198908;239.9;1
198909;76.6;1
198910;81.2;1
198911;50.2;1
198912;467.2;1
199001;804.9;1
199002;795.2;1
199003;486.7;1
199004;257.4;1
199005;88.8;1
199006;308.7;1
199007;75.7;1
199008;115.5;1
199009;28.3;1
199010;68.4;1
199011;349.3;1
199012;257.8;1
199101;104.5;1
199102;289.8;1
