# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98824001
# NOM_USUEL= POUEBO
# LATITUDE (°) = -20.383
# LONGITUDE(°)= 164.568
# ALTITUDE (m) = 63
# NUM_SERIE= MRR198824001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195601 201712
# Date(s) de rupture(s) d'homogénéité : 196612 197412
#     Periode homogénéisée  195601 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;557.9;1
195602;157.1;1
195603;621.4;1
195604;265.2;1
195605;142.9;1
195606;60.5;1
195607;42.6;1
195608;245.2;1
195609;363.1;1
195610;130;1
195611;113.3;1
195612;218.6;1
195701;540;1
195702;321.3;1
195703;184.1;1
195704;68.6;1
195705;5.5;1
195706;16.6;1
195707;8.6;1
195708;218.3;1
195709;38.9;1
195710;2.4;1
195711;27.2;1
195712;230.8;1
195801;439.4;1
195802;265.5;1
195803;277.4;1
195804;296.3;1
195805;25.5;1
195806;148.5;1
195807;12.1;1
195808;25.9;1
195809;186.7;1
195810;12.3;1
195811;44.3;1
195812;32.4;1
195901;323.8;1
195902;211;1
195903;328.7;1
195904;51.8;1
195905;176.8;1
195906;54.2;1
195907;145.3;1
195908;14.3;1
195909;18.3;1
195910;16.8;1
195911;105.5;1
195912;185.9;1
196001;236.1;1
196002;108.6;1
196003;467.9;1
196004;201.4;1
196005;544.1;1
196006;66.4;1
196007;164.5;1
196008;65.1;1
196009;40.9;1
196010;51.1;1
196011;49.4;1
196012;58.4;1
196101;321.1;1
196102;314.9;1
196103;307.1;1
196104;126.5;1
196105;158.9;1
196106;160.4;1
196107;102.2;1
196108;173.7;1
196109;106.8;1
196110;194.2;1
196111;122.6;1
196112;333.1;1
196201;374.7;1
196202;326.4;1
196203;182.2;1
196204;459.8;1
196205;204.4;1
196206;92;1
196207;161.7;1
196208;93.5;1
196209;0.8;1
196210;114.5;1
196211;200.4;1
196212;323.4;1
196301;692.2;1
196302;358.7;1
196303;320.9;1
196304;108.7;1
196305;344.5;1
196306;172.5;1
196307;131.8;1
196308;70.9;1
196309;65;1
196310;109.7;1
196311;56.7;1
196312;39.1;1
196401;311.3;1
196402;145.1;1
196403;295.3;1
196404;341.3;1
196405;151.9;1
196406;111.5;1
196407;35.6;1
196408;154.8;1
196409;15.4;1
196410;31.2;1
196411;191.9;1
196412;63.7;1
196501;248.2;1
196502;972.5;1
196503;189.2;1
196504;98.4;1
196505;8.8;1
196506;123.6;1
196507;16.5;1
196508;11.3;1
196509;110.3;1
196510;16.8;1
196511;70.1;1
196512;180.5;1
196601;28.9;1
196602;420.3;1
196603;159.1;1
196604;45.8;1
196605;61.3;1
196606;224;1
196607;177.8;1
196608;17;1
196609;35.7;1
196610;74.1;1
196611;185.4;1
196612;69.7;1
196701;747.3;1
196702;364.3;1
196703;704.7;1
196704;314.2;1
196705;177.4;1
196706;213.2;1
196707;462.6;1
196708;89.4;1
196709;149.9;1
196710;77.8;1
196711;128.6;1
196712;225.4;1
196801;473.7;1
196802;87.6;1
196803;145;1
196804;150.8;1
196805;113.2;1
196806;89.6;1
196807;23.3;1
196808;46;1
196809;14.4;1
196810;35.5;1
196811;42;1
196812;248.5;1
196901;198;1
196902;273.6;1
196903;290.8;1
196904;30.4;1
196905;151;1
196906;121.3;1
196907;29.8;1
196908;124.3;1
196909;27.4;1
196910;40.2;1
196911;275.7;1
196912;107.7;1
197001;331.2;1
197002;149.3;1
197003;294.5;1
197004;158.4;1
197005;75.6;1
197006;148;1
197007;73.9;1
197008;151;1
197009;138.9;1
197010;234.4;1
197011;125.3;1
197012;151.8;1
197101;298;1
197102;456.8;1
197103;489.9;1
197104;243.8;1
197105;110.9;1
197106;149.2;1
197107;82.7;1
