# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98826001
# NOM_USUEL= POUM
# LATITUDE (°) = -20.233
# LONGITUDE(°)= 164.022
# ALTITUDE (m) = 3
# NUM_SERIE= MRR198826001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;68.6;1
195202;171.7;1
195203;77.6;1
195204;183.6;1
195205;34.5;1
195206;25.7;1
195207;159.6;1
195208;103.1;1
195209;43.5;1
195210;170.9;1
195211;129.3;1
195212;129;1
195301;103.3;1
195302;124.1;1
195303;42.8;1
195304;365;1
195305;158.2;1
195306;37;1
195307;33.2;1
195308;40.9;1
195309;20.9;1
195310;18.6;1
195311;5;1
195312;154.9;1
195401;240.4;1
195402;481;1
195403;127.8;1
195404;51.5;1
195405;158.9;1
195406;68.8;1
195407;31;1
195408;0;1
195409;68.3;1
195410;46;1
195411;185;1
195412;245;1
195501;50;1
195502;89.7;1
195503;231.6;1
195504;106;1
195505;113;1
195506;0;1
195507;15;1
195508;28;1
195509;75;1
195510;1;1
195511;69;1
195512;451;1
195601;537;1
195602;215;1
195603;416;1
195604;269.6;1
195605;158;1
195606;27;1
195607;45.7;1
195608;115;1
195609;375;1
195610;35;1
195611;84;1
195612;219;1
195701;219.4;1
195702;150.2;1
195703;63;1
195704;52;1
195705;20;1
195706;13;1
195707;11;1
195708;89;1
195709;11;1
195710;0;1
195711;21.1;1
195712;238;1
195801;366;1
195802;96;1
195803;98;1
195804;55;1
195805;19;1
195806;74;1
195807;22;1
195808;7;1
195809;144;1
195810;4;1
195811;128.1;1
195812;48;1
195901;285;1
195902;55;1
195903;303;1
195904;43;1
195905;95;1
195906;15;1
195907;101;1
195908;6;1
195909;54;1
195910;1;1
195911;51;1
195912;231.5;1
196001;29.5;1
196002;89.6;1
196003;233.3;1
196004;110.6;1
196005;467;1
196006;51.1;1
196007;108.7;1
196008;35.7;1
196009;8.2;1
196010;23.4;1
196011;43.4;1
196012;9.8;1
196101;199.4;1
196102;128.7;1
196103;116.2;1
196104;91.2;1
196105;76.3;1
196106;64;1
196107;62.7;1
196108;133.3;1
196109;7.7;1
196110;52.8;1
196111;29.3;1
196112;136.8;1
196201;360.9;1
196202;126.6;1
196203;119;1
196204;184.1;1
196205;98.8;1
196206;74.7;1
196207;103;1
196208;94.6;1
196209;36.2;1
196210;43.9;1
196211;173.5;1
196212;375.8;1
196301;266.4;1
196302;238.5;1
196303;55.1;1
196304;105.1;1
196305;93.6;1
196306;161.5;1
196307;92;1
196308;41;1
196309;18;1
196310;31.4;1
196311;0;1
196312;146.2;1
196401;261.7;1
196402;136.9;1
196403;340.2;1
196404;229.8;1
196405;48.3;1
196406;208.5;1
196407;0.2;1
196408;119.7;1
196409;7.1;1
196410;62.7;1
196411;122.7;1
196412;77.1;1
196501;266;1
196502;361.9;1
196503;273.1;1
196504;37.5;1
196505;3.1;1
196506;101.4;1
196507;77.2;1
196508;44.8;1
196509;70;1
196510;0;1
196511;21;1
196512;173.7;1
196601;71.7;1
196602;266.1;1
196603;119.3;1
196604;28;1
196605;80.6;1
196606;192;1
196607;56.1;1
196608;4.1;1
196609;4.1;1
196610;140.4;1
196611;160;1
196612;84.2;1
196701;429.4;1
196702;245;1
196703;249;1
196704;111.5;1
196705;85.6;1
196706;93.4;1
196707;285.7;1
196708;14.8;1
196709;188.7;1
196710;35.2;1
196711;125.9;1
196712;78.2;1
196801;288.2;1
196802;74;1
196803;98.1;1
196804;136.5;1
196805;45.3;1
196806;32.9;1
196807;4;1
196808;26.3;1
196809;0.7;1
196810;6.5;1
196811;65;1
196812;106.5;1
196901;75.1;1
196902;107.8;1
196903;126.7;1
196904;30.1;1
196905;48.1;1
196906;74.9;1
196907;4.1;1
196908;108.2;1
196909;2.1;1
196910;9.7;1
196911;80.5;1
196912;104.9;1
197001;268.9;1
197002;71.9;1
197003;29.2;1
197004;61.7;1
197005;14.3;1
197006;166.5;1
197007;81.9;1
197008;54.3;1
197009;21.3;1
197010;76.9;1
197011;100;1
197012;20.7;1
197101;180.6;1
197102;192.2;1
197103;249.7;1
197104;225.4;1
197105;101.1;1
197106;141.2;1
197107;115.3;1
197108;0.9;1
197109;65.3;1
197110;28.2;1
197111;46.6;1
197112;36.4;1
197201;262.7;1
197202;375.5;1
197203;334.2;1
197204;29.5;1
197205;27.7;1
197206;135.2;1
197207;10;1
197208;7.3;1
197209;8.3;1
197210;20.4;1
197211;82.9;1
197212;41.5;1
197301;168.2;1
197302;136.5;1
197303;63.3;1
197304;3.9;1
197305;53.6;1
197306;4.8;1
197307;199.2;1
197308;36.1;1
197309;4.3;1
197310;53;1
197311;69.1;1
197312;136.3;1
197401;397.3;1
197402;392.6;1
197403;208.1;1
197404;57.8;1
197405;66.4;1
197406;99.4;1
197407;51.9;1
197408;7.5;1
197409;40.5;1
197410;94.1;1
197411;125.5;1
197412;13.2;1
197501;128.5;1
197502;150.1;1
197503;411.6;1
197504;318.8;1
197505;99.8;1
