# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98827001
# NOM_USUEL= POYA
# LATITUDE (°) = -21.345
# LONGITUDE(°)= 165.157
# ALTITUDE (m) = 7
# NUM_SERIE= MRR198827001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;69.3;1
195202;107.6;1
195203;164.1;1
195204;36.7;1
195205;54.9;1
195206;70.3;1
195207;124.4;1
195208;69.6;1
195209;18.5;1
195210;144.5;1
195211;7;1
195212;57;1
195301;147.7;1
195302;268.1;1
195303;29.7;1
195304;4;1
195305;91.4;1
195306;38.6;1
195307;69.9;1
195308;56.4;1
195309;55.1;1
195310;40.6;1
195311;52;1
195312;28.5;1
195401;185.7;1
195402;146.6;1
195403;75.5;1
195404;175.9;1
195405;208.2;1
195406;111.4;1
195407;31;1
195408;13;1
195409;69.5;1
195410;32.7;1
195411;123;1
195412;147.3;1
195501;23.6;1
195502;192.9;1
195503;414.1;1
195504;58.8;1
195505;67.4;1
195506;49.6;1
195507;27.1;1
195508;94.8;1
195509;77.5;1
195510;97.5;1
195511;31.9;1
195512;312.5;1
195601;178.5;1
195602;232.4;1
195603;117.1;1
195604;221.7;1
195605;180.1;1
195606;29.9;1
195607;59;1
195608;106.3;1
195609;215.1;1
195610;70.1;1
195611;46.8;1
195612;115.7;1
195701;346.8;1
195702;160.8;1
195703;101.7;1
195704;33.4;1
195705;11;1
195706;42.9;1
195707;11.2;1
195708;94.4;1
195709;10;1
195710;0.2;1
195711;36.6;1
195712;27.9;1
195801;404.2;1
195802;44.6;1
195803;126.3;1
195804;120.6;1
195805;7.6;1
195806;134.2;1
195807;118;1
195808;10.4;1
195809;150.4;1
195810;51.2;1
195811;52.6;1
195812;35.7;1
195901;447.2;1
195902;83.1;1
195903;170.6;1
195904;17.7;1
195905;104.4;1
195906;31.4;1
195907;109.3;1
195908;30.2;1
195909;4.4;1
195910;2.4;1
195911;110;1
195912;161.3;1
196001;30.1;1
196002;43.8;1
196003;146.8;1
196004;154.5;1
196005;415;1
196006;68.9;1
196007;97.4;1
196008;61.3;1
196009;51.1;1
196010;4.3;1
196011;31.6;1
196012;22.1;1
196101;209.6;1
196102;174.5;1
196103;254.5;1
196104;60.1;1
196105;89.4;1
196106;57.6;1
196107;47.5;1
196108;217.7;1
196109;8.1;1
196110;53.3;1
196111;17.1;1
196112;204;1
196201;145.1;1
196202;136;1
196203;24.6;1
196204;282.1;1
196205;166.2;1
196206;3.2;1
196207;88.2;1
196208;68.8;1
196209;10;1
196210;29.5;1
196211;43;1
196212;77;1
196301;97;1
196302;253.5;1
196303;58.5;1
