# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97352001
# NOM_USUEL= SAUL_SAPC
# LATITUDE (°) = 3.624
# LONGITUDE(°)= -53.208
# ALTITUDE (m) = 219
# NUM_SERIE= MTN097352001
# Amplitude minimale détectable de la série = 0.23
# Période homogénéisée : 195501 201512
# Date(s) de rupture(s) d'homogénéité : 195712 201212
#     Periode homogénéisée  195501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;20.1;1
195502;20.5;1
195503;20.6;1
195504;20.3;1
195505;20.5;1
195506;19.6;1
195507;19.1;1
195508;18.9;1
195509;19.4;1
195510;19.5;1
195511;19.3;1
195512;19.9;1
195601;19.9;1
195602;20;1
195603;20.4;1
195604;20.5;1
195605;20.7;1
195606;19.5;1
195607;18.4;1
195608;18.8;1
195609;18.8;1
195610;19;1
195611;19.4;1
195612;20;1
195701;20;1
195702;20.7;1
195703;20.3;1
195704;20.9;1
195705;21.3;1
195706;20.6;1
195707;19.6;1
195708;19.5;1
195709;19.4;1
195710;19.8;1
195711;19.4;1
195712;20.3;1
195801;21.4;1
195802;21.2;1
195803;21.2;1
195804;21.3;1
195805;20.5;1
195806;19.5;1
195807;19;1
195808;19.6;1
195809;18.9;1
195810;19;1
195811;19.4;1
195812;19.9;1
195901;20;1
195902;20.2;1
195903;20;1
195904;20.6;1
195905;20.2;1
195906;19.5;1
195907;18.9;1
195908;18.9;1
195909;18.8;1
195910;19.1;1
195911;19.7;1
195912;20.5;1
196001;20.5;1
196002;21.1;1
196003;19.5;1
196004;20.9;1
196005;20.7;1
196006;19.5;1
196007;19;1
196008;19.1;1
196009;19.6;1
196010;19.2;1
196011;19.3;1
196012;20.7;1
196101;21;1
196102;20.1;1
196103;20.5;1
196104;20.3;1
196105;20.3;1
196106;19.7;1
196107;19.1;1
196108;18.9;1
196109;18.6;1
196110;18.5;1
196111;19.2;1
196112;19.9;1
196201;20.5;1
196202;20.5;1
196203;20.3;1
196204;19.7;1
196205;20.8;1
196206;19.4;1
196207;18.9;1
196208;19;1
196209;18.2;1
196210;18.8;1
196211;19.5;1
196212;20.3;1
196301;20.3;1
196302;20.7;1
196303;20.2;1
196304;19.8;1
196305;20.9;1
196306;19.9;1
196307;19.7;1
196308;19.7;1
196309;19;1
196310;18.9;1
196311;19.6;1
196312;20.8;1
196401;20.2;1
196402;20.7;1
196403;21;1
196404;20.4;1
196405;20.5;1
196406;19.9;1
196407;19;1
196408;19;1
196409;18.8;1
196410;18.2;1
196411;18.2;1
196412;20.1;1
196501;20.4;1
196502;20.3;1
196503;20.3;1
196504;20.6;1
196505;21.1;1
196506;21.1;1
196507;19.2;1
196508;18.6;1
196509;19.3;1
196510;19;1
196511;19.4;1
196512;19.9;1
196601;20.9;1
196602;21.3;1
196603;21.1;1
196604;20.6;1
196605;21.3;1
196606;20;1
196607;20.1;1
196608;19.5;1
196609;19.3;1
196610;19.1;1
196611;19.9;1
196612;20.3;1
196701;20;1
196702;20.2;1
196703;19.4;1
196704;19.7;1
196705;20.4;1
196706;19.6;1
196707;18.8;1
196708;18.9;1
196709;18.3;1
196710;18.9;1
196711;19.2;1
196712;20.1;1
196801;20.8;1
196802;20.2;1
196803;19.6;1
196804;20.4;1
196805;19.7;1
196806;19.8;1
196807;19.2;1
196808;18.8;1
196809;18.9;1
196810;19;1
196811;20.1;1
196812;20.1;1
196901;20.7;1
196902;21.4;1
196903;20.8;1
196904;21.4;1
196905;21.8;1
196906;20.7;1
