# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97409240
# NOM_USUEL= MENCIOL
# LATITUDE (°) = -20.961
# LONGITUDE(°)= 55.626
# ALTITUDE (m) = 181
# NUM_SERIE= MTN097409240
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196801 201312
# Date(s) de rupture(s) d'homogénéité : 197912 198306 198912 199212 200102
#     Periode homogénéisée  196801 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196801;20.5;1
196802;21.6;1
196803;21.4;1
196804;19.9;1
196805;16.9;1
196806;16.3;1
196807;15.7;1
196808;16.2;1
196809;16.4;1
196810;16.7;1
196811;18.2;1
196812;19.5;1
196901;20.8;1
196902;21.4;1
196903;21.4;1
196904;21.4;1
196905;19.3;1
196906;16.8;1
196907;16.7;1
196908;15.7;1
196909;15.4;1
196910;17.9;1
196911;20;1
196912;21.5;1
197001;22.2;1
197002;22.2;1
197003;22.2;1
197004;19.8;1
197005;18.2;1
197006;16.6;1
197007;16.1;1
197008;15.6;1
197009;15.6;1
197010;16.6;1
197011;18.7;1
197012;19.8;1
197101;21.1;1
197102;21.3;1
197103;20.8;1
197104;20.4;1
197105;18.5;1
197106;16.5;1
197107;16.6;1
197108;15.5;1
197109;16.2;1
197110;17.3;1
197111;18.2;1
197112;20.4;1
197201;21.1;1
197202;21;1
197203;21;1
197204;20.1;1
197205;19.1;1
197206;16.8;1
197207;17.3;1
197208;16.7;1
197209;16.6;1
197210;18;1
197211;19.6;1
197212;21.2;1
197301;22.2;1
197302;22.1;1
197303;22.1;1
197304;20.7;1
197305;18.6;1
197306;17.4;1
197307;16.6;1
197308;16.1;1
197309;16.3;1
197310;17.8;1
197311;18.6;1
197312;19.9;1
197401;20.6;1
197402;21;1
197403;20.7;1
197404;19.9;1
197405;17.7;1
197406;16.3;1
197407;15.8;1
197408;16.2;1
197409;15.3;1
197410;17.6;1
197411;18.6;1
197412;20.8;1
197501;22;1
197502;21.9;1
197503;20.7;1
197504;21.2;1
197505;18.5;1
197506;16.8;1
197507;16.5;1
197508;15.7;1
197509;15.7;1
197510;16.3;1
197511;19.3;1
197512;20.3;1
197601;20.8;1
197602;21.4;1
197603;21.4;1
197604;20;1
197605;19.2;1
197606;18.1;1
197607;16.6;1
197608;16.9;1
197609;16.2;1
197610;18;1
197611;19.7;1
197612;20.9;1
197701;22.3;1
197702;21.8;1
197703;21.6;1
197704;20.7;1
197705;19.7;1
197706;17.4;1
197707;16.9;1
197708;16.3;1
197709;17;1
197710;17.6;1
197711;19.6;1
197712;21.2;1
197801;21.4;1
197802;21.8;1
197803;20.7;1
197804;20.4;1
197805;18.6;1
197806;17.2;1
197807;16;1
197808;16.3;1
197809;16.7;1
197810;18.5;1
197811;19.7;1
197812;21;1
197901;21.6;1
197902;22.2;1
197903;20.8;1
197904;19.4;1
197905;18.1;1
197906;17.2;1
197907;16.9;1
197908;16.6;1
197909;17.3;1
197910;17.6;1
197911;19.6;1
197912;21.1;1
198001;22.2;1
198002;20.6;1
198003;22.1;1
198004;20.6;1
198005;19.1;1
198006;16.5;1
198007;15.8;1
198008;15.5;1
198009;16.2;1
198010;17.9;1
198011;19.2;1
198012;20.7;1
198101;21.2;1
198102;21.4;1
198103;21.5;1
198104;21.6;1
198105;17.9;1
198106;18.5;1
198107;15.5;1
198108;16.4;1
198109;17.3;1
198110;18.6;1
198111;18.9;1
198112;20.8;1
198201;21.2;1
198202;22.2;1
198203;21.7;1
198204;19.9;1
198205;18.5;1
198206;17.9;1
198207;16.9;1
198208;16;1
198209;17.2;1
198210;18.2;1
198211;19.2;1
198212;20.2;1
198301;20.9;1
198302;21.8;1
198303;22;1
198304;20.7;1
198305;19.1;1
198306;18.1;1
198307;16.4;1
198308;15.8;1
198309;16;1
198310;17.7;1
198311;19.1;1
198312;20.7;1
198401;22.1;1
198402;21.8;1
198403;21.3;1
198404;20.4;1
198405;18;1
198406;16.9;1
198407;15.7;1
198408;15.4;1
198409;16.1;1
198410;18.1;1
198411;20;1
198412;20.6;1
198501;22.1;1
198502;22.9;1
198503;21.6;1
198504;20.4;1
198505;18;1
198506;16.6;1
198507;16.9;1
198508;16.6;1
198509;17.1;1
198510;17.7;1
198511;18.5;1
198512;21.1;1
198601;21.1;1
198602;21.8;1
198603;21.6;1
198604;20.6;1
198605;18.6;1
198606;15.3;1
198607;15.5;1
198608;16.4;1
198609;16.5;1
198610;18;1
198611;19.6;1
198612;21.8;1
198701;21.8;1
198702;22.3;1
198703;22.3;1
198704;21.3;1
198705;19.3;1
198706;17.6;1
198707;17.4;1
198708;17.3;1
198709;17.3;1
198710;17.7;1
198711;19.6;1
198712;20.7;1
198801;22.5;1
198802;22.2;1
198803;21.6;1
198804;20.6;1
198805;18.7;1
198806;17.3;1
198807;16.9;1
198808;16;1
198809;16;1
198810;18.1;1
198811;19.4;1
198812;20.5;1
198901;21.7;1
198902;21.7;1
198903;21.7;1
198904;19.8;1
198905;19.3;1
198906;17.2;1
198907;17.2;1
198908;16.6;1
198909;16.6;1
198910;18.3;1
198911;18.9;1
198912;20.4;1
199001;20.6;1
199002;20.8;1
199003;20.9;1
199004;20.9;1
199005;18.3;1
199006;17.1;1
199007;15.5;1
199008;16.8;1
199009;17.3;1
199010;18.3;1
199011;19.1;1
199012;20.8;1
199101;22;1
199102;22;1
199103;22.2;1
199104;21;1
199105;18.8;1
199106;17.6;1
199107;16.1;1
199108;15.5;1
199109;17.6;1
199110;18.6;1
199111;19.3;1
199112;19.8;1
199201;22.3;1
199202;21.8;1
199203;21.3;1
199204;19.5;1
199205;18.2;1
199206;16.9;1
199207;15.6;1
199208;15.4;1
199209;16.2;1
199210;18.1;1
199211;19.5;1
199212;20.3;1
199301;22;1
199302;22.2;1
199303;21.1;1
199304;20.9;1
199305;19.6;1
199306;17.4;1
199307;16.2;1
199308;16.3;1
199309;15.9;1
199310;16.8;1
199311;18.4;1
199312;20.3;1
199401;21.4;1
199402;21.9;1
199403;22;1
199404;20.5;1
199405;18.7;1
199406;16.5;1
199407;17.3;1
199408;17.3;1
199409;16.5;1
199410;18.3;1
199411;18.2;1
199412;20.5;1
199501;21.8;1
199502;22.1;1
199503;21.3;1
199504;20.8;1
199505;19;1
199506;16.1;1
199507;17;1
199508;17.1;1
199509;17.4;1
199510;18.3;1
199511;18.5;1
199512;20.5;1
199601;22.4;1
199602;22.2;1
199603;21.8;1
199604;19.7;1
199605;18.3;1
199606;16.6;1
199607;15.6;1
199608;15.7;1
199609;15.6;1
199610;17.4;1
199611;18.9;1
199612;20.3;1
199701;21.6;1
199702;21.2;1
199703;20.9;1
199704;19.5;1
199705;19.1;1
199706;18;1
199707;16.7;1
199708;16.3;1
199709;16.2;1
199710;17.3;1
199711;19.1;1
199712;20.7;1
199801;22.5;1
199802;23.5;1
199803;21.3;1
199804;20.6;1
199805;19.1;1
199806;17.2;1
199807;16.3;1
199808;16.2;1
199809;17;1
199810;17.7;1
199811;18.9;1
199812;20;1
199901;21;1
199902;21.5;1
199903;21.4;1
199904;19.6;1
199905;18;1
199906;16.5;1
199907;15.8;1
199908;16.4;1
199909;16.7;1
199910;16.3;1
199911;18.8;1
199912;20.1;1
200001;21.7;1
200002;21.8;1
200003;21.2;1
200004;20.6;1
200005;18.8;1
200006;17.2;1
200007;16.4;1
200008;16.3;1
200009;16.2;1
200010;17.5;1
200011;18.6;1
200012;20.6;1
200101;21.9;1
200102;21.8;1
200103;21.5;1
200104;20.6;1
200105;18.9;1
200106;16;1
200107;15.9;1
200108;17.1;1
200109;16.5;1
200110;17.6;1
200111;19.1;1
200112;20.8;1
200201;21.3;1
200202;21.7;1
200203;21.9;1
200204;19.9;1
200205;19.6;1
200206;17.2;1
200207;17.4;1
200208;16.8;1
200209;16.2;1
200210;17.7;1
200211;19.8;1
200212;21.6;1
200301;22.1;1
200302;21.9;1
200303;22;1
200304;21.3;1
200305;20.8;1
200306;16.6;1
200307;16.1;1
200308;15.5;1
200309;17.6;1
200310;17.8;1
200311;19.4;1
200312;20.8;1
200401;22.1;1
200402;22.7;1
200403;22.5;1
200404;20.7;1
200405;18.1;1
200406;16.5;1
200407;17.2;1
200408;17;1
200409;17.2;1
200410;17.8;1
200411;19.4;1
200412;20.9;1
200501;22.3;1
200502;22.5;1
200503;22.1;1
200504;20.5;1
200505;19.1;1
200506;17.6;1
200507;15.8;1
200508;16.2;1
200509;17.1;1
200510;17.3;1
200511;18.5;1
200512;20.3;1
200601;21.1;1
200602;22;1
200603;22.5;1
200604;21;1
200605;18.9;1
200606;18.3;1
200607;16.9;1
200608;16.3;1
200609;16.8;1
200610;17.3;1
200611;19.5;1
200612;21.4;1
200701;22.4;1
200702;22.8;1
200703;21.5;1
200704;21.2;1
200705;18.8;1
200706;16.8;1
200707;17.3;1
200708;16.3;1
200709;17;1
200710;17.6;1
200711;19.2;1
200712;20.7;1
200801;21.9;1
200802;22.1;1
200803;21.2;1
200804;20.3;1
200805;18.1;1
200806;16.5;1
200807;16;1
200808;16.3;1
200809;17.6;1
200810;18.7;1
200811;19.9;1
200812;21.1;1
200901;22.6;1
200902;22.3;1
200903;21.9;1
200904;21.1;1
200905;18.9;1
200906;18.1;1
200907;17.1;1
200908;16.5;1
200909;17.2;1
200910;18.3;1
200911;19.6;1
200912;21.4;1
201001;22.5;1
201002;22.8;1
201003;22.4;1
201004;21.1;1
201005;20.3;1
201006;18.4;1
201007;16.8;1
201008;16.9;1
201009;17.2;1
201010;18.7;1
201011;19.3;1
201012;20.4;1
201101;21.5;1
201102;22.8;1
201103;22;1
201104;21;1
201105;19.1;1
201106;18.6;1
201107;16.9;1
201108;16.9;1
201109;17.1;1
201110;18.1;1
201111;19.9;1
201112;20.7;1
201201;21.4;1
201202;22.4;1
201203;21.6;1
201204;21.3;1
201205;19.5;1
201206;17.7;1
201207;17.2;1
201208;17.5;1
201209;17.2;1
201210;18.6;1
201211;19.4;1
201212;21.6;1
201301;22.3;1
201302;22.7;1
201303;21.4;1
201304;20.6;1
201305;18.8;1
201306;16.2;1
201307;15.5;1
201308;16;1
201309;16.8;1
201310;18.3;1
201311;19.8;1
201312;20.9;1
201401;22.1;0
201402;22.4;0
201403;21.6;0
201404;20.6;0
201405;18.6;0
201406;17.7;0
201407;17.4;0
201408;17.3;0
201409;17.1;0
201410;19.1;0
201411;20;0
201412;22;0
201501;22.6;0
201502;21.4;0
201503;21.8;0
