# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98715002
# NOM_USUEL= FAAA
# LATITUDE (°) = -17.555
# LONGITUDE(°)= -149.614
# ALTITUDE (m) = 2
# NUM_SERIE= MTN098715002
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 197201 201512
# Date(s) de rupture(s) d'homogénéité : 199212
#     Periode homogénéisée  197201 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
197201;23.3;1
197202;23.9;1
197203;23.7;1
197204;23.6;1
197205;23.3;1
197206;22.2;1
197207;21.7;1
197208;21.4;1
197209;20.7;1
197210;21.8;1
197211;22.9;1
197212;23.9;1
197301;24.3;1
197302;24.5;1
197303;25;1
197304;24.5;1
197305;24.1;1
197306;21.6;1
197307;21.7;1
197308;21.9;1
197309;21.3;1
197310;22.3;1
197311;23;1
197312;22.8;1
197401;22.8;1
197402;22.9;1
197403;22.7;1
197404;23.3;1
197405;22.2;1
197406;21.2;1
197407;21.2;1
197408;19.9;1
197409;20;1
197410;21.1;1
197411;22.7;1
197412;23.1;1
197501;22.9;1
197502;23.4;1
197503;23.3;1
197504;23.1;1
197505;22.6;1
197506;21;1
197507;20.9;1
197508;20.1;1
197509;20.6;1
197510;21.4;1
197511;22.2;1
197512;22.2;1
197601;22.4;1
197602;23;1
197603;23.1;1
197604;23.5;1
197605;22.2;1
197606;21.3;1
197607;21.4;1
197608;20.6;1
197609;20.7;1
197610;22.3;1
197611;23.5;1
197612;24;1
197701;24.2;1
197702;25;1
197703;24.9;1
197704;24.2;1
197705;23.3;1
197706;20.8;1
197707;21.6;1
197708;20.9;1
197709;21.9;1
197710;23.1;1
197711;23.4;1
197712;23.3;1
197801;24.2;1
197802;24.4;1
197803;24.4;1
197804;24;1
197805;23.6;1
197806;22.5;1
197807;21.2;1
197808;21.2;1
197809;22.5;1
197810;21.8;1
197811;22.9;1
197812;24;1
197901;23.8;1
197902;24;1
197903;24.4;1
197904;24.6;1
197905;22.9;1
197906;22.4;1
197907;21.6;1
197908;21.6;1
197909;21.6;1
197910;22.4;1
197911;23.8;1
197912;23.9;1
198001;24.5;1
198002;24.3;1
198003;24.5;1
198004;24.6;1
198005;23.9;1
198006;22.3;1
198007;21.7;1
198008;21.5;1
198009;21.8;1
198010;23.3;1
198011;23.5;1
198012;24.5;1
198101;24.4;1
198102;24;1
198103;23.9;1
198104;23.5;1
198105;22.9;1
198106;21.8;1
198107;21.5;1
198108;20.9;1
198109;21.9;1
198110;22.9;1
198111;23.2;1
198112;23.7;1
198201;24.1;1
198202;23.9;1
198203;24.5;1
198204;23.5;1
198205;23.7;1
198206;21.8;1
198207;21.6;1
198208;22;1
198209;21.5;1
198210;22.4;1
198211;22.8;1
198212;23.4;1
198301;24.2;1
198302;25.7;1
198303;24.4;1
198304;23.1;1
198305;23.2;1
198306;21.7;1
198307;21.2;1
198308;21.1;1
198309;22;1
198310;23.5;1
198311;23.2;1
198312;24;1
198401;24.2;1
198402;25.1;1
198403;24.8;1
198404;24.8;1
198405;23.6;1
198406;21.9;1
198407;21;1
198408;21.5;1
198409;22.3;1
198410;22.9;1
198411;23.1;1
198412;23.7;1
198501;24.1;1
198502;23.7;1
198503;24.1;1
198504;23.9;1
198505;23.7;1
