# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98720002
# NOM_USUEL= HAO AERO
# LATITUDE (°) = -18.063
# LONGITUDE(°)= -140.961
# ALTITUDE (m) = 5
# NUM_SERIE= MTN098720002
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 196401 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196401 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196401;25.3;1
196402;25.4;1
196403;25.8;1
196404;25.3;1
196405;24.5;1
196406;22.8;1
196407;23.2;1
196408;22.6;1
196409;22.5;1
196410;23.4;1
196411;23.1;1
196412;24.1;1
196501;24.8;1
196502;25;1
196503;25.4;1
196504;25.8;1
196505;24.1;1
196506;23.5;1
196507;23.8;1
196508;23;1
196509;23.5;1
196510;23.5;1
196511;24.2;1
196512;24.6;1
196601;24.5;1
196602;25;1
196603;25.3;1
196604;25.9;1
196605;25;1
196606;23.3;1
196607;23;1
196608;22.8;1
196609;23.2;1
196610;23.1;1
196611;23.8;1
196612;24.1;1
196701;25.5;1
196702;24.5;1
196703;25.1;1
196704;25.3;1
196705;24.7;1
196706;23.8;1
196707;23.5;1
196708;22.1;1
196709;23;1
196710;23.2;1
196711;23.4;1
196712;23.8;1
196801;24.3;1
196802;24.7;1
196803;24.9;1
196804;24.5;1
196805;23.6;1
196806;21.5;1
196807;21.4;1
196808;22.9;1
196809;22.4;1
196810;23.5;1
196811;24.6;1
196812;25.5;1
196901;25.3;1
196902;25.3;1
196903;26.1;1
196904;25.7;1
196905;25;1
196906;24.3;1
196907;23.8;1
196908;22.7;1
196909;22.2;1
196910;23.7;1
196911;24.1;1
196912;24.9;1
197001;25;1
197002;24.7;1
197003;25.8;1
197004;25;1
197005;24.2;1
197006;23.4;1
197007;23.4;1
197008;22.8;1
197009;22.3;1
197010;23.1;1
197011;23.4;1
197012;23.8;1
197101;23.6;1
197102;23.9;1
197103;24.2;1
197104;23.4;1
197105;24.3;1
197106;23.2;1
197107;22.6;1
197108;22.2;1
197109;21.7;1
197110;22.8;1
197111;23.7;1
197112;23.9;1
197201;24.8;1
197202;24.8;1
197203;25.4;1
197204;25;1
197205;24.9;1
197206;23.9;1
197207;23.3;1
197208;23;1
197209;22.5;1
197210;22.5;1
197211;23;1
197212;24.8;1
197301;24.7;1
197302;24.8;1
197303;25.9;1
197304;25.3;1
197305;25.3;1
197306;23.2;1
197307;23.3;1
197308;22.8;1
197309;22.9;1
197310;23.3;1
197311;23.7;1
197312;24;1
197401;23.8;1
197402;24;1
197403;24.7;1
197404;24.6;1
197405;24;1
197406;23;1
197407;22.6;1
197408;21.4;1
197409;22.1;1
197410;23.1;1
197411;23.6;1
197412;24;1
197501;24;1
197502;24.8;1
197503;25.4;1
197504;24.5;1
197505;23.8;1
197506;23.8;1
197507;22.6;1
197508;21.5;1
197509;22.3;1
197510;22.2;1
197511;23.6;1
197512;23.8;1
197601;23.4;1
197602;23.8;1
197603;24.2;1
197604;24.8;1
197605;24.1;1
197606;22.9;1
197607;22.6;1
197608;22.1;1
197609;22.2;1
197610;23.3;1
197611;24.5;1
197612;25;1
197701;24.8;1
197702;26.1;1
197703;25.9;1
197704;25.2;1
197705;24.7;1
197706;23.3;1
197707;23.1;1
197708;22.9;1
197709;22.9;1
197710;23.7;1
197711;24.1;1
197712;23.5;1
197801;24.8;1
197802;24.7;1
197803;25.4;1
197804;24.8;1
197805;24.3;1
197806;23.6;1
197807;22.8;1
197808;22.6;1
197809;22.9;1
197810;23;1
197811;23.4;1
197812;24.6;1
197901;25.2;1
197902;25.1;1
197903;25.7;1
197904;25.5;1
197905;24.2;1
197906;24.2;1
197907;23.3;1
197908;22.4;1
197909;22.7;1
197910;22.9;1
197911;24.8;1
197912;24.4;1
198001;25.2;1
198002;25.6;1
198003;25.7;1
198004;25.3;1
198005;25;1
198006;23.7;1
198007;23.1;1
198008;23.1;1
198009;22.3;1
198010;23.4;1
198011;23.7;1
198012;24.8;1
198101;25;1
198102;24.7;1
198103;25;1
198104;24.7;1
198105;24.4;1
198106;23.3;1
198107;23.3;1
198108;22.3;1
198109;23;1
198110;23.5;1
198111;23.7;1
198112;24.6;1
198201;25;1
198202;25.4;1
198203;25.7;1
198204;25.6;1
198205;24.5;1
198206;24;1
198207;22.7;1
198208;22.9;1
198209;23;1
198210;23;1
198211;24.1;1
198212;24.9;1
198301;25.4;1
198302;25.7;1
198303;25.9;1
198304;24.4;1
198305;23.7;1
198306;23.4;1
198307;23.1;1
198308;23.2;1
198309;23.4;1
198310;23.8;1
198311;23.8;1
198312;24.8;1
198401;25.7;1
198402;25.9;1
198403;25.6;1
198404;25.8;1
198405;24.8;1
198406;23.8;1
198407;22.9;1
198408;22.6;1
198409;23.7;1
198410;24.7;1
198411;24.4;1
198412;23.9;1
198501;24.4;1
198502;24.6;1
198503;25.3;1
198504;25.6;1
198505;25;1
198506;24.3;1
198507;23.4;1
198508;23.2;1
198509;23.6;1
198510;23.3;1
198511;24.1;1
198512;25.5;1
198601;24.9;1
198602;24.7;1
198603;25.2;1
198604;25.5;1
198605;24.4;1
198606;24.2;1
198607;23.5;1
198608;23;1
198609;23.6;1
198610;24;1
198611;24.2;1
198612;25.2;1
198701;25.3;1
198702;25.7;1
198703;26.3;1
198704;25.9;1
198705;25.7;1
198706;24.3;1
198707;23.7;1
198708;22.7;1
198709;23.7;1
198710;23.3;1
198711;24.6;1
198712;24.6;1
198801;25.7;1
198802;25.5;1
198803;25.9;1
198804;25.9;1
198805;24.8;1
198806;23.9;1
198807;23;1
198808;23.4;1
198809;23.3;1
198810;23.2;1
198811;23.8;1
198812;24;1
198901;25.1;1
198902;25.2;1
198903;25.1;1
198904;25.2;1
198905;25;1
198906;23.4;1
198907;23.6;1
198908;23.6;1
198909;23.4;1
198910;23.9;1
198911;23.4;1
198912;24.2;1
199001;24.5;1
199002;25.4;1
199003;25.6;1
199004;25.9;1
199005;24.2;1
199006;23.7;1
199007;23.8;1
199008;23.6;1
199009;23.4;1
199010;23.9;1
199011;24.1;1
199012;24.4;1
199101;25.7;1
199102;24.8;1
199103;25.8;1
199104;25.5;1
199105;25.3;1
199106;23.7;1
199107;23.4;1
199108;23.6;1
199109;23.3;1
199110;23.9;1
199111;24.2;1
199112;24.6;1
199201;25.2;1
199202;24.9;1
199203;25.9;1
199204;26.1;1
199205;25;1
199206;24.2;1
199207;23.6;1
199208;23.8;1
199209;23.8;1
199210;23.8;1
199211;24.6;1
199212;24.7;1
199301;25.5;1
199302;24.4;1
199303;26.1;1
199304;25.6;1
199305;24.7;1
199306;23.7;1
199307;23.6;1
199308;23.6;1
199309;23.2;1
199310;24;1
199311;24;1
199312;25.3;1
199401;25.5;1
199402;26;1
199403;26.7;1
199404;26;1
199405;25.1;1
199406;24.7;1
199407;23.5;1
199408;23.5;1
199409;23.7;1
199410;24.1;1
199411;24.5;1
199412;25.3;1
199501;25.6;1
199502;26;1
199503;26.2;1
199504;25.6;1
199505;25.1;1
199506;24.6;1
199507;23.6;1
199508;23.4;1
199509;23.6;1
199510;24.3;1
199511;24.2;1
199512;24.8;1
199601;25.8;1
199602;24.8;1
199603;25.5;1
199604;24.9;1
199605;24.6;1
199606;23.9;1
199607;23.3;1
199608;22.8;1
199609;22.5;1
199610;23.5;1
199611;24.6;1
199612;24.5;1
199701;24.9;1
199702;25.3;1
199703;25.7;1
199704;26.2;1
199705;25.6;1
199706;24.1;1
199707;23.5;1
199708;22.7;1
199709;23.6;1
199710;23.7;1
199711;25.3;1
199712;25.4;1
199801;25.9;1
199802;26.2;1
199803;27.4;1
199804;25.9;1
199805;25.7;1
199806;24.5;1
199807;24.1;1
199808;23;1
199809;23.2;1
199810;23.7;1
199811;24.1;1
199812;24.7;1
199901;25.2;1
199902;25.1;1
199903;26;1
199904;25.8;1
199905;25.7;1
199906;24.5;1
199907;23.6;1
199908;23.5;1
199909;22.8;1
199910;23.9;1
199911;24.1;1
199912;24.7;1
200001;25.2;1
200002;25.2;1
200003;25.8;1
200004;24.9;1
200005;24.7;1
200006;24.1;1
200007;23.6;1
200008;23.5;1
200009;23.2;1
200010;23.6;1
200011;24.7;1
200012;24.3;1
200101;24.8;1
200102;24.6;1
200103;25.8;1
200104;26.4;1
200105;24.8;1
200106;24;1
200107;24.5;1
200108;23.3;1
200109;23.9;1
200110;23.9;1
200111;24.3;1
200112;24.7;1
200201;25.2;1
200202;25.3;1
200203;26.5;1
200204;25.9;1
200205;24.8;1
200206;24.3;1
200207;23.7;1
200208;23.6;1
200209;23.3;1
200210;24;1
200211;25.2;1
200212;24.3;1
200301;25.4;1
200302;25;1
200303;26.3;1
200304;26.5;1
200305;25.5;1
200306;24.8;1
200307;23;1
200308;23.8;1
200309;23.2;1
200310;23.6;1
200311;24.5;1
200312;25.1;1
200401;24.8;1
200402;25.8;1
200403;25.9;1
200404;24.5;1
200405;24.6;1
200406;23.8;1
200407;22.5;1
200408;22.8;1
200409;23.4;1
200410;24;1
200411;24.8;1
200412;25.3;1
200501;25.9;1
200502;26;1
200503;26;1
200504;26;1
200505;24.2;1
200506;23.7;1
200507;24.2;1
200508;22.8;1
200509;23.4;1
200510;23.9;1
200511;24.9;1
200512;25.7;1
200601;25.8;1
200602;26.1;1
200603;26.1;1
200604;25.6;1
200605;25.2;1
200606;24.9;1
200607;24.3;1
200608;23;1
200609;23.9;1
200610;23.8;1
200611;24.3;1
200612;25.5;1
200701;26.4;1
200702;26;1
200703;26.6;1
200704;25.8;1
200705;25.3;1
200706;24.7;1
200707;23.3;1
200708;23.6;1
200709;23.7;1
200710;24;1
200711;25.2;1
200712;25.3;1
200801;25.3;1
200802;25.5;1
200803;25.1;1
200804;25.2;1
200805;25;1
200806;24;1
200807;23.4;1
200808;22.4;1
200809;22.4;1
200810;23.5;1
200811;24;1
200812;25.2;1
200901;24.7;1
200902;25.5;1
200903;25.5;1
200904;26;1
200905;25.5;1
200906;25;1
200907;23.9;1
200908;22.6;1
200909;23.3;1
200910;23.5;1
200911;25.2;1
200912;26;1
201001;25.2;1
201002;25.2;1
201003;25.8;1
201004;25.8;1
201005;24.6;1
201006;24.2;1
201007;23.7;1
201008;23.3;1
201009;22.5;1
201010;23.3;1
201011;24.3;1
201012;24.9;1
201101;23.9;1
201102;24.3;1
201103;25.2;1
201104;24.9;1
201105;24.5;1
201106;23.3;1
201107;22.9;1
