# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98749001
# NOM_USUEL= TAKAROA
# LATITUDE (°) = -14.457
# LONGITUDE(°)= -145.025
# ALTITUDE (m) = 2
# NUM_SERIE= MTN098749001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 196401 201712
# Date(s) de rupture(s) d'homogénéité : 197512 201108
#     Periode homogénéisée  196401 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196401;25.4;1
196402;25.3;1
196403;26;1
196404;25.6;1
196405;24.8;1
196406;23.7;1
196407;23.7;1
196408;23.3;1
196409;23.4;1
196410;23.6;1
196411;23.5;1
196412;23.8;1
196501;24.3;1
196502;24.5;1
196503;25.4;1
196504;26.2;1
196505;25.5;1
196506;25.2;1
196507;24.7;1
196508;24.4;1
196509;24.7;1
196510;24.9;1
196511;25.3;1
196512;25.8;1
196601;25.4;1
196602;25.5;1
196603;25.5;1
196604;26.5;1
196605;25.9;1
196606;25;1
196607;24.5;1
196608;24.4;1
196609;24.7;1
196610;24.5;1
196611;24.7;1
196612;25;1
196701;25.5;1
196702;25.2;1
196703;25.5;1
196704;25.8;1
196705;25.6;1
196706;25.1;1
196707;24.1;1
196708;23.4;1
196709;23.8;1
196710;24.3;1
196711;23.9;1
196712;24.5;1
196801;24.1;1
196802;25.1;1
196803;24.9;1
196804;25;1
196805;24.3;1
196806;23.8;1
196807;23.6;1
196808;24.4;1
196809;24.1;1
196810;24.8;1
196811;25.1;1
196812;25.7;1
196901;25.2;1
196902;25.8;1
196903;25.8;1
196904;26;1
196905;25.7;1
196906;25.4;1
196907;24.6;1
196908;24.2;1
196909;24.1;1
196910;25.1;1
196911;25;1
196912;25.7;1
197001;25.4;1
197002;25.5;1
197003;26.3;1
197004;26.1;1
197005;25.9;1
197006;24.7;1
197007;24.3;1
197008;24.3;1
197009;23.8;1
197010;24.1;1
197011;24.7;1
197012;24.8;1
197101;23.8;1
197102;24.2;1
197103;25.2;1
197104;25.3;1
197105;24.7;1
197106;24.2;1
197107;23.7;1
197108;23.7;1
197109;23.7;1
197110;24.2;1
197111;24.2;1
197112;24.5;1
197201;25;1
197202;25;1
197203;25.3;1
197204;25.9;1
197205;25.4;1
197206;24.7;1
197207;24.2;1
197208;24.5;1
197209;23.9;1
197210;24.3;1
197211;25.2;1
197212;26.1;1
197301;26.1;1
197302;25.6;1
197303;26.2;1
197304;26.2;1
197305;25.6;1
197306;24.5;1
197307;24.6;1
197308;24.2;1
197309;23.7;1
197310;24;1
197311;24.7;1
197312;24.2;1
197401;24.3;1
197402;24.4;1
197403;24.9;1
197404;25.2;1
