# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98750003
# NOM_USUEL= OPOA
# LATITUDE (°) = -16.827
# LONGITUDE(°)= -151.373
# ALTITUDE (m) = 2
# NUM_SERIE= MTN098750003
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 197201 201512
# Date(s) de rupture(s) d'homogénéité : 197507 198312 199812
#     Periode homogénéisée  197201 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
197201;22.2;1
197202;22.7;1
197203;23.1;1
197204;23.3;1
197205;22.2;1
197206;22;1
197207;21.9;1
197208;21.4;1
197209;20.8;1
197210;21.1;1
197211;22.4;1
197212;22.8;1
197301;23.8;1
197302;23.1;1
197303;23.3;1
197304;23;1
197305;22.7;1
197306;21.4;1
197307;21;1
197308;21.3;1
197309;21.4;1
197310;21.5;1
197311;21.5;1
197312;21.3;1
197401;21.4;1
197402;21.6;1
197403;21;1
197404;22.3;1
197405;21.8;1
197406;21;1
197407;20.4;1
197408;19.4;1
197409;20.1;1
197410;20.6;1
197411;21.6;1
197412;21.6;1
197501;21.4;1
197502;22;1
197503;22.3;1
197504;22.1;1
197505;21.7;1
197506;21.3;1
197507;20.6;1
197508;20.2;1
197509;21;1
197510;20.3;1
197511;20.8;1
197512;21;1
197601;21;1
197602;21.2;1
197603;22;1
197604;21.7;1
197605;21.6;1
197606;21.6;1
197607;20.3;1
197608;19.6;1
197609;19.5;1
197610;21.3;1
197611;22.8;1
197612;23.1;1
197701;22.5;1
197702;23.1;1
197703;23.9;1
197704;23;1
197705;21.7;1
197706;20.5;1
197707;21.2;1
197708;20.5;1
197709;20.9;1
197710;22.4;1
197711;22.4;1
197712;22.9;1
197801;22.8;1
197802;22.9;1
197803;23;1
197804;22.6;1
197805;22.6;1
197806;21.1;1
197807;20.6;1
197808;20.8;1
197809;21.9;1
197810;21.4;1
197811;22.8;1
197812;22.8;1
197901;22.5;1
197902;23.3;1
197903;22.5;1
197904;22.8;1
197905;22.2;1
197906;22.3;1
197907;20.7;1
197908;21;1
197909;21.6;1
197910;22;1
197911;22.4;1
197912;22.7;1
198001;22.8;1
198002;23.6;1
198003;23.2;1
198004;23.2;1
198005;22.7;1
198006;22.5;1
198007;21.8;1
198008;21.6;1
198009;21.4;1
198010;22;1
198011;22.2;1
198012;23.5;1
198101;23;1
198102;22.9;1
198103;22.6;1
198104;22.5;1
198105;22.5;1
198106;20.9;1
198107;21.2;1
198108;20.2;1
198109;21.9;1
198110;21.9;1
198111;22.3;1
198112;22.7;1
198201;22.9;1
198202;22.7;1
198203;23.1;1
198204;22.8;1
198205;22.4;1
198206;21.5;1
198207;21.3;1
198208;21.7;1
198209;21;1
198210;21.8;1
198211;21.3;1
198212;22;1
198301;23.1;1
198302;24.2;1
198303;22.3;1
198304;22.2;1
198305;22.1;1
198306;20.7;1
198307;20.7;1
198308;20.2;1
198309;21.6;1
198310;22.9;1
198311;21.6;1
198312;22.2;1
198401;23;1
198402;23.8;1
198403;23.4;1
198404;23.9;1
198405;22.9;1
198406;21.6;1
198407;21.5;1
198408;21.6;1
198409;22.1;1
198410;22.5;1
198411;21.8;1
198412;22.5;1
198501;22.6;1
198502;23;1
198503;22.9;1
198504;23.1;1
198505;22.9;1
198506;21.4;1
198507;20.4;1
198508;21.9;1
198509;21.6;1
198510;21.2;1
198511;22.3;1
198512;22.3;1
198601;22.5;1
198602;22.4;1
198603;22.6;1
198604;22.8;1
198605;22.9;1
198606;21.5;1
198607;21.4;1
198608;20.7;1
198609;20.8;1
198610;22.5;1
198611;23.2;1
198612;22.9;1
