# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98809001
# NOM_USUEL= MOUE
# LATITUDE (°) = -22.59
# LONGITUDE(°)= 167.452
# ALTITUDE (m) = 95
# NUM_SERIE= MTN098809001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 197201 201512
# Date(s) de rupture(s) d'homogénéité : 198012 198811 199012 200612
#     Periode homogénéisée  197201 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
197201;21.3;1
197202;21.6;1
197203;22.5;1
197204;19.9;1
197205;17.8;1
197206;15.5;1
197207;14.7;1
197208;14.4;1
197209;15.8;1
197210;17.1;1
197211;19.2;1
197212;19.4;1
197301;21.9;1
197302;22.1;1
197303;22;1
197304;19.4;1
197305;18.2;1
197306;18.1;1
197307;16.3;1
197308;15.9;1
197309;16.1;1
197310;18;1
197311;20.3;1
197312;21.1;1
197401;22.3;1
197402;22.9;1
197403;22;1
197404;20.3;1
197405;18.5;1
197406;17.7;1
197407;15.7;1
197408;14.4;1
197409;15.3;1
197410;16.9;1
197411;19;1
197412;19.2;1
197501;21.1;1
197502;21.6;1
197503;22;1
197504;20.9;1
197505;18.6;1
197506;16.5;1
197507;15.3;1
197508;15.7;1
197509;16.3;1
197510;16.9;1
197511;18.8;1
197512;21.2;1
197601;23.3;1
197602;21.3;1
197603;22.4;1
197604;20.4;1
197605;18.1;1
197606;16.7;1
197607;15.1;1
197608;15;1
197609;14.3;1
197610;15.9;1
197611;18;1
197612;19.9;1
197701;21.5;1
197702;21.4;1
197703;21.3;1
197704;19.1;1
197705;17.5;1
197706;16.6;1
197707;15.6;1
197708;15.3;1
197709;14.8;1
197710;16;1
197711;18.7;1
197712;20.2;1
197801;21.8;1
197802;21.9;1
197803;21.8;1
197804;20.2;1
197805;17.9;1
197806;17.5;1
197807;15.7;1
197808;15.3;1
197809;14.8;1
197810;16.3;1
197811;18.9;1
197812;20;1
197901;20.9;1
197902;21.7;1
197903;21.7;1
197904;19.4;1
197905;17.4;1
197906;17.9;1
197907;15.4;1
197908;14;1
197909;14.5;1
197910;16.9;1
197911;18.6;1
197912;19.7;1
198001;22.6;1
198002;23.2;1
198003;21.6;1
198004;18.8;1
198005;18.1;1
198006;16.1;1
198007;14.5;1
198008;14.8;1
198009;15.2;1
198010;16.8;1
198011;17.6;1
198012;19.8;1
198101;21.5;1
198102;23.4;1
198103;22.6;1
198104;20.4;1
198105;18.5;1
198106;17.4;1
198107;14.9;1
198108;14.8;1
198109;15.1;1
198110;17.2;1
198111;17.9;1
198112;21.2;1
198201;21.9;1
198202;22.1;1
198203;21.7;1
198204;19.7;1
198205;17.8;1
198206;16.2;1
198207;14.7;1
198208;15.3;1
198209;15.1;1
198210;16.4;1
198211;19.9;1
198212;20.6;1
198301;22.4;1
198302;21;1
198303;21.5;1
198304;21.2;1
198305;19;1
198306;17.3;1
198307;15.4;1
198308;15.8;1
198309;16.8;1
198310;17.8;1
198311;18.7;1
198312;20.1;1
198401;20.8;1
198402;21.5;1
198403;21.5;1
198404;20.9;1
198405;19.2;1
198406;18.6;1
198407;16.7;1
198408;15.9;1
198409;16;1
198410;17.5;1
198411;20.6;1
198412;21.1;1
198501;22.4;1
198502;23.5;1
198503;21.8;1
198504;22;1
198505;18.4;1
198506;17.1;1
198507;16.5;1
198508;15.9;1
198509;16.7;1
198510;18.6;1
198511;19.8;1
198512;20;1
198601;22.9;1
198602;22.4;1
198603;21.8;1
198604;20.6;1
198605;18.4;1
198606;16.7;1
198607;15.8;1
198608;15.2;1
198609;15.3;1
198610;17.5;1
198611;18.8;1
198612;19.5;1
198701;20;1
198702;20.9;1
198703;20.4;1
198704;19.5;1
198705;19.4;1
198706;17.2;1
198707;15.8;1
198708;16.3;1
198709;15.3;1
198710;17.3;1
198711;18.4;1
198712;20;1
198801;22.1;1
198802;22.9;1
198803;21.4;1
198804;21.6;1
198805;20;1
198806;18.7;1
198807;17;1
198808;17;1
198809;17.7;1
198810;18.8;1
198811;21.2;1
198812;21.5;1
198901;23;1
198902;23.2;1
198903;22.1;1
198904;20.7;1
198905;18.9;1
198906;18.8;1
198907;16.3;1
198908;15.5;1
198909;16.5;1
198910;17.2;1
198911;19.1;1
198912;21.4;1
199001;22.5;1
199002;22.2;1
199003;22.6;1
199004;20.9;1
199005;18.9;1
199006;17.7;1
199007;16.4;1
199008;16.2;1
199009;15.5;1
199010;17.2;1
199011;19.2;1
199012;20.3;1
199101;21.2;1
199102;22.3;1
199103;20.7;1
199104;19.6;1
199105;17.3;1
199106;17.1;1
199107;16.4;1
199108;16;1
199109;16.3;1
199110;17;1
199111;18.4;1
199112;20.8;1
199201;22.4;1
199202;23.3;1
199203;22.6;1
199204;21.1;1
199205;18.5;1
199206;18.5;1
199207;16.2;1
199208;15.7;1
199209;16.7;1
199210;16.6;1
199211;19.2;1
199212;21.1;1
199301;21.3;1
199302;21.6;1
199303;22.8;1
199304;20.1;1
199305;18.6;1
199306;17.2;1
199307;17.4;1
199308;15.2;1
199309;15.7;1
199310;17.4;1
199311;18.8;1
199312;20.7;1
199401;22.9;1
199402;22.1;1
199403;22.7;1
199404;20.3;1
199405;17.9;1
199406;16.9;1
199407;14.6;1
199408;16.2;1
199409;14.9;1
199410;17;1
199411;19.8;1
199412;20.1;1
199501;22.2;1
199502;22.6;1
199503;23.2;1
199504;21.9;1
199505;18.8;1
199506;17.4;1
199507;16.4;1
199508;16.3;1
199509;17.6;1
199510;18.7;1
199511;20.3;1
199512;21.8;1
199601;22.6;1
199602;23.8;1
199603;23.1;1
199604;22.2;1
199605;19.2;1
199606;17;1
199607;16.3;1
199608;15.2;1
199609;17.6;1
199610;17.7;1
199611;19.3;1
199612;21.8;1
199701;22.2;1
199702;22.3;1
199703;22.3;1
199704;20.1;1
199705;19.8;1
199706;18.2;1
199707;16.1;1
199708;15;1
199709;16;1
199710;17;1
199711;19.5;1
199712;22.6;1
199801;22.5;1
199802;23.3;1
199803;22.9;1
199804;22.3;1
199805;20.8;1
199806;19.6;1
199807;18.5;1
199808;18.3;1
199809;18.7;1
199810;20;1
199811;20.1;1
199812;22.5;1
199901;23.5;1
199902;24.1;1
199903;23.3;1
199904;22;1
199905;20.7;1
199906;17;1
199907;17.7;1
199908;16.2;1
199909;17.9;1
199910;18.2;1
199911;19.1;1
199912;20.2;1
200001;21.5;1
200002;22.6;1
200003;21.9;1
200004;20.7;1
200005;20.1;1
200006;16.6;1
200007;15.5;1
200008;15.5;1
200009;15.9;1
200010;18.4;1
200011;19.1;1
200012;20.2;1
200101;21.6;1
200102;22.7;1
200103;23.1;1
200104;20.6;1
200105;18.2;1
200106;16.7;1
200107;16.3;1
200108;16;1
200109;16.6;1
200110;18.4;1
200111;19.8;1
200112;21;1
200201;23.3;1
200202;23.8;1
200203;22;1
200204;21.1;1
200205;18.3;1
200206;18.7;1
200207;15.6;1
200208;16.1;1
200209;16.4;1
200210;17.8;1
200211;17.7;1
200212;20.6;1
200301;21.4;1
200302;22.5;1
200303;22.3;1
200304;21.2;1
200305;20.6;1
200306;18;1
200307;16.6;1
200308;15.6;1
200309;16.2;1
200310;18.4;1
200311;19;1
200312;21.4;1
200401;21.7;1
200402;23.8;1
200403;21.8;1
200404;20;1
200405;19.5;1
200406;17.6;1
200407;16;1
200408;14.6;1
200409;16.9;1
200410;18.3;1
200411;18.8;1
200412;19.9;1
200501;23.1;1
200502;23;1
200503;21.5;1
200504;21.1;1
200505;19;1
200506;17.3;1
200507;16.2;1
200508;15.6;1
200509;16.2;1
200510;17.6;1
200511;18.8;1
200512;20.3;1
200601;22;1
200602;22.7;1
200603;22.4;1
200604;22.1;1
200605;18.1;1
200606;16.5;1
200607;15.4;1
200608;15;1
200609;16.3;1
200610;17.3;1
200611;20.5;1
200612;20.2;1
200701;21.5;1
200702;22.4;1
200703;22.5;1
200704;20.8;1
200705;19.3;1
200706;19.5;1
200707;16.2;1
200708;17.6;1
200709;17.7;1
200710;18.5;1
200711;19.7;1
200712;20.9;1
200801;23.3;1
200802;23.5;1
200803;23;1
200804;21.3;1
200805;17.4;1
200806;16.9;1
200807;17.4;1
200808;16.3;1
200809;17.5;1
200810;18.6;1
200811;19.8;1
200812;21.6;1
200901;22.9;1
200902;23.8;1
200903;23.1;1
200904;21.3;1
200905;17.9;1
200906;17.8;1
200907;16.7;1
200908;15.7;1
200909;17;1
200910;17.5;1
200911;19;1
200912;21.1;1
201001;21.5;1
201002;21.9;1
201003;21.7;1
201004;20.8;1
201005;18.7;1
201006;18.8;1
201007;16.5;1
201008;17.1;1
201009;18.8;1
201010;19.6;1
201011;20;1
201012;22;1
201101;23.5;1
201102;23.3;1
201103;22;1
201104;21;1
201105;19.5;1
201106;18;1
201107;16.5;1
201108;16;1
201109;16;1
201110;18;1
201111;19.8;1
201112;22.5;1
201201;21.8;1
201202;23;1
201203;22.6;1
201204;21.1;1
201205;18.8;1
201206;17.9;1
201207;17.3;1
201208;15.3;1
201209;16.8;1
201210;18.1;1
201211;19;1
201212;21.5;1
201301;21.3;1
201302;21.6;1
201303;22.1;1
201304;21.4;1
201305;18;1
201306;18;1
201307;17.3;1
201308;15.6;1
201309;16.2;1
201310;18.5;1
201311;19.1;1
201312;20.3;1
201401;22.5;1
201402;21.6;1
201403;22;1
201404;20.3;1
201405;18.7;1
201406;17.7;1
201407;15.7;1
201408;17.4;1
201409;17;1
201410;17.1;1
201411;19.1;1
201412;22.1;1
201501;22.5;1
201502;24.3;1
201503;22.5;1
201504;21.3;1
201505;19.2;1
201506;17.5;1
201507;17;1
201508;15.7;1
201509;15.7;1
201510;18;1
201511;19.5;1
201512;21.1;1
201601;21.9;0
201602;24.4;0
201603;23.2;0
201604;22.1;0
201605;19.9;0
201606;19;0
201607;17.8;0
201608;16.6;0
201609;17.6;0
201610;18.2;0
201611;20.6;0
201612;21.3;0
201701;22.5;0
201702;23.4;0
201703;22.5;0
201704;21;0
201705;20.2;0
201706;18.6;0
201707;15;0
201708;16.5;0
201709;16;0
201710;18.6;0
201711;20.3;0
201712;21.1;0
201801;22.7;0
201802;23.1;0
201803;22.8;0
201804;21.9;0
201805;19.4;0
201806;17.1;0
201807;17.3;0
201808;15.4;0
201809;16.3;0
201810;19.4;0
201811;19.3;0
201812;21.6;0
201901;22;0
201902;23.7;0
201903;23;0
201904;21.3;0
201905;19.8;0
201906;17.8;0
201907;15.3;0
201908;16.3;0
201909;17;0
201910;17.8;0
201911;18.9;0
201912;20.8;0
202001;21.7;0
202002;23.8;0
202003;22.9;0
202004;21.2;0
202005;19.4;0
202006;17.9;0
202007;17.7;0
202008;17;0
202009;17.6;0
202010;19.8;0
202011;19.9;0
202012;22.3;0
202101;23.4;0
202102;23.2;0
202103;21.9;0
202104;21.4;0
202105;19.8;0
202106;18.3;0
202107;17.4;0
202108;16.7;0
202109;17;0
202110;19;0
202111;20;0
202112;22.6;0
202201;23.3;0
202202;24.4;0
202203;23.1;0
202204;21.7;0
202205;21;0
202206;19.2;0
202207;19.4;0
202208;18.6;0
202209;19;0
202210;19.2;0
202211;21;0
202212;22.6;0
