# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97304003
# NOM_USUEL= KOUROU CSG
# LATITUDE (°) = 5.209
# LONGITUDE(°)= -52.748
# ALTITUDE (m) = 17
# NUM_SERIE= MTN197304003
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196701 201512
# Date(s) de rupture(s) d'homogénéité : 196812 198712
#     Periode homogénéisée  196701 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196701;24.6;1
196702;23.6;1
196703;23.2;1
196704;23.3;1
196705;24.5;1
196706;21.5;1
196707;21.4;1
196708;21.2;1
196709;20.8;1
196710;20.9;1
196711;21.6;1
196712;22.2;1
196801;22.5;1
196802;21.8;1
196803;21.8;1
196804;22.3;1
196805;22.5;1
196806;21.7;1
196807;22.1;1
196808;21.9;1
196809;21.8;1
196810;22.3;1
196811;22.3;1
196812;22.7;1
196901;23;1
196902;23.8;1
196903;23.7;1
196904;23.8;1
196905;23.1;1
196906;22.5;1
196907;21.7;1
196908;21.2;1
196909;21.1;1
196910;21.2;1
196911;21.2;1
196912;21.5;1
197001;23.1;1
197002;23.3;1
197003;23.6;1
197004;23.9;1
197005;23;1
197006;22.4;1
197007;22;1
197008;22;1
197009;22.2;1
197010;22.4;1
197011;22.1;1
197012;22.8;1
197101;22.9;1
197102;22.9;1
197103;22.9;1
197104;23;1
197105;23;1
197106;22.4;1
197107;21.9;1
197108;21.1;1
197109;20.9;1
197110;21.4;1
197111;21.7;1
197112;21.5;1
197201;22.5;1
197202;22.7;1
197203;22.9;1
197204;23.2;1
197205;22.5;1
197206;21.9;1
197207;21.7;1
197208;21.3;1
197209;21.6;1
197210;21.4;1
197211;22.1;1
197212;22.9;1
197301;23.8;1
197302;23.4;1
197303;24;1
197304;23.8;1
197305;23.3;1
197306;21.8;1
197307;21.3;1
197308;21.6;1
197309;21.1;1
197310;22.7;1
197311;21.7;1
197312;22;1
197401;22.7;1
197402;23.4;1
197403;22.9;1
197404;23.1;1
197405;23.2;1
197406;22.5;1
197407;21.5;1
197408;21.8;1
197409;21.5;1
197410;22.1;1
197411;22.1;1
197412;22.7;1
197501;22.5;1
197502;22.8;1
197503;23.4;1
197504;23.1;1
197505;22.8;1
197506;21.7;1
197507;21.3;1
197508;21.7;1
197509;21.6;1
197510;21.7;1
197511;22;1
197512;21.9;1
197601;22.2;1
197602;22.7;1
197603;22.7;1
197604;22.9;1
197605;22.6;1
197606;22;1
197607;21.7;1
197608;21.5;1
197609;21.5;1
197610;21.5;1
197611;22.2;1
197612;23.1;1
197701;23.6;1
197702;23.3;1
197703;23.6;1
197704;24;1
197705;23.6;1
197706;22.7;1
197707;22.4;1
197708;22.3;1
197709;22.5;1
197710;22.2;1
197711;22.6;1
197712;23.5;1
197801;23;1
197802;23.5;1
197803;23.3;1
197804;23.9;1
197805;23.8;1
197806;22.5;1
197807;22.2;1
197808;22;1
197809;21.6;1
197810;22.5;1
197811;22.5;1
197812;23.2;1
197901;23.2;1
197902;24.1;1
197903;23.1;1
197904;23.8;1
197905;23;1
197906;22.5;1
197907;22.4;1
197908;22.7;1
197909;21.9;1
197910;22.5;1
197911;22.8;1
197912;23.9;1
198001;23.8;1
198002;23.7;1
198003;23.5;1
198004;24;1
198005;23.3;1
198006;23.1;1
198007;22.6;1
198008;22;1
198009;21.6;1
198010;22.2;1
198011;22.4;1
198012;22.5;1
198101;23.3;1
198102;22.7;1
198103;23.3;1
198104;23.6;1
198105;23.1;1
198106;22.6;1
198107;21.7;1
198108;22;1
198109;21.9;1
198110;22.3;1
198111;22.3;1
198112;23.3;1
198201;23.3;1
198202;23.5;1
198203;23.6;1
198204;23.7;1
198205;23;1
198206;22.9;1
198207;22.2;1
198208;22;1
198209;21.5;1
198210;21.9;1
198211;22.8;1
198212;22.9;1
198301;23.5;1
198302;23.6;1
198303;24.1;1
198304;23.8;1
198305;23.7;1
198306;22.8;1
198307;22.5;1
198308;22.5;1
198309;22.2;1
198310;22.1;1
198311;22.7;1
198312;22.6;1
198401;22.4;1
198402;23.6;1
198403;23.3;1
198404;23.8;1
198405;22.8;1
198406;22.5;1
198407;22.3;1
198408;22.3;1
198409;22;1
198410;22.6;1
198411;22.5;1
198412;23.1;1
198501;23.1;1
198502;22.9;1
198503;23.5;1
198504;23.4;1
198505;23.7;1
198506;22.7;1
198507;21.8;1
198508;21.9;1
198509;22;1
198510;22.6;1
198511;22.4;1
198512;23.4;1
198601;23.5;1
198602;23.2;1
198603;23.2;1
198604;24.4;1
198605;23.5;1
198606;22.9;1
198607;22.3;1
198608;22;1
198609;21.7;1
198610;22;1
198611;22.5;1
198612;23.6;1
198701;24.1;1
198702;23.9;1
198703;23.2;1
198704;24.2;1
198705;23.7;1
198706;23.3;1
198707;23.1;1
198708;22.6;1
198709;22.3;1
198710;22.7;1
198711;22.9;1
198712;24.1;1
198801;23.7;1
198802;24;1
198803;23.8;1
198804;25;1
198805;24.1;1
198806;23;1
198807;22.7;1
198808;22.9;1
198809;22.6;1
198810;22.7;1
198811;23;1
198812;23.3;1
198901;23.5;1
198902;23.4;1
198903;23.3;1
198904;24;1
198905;24.1;1
198906;23.2;1
198907;22.6;1
198908;22.6;1
198909;22.3;1
198910;22.9;1
198911;23.5;1
198912;23.7;1
199001;23.5;1
199002;23.8;1
199003;24.3;1
199004;23.7;1
199005;23.5;1
199006;23.2;1
199007;22.5;1
199008;22.6;1
199009;22.6;1
199010;22.9;1
199011;23.2;1
199012;23.3;1
199101;23.9;1
199102;23.8;1
199103;23.9;1
199104;24.2;1
199105;24.1;1
199106;23.9;1
199107;22.8;1
199108;22.7;1
199109;22.6;1
199110;21.7;1
199111;22.1;1
199112;23.4;1
199201;23.8;1
199202;23.6;1
199203;24.1;1
199204;24.3;1
199205;23.7;1
199206;22.9;1
199207;22.1;1
199208;22.6;1
199209;21.7;1
199210;22.2;1
199211;22.8;1
199212;23.7;1
199301;23.4;1
199302;23.6;1
199303;24.1;1
199304;24.4;1
199305;23.6;1
199306;23;1
199307;22.7;1
199308;22.5;1
199309;22.5;1
199310;22.9;1
199311;23.1;1
199312;23.8;1
199401;23.7;1
199402;23.7;1
199403;23.8;1
199404;23.8;1
199405;23.7;1
199406;22.9;1
199407;22.5;1
199408;22.5;1
199409;22.7;1
199410;22.6;1
199411;22.8;1
199412;23.5;1
199501;23.9;1
199502;23.8;1
199503;24;1
199504;24.8;1
199505;24;1
199506;23.3;1
199507;22.7;1
199508;22.9;1
199509;22.9;1
199510;22.7;1
199511;23;1
199512;23.2;1
199601;23.3;1
199602;23.4;1
199603;24.1;1
199604;24.5;1
199605;24.1;1
199606;23.3;1
199607;23.1;1
199608;22.7;1
199609;22.8;1
199610;22.9;1
199611;23.4;1
199612;23.7;1
199701;23.5;1
199702;23.4;1
199703;23.9;1
199704;24.4;1
199705;23.6;1
199706;23.2;1
199707;23;1
199708;22.6;1
199709;22.6;1
199710;23.2;1
199711;24;1
199712;24.5;1
199801;24.9;1
199802;25.6;1
199803;25.3;1
199804;25;1
199805;24.6;1
199806;23.9;1
199807;23.3;1
199808;23.5;1
199809;23.3;1
199810;23.7;1
199811;23.7;1
199812;23.5;1
199901;23.9;1
199902;24.3;1
199903;24.1;1
199904;24.3;1
199905;24.6;1
199906;23.2;1
199907;22.8;1
199908;23;1
199909;23.1;1
199910;23;1
199911;22.7;1
199912;23.7;1
200001;23.2;1
200002;23.6;1
200003;24;1
200004;24.1;1
200005;24;1
200006;23;1
200007;22.7;1
200008;22.8;1
200009;22.7;1
200010;23.1;1
200011;23.4;1
200012;24.2;1
200101;24;1
200102;24.1;1
200103;24.7;1
200104;24.6;1
200105;24.4;1
200106;23.2;1
200107;22.8;1
200108;22.9;1
200109;22.9;1
200110;23;1
200111;23.3;1
200112;24.3;1
200201;23.7;1
200202;24.7;1
200203;24.4;1
200204;24.2;1
200205;24.3;1
200206;23.1;1
200207;23.1;1
200208;23;1
200209;22.7;1
200210;22.7;1
200211;23.5;1
200212;24.5;1
200301;24.6;1
200302;24.3;1
200303;24.4;1
200304;24.9;1
200305;23.8;1
200306;23.3;1
200307;22.9;1
200308;22.8;1
200309;22.8;1
200310;22.7;1
200311;23.5;1
200312;24.3;1
200401;24;1
200402;24.9;1
200403;24.7;1
200404;24.2;1
200405;23.8;1
200406;23;1
200407;22.9;1
200408;22.8;1
200409;22.8;1
200410;23.1;1
200411;23.1;1
200412;23.1;1
200501;24.2;1
200502;24.8;1
200503;25.1;1
200504;24.3;1
200505;24;1
200506;23.3;1
200507;23.1;1
200508;23;1
200509;23;1
200510;23.3;1
200511;23.8;1
200512;23.6;1
200601;23.6;1
200602;24;1
200603;24.5;1
200604;24.4;1
200605;23.8;1
200606;23;1
200607;23;1
200608;23.2;1
200609;22.8;1
200610;23.1;1
200611;23.3;1
200612;24;1
200701;24.9;1
200702;24.3;1
200703;24.5;1
200704;24.6;1
200705;24;1
200706;23.3;1
200707;23;1
200708;23.3;1
200709;22.8;1
200710;23.3;1
200711;23.9;1
200712;23.4;1
200801;23.8;1
200802;23.6;1
200803;23.7;1
200804;24.5;1
200805;24;1
200806;23.3;1
200807;22.7;1
200808;23;1
200809;23;1
200810;22.6;1
200811;22.9;1
200812;23.4;1
200901;23.7;1
200902;24.2;1
200903;24.6;1
200904;24.3;1
200905;25.3;1
200906;23.9;1
200907;22.9;1
200908;23.1;1
200909;22.7;1
200910;22.9;1
200911;23.2;1
200912;24.3;1
201001;24.7;1
201002;25;1
201003;25.5;1
201004;24.9;1
201005;24.4;1
201006;23.6;1
201007;23.2;1
201008;23.2;1
201009;23.1;1
201010;23.2;1
201011;23.1;1
201012;23.4;1
201101;24;1
201102;23.8;1
201103;24.2;1
201104;24.2;1
201105;24.3;1
201106;23.8;1
201107;23.1;1
201108;22.9;1
201109;22.9;1
201110;23.4;1
201111;23.1;1
201112;23.3;1
201201;23.5;1
201202;23.3;1
201203;24.2;1
201204;24;1
201205;23.9;1
201206;23.5;1
201207;23.1;1
201208;23.1;1
201209;22.9;1
201210;22.9;1
201211;22.6;1
201212;23.3;1
201301;24.8;1
201302;24.1;1
201303;25.3;1
201304;24.7;1
201305;24.1;1
201306;23.4;1
201307;23;1
201308;23;1
201309;23.2;1
201310;23;1
201311;23.3;1
201312;23.6;1
201401;23.3;1
201402;24.3;1
201403;24.7;1
201404;25.1;1
201405;24.7;1
201406;24.1;1
201407;23;1
201408;22.6;1
201409;22.5;1
201410;22.8;1
201411;23.6;1
201412;23.5;1
201501;24.1;1
201502;24.1;1
201503;24.2;1
201504;24.7;1
201505;24;1
201506;23.5;1
201507;23;1
201508;23.1;1
201509;23.1;1
201510;22.6;1
201511;23.9;1
201512;24.7;1
201601;24.2;0
201602;24.7;0
201603;25.1;0
201604;24.8;0
201605;24.6;0
201606;23.2;0
201607;23;0
201608;23.2;0
201609;23;0
201610;22.9;0
201611;23.1;0
201612;23.8;0
201701;23.7;0
201702;23.9;0
201703;24.5;0
201704;25.1;0
201705;23.7;0
201706;23.3;0
201707;22.9;0
201708;23.1;0
201709;23.7;0
201710;23.4;0
201711;23.7;0
201712;23.4;0
201801;24;0
201802;23.4;0
201803;24.7;0
201804;24.3;0
201805;24.4;0
201806;23.3;0
201807;23;0
201808;22.9;0
201809;23;0
201810;22.8;0
201811;24.2;0
201812;24.5;0
201901;24.6;0
201902;24.7;0
201903;24.9;0
201904;24.9;0
201905;24.6;0
201906;23.8;0
201907;23;0
201908;23.1;0
201909;23.3;0
201910;23;0
201911;23.7;0
201912;24.5;0
202001;24.4;0
202002;24.5;0
202003;24.6;0
202004;24.8;0
202005;24.4;0
202006;23.7;0
202007;23.3;0
202008;23.4;0
202009;23.2;0
202010;23.4;0
202011;23.7;0
202012;23.8;0
202101;24.2;0
202102;24.9;0
202103;24.2;0
202104;24.3;0
202105;24.2;0
202106;23.5;0
202107;23.4;0
202108;23.4;0
202109;23.5;0
202110;23.8;0
202111;24.2;0
202112;24.2;0
202201;23.4;0
202202;23.9;0
202203;24.3;0
202204;24.2;0
202205;24.3;0
202206;23.3;0
202207;23.5;0
202208;23.2;0
202209;23.4;0
202210;23.4;0
202211;23.7;0
202212;23.8;0
