# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97307001
# NOM_USUEL= CAYENNE-MATOURY
# LATITUDE (°) = 4.822
# LONGITUDE(°)= -52.365
# ALTITUDE (m) = 4
# NUM_SERIE= MTN197307001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195501 201512
# Date(s) de rupture(s) d'homogénéité : 196012 198112 199112
#     Periode homogénéisée  195501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;22;1
195502;22.7;1
195503;23;1
195504;22.6;1
195505;22.7;1
195506;21.7;1
195507;21.5;1
195508;21.3;1
195509;21.7;1
195510;21.4;1
195511;21.4;1
195512;21.8;1
195601;22.1;1
195602;22;1
195603;22.4;1
195604;23;1
195605;22.6;1
195606;21.9;1
195607;21.1;1
195608;21.7;1
195609;21.7;1
195610;21.5;1
195611;22;1
195612;21.8;1
195701;22.6;1
195702;22.6;1
195703;22.4;1
195704;22.7;1
195705;23;1
195706;22.5;1
195707;21.7;1
195708;21.6;1
195709;21.5;1
195710;21.3;1
195711;21.4;1
195712;23;1
195801;22.7;1
195802;23;1
195803;23.3;1
195804;23.4;1
195805;22.9;1
195806;22.3;1
195807;21.6;1
195808;22;1
195809;21.4;1
195810;21.7;1
195811;20.3;1
195812;22.1;1
195901;22.8;1
195902;22.3;1
195903;23;1
195904;23.1;1
195905;22.7;1
195906;22.5;1
195907;21.6;1
195908;21.4;1
195909;21.4;1
195910;21.2;1
195911;22.3;1
195912;23;1
196001;22.7;1
196002;22.6;1
196003;21.6;1
196004;22.8;1
196005;22.8;1
196006;22.1;1
196007;21.7;1
196008;21.8;1
196009;21.6;1
196010;21.7;1
196011;22.1;1
196012;22.1;1
196101;22.5;1
196102;22.1;1
196103;22.3;1
196104;22.5;1
196105;23;1
196106;21.8;1
196107;21.2;1
196108;21.5;1
196109;21.2;1
196110;21.2;1
196111;21.6;1
196112;22.4;1
196201;22.4;1
196202;22.5;1
196203;22.5;1
196204;22.3;1
196205;22.9;1
196206;21.8;1
196207;21.6;1
196208;21.6;1
196209;21.2;1
196210;21.2;1
196211;21.2;1
196212;22.2;1
196301;21.9;1
196302;22.1;1
196303;22.4;1
196304;22.2;1
196305;22.5;1
196306;22;1
196307;21.6;1
196308;21.7;1
196309;21.6;1
196310;21.4;1
196311;22.1;1
196312;22.9;1
196401;22.2;1
196402;23;1
196403;22.8;1
196404;22.7;1
196405;22.3;1
196406;21.9;1
196407;21.6;1
196408;21.3;1
196409;21.6;1
196410;21.1;1
196411;20.9;1
196412;21.5;1
196501;21.8;1
196502;22.4;1
196503;22.8;1
196504;22;1
196505;22.7;1
196506;21.6;1
196507;21.5;1
196508;21.4;1
196509;21.3;1
196510;21.3;1
196511;21.6;1
196512;22.1;1
196601;23.2;1
196602;22.3;1
196603;22.7;1
196604;22.8;1
196605;22.5;1
196606;22;1
196607;21.7;1
