# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97308001
# NOM_USUEL= SAINT GEORGES
# LATITUDE (°) = 3.891
# LONGITUDE(°)= -51.805
# ALTITUDE (m) = 6
# NUM_SERIE= MTN197308001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195501 201512
# Date(s) de rupture(s) d'homogénéité : 195712
#     Periode homogénéisée  195501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;21.3;1
195502;21.7;1
195503;22.3;1
195504;21.3;1
195505;22.3;1
195506;20.8;1
195507;20.9;1
195508;20.4;1
195509;20.4;1
195510;20.7;1
195511;20.7;1
195512;21;1
195601;21;1
195602;20.9;1
195603;21.4;1
195604;21.7;1
195605;22;1
195606;21.3;1
195607;20.5;1
195608;20.9;1
195609;20.6;1
195610;20.6;1
195611;21.1;1
195612;21.1;1
195701;21.6;1
195702;21.5;1
195703;21.2;1
195704;21.5;1
195705;22.7;1
195706;22;1
195707;21.2;1
195708;21.1;1
195709;20.9;1
195710;20.9;1
195711;21.1;1
195712;22.5;1
195801;22;1
195802;21.7;1
195803;22.3;1
195804;22.8;1
195805;22.5;1
195806;21.8;1
195807;20.9;1
195808;21.1;1
195809;20.2;1
195810;20.4;1
195811;19.6;1
195812;21.3;1
195901;22.1;1
195902;21.7;1
195903;21.9;1
195904;22.7;1
195905;22;1
195906;21.8;1
195907;21.3;1
195908;20.9;1
195909;21;1
195910;20.9;1
195911;21.6;1
195912;22;1
196001;21.6;1
196002;21.7;1
196003;20.7;1
196004;22.3;1
196005;22.4;1
196006;22;1
196007;21.3;1
196008;21.2;1
196009;20.9;1
196010;21;1
196011;21.2;1
196012;21.8;1
196101;21.9;1
196102;21.1;1
196103;21.5;1
196104;21.4;1
196105;22.2;1
196106;21.5;1
196107;21;1
196108;21.1;1
196109;20.9;1
196110;21.1;1
196111;21.2;1
196112;21.6;1
196201;21.7;1
196202;21.5;1
196203;21.4;1
196204;21.6;1
196205;22.1;1
196206;21.6;1
196207;20.7;1
196208;20.4;1
196209;20.1;1
196210;20.6;1
196211;20.8;1
196212;21.5;1
196301;21.4;1
196302;21.6;1
196303;21.5;1
196304;21.6;1
196305;22;1
196306;21.3;1
196307;21;1
196308;20.9;1
196309;20.5;1
196310;20.4;1
196311;21.2;1
196312;21.6;1
196401;20.9;1
196402;21.3;1
196403;21.7;1
196404;21.1;1
196405;21.5;1
196406;21.4;1
196407;20.7;1
196408;20.7;1
196409;20.4;1
196410;20.1;1
196411;19.9;1
196412;20.9;1
196501;21.5;1
196502;21.2;1
196503;21.5;1
196504;20.6;1
196505;22;1
196506;21;1
196507;20.9;1
196508;20.3;1
196509;20.3;1
196510;20.5;1
196511;20.7;1
196512;21.1;1
196601;22.2;1
196602;21;1
196603;21.8;1
196604;21.4;1
196605;21.9;1
196606;21.4;1
196607;21.2;1
196608;20.9;1
196609;20.8;1
196610;20.3;1
196611;21.1;1
196612;21.1;1
196701;21.7;1
196702;21.7;1
196703;20.5;1
196704;20.9;1
196705;22.1;1
196706;21.5;1
196707;20.5;1
196708;19.9;1
196709;19.8;1
196710;19.9;1
196711;20.6;1
196712;21.2;1
196801;21.8;1
196802;21.2;1
196803;21.1;1
196804;22;1
196805;21.2;1
196806;21.5;1
196807;21;1
196808;20.6;1
196809;20.2;1
196810;20.3;1
196811;21.2;1
196812;21.4;1
196901;21.8;1
196902;22;1
196903;21.6;1
196904;22.7;1
196905;22.5;1
196906;21.6;1
196907;20.3;1
196908;20.4;1
196909;20.2;1
196910;20.2;1
196911;20.2;1
196912;20.8;1
197001;21.8;1
197002;22;1
197003;22.2;1
197004;21.7;1
197005;21.8;1
197006;21;1
197007;20.7;1
197008;20.5;1
197009;20.5;1
197010;20.4;1
197011;21.1;1
197012;21;1
197101;21.6;1
197102;21.6;1
197103;21.6;1
197104;21.5;1
197105;21.6;1
197106;21.2;1
197107;20.6;1
197108;20.2;1
197109;19.8;1
197110;20.3;1
197111;20.4;1
197112;20;1
197201;21.5;1
197202;21.7;1
197203;21.5;1
197204;21.7;1
197205;22.1;1
197206;21.2;1
197207;21;1
197208;20.4;1
197209;20.7;1
197210;20.3;1
197211;21.2;1
197212;21.8;1
197301;21.7;1
197302;21.9;1
197303;21.9;1
197304;21.4;1
197305;22.2;1
197306;22;1
197307;20.9;1
197308;20.7;1
197309;20.9;1
197310;21.3;1
197311;21.2;1
197312;21.2;1
197401;21.4;1
197402;21.4;1
197403;21.3;1
197404;20.7;1
197405;20.5;1
197406;21.4;1
197407;20.7;1
197408;20.2;1
197409;20.3;1
197410;20.6;1
197411;20.6;1
197412;21.1;1
197501;21.3;1
197502;21.2;1
197503;21.1;1
197504;21.8;1
197505;21.6;1
197506;21.1;1
197507;20.7;1
197508;20.9;1
197509;20.2;1
197510;20.2;1
197511;20.3;1
197512;20.8;1
197601;21.3;1
197602;21.2;1
197603;22;1
197604;21.6;1
197605;21.7;1
197606;20.9;1
197607;20.7;1
197608;20.2;1
197609;19.9;1
197610;19.9;1
197611;20.5;1
197612;21.5;1
197701;21.1;1
197702;21.4;1
197703;22.1;1
197704;22.3;1
197705;22.2;1
197706;21.3;1
197707;21.2;1
197708;21.1;1
197709;21.1;1
197710;21.1;1
197711;21.2;1
197712;21.9;1
197801;21.6;1
197802;21.9;1
197803;21.9;1
197804;22;1
197805;22.5;1
197806;21.3;1
197807;20.8;1
197808;21;1
197809;20.5;1
197810;21;1
197811;20.8;1
197812;22.1;1
197901;21.8;1
197902;22;1
197903;21.9;1
197904;22.5;1
197905;22.1;1
197906;21.9;1
197907;21.4;1
197908;21.4;1
197909;20.8;1
197910;21.1;1
197911;21.4;1
197912;21.9;1
198001;22.2;1
198002;20.4;1
198003;22.4;1
198004;22.3;1
198005;22.5;1
198006;22.1;1
198007;21.4;1
198008;21.1;1
198009;21.2;1
198010;21.2;1
198011;21.5;1
198012;21.5;1
198101;21.9;1
198102;22.3;1
198103;21.2;1
198104;22.5;1
198105;22.7;1
198106;22.1;1
198107;21.3;1
198108;21.3;1
198109;21;1
198110;20.9;1
198111;21.2;1
198112;22.2;1
198201;21.9;1
198202;22.3;1
198203;22.4;1
198204;22.4;1
198205;22.3;1
198206;21.6;1
198207;20.6;1
198208;20.6;1
198209;20.4;1
198210;20.5;1
198211;20.8;1
198212;21.8;1
198301;22.1;1
198302;21.9;1
198303;22.9;1
198304;23.1;1
198305;22.7;1
198306;21.8;1
198307;21.5;1
198308;21.3;1
198309;21.1;1
198310;20.5;1
198311;20.9;1
198312;21.3;1
198401;21.5;1
198402;21.7;1
198403;21.6;1
198404;21.9;1
198405;22.4;1
198406;22.1;1
198407;20.8;1
198408;21;1
198409;20.8;1
198410;21.2;1
198411;21.3;1
198412;21.7;1
198501;21;1
198502;20.8;1
198503;21.8;1
198504;21.3;1
198505;22.3;1
198506;21.9;1
198507;21;1
198508;21.2;1
198509;20.7;1
198510;21;1
198511;21.1;1
198512;21.8;1
198601;22;1
198602;21.7;1
198603;21.1;1
198604;21.8;1
198605;22.5;1
198606;21.9;1
198607;20.9;1
198608;20.5;1
198609;20.4;1
198610;20.8;1
198611;21.2;1
198612;21.9;1
198701;22.4;1
198702;22;1
198703;21.1;1
198704;22.5;1
198705;22.5;1
198706;22;1
198707;21.7;1
198708;21.2;1
198709;21.1;1
198710;21.1;1
198711;21.2;1
198712;22.4;1
198801;22.3;1
198802;22.5;1
198803;21.7;1
198804;22.3;1
198805;22.8;1
198806;22.1;1
198807;21.8;1
198808;21.7;1
198809;21.6;1
198810;20.9;1
198811;21.3;1
198812;21.7;1
198901;22.1;1
198902;21.6;1
198903;21.6;1
198904;22;1
198905;22.7;1
198906;22.3;1
198907;21.4;1
198908;21.2;1
198909;21.1;1
198910;21.9;1
198911;22.3;1
198912;21.8;1
199001;22.4;1
199002;22.6;1
199003;22.9;1
199004;23.1;1
199005;22.8;1
199006;22.2;1
199007;21.2;1
199008;21.4;1
199009;21;1
199010;21.6;1
199011;21.8;1
199012;21.9;1
199101;22.4;1
199102;22.8;1
199103;22;1
199104;22.6;1
199105;22.9;1
199106;22.9;1
199107;22.1;1
199108;21.7;1
199109;21.6;1
199110;20.5;1
199111;20.7;1
199112;21.6;1
199201;22.3;1
199202;22.7;1
199203;23;1
199204;23.4;1
199205;22.7;1
199206;22.2;1
199207;21.4;1
199208;21.4;1
199209;20.7;1
199210;20.9;1
199211;21.6;1
199212;22.3;1
199301;22.3;1
199302;22.2;1
199303;22.5;1
199304;23;1
199305;23;1
199306;22.3;1
199307;21.7;1
199308;21.3;1
199309;21.1;1
199310;21.5;1
199311;22.3;1
199312;22.5;1
199401;22.2;1
199402;22.4;1
