# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97353001
# NOM_USUEL= MARIPASOULA
# LATITUDE (°) = 3.64
# LONGITUDE(°)= -54.028
# ALTITUDE (m) = 106
# NUM_SERIE= MTN197353001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195501 201512
# Date(s) de rupture(s) d'homogénéité : 198312 199812
#     Periode homogénéisée  195501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;20.8;1
195502;20;1
195503;21.3;1
195504;21.2;1
195505;22.1;1
195506;21.6;1
195507;21.6;1
195508;20.9;1
195509;21;1
195510;21.1;1
195511;21;1
195512;21.6;1
195601;21;1
195602;21.6;1
195603;21.8;1
195604;22;1
195605;22.3;1
195606;21.7;1
195607;20.9;1
195608;21.2;1
195609;21.2;1
195610;21.2;1
195611;21.7;1
195612;21.9;1
195701;21.3;1
195702;21.4;1
195703;21.3;1
195704;21.9;1
195705;22.5;1
195706;22.1;1
195707;21.7;1
195708;21.1;1
195709;21;1
195710;21.2;1
195711;21.4;1
195712;22.5;1
195801;22.5;1
195802;22.2;1
195803;22;1
195804;22.7;1
195805;22.5;1
195806;22;1
195807;21.6;1
195808;21.9;1
195809;21.1;1
195810;21.5;1
195811;21;1
195812;22;1
195901;22.5;1
195902;21.7;1
195903;21.9;1
195904;22.5;1
195905;22.4;1
195906;22.3;1
195907;21.8;1
195908;21.5;1
195909;21.2;1
195910;21.4;1
195911;22.1;1
195912;22.3;1
196001;21.6;1
196002;21.7;1
196003;20.4;1
196004;22.1;1
196005;22.2;1
196006;21.6;1
196007;21.3;1
196008;21.4;1
196009;20.9;1
196010;21.1;1
196011;21.4;1
196012;22;1
196101;21.9;1
196102;21;1
196103;21.4;1
196104;21.2;1
196105;21.9;1
196106;21.7;1
196107;21.4;1
196108;21.4;1
196109;21;1
196110;21.3;1
196111;21.8;1
196112;21.9;1
196201;21.4;1
196202;21.3;1
196203;21.7;1
196204;21.5;1
196205;22.2;1
196206;21.9;1
196207;21.5;1
196208;21.4;1
196209;20.5;1
196210;21.2;1
196211;21.7;1
196212;22.1;1
196301;21.5;1
196302;21.5;1
196303;21.2;1
196304;21.9;1
196305;22;1
196306;21.7;1
196307;21.6;1
196308;21.5;1
196309;21.3;1
196310;21.1;1
196311;21.7;1
196312;21.6;1
196401;20.9;1
196402;21.1;1
196403;21.2;1
196404;21.5;1
196405;21.5;1
196406;21.7;1
196407;21.1;1
196408;21.3;1
196409;20.7;1
196410;20.5;1
196411;20.5;1
196412;21.6;1
196501;21.6;1
196502;21.1;1
196503;20.9;1
196504;21.1;1
196505;22;1
