# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97413520
# NOM_USUEL= COLIMACONS
# LATITUDE (°) = -21.13
# LONGITUDE(°)= 55.305
# ALTITUDE (m) = 798
# NUM_SERIE= MTN197413520
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 196801 201312
# Date(s) de rupture(s) d'homogénéité : 198112 198512 198812 199512
#     Periode homogénéisée  196801 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196801;16.9;1
196802;18.4;1
196803;17.9;1
196804;16;1
196805;13.3;1
196806;13.4;1
196807;11.7;1
196808;11.7;1
196809;12.3;1
196810;12.8;1
196811;15.2;1
196812;16.6;1
196901;17.6;1
196902;18.4;1
196903;18.5;1
196904;18.3;1
196905;16.4;1
196906;13;1
196907;12.6;1
196908;11.7;1
196909;12.1;1
196910;14;1
196911;16.1;1
196912;18.6;1
197001;19.5;1
197002;19.7;1
197003;19.6;1
197004;16.4;1
197005;14.6;1
197006;13;1
197007;12.5;1
197008;12.1;1
197009;12.5;1
197010;13.1;1
197011;15.6;1
197012;16.6;1
197101;18.7;1
197102;18.2;1
197103;16.9;1
197104;17.1;1
197105;14.7;1
197106;12.5;1
197107;12.3;1
197108;11.5;1
197109;12.1;1
197110;13.6;1
197111;15.4;1
197112;16.8;1
197201;18.2;1
197202;18.2;1
197203;18;1
197204;16.9;1
197205;15.6;1
197206;13.8;1
197207;13.3;1
197208;13.4;1
197209;12.7;1
197210;14.2;1
197211;16.1;1
197212;17.8;1
197301;19.1;1
197302;18.8;1
197303;18.8;1
197304;16.9;1
197305;15.3;1
197306;13.5;1
197307;12.8;1
197308;12.1;1
197309;12.7;1
197310;13.6;1
197311;15;1
197312;16.5;1
197401;17.3;1
197402;17.7;1
197403;17;1
197404;16.4;1
197405;14.5;1
197406;12.8;1
197407;12.1;1
197408;12.4;1
197409;11.8;1
197410;13.5;1
197411;15.1;1
197412;17.5;1
197501;18;1
197502;18.2;1
197503;17.3;1
197504;17.4;1
197505;15.6;1
197506;13.3;1
197507;13.1;1
197508;11.7;1
197509;12;1
197510;12.9;1
197511;16.1;1
197512;16.9;1
197601;17.6;1
197602;18.3;1
197603;17.7;1
197604;16.9;1
197605;16.1;1
197606;15.1;1
197607;12.7;1
197608;13.1;1
197609;12.8;1
197610;14.3;1
197611;15.4;1
197612;17.5;1
197701;18.8;1
197702;18.6;1
197703;18.4;1
197704;17.5;1
197705;16.2;1
197706;13.6;1
197707;13;1
197708;12.9;1
197709;13;1
197710;14.5;1
197711;15.7;1
197712;17.8;1
197801;18.4;1
197802;18.3;1
197803;17.4;1
197804;17.3;1
197805;15.4;1
197806;13.7;1
197807;12.9;1
197808;12.7;1
197809;13.3;1
197810;14.3;1
197811;15.8;1
197812;17.5;1
197901;18.2;1
197902;18.7;1
197903;17.3;1
197904;16.5;1
197905;15.1;1
197906;13.7;1
197907;12.8;1
197908;13.1;1
197909;13.2;1
197910;13.5;1
197911;15.9;1
197912;18.1;1
198001;18.5;1
198002;17.6;1
198003;19.3;1
198004;17.6;1
198005;15.5;1
198006;13.6;1
198007;12.8;1
198008;11.8;1
198009;13.1;1
198010;14.4;1
198011;15.6;1
198012;17.3;1
198101;18;1
198102;18.7;1
198103;18.5;1
198104;18.4;1
198105;14.9;1
