# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97418110
# NOM_USUEL= GILLOT-AEROPORT
# LATITUDE (°) = -20.892
# LONGITUDE(°)= 55.529
# ALTITUDE (m) = 8
# NUM_SERIE= MTN197418110
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 196801 201312
# Date(s) de rupture(s) d'homogénéité : 197012 198008 199112 199408
#     Periode homogénéisée  196801 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196801;22.3;1
196802;23.1;1
196803;23;1
196804;21.1;1
196805;18.7;1
196806;18.3;1
196807;17.6;1
196808;17.5;1
196809;18;1
196810;18.8;1
196811;20.4;1
196812;21.4;1
196901;23.1;1
196902;23.1;1
196903;23.5;1
196904;23.2;1
196905;21.2;1
196906;18.5;1
196907;18;1
196908;17.2;1
196909;17.6;1
196910;19.7;1
196911;21.7;1
196912;23.1;1
197001;24;1
197002;23.8;1
197003;24.1;1
197004;21.6;1
197005;19.8;1
197006;18.5;1
197007;18;1
197008;17.2;1
197009;17.6;1
197010;18.5;1
197011;20.9;1
197012;21.5;1
197101;23.3;1
197102;22.8;1
197103;22.1;1
197104;22;1
197105;20.1;1
197106;18;1
197107;17.7;1
197108;17.2;1
197109;18;1
197110;19.3;1
197111;20.4;1
197112;22.1;1
197201;22.8;1
197202;22.6;1
197203;22.7;1
197204;21.8;1
197205;20.9;1
197206;18.8;1
197207;19;1
197208;18.6;1
197209;18.4;1
197210;19.7;1
197211;21.1;1
197212;22.7;1
197301;23.8;1
197302;23.5;1
197303;23.9;1
197304;22;1
197305;20.8;1
197306;19.2;1
197307;18.5;1
197308;18;1
197309;18.1;1
197310;19.4;1
197311;21;1
197312;21.9;1
197401;22.5;1
197402;22.6;1
197403;22.1;1
197404;21.6;1
197405;19.6;1
197406;18.2;1
197407;17.6;1
197408;18.1;1
197409;17.3;1
197410;19.3;1
197411;20.6;1
197412;22.1;1
197501;23;1
197502;23.1;1
197503;22.6;1
197504;22.8;1
197505;20.7;1
197506;18.8;1
197507;18.4;1
197508;17.4;1
197509;17.8;1
197510;18.7;1
197511;21.3;1
197512;22.1;1
197601;22.7;1
197602;22.9;1
197603;22.9;1
197604;21.6;1
197605;20.9;1
197606;19.7;1
197607;18.6;1
197608;18.6;1
197609;18;1
197610;20;1
197611;21.4;1
197612;22.9;1
197701;24.2;1
197702;23.4;1
197703;23.6;1
197704;22.3;1
197705;21.2;1
197706;19.1;1
197707;18.5;1
197708;18.3;1
197709;19;1
197710;19.7;1
197711;21.4;1
197712;22.9;1
197801;22.9;1
197802;23.3;1
