# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97422440
# NOM_USUEL= PLAINE DES CAFRES
# LATITUDE (°) = -21.209
# LONGITUDE(°)= 55.573
# ALTITUDE (m) = 1560
# NUM_SERIE= MTN197422440
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 196801 201312
# Date(s) de rupture(s) d'homogénéité : 197412 198210 198702 200112 200912
#     Periode homogénéisée  196801 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196801;10.1;1
196802;12.8;1
196803;11.5;1
196804;9.6;1
196805;5.7;1
196806;6;1
196807;4.8;1
196808;4.6;1
196809;5.3;1
196810;5.4;1
196811;8.5;1
196812;10;1
196901;11.7;1
196902;12.8;1
196903;12.1;1
196904;12.7;1
196905;9.8;1
196906;5.9;1
196907;5.8;1
196908;4.1;1
196909;4.9;1
196910;7.5;1
196911;8.5;1
196912;11.7;1
197001;13.3;1
197002;13.2;1
197003;14.2;1
197004;9.8;1
197005;6.9;1
197006;5.5;1
197007;4.9;1
197008;4.9;1
197009;3.9;1
197010;4.7;1
197011;8.1;1
197012;9.3;1
197101;12;1
197102;12.3;1
197103;10.1;1
197104;10.6;1
197105;8.3;1
197106;5.5;1
197107;5.4;1
197108;3.9;1
197109;3.9;1
197110;6.6;1
197111;8.6;1
197112;9.9;1
197201;11.6;1
197202;12.2;1
197203;12.5;1
197204;10.9;1
197205;9.2;1
197206;6;1
197207;6.6;1
197208;7;1
197209;5.4;1
197210;6.9;1
197211;9.9;1
197212;10.7;1
197301;13.6;1
197302;13.2;1
197303;13;1
197304;11;1
197305;8.4;1
197306;7.3;1
197307;5.8;1
197308;5.5;1
197309;5.1;1
197310;6.2;1
197311;7.6;1
197312;9.7;1
197401;11.3;1
197402;12.4;1
197403;11.2;1
197404;10.5;1
197405;7.3;1
197406;5;1
197407;5.2;1
197408;5.4;1
197409;3.9;1
197410;6.1;1
197411;8.5;1
197412;10.4;1
197501;12.2;1
197502;12.2;1
197503;11.4;1
197504;11.8;1
197505;8.4;1
197506;6;1
197507;5.8;1
197508;4.3;1
197509;4.8;1
197510;4.9;1
197511;9;1
197512;10.2;1
197601;11.5;1
197602;12.7;1
197603;11.9;1
197604;10;1
197605;9.6;1
197606;7.5;1
197607;5.2;1
197608;6;1
197609;4.5;1
197610;7;1
197611;7.5;1
197612;12.1;1
197701;13.5;1
197702;12.7;1
197703;13.2;1
197704;11.4;1
197705;8.9;1
197706;6.3;1
197707;6;1
197708;6.3;1
197709;5.8;1
197710;7.7;1
197711;8.3;1
197712;11.1;1
197801;11.6;1
197802;12;1
197803;11.1;1
197804;11.6;1
197805;7.7;1
197806;6.5;1
197807;5.4;1
197808;4.6;1
197809;6.1;1
197810;7.5;1
197811;8.6;1
197812;10.6;1
197901;12.1;1
197902;12.5;1
197903;11.2;1
197904;9.4;1
197905;7.6;1
197906;6.2;1
197907;5.2;1
197908;5.4;1
197909;6;1
197910;6.1;1
197911;9.1;1
197912;10.9;1
198001;13.2;1
198002;10.8;1
198003;14;1
198004;10.8;1
198005;8.6;1
198006;5.6;1
198007;5.2;1
198008;3.4;1
198009;5.5;1
198010;7.5;1
198011;8.8;1
198012;10.5;1
198101;11.6;1
198102;13;1
198103;12.4;1
198104;12.7;1
198105;7.4;1
198106;6.9;1
198107;4.5;1
198108;5.4;1
198109;5.9;1
198110;8;1
198111;7.9;1
198112;11.1;1
198201;12.8;1
198202;13.9;1
198203;12.2;1
198204;9.9;1
198205;8;1
198206;6.9;1
198207;5.9;1
198208;5.3;1
198209;5.9;1
198210;7.2;1
198211;8.5;1
198212;9.4;1
198301;10.9;1
198302;12.1;1
198303;11.7;1
198304;10.5;1
198305;8.6;1
198306;7.2;1
198307;5.6;1
198308;5.1;1
198309;4.6;1
198310;7.6;1
198311;8.7;1
198312;12.6;1
198401;12.7;1
198402;13.3;1
198403;12;1
198404;11;1
198405;7.5;1
198406;6.1;1
198407;4.3;1
198408;4.6;1
198409;4.5;1
198410;7.2;1
198411;9.4;1
198412;9.5;1
198501;12;1
198502;14.8;1
198503;12.4;1
198504;11.5;1
198505;6.9;1
198506;6.2;1
198507;6.2;1
198508;6.4;1
198509;6.7;1
198510;6.6;1
198511;7;1
198512;11.5;1
198601;11.1;1
198602;12.9;1
198603;12.2;1
198604;10.8;1
198605;8.4;1
198606;4.6;1
198607;3.2;1
198608;5.4;1
198609;4.1;1
198610;6.9;1
198611;7.7;1
198612;12.4;1
198701;11.7;1
198702;14.4;1
198703;12.5;1
198704;12.7;1
198705;9.6;1
198706;6.9;1
198707;6.7;1
198708;5.6;1
198709;4.9;1
198710;7.8;1
198711;8.1;1
198712;9.4;1
198801;13.5;1
198802;12.9;1
198803;12.4;1
198804;11.2;1
198805;7.8;1
198806;5;1
198807;5.7;1
198808;3.9;1
198809;3.9;1
198810;7.8;1
198811;8.9;1
198812;11;1
198901;12.4;1
198902;12.6;1
198903;12.8;1
198904;10;1
198905;8.7;1
198906;7;1
198907;6.3;1
198908;6;1
198909;6.5;1
198910;7.2;1
198911;8.3;1
198912;11.7;1
199001;11.1;1
199002;12.7;1
199003;11.3;1
199004;11.7;1
199005;6.6;1
199006;6.7;1
199007;4.2;1
199008;5.7;1
199009;6.6;1
199010;7;1
199011;8.7;1
199012;10.7;1
199101;11.4;1
199102;12.3;1
199103;13.2;1
199104;11.7;1
199105;8.4;1
199106;7.1;1
199107;4.6;1
199108;4.9;1
199109;6.1;1
199110;8.2;1
199111;8.5;1
199112;10.4;1
199201;13.1;1
199202;13.3;1
199203;11.9;1
199204;9.5;1
199205;7.6;1
199206;6.1;1
199207;4.7;1
199208;4.1;1
199209;5.1;1
199210;7.3;1
199211;8.9;1
199212;9.8;1
199301;12.4;1
199302;13.7;1
199303;12.8;1
199304;11;1
199305;8.6;1
199306;6.2;1
199307;5;1
199308;5.1;1
199309;4.8;1
199310;5.9;1
199311;7.3;1
199312;10.4;1
199401;12.6;1
199402;13.7;1
199403;13.5;1
199404;10.6;1
199405;8.6;1
199406;5.8;1
199407;6.9;1
199408;6.6;1
199409;4.2;1
199410;7.9;1
199411;6.6;1
199412;10.2;1
199501;12.4;1
199502;13.5;1
199503;12.1;1
199504;11.4;1
199505;9;1
199506;5.6;1
199507;5.6;1
199508;5.9;1
199509;7.1;1
199510;6.4;1
199511;7.5;1
199512;11.9;1
199601;14.2;1
199602;13.2;1
199603;12.2;1
199604;11.1;1
199605;7.3;1
199606;5.9;1
199607;4.5;1
199608;4.5;1
199609;4.3;1
199610;5.7;1
199611;6.9;1
199612;10.2;1
199701;12;1
199702;12.5;1
199703;11.6;1
199704;10.5;1
199705;9.6;1
199706;7;1
199707;6.1;1
199708;4.7;1
199709;5.1;1
199710;7;1
199711;9;1
199712;9.6;1
199801;13.2;1
199802;14.5;1
199803;12.3;1
199804;11.3;1
199805;8.6;1
199806;6.5;1
199807;5.8;1
199808;4.9;1
199809;6.5;1
199810;7.1;1
199811;7.8;1
199812;10.5;1
199901;11.3;1
199902;12.2;1
199903;11.7;1
199904;10.2;1
199905;7.8;1
199906;6;1
199907;4.7;1
199908;4.7;1
199909;6.2;1
199910;5.9;1
199911;7.5;1
199912;9.9;1
200001;12.3;1
200002;12.5;1
200003;11.7;1
200004;10;1
200005;9;1
200006;6.2;1
200007;5.7;1
200008;5.3;1
200009;4.4;1
200010;7.4;1
200011;7.7;1
200012;10.6;1
200101;13.3;1
200102;12.4;1
200103;12.1;1
200104;11.1;1
200105;8.8;1
200106;5.3;1
200107;5.1;1
200108;6.1;1
200109;5.5;1
200110;7.1;1
200111;7.4;1
200112;11.4;1
200201;11.7;1
200202;12.4;1
200203;12.9;1
200204;9.9;1
200205;9.6;1
200206;6.6;1
200207;7;1
200208;5.3;1
200209;5.6;1
200210;5.9;1
200211;9.4;1
200212;11.8;1
200301;12.9;1
200302;12.9;1
200303;12.1;1
200304;12.7;1
200305;11.3;1
200306;5.1;1
200307;4.4;1
200308;4.3;1
200309;7.3;1
200310;6.9;1
200311;8.2;1
