# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98803003
# NOM_USUEL= NESSADIOU
# LATITUDE (°) = -21.621
# LONGITUDE(°)= 165.48
# ALTITUDE (m) = 2
# NUM_SERIE= MTN198803003
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196701 201512
# Date(s) de rupture(s) d'homogénéité : 197012 197412 200301
#     Periode homogénéisée  196701 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196701;21.5;1
196702;21.6;1
196703;22.3;1
196704;19.4;1
196705;16.6;1
196706;16.4;1
196707;14.3;1
196708;15.4;1
196709;15.1;1
196710;16.7;1
196711;18;1
196712;20;1
196801;20.5;1
196802;20.7;1
196803;20.3;1
196804;17.8;1
196805;16.3;1
196806;15.3;1
196807;12.4;1
196808;13.2;1
196809;12.6;1
196810;15.4;1
196811;17.6;1
196812;20.2;1
196901;19.5;1
196902;20.7;1
196903;21;1
196904;19.9;1
196905;18.6;1
196906;15.2;1
196907;13.2;1
196908;14.4;1
196909;14.6;1
196910;15.1;1
196911;19.3;1
196912;20.6;1
197001;21.3;1
197002;20.1;1
197003;21.4;1
197004;19.3;1
197005;16.1;1
197006;16.4;1
197007;14.4;1
197008;16.7;1
197009;16.5;1
197010;17.5;1
197011;19.1;1
197012;20;1
197101;20.8;1
197102;22.3;1
197103;21.1;1
197104;17.7;1
197105;16.3;1
197106;15.5;1
197107;15;1
197108;14.9;1
197109;15.6;1
197110;17.2;1
197111;17.9;1
197112;19.8;1
197201;21;1
197202;21.7;1
197203;22.4;1
197204;19.2;1
197205;16.4;1
197206;14.1;1
197207;12.6;1
197208;12.8;1
197209;14.3;1
197210;16.4;1
197211;19.7;1
197212;18.6;1
197301;22.4;1
197302;20.5;1
197303;20.2;1
197304;17;1
197305;18.2;1
197306;17.2;1
197307;15.7;1
197308;15.1;1
197309;16.2;1
197310;18.2;1
197311;20.5;1
197312;21;1
197401;21.7;1
197402;22.2;1
197403;21.4;1
197404;19.6;1
197405;17.4;1
197406;16.4;1
197407;13.5;1
197408;13.3;1
197409;14.5;1
197410;15.8;1
197411;18.4;1
197412;18.7;1
197501;21.3;1
197502;20.8;1
197503;22.3;1
197504;20.5;1
197505;18;1
197506;15.1;1
197507;14;1
197508;14.9;1
197509;15.7;1
197510;16.3;1
197511;19.3;1
197512;21;1
197601;22.7;1
197602;21;1
197603;22.4;1
197604;19.1;1
197605;16.8;1
197606;15.9;1
197607;13.8;1
197608;13.5;1
197609;13.8;1
197610;15.9;1
197611;18.5;1
197612;20.9;1
197701;21.5;1
197702;21.1;1
197703;20.9;1
197704;18.5;1
197705;16.3;1
197706;13.6;1
197707;15.7;1
197708;14.5;1
197709;14.2;1
197710;14.5;1
197711;19.2;1
197712;20.8;1
197801;20.6;1
197802;21.6;1
197803;21;1
197804;18.9;1
197805;16.4;1
197806;16.6;1
197807;14.8;1
197808;13.4;1
197809;13.7;1
197810;14.6;1
197811;17.7;1
197812;19.2;1
197901;20.2;1
197902;21.4;1
197903;21.6;1
197904;18.4;1
197905;16.3;1
197906;16.8;1
197907;15.2;1
197908;12.2;1
197909;13.4;1
197910;16.8;1
197911;18.4;1
197912;19.5;1
198001;22.5;1
198002;23.3;1
198003;20.7;1
198004;17.4;1
198005;17.8;1
198006;13.8;1
198007;13.8;1
198008;13.5;1
198009;13.7;1
198010;16.1;1
198011;17;1
198012;19.5;1
198101;20.1;1
198102;22.3;1
198103;21.8;1
198104;18.7;1
198105;17.1;1
198106;16.8;1
198107;13.1;1
198108;13.2;1
198109;13.9;1
198110;16.8;1
198111;18;1
198112;21.8;1
198201;21.2;1
198202;21.6;1
198203;21.1;1
198204;19.4;1
198205;17.7;1
198206;15.4;1
198207;12.9;1
198208;14.8;1
198209;13.8;1
198210;16;1
198211;19;1
198212;20.6;1
198301;22.7;1
198302;20.4;1
198303;20.6;1
198304;20.6;1
198305;17.2;1
198306;16.1;1
198307;14;1
198308;14.7;1
198309;15.9;1
198310;18.5;1
198311;19;1
198312;19.9;1
198401;21.3;1
198402;21.6;1
198403;20.7;1
198404;20.1;1
198405;17.6;1
198406;17;1
198407;14.9;1
198408;14.7;1
198409;14.5;1
198410;17.3;1
198411;20.2;1
198412;20.4;1
198501;21.2;1
198502;23;1
198503;20.7;1
198504;21.5;1
198505;17.3;1
198506;15.8;1
198507;14.8;1
198508;14;1
198509;15.3;1
198510;17.2;1
198511;18.7;1
198512;20;1
198601;22.2;1
198602;21.6;1
198603;20.8;1
198604;19.5;1
198605;17.5;1
198606;15.8;1
198607;14;1
198608;14.6;1
198609;13.9;1
198610;17.6;1
198611;18.3;1
198612;19.1;1
198701;19.6;1
198702;20;1
198703;19.9;1
198704;18.4;1
198705;18.6;1
198706;16.1;1
198707;14.9;1
198708;16;1
198709;14.9;1
198710;17.8;1
198711;18.6;1
198712;20.1;1
198801;22.3;1
198802;22.4;1
198803;20.8;1
198804;21.1;1
198805;19.3;1
198806;18.9;1
198807;15.2;1
198808;16.5;1
198809;17.3;1
198810;18.2;1
198811;20.6;1
198812;21.1;1
198901;22.9;1
198902;22.9;1
198903;21.8;1
198904;19.5;1
198905;17.6;1
198906;18.2;1
198907;14.5;1
198908;14.8;1
198909;16.1;1
198910;16.8;1
198911;18.3;1
198912;21;1
199001;22.1;1
199002;21.7;1
199003;22.1;1
199004;19.8;1
199005;18;1
199006;17.2;1
199007;15.1;1
199008;15.1;1
199009;13.7;1
199010;16.9;1
199011;18.4;1
199012;20.5;1
199101;21.2;1
199102;22.7;1
199103;20.6;1
199104;18.9;1
199105;16;1
199106;16.1;1
199107;14.2;1
199108;14.4;1
199109;15;1
199110;16.3;1
199111;17.8;1
199112;21;1
199201;21.4;1
199202;22.7;1
199203;22.3;1
199204;19.8;1
199205;17.8;1
199206;17.2;1
199207;14.6;1
199208;15;1
199209;15.4;1
199210;15.3;1
199211;18.3;1
199212;19.9;1
199301;20.6;1
199302;21.2;1
199303;22.2;1
199304;18.1;1
199305;16.7;1
199306;15.5;1
199307;15.6;1
199308;14.3;1
199309;14.4;1
199310;16.8;1
199311;18.9;1
199312;20.2;1
199401;23;1
199402;21.5;1
199403;21.7;1
199404;19.1;1
199405;16;1
199406;15.7;1
199407;12.4;1
199408;15;1
199409;13.2;1
199410;16;1
199411;19.5;1
199412;19.4;1
199501;21.5;1
199502;22;1
199503;23;1
199504;21.4;1
199505;17.5;1
199506;15.7;1
199507;15.3;1
199508;14.4;1
199509;16.1;1
199510;18.4;1
199511;19.8;1
199512;21.6;1
199601;22.2;1
199602;23.1;1
199603;22.5;1
199604;22;1
199605;18;1
199606;16.2;1
199607;15.1;1
199608;14.6;1
199609;16.2;1
199610;17.8;1
199611;19.2;1
199612;21.5;1
199701;21.8;1
199702;22;1
199703;21.7;1
199704;17.9;1
199705;18.7;1
199706;16.1;1
199707;13.9;1
199708;12.9;1
199709;14.3;1
199710;15.9;1
199711;19.5;1
199712;22.5;1
199801;22.3;1
199802;22.9;1
199803;22.1;1
199804;21.7;1
199805;19.4;1
199806;17.8;1
199807;17.3;1
199808;17.6;1
199809;17.2;1
199810;19.9;1
199811;19.1;1
199812;21.4;1
199901;22.9;1
199902;23.5;1
199903;22.8;1
199904;20.8;1
199905;19.9;1
199906;15.2;1
199907;17.4;1
199908;14.8;1
199909;16.8;1
199910;18;1
199911;18.3;1
199912;20;1
200001;21.6;1
200002;22.1;1
200003;21.7;1
200004;19.8;1
200005;20.1;1
200006;15.9;1
200007;14.1;1
200008;14.8;1
200009;14.8;1
200010;18.1;1
200011;19;1
200012;20;1
200101;21.7;1
200102;22.8;1
200103;22.6;1
200104;20.1;1
200105;17.7;1
200106;15;1
200107;15;1
200108;15.8;1
200109;15.7;1
200110;18;1
200111;20.2;1
200112;21.4;1
200201;22.8;1
200202;22.6;1
200203;21.8;1
200204;20.4;1
200205;18;1
200206;17.7;1
200207;14.2;1
200208;15.8;1
200209;15.3;1
200210;17.7;1
200211;17.5;1
200212;20.8;1
200301;20.9;1
200302;21.8;1
200303;21.8;1
200304;19.9;1
200305;19.6;1
200306;16.9;1
200307;14.6;1
200308;13.7;1
200309;15.4;1
200310;17.4;1
200311;18.7;1
200312;21.5;1
200401;21.6;1
200402;23.4;1
200403;22.2;1
200404;19.1;1
200405;18;1
200406;16.2;1
200407;14.6;1
200408;13.5;1
200409;15.2;1
200410;17.5;1
200411;18.3;1
200412;20.5;1
200501;23.9;1
200502;22.8;1
200503;20.8;1
200504;19.9;1
200505;18.5;1
200506;15.9;1
200507;15.7;1
200508;14.5;1
200509;16.1;1
200510;17.3;1
200511;19.4;1
200512;20.5;1
200601;22;1
200602;22.4;1
200603;23.1;1
200604;21.1;1
200605;17.8;1
200606;15.2;1
200607;13.5;1
200608;14.2;1
200609;15.6;1
200610;16.9;1
200611;20.4;1
200612;19.5;1
200701;21;1
200702;22;1
200703;21.7;1
200704;19.7;1
200705;17.3;1
200706;19.9;1
200707;14.2;1
200708;15.8;1
200709;17.1;1
200710;17.8;1
200711;19.1;1
200712;20.8;1
200801;22.4;1
200802;23.8;1
200803;22.6;1
200804;21.4;1
200805;16.2;1
200806;15.7;1
200807;15.8;1
200808;15.2;1
200809;16.9;1
200810;17.9;1
200811;19.5;1
200812;21.7;1
200901;22.2;1
200902;23;1
200903;22.9;1
200904;20.4;1
200905;16.6;1
200906;17;1
200907;15.1;1
200908;14.5;1
200909;16.2;1
200910;16.4;1
200911;18;1
200912;21;1
201001;21.4;1
201002;20.6;1
201003;20.2;1
201004;19.6;1
201005;18.1;1
201006;17.8;1
201007;15.4;1
201008;16.4;1
201009;18.2;1
201010;19.4;1
201011;19;1
201012;22.3;1
201101;23.3;1
201102;22.7;1
201103;21.5;1
201104;20.8;1
201105;18.1;1
201106;17.1;1
201107;15.1;1
201108;14.9;1
201109;14.8;1
201110;17.7;1
201111;18.6;1
201112;22.4;1
201201;21.8;1
201202;22.3;1
201203;22.4;1
201204;20;1
201205;17.2;1
201206;16.8;1
201207;15.6;1
201208;13.9;1
201209;15.2;1
201210;17.4;1
201211;18.5;1
201212;21.5;1
201301;20.6;1
201302;21.1;1
201303;21.6;1
201304;21.4;1
201305;17.2;1
201306;16.6;1
201307;16.5;1
201308;14.5;1
201309;15.6;1
201310;18.3;1
201311;19.4;1
201312;20.5;1
201401;21.9;1
201402;20.7;1
201403;20.6;1
201404;19.6;1
201405;17.5;1
201406;16.4;1
201407;13.1;1
201408;16.7;1
201409;16.1;1
201410;16.8;1
201411;18.2;1
201412;22;1
201501;22.5;1
201502;23.9;1
201503;21.3;1
201504;19.8;1
201505;18.3;1
201506;15.4;1
201507;16.4;1
201508;14.2;1
201509;15.1;1
201510;16.7;1
201511;19.8;1
201512;21.3;1
201601;20.7;0
201602;23.9;0
201603;23;0
201604;20.6;0
201605;19;0
201606;17.7;0
201607;15.1;0
201608;15;0
201609;15.1;0
201610;17.4;0
201611;21;0
201612;20;0
201701;22.3;0
201702;22.2;0
201703;22.4;0
201704;20.6;0
