# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98808001
# NOM_USUEL= HOUAILOU P
# LATITUDE (°) = -21.278
# LONGITUDE(°)= 165.628
# ALTITUDE (m) = 11
# NUM_SERIE= MTN198808001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 198604 198712 199708
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;21.3;1
196502;22;1
196503;20.7;1
196504;18.8;1
196505;15.9;1
196506;14.2;1
196507;13.4;1
196508;13.8;1
196509;14.7;1
196510;15.7;1
196511;18.5;1
196512;20.7;1
196601;20.7;1
196602;22.4;1
196603;21.1;1
196604;18;1
196605;15.1;1
196606;14.8;1
196607;13.2;1
196608;13.8;1
196609;14.7;1
196610;16.2;1
196611;17.8;1
196612;19.7;1
196701;21.5;1
196702;22.2;1
196703;22.8;1
196704;20.3;1
196705;18.6;1
196706;17.5;1
196707;14.9;1
196708;16.9;1
196709;16.2;1
196710;18.7;1
196711;18.7;1
196712;20.5;1
196801;21.2;1
196802;21.5;1
196803;21.7;1
196804;18.9;1
196805;16.8;1
196806;14.8;1
196807;13.3;1
196808;14.6;1
196809;12.7;1
196810;17;1
196811;19.3;1
196812;21.6;1
196901;20.2;1
196902;20.6;1
196903;21.6;1
196904;20.7;1
196905;19;1
196906;16.3;1
196907;15.6;1
196908;16.3;1
196909;16;1
196910;16.8;1
196911;19.4;1
196912;20.2;1
197001;21.5;1
197002;21.7;1
197003;22.2;1
197004;20;1
197005;16.9;1
197006;17.6;1
197007;15.4;1
197008;18.5;1
197009;18;1
197010;19.4;1
197011;19.7;1
197012;21.4;1
197101;21.6;1
197102;22.3;1
197103;21.8;1
197104;18.3;1
197105;17;1
197106;16.6;1
197107;14.1;1
197108;15.1;1
197109;16.6;1
197110;17.7;1
197111;17.7;1
197112;20.8;1
197201;21.6;1
197202;21.9;1
197203;22.4;1
197204;20.2;1
197205;17.1;1
197206;14.8;1
197207;13.6;1
197208;13.3;1
197209;16.2;1
197210;18.1;1
197211;20.3;1
197212;19.8;1
197301;22;1
197302;22;1
197303;21.8;1
197304;18.8;1
197305;18.9;1
197306;17.8;1
197307;16.7;1
197308;15.7;1
197309;16.7;1
197310;18.9;1
197311;20.7;1
197312;19.8;1
197401;21.2;1
197402;21.9;1
197403;21.8;1
197404;20.3;1
197405;18.2;1
197406;17.2;1
197407;14.7;1
197408;12.4;1
197409;15.4;1
197410;17.3;1
197411;19.7;1
197412;18.9;1
197501;21.5;1
197502;21.9;1
197503;22.7;1
197504;21.3;1
197505;19.4;1
197506;16.5;1
197507;15.1;1
197508;15.9;1
197509;16.5;1
197510;17.7;1
197511;19.6;1
197512;21.5;1
197601;23;1
197602;21.8;1
197603;22;1
197604;20.1;1
197605;18.2;1
197606;17.7;1
197607;15.7;1
197608;14.3;1
197609;14.3;1
197610;17.6;1
197611;18.4;1
197612;20.5;1
197701;22.2;1
197702;22.3;1
197703;21.9;1
197704;19;1
197705;16.7;1
197706;16.3;1
197707;15.9;1
197708;14.9;1
197709;14.4;1
197710;14.3;1
197711;18.2;1
197712;20.1;1
197801;22.3;1
197802;21.9;1
197803;21.8;1
197804;20.1;1
197805;16.8;1
197806;16.2;1
197807;16.3;1
197808;14.7;1
197809;15;1
197810;16.5;1
197811;18.9;1
197812;20.5;1
197901;21.6;1
197902;22.2;1
197903;22.7;1
197904;19.5;1
197905;17.2;1
197906;17.2;1
197907;15.2;1
197908;12.1;1
197909;14.9;1
197910;17.2;1
197911;18.7;1
197912;19.8;1
198001;22.6;1
198002;23.6;1
198003;21.5;1
198004;18.4;1
198005;19.1;1
198006;14.8;1
198007;14.2;1
198008;14.3;1
198009;14.2;1
198010;17;1
198011;17.9;1
198012;20.2;1
198101;20.8;1
198102;22.7;1
198103;22.5;1
198104;19;1
198105;17.7;1
198106;16.1;1
198107;15.2;1
198108;14.1;1
198109;15.1;1
198110;18.4;1
198111;18.8;1
198112;22.7;1
198201;22.5;1
198202;22.7;1
198203;22.3;1
198204;20.3;1
198205;18;1
198206;16.3;1
198207;13.6;1
198208;14.4;1
198209;14.7;1
198210;17.1;1
198211;20.4;1
198212;20.8;1
198301;22.7;1
198302;21.2;1
198303;21.2;1
198304;20.8;1
198305;18.5;1
198306;15.9;1
198307;14.8;1
198308;15.1;1
198309;16.2;1
198310;18.6;1
198311;19.3;1
198312;20.5;1
198401;21.3;1
198402;22.3;1
198403;21.2;1
198404;20.2;1
198405;18.8;1
198406;18.2;1
198407;16.5;1
198408;14.8;1
198409;13.8;1
198410;16.9;1
198411;21.2;1
198412;20.9;1
198501;22.3;1
198502;23.3;1
198503;21.8;1
198504;22.1;1
198505;17.8;1
198506;15.9;1
198507;15.4;1
198508;14.6;1
198509;15.8;1
198510;17.8;1
198511;19.9;1
198512;20.4;1
198601;22.6;1
198602;22;1
198603;21.3;1
198604;20.4;1
198605;18;1
198606;15.5;1
198607;14.4;1
198608;13.9;1
198609;14.9;1
198610;17.2;1
198611;19;1
198612;19.3;1
198701;20.7;1
198702;20.9;1
198703;20.5;1
198704;19.7;1
198705;20.4;1
198706;16.2;1
198707;16.1;1
198708;17.6;1
198709;16.3;1
198710;17.9;1
198711;19.4;1
198712;20.8;1
198801;22.4;1
198802;22.9;1
198803;21.6;1
198804;21.5;1
198805;19.6;1
198806;18.9;1
198807;16.3;1
198808;16.9;1
198809;18.8;1
198810;19.1;1
198811;22;1
198812;22;1
198901;23;1
198902;23.6;1
198903;22.5;1
198904;20.8;1
198905;19;1
198906;19.2;1
198907;15.9;1
198908;15.5;1
198909;16.1;1
198910;16.9;1
198911;19.4;1
198912;21.8;1
199001;23.1;1
199002;22.3;1
199003;23.4;1
199004;21.1;1
199005;18.5;1
199006;16.8;1
199007;15.3;1
199008;15;1
199009;14.9;1
199010;17.4;1
199011;19.7;1
199012;21.5;1
199101;22;1
199102;23.1;1
199103;22;1
199104;19.4;1
199105;17.7;1
199106;16.8;1
199107;15.6;1
199108;15.8;1
199109;15.4;1
199110;17.1;1
199111;18.2;1
199112;20.9;1
199201;21.3;1
199202;22;1
199203;22.3;1
199204;20.6;1
199205;18.4;1
199206;17.4;1
199207;15.6;1
199208;15.3;1
199209;16.2;1
199210;16.2;1
199211;19.1;1
199212;20.3;1
199301;20.9;1
199302;21.2;1
199303;22.3;1
199304;18.8;1
199305;17.7;1
199306;16.7;1
199307;17.5;1
199308;14.5;1
199309;15.5;1
199310;17.2;1
199311;19.1;1
199312;20.7;1
199401;24.1;1
199402;22;1
199403;22.6;1
199404;20.3;1
199405;17.4;1
199406;16.4;1
199407;13.9;1
199408;16.3;1
199409;14;1
199410;16.5;1
199411;20.2;1
199412;19.3;1
199501;22;1
199502;22.3;1
199503;23.4;1
199504;21.6;1
199505;19.1;1
199506;16.2;1
199507;15.7;1
199508;15.9;1
199509;17.3;1
199510;19.6;1
199511;20.2;1
199512;21.7;1
199601;22.9;1
199602;23.3;1
199603;23.2;1
199604;22.8;1
199605;19.3;1
199606;16.9;1
199607;15.9;1
199608;15.4;1
199609;17.9;1
199610;18.8;1
199611;19.6;1
199612;22.2;1
199701;23;1
199702;23.1;1
199703;22.5;1
199704;19.3;1
199705;20.1;1
199706;17.6;1
199707;15.3;1
199708;13.9;1
199709;15.6;1
199710;16.9;1
199711;20;1
199712;22.4;1
199801;23.1;1
199802;23.4;1
199803;22.6;1
199804;22;1
199805;21;1
199806;19;1
199807;18.8;1
199808;19.1;1
199809;18.4;1
199810;20.1;1
199811;19.9;1
199812;22.4;1
199901;23.6;1
199902;23.9;1
199903;23;1
199904;21.4;1
199905;21.3;1
199906;15.9;1
199907;18;1
199908;15.9;1
199909;18;1
199910;18.4;1
199911;19.3;1
199912;20.8;1
200001;22.2;1
200002;23;1
200003;22.6;1
200004;20.9;1
200005;20.5;1
200006;17;1
200007;14.3;1
200008;16.1;1
200009;16.2;1
200010;19.1;1
200011;20.1;1
200012;20.8;1
200101;22.3;1
200102;23.4;1
200103;22.9;1
200104;20.9;1
200105;18.6;1
200106;15.9;1
200107;15.8;1
200108;16.1;1
200109;16.2;1
200110;18.9;1
200111;20.5;1
200112;21.9;1
200201;23;1
200202;22.9;1
200203;22.2;1
200204;21.2;1
200205;18.6;1
200206;19;1
200207;14.8;1
200208;16.2;1
200209;15.9;1
200210;18.4;1
200211;18.4;1
200212;21.1;1
200301;21.7;1
200302;22.4;1
200303;22.5;1
200304;21.1;1
200305;20.4;1
200306;18;1
200307;16;1
200308;13.7;1
200309;15.9;1
200310;18.2;1
200311;19.9;1
200312;22.2;1
200401;22.2;1
200402;24;1
200403;22.9;1
200404;20;1
200405;18.8;1
200406;17.2;1
200407;15.1;1
200408;13.9;1
200409;16.5;1
200410;18.7;1
200411;18.9;1
200412;20.8;1
200501;23.9;1
200502;23;1
200503;21.1;1
200504;20.4;1
200505;19.1;1
200506;16.6;1
200507;16;1
200508;14.9;1
200509;16.2;1
200510;18;1
200511;19.5;1
200512;20.4;1
200601;22.2;1
200602;22.8;1
200603;23.2;1
200604;21.9;1
200605;18.5;1
200606;15.9;1
200607;14.9;1
200608;14.4;1
200609;15.9;1
200610;17.6;1
200611;20.4;1
200612;20.6;1
200701;21.6;1
200702;22.8;1
200703;22.7;1
200704;20.6;1
200705;18.4;1
200706;20;1
200707;14.5;1
200708;17.1;1
200709;17.9;1
200710;18.8;1
200711;19.5;1
200712;21.7;1
200801;23.2;1
200802;23.8;1
200803;23;1
200804;21.8;1
200805;16.6;1
200806;16.6;1
200807;16.9;1
200808;15.8;1
200809;17.7;1
200810;18.9;1
200811;19.8;1
200812;21.9;1
200901;23;1
200902;23.4;1
200903;23.1;1
200904;21.3;1
