# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98811001
# NOM_USUEL= KONE
# LATITUDE (°) = -21.051
# LONGITUDE(°)= 164.834
# ALTITUDE (m) = 9
# NUM_SERIE= MTN198811001
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 198212 199305 200108
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;21.9;1
196502;22.1;1
196503;20.6;1
196504;17.8;1
196505;15.8;1
196506;13.6;1
196507;13;1
196508;12.1;1
196509;13.8;1
196510;13.9;1
196511;17.4;1
196512;20.3;1
196601;19.5;1
196602;22.4;1
196603;20.7;1
196604;17.4;1
196605;15.5;1
196606;15;1
196607;13.8;1
196608;12.4;1
196609;13.6;1
196610;15.9;1
196611;18.6;1
196612;19;1
196701;21.5;1
196702;22.2;1
196703;22.3;1
196704;19.2;1
196705;17.8;1
196706;16.9;1
196707;14.5;1
196708;15.3;1
196709;14.6;1
196710;17.7;1
196711;17.8;1
196712;18.9;1
196801;21;1
196802;19.6;1
196803;20.7;1
196804;17.7;1
196805;16.2;1
196806;14.3;1
196807;11.5;1
196808;14;1
196809;13;1
196810;15.8;1
196811;18.1;1
196812;20.8;1
196901;20.2;1
196902;21.1;1
196903;21.7;1
196904;20.3;1
196905;18.6;1
196906;16.1;1
196907;12.6;1
196908;14.1;1
196909;15.9;1
196910;17.1;1
196911;19.4;1
196912;20.1;1
197001;21.3;1
197002;21.8;1
197003;20.9;1
197004;18.8;1
197005;17.8;1
197006;14.1;1
197007;12.6;1
197008;17.1;1
197009;17.1;1
197010;18.1;1
197011;18.6;1
197012;20.7;1
197101;22.2;1
197102;22.5;1
197103;20.9;1
197104;18.2;1
197105;16;1
197106;16;1
197107;15.2;1
197108;14.5;1
197109;17.7;1
197110;16.9;1
197111;16.6;1
197112;19.9;1
197201;21.7;1
197202;22.5;1
197203;22.7;1
197204;17.1;1
197205;15.9;1
197206;13.4;1
197207;12.5;1
197208;10.6;1
197209;13.5;1
197210;15.7;1
197211;19.8;1
197212;19.4;1
197301;22.5;1
197302;21;1
197303;22.6;1
197304;17.9;1
197305;17.4;1
197306;16.9;1
197307;16.9;1
197308;14.3;1
197309;15.1;1
197310;17.8;1
197311;19.7;1
197312;19.5;1
197401;21.1;1
197402;21;1
197403;21.2;1
197404;19.3;1
197405;18.2;1
197406;16.1;1
197407;14.7;1
197408;12.7;1
197409;16.3;1
197410;17.4;1
197411;19.1;1
197412;18.8;1
197501;22.2;1
197502;21.2;1
197503;22.3;1
197504;21.1;1
197505;19.1;1
197506;14.7;1
197507;14.4;1
197508;16.5;1
197509;17;1
