# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98812001
# NOM_USUEL= KOUMAC
# LATITUDE (°) = -20.559
# LONGITUDE(°)= 164.284
# ALTITUDE (m) = 25
# NUM_SERIE= MTN198812001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 199012
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;21;1
196502;22.1;1
196503;20.7;1
196504;18.3;1
196505;16.3;1
196506;16;1
196507;15.1;1
196508;13.8;1
196509;14.8;1
196510;15.8;1
196511;18.3;1
196512;20.6;1
196601;20.5;1
196602;22.2;1
196603;21.4;1
196604;19.3;1
196605;16.8;1
196606;15.7;1
196607;14.8;1
196608;14.6;1
196609;15.2;1
196610;17.1;1
196611;19;1
196612;19.8;1
196701;22.3;1
196702;22.4;1
196703;22.8;1
196704;20.4;1
196705;17.9;1
196706;17.1;1
196707;15.9;1
196708;16.6;1
196709;16.4;1
196710;18.1;1
196711;18.8;1
196712;20.6;1
196801;21.2;1
196802;21.9;1
196803;21.5;1
196804;18.8;1
196805;17.9;1
196806;15.9;1
196807;14.4;1
196808;15.2;1
196809;15.3;1
196810;17.3;1
196811;19.1;1
196812;21.7;1
196901;21.6;1
196902;21.6;1
196903;22.2;1
196904;21.2;1
196905;19.4;1
196906;17.3;1
196907;15.6;1
196908;16.1;1
196909;16.3;1
196910;17.2;1
196911;19.9;1
196912;21.8;1
197001;22.7;1
197002;22.3;1
197003;22.9;1
197004;20.7;1
197005;18;1
197006;17.7;1
197007;15.6;1
197008;17.5;1
197009;17.5;1
197010;18.9;1
197011;19.8;1
197012;21.7;1
197101;22.5;1
197102;22.8;1
197103;22.2;1
197104;19.1;1
197105;17.7;1
197106;17.2;1
197107;16;1
197108;15.7;1
197109;17.3;1
197110;17.7;1
197111;19.3;1
197112;20.5;1
197201;21.8;1
197202;22.2;1
197203;22.7;1
197204;20.2;1
197205;17.9;1
197206;15.9;1
197207;15;1
197208;14.1;1
197209;15.7;1
197210;17.3;1
197211;19.9;1
197212;20.2;1
197301;21.9;1
197302;22;1
197303;22;1
197304;19.6;1
197305;19.5;1
197306;18.2;1
197307;17.8;1
197308;16.5;1
197309;17.8;1
197310;19.4;1
197311;21.1;1
197312;21.7;1
197401;22.8;1
197402;23;1
197403;22.3;1
197404;20.5;1
197405;18.6;1
197406;17.2;1
197407;15.7;1
197408;15.2;1
197409;16.3;1
197410;17.6;1
197411;19.5;1
197412;20.1;1
197501;22.3;1
197502;21.4;1
197503;22.3;1
197504;21.3;1
197505;19.4;1
197506;16.8;1
197507;15.7;1
197508;15.9;1
197509;17.1;1
197510;17.8;1
197511;19.9;1
197512;21.3;1
197601;23.2;1
197602;22;1
197603;22.3;1
197604;20.6;1
197605;18.8;1
197606;17.1;1
197607;15.6;1
197608;15.3;1
197609;15.5;1
197610;17.4;1
197611;19.6;1
197612;21;1
197701;21.9;1
197702;22.4;1
197703;21.9;1
197704;19.5;1
197705;17.7;1
197706;16.6;1
197707;16.6;1
197708;15.5;1
197709;15.3;1
197710;15.9;1
197711;19.3;1
197712;20.7;1
197801;21.9;1
197802;21.7;1
197803;22.1;1
197804;20.4;1
197805;17.8;1
197806;17.2;1
197807;16.4;1
197808;15.5;1
197809;15.8;1
197810;16.4;1
197811;19;1
197812;21;1
197901;21.7;1
197902;22.2;1
197903;22.7;1
197904;20;1
197905;17.9;1
197906;17.4;1
197907;15.6;1
197908;13.8;1
197909;15.6;1
197910;17.9;1
197911;19.4;1
197912;20.9;1
198001;23.2;1
198002;23.9;1
198003;22.2;1
198004;18.9;1
198005;18.8;1
198006;16.3;1
198007;15.5;1
198008;15;1
198009;15.4;1
198010;17.5;1
198011;19.4;1
