# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98813001
# NOM_USUEL= LA FOA
# LATITUDE (°) = -21.701
# LONGITUDE(°)= 165.815
# ALTITUDE (m) = 12
# NUM_SERIE= MTN198813001
# Amplitude minimale détectable de la série = 0.27
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 196909 197810 198912 200603
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;19.2;1
196502;20.8;1
196503;19.2;1
196504;15.7;1
196505;12.7;1
196506;12.4;1
196507;11.7;1
196508;10.5;1
196509;11.9;1
196510;12.9;1
196511;14.7;1
196512;18.3;1
196601;18.5;1
196602;20.8;1
196603;19.1;1
196604;16.8;1
196605;13;1
196606;12.6;1
196607;11;1
196608;10.4;1
196609;11.2;1
196610;13.6;1
196611;15.6;1
196612;17.7;1
196701;20.8;1
196702;21;1
196703;21.5;1
196704;18.6;1
196705;15.8;1
196706;14.7;1
196707;13.4;1
196708;14.2;1
196709;13.9;1
196710;15.2;1
196711;16.3;1
196712;18.9;1
196801;18.9;1
196802;19.8;1
196803;19.1;1
196804;16;1
196805;14.3;1
196806;12.4;1
196807;9.3;1
196808;11.7;1
196809;10.3;1
196810;13.5;1
196811;15.4;1
196812;19.3;1
196901;16.3;1
196902;19.9;1
196903;19.1;1
196904;17.8;1
196905;16.5;1
196906;12.8;1
196907;10.2;1
196908;11.2;1
196909;12.3;1
196910;12.2;1
196911;17.4;1
196912;17.8;1
197001;20;1
197002;19.5;1
197003;20;1
197004;17.7;1
197005;14.1;1
197006;14.4;1
197007;11.2;1
197008;14.9;1
197009;13.9;1
197010;15.1;1
197011;17;1
197012;18.4;1
197101;20.5;1
197102;20.6;1
197103;20.3;1
197104;15.6;1
197105;13.8;1
197106;13.4;1
197107;12.5;1
197108;12.3;1
197109;13.7;1
197110;14.9;1
197111;16.5;1
197112;18.3;1
197201;20.2;1
197202;20.2;1
197203;21.2;1
197204;17.7;1
197205;13.9;1
197206;12.1;1
197207;9.5;1
197208;9.3;1
197209;12.2;1
197210;13.8;1
197211;17.5;1
197212;16.7;1
197301;21;1
197302;19.7;1
197303;19.1;1
197304;14.9;1
197305;15.5;1
197306;14.3;1
197307;14.2;1
197308;12.5;1
197309;14.1;1
197310;16.8;1
197311;18.7;1
197312;19.1;1
197401;20.9;1
197402;20.9;1
197403;20.1;1
197404;18.1;1
197405;15.3;1
197406;14.3;1
197407;11.5;1
197408;10.7;1
197409;12.3;1
197410;14.3;1
197411;17;1
197412;17.1;1
197501;19.7;1
197502;19.5;1
197503;20.8;1
197504;19.8;1
197505;17.2;1
197506;13.7;1
197507;11.2;1
197508;12.4;1
197509;13.1;1
197510;14.4;1
197511;16.9;1
197512;19.5;1
197601;21.7;1
197602;20;1
197603;22.5;1
197604;19.1;1
197605;15.7;1
197606;14.6;1
197607;10.6;1
197608;10.4;1
197609;12.3;1
197610;14.1;1
197611;16.6;1
197612;18.1;1
197701;20.5;1
197702;20.1;1
197703;19.7;1
197704;16.3;1
197705;14.3;1
197706;12.2;1
197707;13.7;1
197708;12.1;1
197709;11.9;1
197710;11.3;1
197711;17.1;1
197712;18.4;1
197801;20.4;1
197802;19.3;1
197803;21;1
197804;17.4;1
197805;14.7;1
197806;14;1
197807;13.2;1
197808;12.3;1
197809;11.9;1
197810;12.4;1
197811;16.8;1
197812;18.2;1
197901;17.9;1
197902;19;1
197903;20.9;1
197904;18.4;1
197905;13.9;1
197906;14.2;1
197907;12.5;1
197908;9.1;1
197909;10.4;1
197910;14.2;1
197911;16.2;1
197912;17.8;1
198001;21.2;1
198002;22.4;1
198003;19.3;1
198004;15.7;1
198005;15.3;1
198006;11.6;1
198007;11.6;1
198008;10.8;1
198009;10.6;1
198010;14.2;1
198011;14.8;1
198012;18.2;1
198101;19.2;1
198102;21.5;1
198103;21.4;1
198104;16.5;1
198105;15.2;1
198106;13.3;1
198107;10.1;1
198108;11.3;1
198109;11.4;1
198110;15.8;1
198111;15.8;1
198112;20.5;1
198201;20.7;1
198202;20.7;1
198203;20.4;1
198204;17.5;1
198205;15.3;1
198206;13.2;1
198207;10.4;1
198208;12;1
198209;11.5;1
198210;14;1
198211;17.4;1
198212;19.3;1
198301;20.8;1
198302;19.4;1
198303;19.2;1
198304;18.9;1
198305;15.9;1
198306;13.9;1
198307;11.3;1
198308;12.4;1
198309;12.9;1
198310;15.6;1
198311;16.9;1
198312;18.5;1
198401;19.3;1
198402;20.1;1
198403;19.9;1
198404;18.1;1
198405;16.1;1
198406;15.4;1
198407;12.7;1
198408;12.5;1
198409;12;1
198410;14.7;1
198411;18.2;1
198412;19.2;1
198501;20.6;1
198502;21.7;1
198503;20.1;1
198504;19.4;1
198505;15.2;1
198506;13.8;1
198507;12.1;1
198508;12.2;1
198509;12.6;1
198510;15.2;1
198511;17.1;1
198512;18.4;1
198601;21.7;1
198602;20.7;1
198603;21.3;1
198604;18.9;1
198605;15.8;1
198606;14;1
198607;11.7;1
198608;11.9;1
198609;12.6;1
198610;15.8;1
198611;17.6;1
198612;18.5;1
198701;17.5;1
198702;18.5;1
198703;17.8;1
198704;15.7;1
198705;15.8;1
198706;14.1;1
198707;12.4;1
198708;13.9;1
198709;12.6;1
198710;15;1
198711;16.5;1
198712;17.8;1
198801;21.1;1
198802;21.8;1
198803;20;1
198804;20.2;1
198805;18.1;1
198806;17;1
198807;12.5;1
198808;14.6;1
198809;15;1
198810;15.3;1
198811;19.3;1
198812;19.4;1
198901;21.8;1
198902;22.1;1
198903;20.8;1
198904;17.5;1
198905;15.8;1
198906;17.3;1
198907;11.8;1
198908;13.2;1
198909;14;1
198910;14.2;1
198911;16.2;1
198912;19.1;1
199001;21.2;1
199002;20.9;1
199003;21.4;1
199004;17.6;1
199005;15.2;1
199006;14.8;1
199007;12.6;1
199008;12.9;1
199009;11.2;1
199010;14.8;1
199011;17.1;1
199012;18.9;1
199101;19.7;1
199102;21.4;1
199103;19.5;1
199104;17.5;1
199105;14.2;1
199106;14.3;1
199107;12.2;1
199108;11.7;1
199109;12.1;1
199110;13.9;1
199111;15.5;1
199112;19.8;1
199201;20;1
199202;21.3;1
199203;20.8;1
199204;18.5;1
199205;15.2;1
199206;16;1
199207;12.7;1
199208;12.1;1
199209;13;1
199210;13.3;1
199211;16.7;1
199212;17.7;1
199301;19.1;1
199302;19.7;1
199303;21.5;1
199304;16.3;1
199305;14.5;1
199306;13.1;1
199307;12.9;1
199308;12.2;1
199309;12.4;1
199310;14.6;1
199311;17.2;1
199312;19;1
199401;22.1;1
199402;20.3;1
199403;20.9;1
199404;18.1;1
199405;14;1
199406;13.6;1
199407;9.5;1
199408;13.4;1
199409;10.4;1
199410;13.3;1
199411;17.3;1
199412;17.5;1
199501;19.7;1
199502;20.6;1
199503;22.3;1
199504;20.4;1
199505;15.7;1
199506;13.4;1
199507;12.8;1
199508;12.3;1
199509;13.6;1
199510;16.4;1
199511;17.4;1
199512;20;1
199601;21.2;1
199602;21.8;1
199603;21.7;1
199604;20.6;1
199605;16.2;1
199606;13.7;1
199607;13;1
199608;12.5;1
199609;14.7;1
199610;15.7;1
199611;17.4;1
199612;20;1
199701;21.5;1
199702;21;1
199703;19.8;1
199704;15.2;1
199705;16.8;1
199706;14.9;1
199707;11.9;1
199708;10.4;1
199709;11.4;1
199710;13.3;1
199711;17.5;1
199712;20.7;1
199801;20.2;1
199802;21;1
199803;20.7;1
199804;19.8;1
199805;18.3;1
199806;16.3;1
199807;15.4;1
199808;16.7;1
199809;16;1
199810;17.8;1
199811;18.3;1
199812;21.1;1
199901;22.5;1
199902;23.1;1
199903;21.5;1
199904;19.5;1
199905;18.9;1
199906;12.9;1
199907;15.4;1
199908;12.6;1
199909;15.2;1
199910;15.8;1
199911;16.8;1
199912;18.9;1
200001;20.5;1
200002;21.4;1
200003;20.8;1
200004;18.5;1
200005;18.6;1
200006;14.4;1
200007;11.7;1
200008;12.9;1
200009;12.9;1
200010;16.4;1
200011;17.9;1
200012;18.2;1
200101;20.2;1
200102;22;1
200103;21.5;1
200104;19.2;1
200105;15.6;1
200106;12.3;1
200107;13;1
200108;13.5;1
200109;13.2;1
200110;15.8;1
200111;17.9;1
200112;19.4;1
200201;21.5;1
200202;21.4;1
200203;20.4;1
200204;18.7;1
200205;16.2;1
200206;15.8;1
200207;11.6;1
200208;13.6;1
200209;12.4;1
200210;14.8;1
200211;15;1
200212;18.6;1
200301;19.9;1
200302;20.2;1
200303;21;1
200304;18.5;1
200305;18;1
200306;14.9;1
200307;12.3;1
200308;10.9;1
200309;13.1;1
200310;15.7;1
200311;16.4;1
200312;20.3;1
200401;19.3;1
200402;22.2;1
200403;21.1;1
200404;17;1
200405;16;1
200406;14;1
200407;12.5;1
200408;10.7;1
200409;13.1;1
200410;15;1
200411;15.6;1
200412;18.3;1
200501;23;1
200502;21.4;1
200503;19.2;1
200504;18.8;1
200505;17.1;1
200506;13.5;1
200507;13.5;1
200508;12.2;1
200509;13;1
200510;15.1;1
200511;17.3;1
200512;18;1
200601;20.7;1
200602;21.4;1
200603;22;1
200604;19.8;1
200605;16;1
200606;12.3;1
200607;10.8;1
200608;11.2;1
200609;12.2;1
200610;14.2;1
200611;18.4;1
200612;17.1;1
200701;19.4;1
200702;20.2;1
200703;20.7;1
200704;17.9;1
200705;15;1
200706;17.7;1
200707;11.4;1
200708;13.6;1
200709;15.6;1
200710;15.5;1
200711;17.1;1
200712;20;1
200801;21.3;1
200802;23;1
200803;22;1
200804;20.9;1
200805;13.9;1
200806;12.7;1
200807;13.2;1
200808;13;1
200809;14.4;1
200810;16.2;1
200811;18.1;1
200812;20.2;1
200901;20.8;1
200902;22.1;1
200903;21.6;1
200904;19;1
200905;14.6;1
200906;14.8;1
200907;13.2;1
200908;12.2;1
200909;13.2;1
200910;13.6;1
200911;16;1
200912;19.4;1
201001;20.1;1
201002;19;1
201003;19.1;1
201004;18.2;1
201005;16.7;1
201006;16.8;1
201007;13.4;1
201008;14.5;1
201009;16.3;1
201010;17.3;1
201011;17.7;1
201012;20.5;1
201101;23;1
201102;21.9;1
201103;20.4;1
201104;19.9;1
201105;17.2;1
201106;15.5;1
201107;13;1
201108;12.7;1
201109;12.7;1
201110;14.9;1
201111;16.5;1
201112;21.6;1
201201;20.9;1
201202;21.2;1
201203;21.4;1
201204;18.8;1
201205;15.1;1
201206;14.6;1
201207;13.6;1
201208;11.3;1
201209;13.6;1
201210;15.3;1
201211;16.4;1
201212;20.6;1
201301;20;1
201302;19.6;1
201303;20.7;1
201304;20.3;1
201305;15.6;1
201306;14.8;1
201307;14.8;1
201308;12.3;1
201309;12.7;1
201310;15.5;1
201311;17;1
201312;18.6;1
201401;20.9;1
201402;19.8;1
201403;19;1
201404;17.4;1
201405;15.4;1
201406;14;1
201407;11.1;1
201408;14.7;1
201409;14.9;1
201410;14.3;1
201411;16.7;1
201412;20;1
201501;20.6;1
201502;23.1;1
201503;20.1;1
201504;17.6;1
201505;16.1;1
201506;12.7;1
201507;14.4;1
201508;11.5;1
201509;11.8;1
201510;16;1
201511;17.1;1
201512;19;1
201601;19.3;0
201602;23;0
201603;21.7;0
201604;19.1;0
201605;16.9;0
201606;15.4;0
201607;12.9;0
201608;12.5;0
201609;12.6;0
201610;14.6;0
201611;19.4;0
201612;18.1;0
201701;20.8;0
201702;21.1;0
201703;20.5;0
201704;18.9;0
201705;17;0
201706;14.5;0
201707;10.7;0
201708;12.3;0
201709;11.9;0
201710;14.9;0
201711;18.4;0
201712;19.9;0
201801;20.6;0
201802;21.1;0
201803;21.8;0
201804;18.3;0
201805;16.3;0
201806;12.5;0
201807;13.8;0
201808;11.9;0
201809;12.1;0
201810;16.9;0
201811;16.9;0
201812;19.5;0
201901;18.1;0
201902;22.6;0
201903;20.8;0
201904;18.5;0
201905;16;0
201906;15;0
201907;11.6;0
201908;12.7;0
201909;12.7;0
201910;13.6;0
201911;14.8;0
201912;18.5;0
202001;19.5;0
202002;22.2;0
202003;20.7;0
202004;18.2;0
202005;16.6;0
202006;14.7;0
202007;13;0
202008;13.8;0
202009;14.3;0
202010;17.3;0
202011;18.1;0
202012;20.3;0
202101;22.6;0
202102;21.7;0
202103;20;0
202104;20.5;0
202105;16.8;0
202106;14.6;0
202107;13.7;0
202108;12.3;0
202109;12.9;0
202110;17.1;0
202111;18.6;0
202112;21.4;0
202201;22.1;0
202202;23.6;0
202203;21.6;0
202204;20.1;0
202205;18.1;0
202206;17;0
202207;17;0
202208;16.3;0
202209;17;0
202210;17.1;0
202211;19.6;0
202212;22;0
