# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98814001
# NOM_USUEL= OUANAHAM
# LATITUDE (°) = -20.778
# LONGITUDE(°)= 167.241
# ALTITUDE (m) = 30
# NUM_SERIE= MTN198814001
# Amplitude minimale détectable de la série = 0.29
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 198012 200509
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;21.6;1
196502;22.8;1
196503;21.9;1
196504;20.7;1
196505;17.9;1
196506;15.6;1
196507;13.8;1
196508;14.1;1
196509;16.9;1
196510;16.8;1
196511;17.4;1
196512;21;1
196601;21.5;1
196602;22.3;1
196603;21.2;1
196604;20.9;1
196605;14.3;1
196606;15.9;1
196607;13.2;1
196608;14.6;1
196609;13.9;1
196610;16.8;1
196611;18;1
196612;20;1
196701;21.9;1
196702;23.2;1
196703;21.8;1
196704;19.4;1
196705;19.9;1
196706;18.4;1
196707;15.5;1
196708;17.3;1
196709;15.8;1
196710;19.6;1
196711;18.1;1
196712;20.3;1
196801;21.9;1
196802;22.3;1
196803;21.3;1
196804;17;1
196805;17.6;1
196806;13.1;1
196807;12.8;1
196808;13.4;1
196809;13.7;1
196810;18;1
196811;16.5;1
196812;20.8;1
196901;21.4;1
196902;20.2;1
196903;22.4;1
196904;22.4;1
196905;20.6;1
196906;16.1;1
196907;17.7;1
196908;17.4;1
196909;15.6;1
196910;17.8;1
196911;19.7;1
196912;17.3;1
197001;21.4;1
197002;22.9;1
197003;22.9;1
197004;20.9;1
197005;16.6;1
197006;16.6;1
197007;16.1;1
197008;18.8;1
197009;17.9;1
197010;20.3;1
197011;19.6;1
197012;22.3;1
197101;22.2;1
197102;22.5;1
197103;21.8;1
197104;19.3;1
197105;15.4;1
197106;17.6;1
197107;15.8;1
197108;15.3;1
197109;17;1
197110;17.9;1
197111;17.4;1
197112;20.8;1
197201;22.3;1
197202;21.2;1
197203;22.4;1
197204;20.7;1
197205;19.7;1
197206;14.9;1
197207;13.5;1
197208;12;1
197209;18.3;1
197210;18.4;1
197211;21.3;1
197212;20.7;1
197301;23.4;1
197302;22.9;1
197303;22.8;1
197304;20.2;1
197305;19.3;1
197306;17.1;1
197307;17.4;1
197308;16.4;1
197309;17.2;1
197310;20.9;1
197311;22.4;1
197312;21.8;1
197401;22.9;1
197402;23.1;1
197403;22.4;1
197404;20.8;1
197405;20.1;1
197406;16.4;1
197407;16.4;1
197408;11.9;1
197409;14.7;1
197410;18.1;1
197411;19.4;1
197412;19.1;1
197501;22.7;1
197502;22.1;1
197503;23.1;1
197504;22.6;1
197505;20.3;1
197506;18.4;1
197507;16.8;1
197508;16.2;1
197509;18.2;1
197510;16.9;1
197511;19.5;1
197512;22.3;1
197601;23.8;1
197602;22.6;1
197603;22.6;1
197604;20.1;1
197605;20.8;1
197606;19.9;1
197607;16.2;1
197608;15.1;1
197609;14.5;1
197610;17.9;1
197611;18.8;1
197612;20.9;1
197701;22.3;1
197702;21.7;1
197703;22.1;1
197704;20.8;1
197705;17.3;1
197706;17.5;1
197707;17.9;1
197708;16;1
197709;14.5;1
197710;17.1;1
197711;20;1
197712;19.5;1
197801;22.6;1
197802;21.4;1
197803;23.5;1
197804;20.5;1
197805;18;1
197806;15.1;1
197807;14.5;1
197808;15;1
197809;15.1;1
197810;17.9;1
197811;21.1;1
197812;19.7;1
197901;21.7;1
197902;23.2;1
197903;22.2;1
197904;21.7;1
197905;17.4;1
197906;17.7;1
197907;15.1;1
197908;10.2;1
197909;15;1
197910;18;1
197911;20.9;1
197912;20.2;1
198001;23.2;1
198002;23.5;1
198003;23;1
198004;18.9;1
198005;21.6;1
198006;16.9;1
198007;12.7;1
198008;16.9;1
198009;15.4;1
198010;17.7;1
198011;20;1
198012;21.6;1
198101;21;1
198102;23.3;1
198103;22.9;1
198104;19.7;1
198105;18.2;1
198106;14.9;1
198107;15.7;1
198108;11.2;1
198109;16.6;1
198110;20.3;1
198111;19;1
198112;23.3;1
198201;22.8;1
198202;22.1;1
198203;23.3;1
198204;22;1
198205;19.3;1
198206;15.3;1
198207;14;1
198208;17;1
198209;14.5;1
198210;16;1
198211;21.5;1
198212;20.2;1
198301;23.2;1
198302;21.2;1
198303;21.5;1
198304;19.2;1
198305;19.7;1
198306;16.5;1
198307;14.6;1
198308;16.7;1
198309;16.7;1
198310;20.1;1
198311;20.4;1
198312;21.9;1
198401;21.5;1
198402;21.6;1
198403;21.7;1
198404;21.1;1
198405;19.9;1
198406;19.5;1
198407;18.1;1
198408;15.1;1
198409;15.6;1
198410;20.1;1
198411;22.5;1
198412;20.9;1
198501;22.7;1
198502;23.9;1
198503;22.1;1
198504;22.2;1
198505;18.1;1
198506;17.1;1
198507;17;1
198508;16.5;1
198509;16.3;1
198510;20;1
198511;20.3;1
198512;19.5;1
198601;23.3;1
198602;23.2;1
198603;22.1;1
198604;22.6;1
198605;20.2;1
198606;15.9;1
198607;14.5;1
198608;12.5;1
198609;15.2;1
198610;15.7;1
198611;20.5;1
198612;21.3;1
198701;20.2;1
198702;22.6;1
198703;20.7;1
198704;20.6;1
198705;21.2;1
198706;17.5;1
198707;15.9;1
198708;16.9;1
198709;16.1;1
198710;17.1;1
198711;18.9;1
198712;22.1;1
198801;23.8;1
198802;23.9;1
198803;21.7;1
198804;21.9;1
198805;20.8;1
198806;19.9;1
198807;17.9;1
198808;18.8;1
198809;20.6;1
198810;20;1
198811;22.5;1
198812;22.1;1
198901;22.6;1
198902;23.2;1
198903;22.7;1
198904;22.2;1
198905;19.9;1
198906;18.9;1
198907;13.8;1
198908;14.4;1
198909;15.7;1
198910;18;1
198911;19.3;1
198912;22.8;1
199001;23.5;1
199002;22.6;1
199003;24;1
199004;21.8;1
199005;20.2;1
199006;16.8;1
199007;16.4;1
199008;14.8;1
199009;15.6;1
199010;18.6;1
199011;19.9;1
199012;22.4;1
199101;22.9;1
199102;23.6;1
199103;22.2;1
199104;20.1;1
199105;18.5;1
199106;15.6;1
199107;14.3;1
199108;15.1;1
199109;13.6;1
199110;18.7;1
199111;17.5;1
199112;20.6;1
199201;22.1;1
199202;22.8;1
199203;23.1;1
199204;22;1
199205;17.7;1
199206;17.6;1
199207;17.5;1
199208;14;1
199209;14.4;1
199210;15.9;1
199211;18.9;1
199212;20.8;1
199301;22.6;1
199302;21.2;1
199303;23.4;1
199304;20.8;1
199305;18.7;1
199306;17.6;1
199307;18.8;1
199308;13.7;1
199309;15.1;1
199310;18.3;1
199311;18.7;1
199312;20.9;1
199401;23.9;1
199402;22;1
199403;22.8;1
199404;21.6;1
199405;18.1;1
199406;16.5;1
199407;14;1
199408;17.2;1
199409;14.1;1
199410;14.5;1
199411;20.4;1
199412;19.6;1
199501;21.7;1
199502;22.6;1
199503;24.4;1
199504;21.8;1
199505;19.5;1
199506;17.1;1
199507;14.9;1
199508;17.9;1
199509;19.1;1
199510;21;1
199511;20.7;1
199512;21.8;1
199601;23.2;1
199602;23.6;1
199603;23.8;1
199604;23.5;1
199605;18.7;1
199606;17.6;1
199607;16;1
199608;15;1
199609;19.7;1
199610;20;1
199611;19.5;1
199612;22;1
199701;23.7;1
199702;22.9;1
199703;21.9;1
199704;20.8;1
199705;20.9;1
199706;19;1
199707;15.3;1
199708;13.9;1
199709;15.1;1
199710;17.8;1
199711;20.9;1
199712;22.8;1
199801;23.9;1
199802;23.9;1
199803;23.4;1
199804;22.1;1
199805;21.5;1
199806;19.6;1
199807;19.2;1
199808;20.1;1
199809;18.9;1
199810;20.4;1
199811;20.7;1
199812;23.1;1
199901;24;1
199902;24.3;1
199903;23.2;1
199904;21.4;1
199905;22.6;1
199906;15.9;1
199907;19.6;1
199908;17.4;1
199909;19.1;1
199910;19.9;1
199911;20;1
199912;21.8;1
200001;22.1;1
200002;23.1;1
200003;23.3;1
200004;21.5;1
200005;20.6;1
200006;18.5;1
200007;14;1
200008;17.5;1
