# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98815001
# NOM_USUEL= LA ROCHE
# LATITUDE (°) = -21.482
# LONGITUDE(°)= 168.036
# ALTITUDE (m) = 41
# NUM_SERIE= MTN198815001
# Amplitude minimale détectable de la série = 0.29
# Période homogénéisée : 197201 201512
# Date(s) de rupture(s) d'homogénéité : 198209 200512
#     Periode homogénéisée  197201 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
197201;21.8;1
197202;20.9;1
197203;21.5;1
197204;19.3;1
197205;17.9;1
197206;13.6;1
197207;11.5;1
197208;10.5;1
197209;14.5;1
197210;17.2;1
197211;18.2;1
197212;17.7;1
197301;20.2;1
197302;21.6;1
197303;21.7;1
197304;18.3;1
197305;17.8;1
197306;16.5;1
197307;14.8;1
197308;14.1;1
197309;14.7;1
197310;18.4;1
197311;19.7;1
197312;21.2;1
197401;22.3;1
197402;22.8;1
197403;21.3;1
197404;18.2;1
197405;17.9;1
197406;15.6;1
197407;13.2;1
197408;9.4;1
197409;12.4;1
197410;16.3;1
197411;21.7;1
197412;16.7;1
197501;20.9;1
197502;21.6;1
197503;21.7;1
197504;21.4;1
197505;18.6;1
197506;16.2;1
197507;13.8;1
197508;14.1;1
197509;14.8;1
197510;13.9;1
197511;17.3;1
197512;20.8;1
197601;20.3;1
197602;20.4;1
197603;20.7;1
197604;18.4;1
197605;18.3;1
197606;17.2;1
197607;13.8;1
197608;11.9;1
197609;12.8;1
197610;15.8;1
197611;15.5;1
197612;17.1;1
197701;21.3;1
197702;19.8;1
197703;22.4;1
197704;18.2;1
197705;15.1;1
197706;15.1;1
197707;15.6;1
197708;15.3;1
197709;12.2;1
197710;13.3;1
197711;17.6;1
197712;19;1
197801;22;1
197802;21.1;1
197803;22;1
197804;18.5;1
197805;16;1
197806;14.5;1
197807;13.3;1
197808;13.9;1
197809;12.3;1
197810;16.3;1
197811;18.9;1
197812;19.1;1
197901;21.3;1
197902;22.2;1
197903;21.4;1
197904;19.9;1
197905;16.7;1
197906;16.3;1
197907;14.5;1
197908;9.4;1
197909;14.1;1
197910;15.7;1
197911;18.5;1
197912;17.9;1
198001;22.7;1
198002;23.5;1
198003;22;1
198004;17.9;1
198005;19;1
198006;15.1;1
198007;12.2;1
198008;14.8;1
198009;13.4;1
198010;14.6;1
198011;16.6;1
198012;19.3;1
198101;21;1
198102;22.1;1
198103;21.7;1
198104;18.8;1
198105;16.8;1
198106;14.5;1
198107;12.5;1
198108;10.1;1
198109;14.3;1
198110;17.8;1
198111;17.6;1
198112;22.2;1
198201;21.2;1
198202;22.1;1
198203;22.3;1
198204;19.6;1
198205;17.4;1
198206;14.6;1
198207;12.5;1
198208;16.6;1
198209;12.1;1
198210;14.7;1
198211;19.2;1
198212;19.8;1
198301;22.6;1
198302;19.3;1
198303;21.3;1
198304;19;1
198305;17.9;1
198306;15.1;1
198307;12.8;1
198308;14.2;1
198309;14;1
198310;17.3;1
198311;18.1;1
198312;21.4;1
198401;20.4;1
198402;21;1
198403;20.7;1
198404;20.3;1
198405;18.6;1
198406;18.7;1
198407;15.4;1
198408;12.4;1
198409;12.9;1
198410;17.9;1
198411;21.7;1
198412;19.9;1
198501;21.1;1
198502;23.2;1
198503;21.6;1
198504;21.3;1
198505;16.6;1
198506;15.4;1
198507;15.1;1
198508;13.8;1
198509;14.4;1
198510;18.6;1
198511;18.4;1
198512;17.3;1
198601;21.6;1
198602;20.4;1
198603;21;1
198604;20.6;1
198605;16.7;1
198606;13.6;1
198607;13.2;1
198608;11;1
198609;13.6;1
198610;14.1;1
198611;17.2;1
198612;20.4;1
198701;17.8;1
198702;20.6;1
198703;18;1
198704;18.3;1
198705;18.8;1
198706;16.2;1
198707;14.5;1
198708;16.2;1
198709;14.9;1
198710;15.5;1
198711;17.5;1
198712;19.2;1
198801;22.3;1
198802;22.9;1
198803;19.8;1
198804;21.4;1
198805;19.5;1
198806;18.7;1
198807;16.1;1
198808;15.2;1
198809;18;1
198810;16.6;1
198811;21.8;1
198812;20.7;1
198901;22.6;1
198902;23.1;1
198903;21.6;1
198904;20.4;1
198905;17.8;1
198906;17.5;1
198907;12.1;1
198908;11.6;1
198909;13.2;1
198910;14;1
198911;17;1
198912;21.8;1
199001;22.8;1
199002;22.3;1
199003;23.1;1
199004;20.3;1
199005;17.3;1
199006;16.1;1
199007;14.1;1
199008;13;1
199009;13.3;1
199010;15.4;1
199011;19.2;1
199012;21;1
199101;21.4;1
199102;23.2;1
199103;21.6;1
199104;19;1
199105;16.6;1
199106;15;1
199107;13.2;1
199108;13.2;1
199109;11.7;1
199110;15.4;1
199111;17.2;1
199112;19.2;1
199201;21.8;1
199202;23;1
199203;22.5;1
199204;21.3;1
199205;15;1
199206;16.5;1
199207;15.8;1
199208;12.8;1
199209;13;1
199210;13.9;1
199211;17.1;1
199212;20;1
199301;19.8;1
199302;19.9;1
199303;22.7;1
199304;19.7;1
199305;16.5;1
199306;15.5;1
199307;16.5;1
199308;12;1
199309;13.1;1
199310;14.7;1
199311;16.8;1
199312;19.3;1
199401;23.3;1
199402;20.5;1
199403;21.9;1
199404;19.8;1
199405;15.7;1
199406;15;1
199407;11.5;1
199408;15.5;1
199409;12.2;1
199410;13.5;1
199411;19;1
199412;19.8;1
199501;21.1;1
199502;20.8;1
199503;23.3;1
199504;20.9;1
199505;17.2;1
199506;15.4;1
199507;14;1
199508;16.2;1
199509;16.7;1
199510;19;1
199511;19.1;1
199512;20.4;1
199601;21.9;1
199602;22;1
199603;23;1
199604;21.9;1
199605;17.5;1
199606;15.7;1
199607;13.7;1
199608;12.4;1
199609;17.3;1
199610;16.3;1
199611;18.5;1
199612;20.5;1
199701;22.3;1
199702;21.1;1
199703;21.5;1
199704;18.6;1
199705;19.4;1
199706;17.5;1
199707;14.2;1
199708;12.3;1
199709;11.4;1
199710;15.9;1
199711;18.3;1
199712;21.3;1
199801;22.3;1
199802;23.4;1
199803;22.7;1
199804;20.3;1
199805;19.9;1
199806;17.9;1
199807;16.9;1
199808;17.5;1
199809;18;1
199810;19.1;1
199811;19.5;1
199812;23.1;1
199901;23.1;1
199902;24.4;1
199903;22.1;1
199904;20.3;1
199905;21.2;1
199906;13.4;1
199907;17.4;1
199908;15.8;1
199909;17.6;1
199910;17;1
199911;19.2;1
199912;20.9;1
200001;21.3;1
200002;23;1
200003;22.3;1
200004;20.5;1
200005;19.7;1
200006;17;1
200007;12.5;1
200008;14.6;1
200009;15.1;1
200010;18.1;1
200011;19.5;1
200012;19.3;1
200101;20.9;1
200102;23;1
200103;22.6;1
200104;20.3;1
200105;16.2;1
200106;15.8;1
200107;12.9;1
200108;14.4;1
200109;14.4;1
200110;16.8;1
200111;18.5;1
200112;18.9;1
200201;22.6;1
200202;23.4;1
200203;20.6;1
200204;21.1;1
200205;16.9;1
200206;18.1;1
200207;12.9;1
200208;15.9;1
200209;14.8;1
200210;17.6;1
200211;18.6;1
200212;19.5;1
200301;20.2;1
200302;22;1
200303;21.5;1
200304;20.4;1
200305;19.3;1
200306;17.6;1
200307;15.5;1
200308;11.3;1
200309;12;1
200310;15.4;1
200311;19.3;1
200312;22;1
200401;20.3;1
200402;23.1;1
200403;22.1;1
200404;19.6;1
200405;16.4;1
200406;17.4;1
200407;14.2;1
200408;11.4;1
200409;14.7;1
200410;16.5;1
200411;17.5;1
200412;19.5;1
200501;24;1
200502;22.4;1
