# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98818002
# NOM_USUEL= MAGENTA
# LATITUDE (°) = -22.26
# LONGITUDE(°)= 166.474
# ALTITUDE (m) = 3
# NUM_SERIE= MTN198818002
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 196912 198012 199310
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;22.6;1
196502;23.9;1
196503;21;1
196504;21;1
196505;18;1
196506;17.8;1
196507;15.3;1
196508;15;1
196509;16.8;1
196510;17.2;1
196511;19;1
196512;21.5;1
196601;21.8;1
196602;23.6;1
196603;21.9;1
196604;20.7;1
196605;16.5;1
196606;16.5;1
196607;14.9;1
196608;15.3;1
196609;15;1
196610;17.7;1
196611;18.9;1
196612;20.4;1
196701;22.4;1
196702;22.8;1
196703;22.7;1
196704;20.8;1
196705;18.7;1
196706;18.2;1
196707;15.5;1
196708;16.8;1
196709;16;1
196710;19.3;1
196711;20;1
196712;21.1;1
196801;22.4;1
196802;22.6;1
196803;21.9;1
196804;19.5;1
196805;17.9;1
196806;16.6;1
196807;14.8;1
196808;16;1
196809;14.5;1
196810;17.6;1
196811;19.5;1
196812;21.6;1
196901;22.1;1
196902;22.1;1
196903;22.5;1
196904;21.6;1
196905;19.9;1
196906;17.4;1
196907;15.9;1
196908;16.6;1
196909;16.3;1
196910;17.9;1
196911;20.8;1
196912;21.3;1
197001;23.2;1
197002;22.4;1
197003;23.1;1
197004;21;1
197005;17.8;1
197006;17.6;1
197007;15.7;1
197008;18.2;1
197009;17.6;1
197010;20.2;1
197011;20.1;1
197012;22.2;1
197101;23.3;1
197102;24;1
197103;23.2;1
197104;19.4;1
197105;17.8;1
197106;17.8;1
197107;16.6;1
197108;16.2;1
197109;18;1
