# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98821001
# NOM_USUEL= LA TONTOUTA
# LATITUDE (°) = -22.017
# LONGITUDE(°)= 166.222
# ALTITUDE (m) = 37
# NUM_SERIE= MTN198821001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 196912 198202 198812
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;19.6;1
196502;21.6;1
196503;19.6;1
196504;16.8;1
196505;14.7;1
196506;13.5;1
196507;12.7;1
196508;12;1
196509;13.4;1
196510;14.5;1
196511;16.2;1
196512;19.5;1
196601;19.8;1
196602;21.8;1
196603;19.9;1
196604;18;1
196605;14.5;1
196606;13.8;1
196607;12.5;1
196608;12;1
196609;12.3;1
196610;15.1;1
196611;16.9;1
196612;18.5;1
196701;20.9;1
196702;21.4;1
196703;21.6;1
196704;18.9;1
196705;16.5;1
196706;15.6;1
196707;13.9;1
196708;15;1
196709;14.8;1
196710;16.4;1
196711;17;1
196712;19.4;1
196801;20;1
196802;20.6;1
196803;19.9;1
196804;16.8;1
196805;15.4;1
196806;14;1
196807;12.2;1
196808;13;1
196809;12.4;1
196810;15.2;1
196811;16.8;1
196812;20.1;1
196901;19.2;1
196902;20.3;1
196903;20.5;1
196904;19.6;1
196905;18;1
196906;15.3;1
196907;13.9;1
196908;14;1
196909;14.2;1
196910;14.8;1
196911;18.9;1
196912;19.9;1
197001;20.9;1
197002;20.5;1
197003;21.7;1
197004;19.3;1
197005;15.9;1
197006;16.2;1
197007;13.9;1
197008;16.6;1
197009;15.5;1
197010;16.9;1
197011;18.6;1
197012;19.8;1
197101;21.2;1
197102;21.5;1
197103;21.4;1
197104;16.8;1
197105;15.5;1
197106;15.6;1
197107;14.3;1
197108;13.4;1
197109;15.1;1
197110;16.1;1
197111;17.3;1
197112;19.3;1
197201;20.6;1
197202;20.8;1
197203;21.5;1
197204;18.8;1
197205;16.6;1
197206;13.9;1
197207;12;1
197208;11.7;1
197209;14.6;1
197210;15.9;1
197211;18.9;1
197212;18.9;1
197301;21.2;1
197302;21.5;1
197303;20.2;1
197304;17;1
197305;17.1;1
197306;15.9;1
197307;15.3;1
