# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98822001
# NOM_USUEL= POINDIMIE
# LATITUDE (°) = -20.933
# LONGITUDE(°)= 165.328
# ALTITUDE (m) = 14
# NUM_SERIE= MTN198822001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 196612 197003 198112
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;21.4;1
196502;22;1
196503;21.3;1
196504;19.9;1
196505;18.2;1
196506;17.3;1
196507;15.3;1
196508;15.8;1
196509;16.9;1
196510;17.4;1
196511;19.1;1
196512;21.5;1
196601;21.4;1
196602;23.5;1
196603;21.7;1
196604;20.5;1
196605;16.8;1
196606;17.4;1
196607;15.4;1
196608;15.7;1
196609;16.1;1
196610;17.3;1
196611;18.9;1
196612;20.5;1
196701;22.6;1
196702;22.8;1
196703;22.9;1
196704;20.7;1
196705;19.2;1
196706;19.3;1
196707;16.6;1
196708;17.7;1
196709;16.8;1
196710;19.8;1
196711;19.7;1
196712;20.5;1
196801;21;1
196802;21.9;1
196803;21.6;1
196804;19.6;1
196805;18.7;1
196806;16.5;1
196807;15.3;1
196808;15.8;1
196809;15.3;1
196810;18;1
196811;19.6;1
196812;21.6;1
196901;22.2;1
196902;21.9;1
196903;22.5;1
196904;22;1
196905;20.6;1
196906;17.5;1
196907;16.9;1
196908;17;1
196909;16.8;1
196910;18.4;1
196911;20.2;1
196912;21.2;1
197001;22.3;1
197002;22.9;1
197003;22.8;1
197004;21.8;1
197005;20;1
197006;20.5;1
197007;15.6;1
197008;17.8;1
197009;18.1;1
197010;20.1;1
197011;20.1;1
197012;21.9;1
197101;22.1;1
197102;23.1;1
197103;22.6;1
197104;20.2;1
197105;18.2;1
197106;17.9;1
197107;16.5;1
197108;17.4;1
197109;17.9;1
197110;19.5;1
197111;19.4;1
197112;21.6;1
197201;22.3;1
197202;22.5;1
197203;23;1
197204;20.9;1
197205;19.1;1
197206;16.7;1
197207;15.4;1
197208;15.4;1
197209;17.2;1
197210;18.6;1
197211;20.9;1
197212;21.3;1
197301;23.2;1
197302;23.2;1
197303;23;1
197304;20.6;1
197305;20.3;1
197306;19.3;1
197307;17.9;1
197308;17.7;1
197309;18.4;1
197310;20.4;1
197311;21.7;1
197312;22.3;1
197401;23;1
197402;23.3;1
197403;22.9;1
197404;21.5;1
197405;19.7;1
197406;18;1
197407;17.1;1
197408;15.5;1
197409;17.1;1
197410;18.7;1
197411;20.2;1
197412;20.4;1
197501;22.6;1
197502;22.2;1
197503;23;1
197504;21.8;1
197505;19.8;1
197506;17.7;1
197507;17.1;1
197508;17.1;1
197509;18.3;1
197510;18.5;1
197511;20.9;1
197512;22.1;1
197601;23.6;1
197602;22.9;1
197603;22.7;1
197604;20.4;1
197605;19.9;1
197606;18.8;1
197607;16.8;1
197608;16.3;1
197609;15.9;1
197610;18.3;1
197611;20.2;1
197612;22.1;1
197701;22.5;1
197702;22.4;1
197703;22.7;1
197704;20.5;1
197705;18.5;1
197706;17.6;1
197707;17.5;1
197708;16.5;1
197709;15.9;1
197710;17.3;1
197711;20.1;1
197712;20.8;1
197801;22.7;1
197802;22.5;1
197803;22.7;1
197804;20.8;1
197805;18.6;1
197806;17.3;1
197807;17.5;1
197808;16.6;1
197809;17.1;1
197810;17.6;1
197811;20.3;1
197812;21.4;1
197901;22;1
197902;23.1;1
197903;23.1;1
197904;21.4;1
197905;18.5;1
197906;18.6;1
197907;16.4;1
197908;14.3;1
197909;16.8;1
197910;18.8;1
197911;20.7;1
197912;21.3;1
198001;23.4;1
198002;24.3;1
198003;22.4;1
198004;19.6;1
198005;20.4;1
198006;17.3;1
198007;15.7;1
198008;16.8;1
198009;16.6;1
198010;18.6;1
198011;19.8;1
198012;21.5;1
198101;21.3;1
198102;24;1
198103;23.2;1
198104;20.9;1
198105;19.3;1
198106;17.8;1
198107;16.8;1
198108;15.7;1
198109;17.1;1
198110;19.5;1
198111;19.3;1
198112;22.9;1
198201;23.4;1
198202;23;1
198203;23.1;1
198204;21.7;1
198205;20;1
198206;17.1;1
198207;16.1;1
198208;16.2;1
198209;17.1;1
198210;17.8;1
198211;21;1
198212;21.3;1
198301;22.9;1
198302;22.3;1
198303;22.6;1
198304;22.3;1
198305;20.7;1
198306;18.3;1
198307;16.8;1
198308;17;1
198309;18.5;1
198310;19.7;1
198311;21.1;1
198312;21.5;1
198401;22.1;1
198402;22.9;1
198403;22.8;1
198404;21.8;1
198405;19.9;1
198406;19.6;1
198407;18.5;1
198408;17.1;1
198409;17.4;1
198410;18.9;1
198411;21.4;1
198412;22.3;1
198501;23.1;1
198502;24.1;1
198503;22.7;1
198504;22.7;1
198505;19.2;1
198506;18.1;1
198507;17;1
198508;17;1
198509;17.6;1
198510;19.4;1
198511;20.7;1
198512;21.4;1
198601;23.5;1
198602;23.2;1
198603;22.5;1
198604;21.9;1
198605;20.1;1
198606;18.1;1
198607;16.8;1
198608;16.5;1
198609;17.1;1
198610;19.4;1
198611;20.7;1
