# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98823001
# NOM_USUEL= PONERIHOUEN
# LATITUDE (°) = -21.072
# LONGITUDE(°)= 165.404
# ALTITUDE (m) = 27
# NUM_SERIE= MTN198823001
# Amplitude minimale détectable de la série = 0.25
# Période homogénéisée : 196901 201512
# Date(s) de rupture(s) d'homogénéité : 198912
#     Periode homogénéisée  196901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196901;20.2;1
196902;20.5;1
196903;21.2;1
196904;19;1
196905;18.3;1
196906;13.7;1
196907;14.1;1
196908;14.3;1
196909;12.7;1
196910;15;1
196911;18.6;1
196912;19.4;1
197001;20.3;1
197002;21;1
197003;21.6;1
197004;20.9;1
197005;15;1
197006;13.9;1
197007;13.8;1
197008;17.2;1
197009;18.2;1
197010;20.7;1
197011;20.6;1
197012;20.5;1
197101;21.4;1
197102;21.4;1
197103;21;1
197104;17.3;1
197105;15.6;1
197106;15.2;1
197107;14.1;1
197108;13.8;1
197109;15.4;1
197110;16.7;1
197111;16.7;1
197112;19.4;1
197201;20.8;1
197202;21.1;1
197203;22.1;1
197204;18.4;1
197205;15.6;1
197206;13.1;1
197207;11.3;1
197208;10.1;1
197209;14.1;1
197210;16.9;1
197211;19.8;1
197212;18.7;1
197301;21.9;1
197302;21.6;1
197303;21.6;1
197304;17.3;1
197305;17.9;1
197306;16.4;1
197307;15.3;1
197308;14.6;1
197309;15.3;1
197310;18.8;1
197311;20;1
197312;20.6;1
197401;22.1;1
197402;22.3;1
197403;21.9;1
197404;20.1;1
197405;17.9;1
197406;16;1
197407;13.9;1
197408;12;1
197409;14.5;1
197410;16.8;1
197411;18.9;1
197412;18.4;1
197501;21.2;1
197502;20.7;1
197503;21.9;1
197504;20.7;1
197505;18.5;1
197506;15.2;1
197507;14.4;1
197508;14.1;1
197509;16.1;1
197510;16.1;1
197511;19.1;1
197512;20.8;1
197601;23.2;1
197602;21.7;1
197603;22.1;1
197604;19.1;1
197605;17.9;1
197606;16.9;1
197607;14.7;1
197608;13;1
197609;13.1;1
197610;15.9;1
197611;18.3;1
197612;20.4;1
197701;20.9;1
197702;21;1
197703;21.2;1
197704;17.4;1
197705;15;1
197706;14.2;1
197707;15.4;1
197708;13.1;1
197709;12.8;1
197710;13.6;1
197711;18.3;1
197712;18.3;1
197801;21.3;1
197802;21.2;1
197803;21.2;1
197804;19;1
197805;15.6;1
197806;15;1
197807;14.1;1
197808;13.8;1
197809;15;1
197810;15;1
197811;19.5;1
197812;19.9;1
197901;20.3;1
197902;22.7;1
197903;21.7;1
197904;19.3;1
197905;16.2;1
197906;16.4;1
197907;13.9;1
197908;10.3;1
197909;13.1;1
197910;16.5;1
197911;18.9;1
197912;20.9;1
198001;23.1;1
198002;23.7;1
198003;20.2;1
198004;16.9;1
198005;18.6;1
198006;14.3;1
198007;12.8;1
198008;14;1
198009;13.4;1
198010;16.9;1
198011;18.2;1
198012;18.9;1
198101;19.6;1
198102;23;1
198103;21.5;1
198104;18.9;1
198105;16.9;1
198106;14.9;1
198107;13;1
198108;11.9;1
198109;14.4;1
198110;18;1
198111;17.7;1
198112;22.7;1
198201;22.4;1
198202;22;1
198203;21.8;1
198204;19.5;1
