# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 98832002
# NOM_USUEL= YATE MRIE
# LATITUDE (°) = -22.157
# LONGITUDE(°)= 166.939
# ALTITUDE (m) = 25
# NUM_SERIE= MTN198832002
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 196712 197012 198012 199712
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;21.6;1
196502;23;1
196503;21.1;1
196504;19.8;1
196505;17.3;1
196506;16.2;1
196507;14.8;1
196508;15.3;1
196509;16.9;1
196510;16.6;1
196511;19.7;1
196512;20.2;1
196601;21.2;1
196602;22.7;1
196603;21.2;1
196604;19.7;1
196605;16;1
196606;16;1
196607;14.9;1
196608;15.5;1
196609;15.4;1
196610;16.8;1
196611;18.3;1
196612;20.1;1
196701;21.9;1
196702;22.8;1
196703;22.6;1
196704;20.8;1
196705;18.7;1
196706;18.4;1
196707;15.9;1
196708;17.3;1
196709;16.4;1
196710;19.1;1
196711;18.9;1
196712;20.7;1
196801;21.8;1
196802;21.9;1
196803;21.9;1
196804;19.9;1
196805;17.9;1
196806;16.7;1
196807;14.7;1
196808;15.2;1
196809;14.4;1
196810;17.2;1
196811;18.4;1
196812;20.1;1
196901;21.1;1
196902;21.2;1
196903;21.8;1
196904;20.5;1
196905;19.7;1
196906;16.7;1
196907;15.6;1
196908;16.8;1
196909;16.6;1
196910;17.2;1
196911;19.8;1
196912;20.4;1
197001;21.8;1
197002;21.6;1
197003;22.3;1
197004;21;1
197005;17.4;1
197006;17.8;1
197007;15.8;1
197008;18.4;1
197009;18.7;1
197010;20.4;1
197011;20.6;1
197012;22;1
197101;22.7;1
197102;22.9;1
197103;22.3;1
197104;19.4;1
197105;17.8;1
197106;17.6;1
197107;16.3;1
197108;16.1;1
197109;17.6;1
197110;18.5;1
197111;19;1
197112;20.6;1
197201;22.1;1
197202;22;1
197203;22.9;1
197204;20.8;1
197205;18.9;1
197206;16.1;1
197207;14.9;1
197208;14.4;1
197209;17.2;1
197210;17.9;1
197211;20.9;1
197212;20.2;1
197301;22.7;1
197302;22.3;1
197303;22;1
197304;19.6;1
197305;18.7;1
197306;18.6;1
197307;17.1;1
197308;16.8;1
197309;17.6;1
197310;19.8;1
197311;21.5;1
197312;21.8;1
197401;22.6;1
197402;23;1
197403;22.4;1
197404;21.4;1
197405;19.2;1
197406;17.8;1
197407;16;1
197408;14.3;1
197409;16.4;1
197410;17.9;1
197411;20.3;1
197412;20;1
197501;22.4;1
197502;22.1;1
197503;22.7;1
197504;22.2;1
197505;19.8;1
197506;17.6;1
197507;16.5;1
197508;16.3;1
197509;18.4;1
197510;18.2;1
197511;20.1;1
197512;22.1;1
197601;23.7;1
197602;22.1;1
197603;22.8;1
197604;20.9;1
197605;19.5;1
197606;18.1;1
197607;16.1;1
197608;15.3;1
197609;15.1;1
197610;17.7;1
197611;19.2;1
197612;20.8;1
197701;22.2;1
197702;22.2;1
197703;22.5;1
197704;20.1;1
197705;17.8;1
197706;16.9;1
197707;16.9;1
197708;16.1;1
197709;15;1
197710;16.9;1
197711;20;1
197712;20.4;1
197801;22.6;1
197802;22.4;1
197803;22.1;1
197804;19.9;1
197805;17.8;1
197806;17.2;1
197807;15.9;1
197808;15.3;1
197809;15.6;1
197810;17.4;1
197811;20;1
197812;20.4;1
197901;21.7;1
197902;22.4;1
197903;22.3;1
197904;20.5;1
197905;18.3;1
197906;18.6;1
197907;16.5;1
197908;13.9;1
197909;16.2;1
197910;18.2;1
197911;20.3;1
197912;20.5;1
198001;22.8;1
198002;23.5;1
198003;22.2;1
198004;19.4;1
198005;19.7;1
198006;16.8;1
198007;15.4;1
198008;16.2;1
198009;16.2;1
198010;18;1
198011;18.9;1
198012;20.5;1
198101;21.6;1
198102;23.8;1
198103;23.4;1
198104;20.5;1
198105;19.4;1
198106;17.1;1
198107;15.9;1
198108;14.8;1
198109;16.5;1
198110;19;1
198111;19.1;1
198112;23.1;1
198201;23.3;1
198202;23.2;1
198203;23;1
198204;20.6;1
198205;19.1;1
198206;17;1
198207;14.9;1
198208;16.9;1
198209;15.8;1
198210;16.8;1
198211;20.8;1
198212;21.1;1
198301;22.8;1
198302;21.3;1
198303;22;1
198304;21.5;1
198305;19.8;1
198306;17.2;1
198307;15.7;1
198308;16.7;1
198309;17.1;1
198310;19.3;1
198311;20.1;1
198312;21.1;1
198401;21;1
198402;21.8;1
198403;22.2;1
198404;20.8;1
198405;19.5;1
198406;19.2;1
198407;17.1;1
198408;16.5;1
198409;16.6;1
198410;18.6;1
198411;21.8;1
198412;21.6;1
198501;23.2;1
198502;23.7;1
198503;22.6;1
198504;22.7;1
198505;19;1
198506;17.7;1
198507;17.3;1
198508;16.5;1
198509;16.9;1
198510;18.9;1
198511;20;1
198512;20.5;1
198601;23.3;1
198602;22.5;1
198603;22.2;1
198604;21.5;1
198605;19.5;1
198606;17.3;1
198607;15.9;1
198608;15.6;1
198609;16;1
198610;18.4;1
198611;20;1
198612;20.7;1
198701;20.7;1
198702;22.4;1
198703;21.2;1
198704;20.5;1
198705;20.7;1
198706;18;1
198707;16.1;1
198708;17.8;1
198709;16.9;1
198710;18.7;1
198711;19.4;1
198712;21.6;1
198801;23.1;1
198802;23.2;1
198803;21.9;1
198804;23;1
198805;21.3;1
198806;20;1
198807;18.6;1
198808;18.1;1
198809;19.8;1
198810;20.5;1
198811;21.9;1
198812;22;1
198901;23.2;1
198902;22.9;1
198903;22.5;1
198904;21.6;1
198905;20;1
198906;19.1;1
198907;16.7;1
198908;16.2;1
198909;17.4;1
198910;18.4;1
198911;19.9;1
198912;22.1;1
199001;23.2;1
199002;22.3;1
199003;23.2;1
199004;21.4;1
199005;19.9;1
199006;18;1
199007;17.2;1
199008;16.5;1
199009;16.3;1
199010;18.5;1
199011;20.5;1
199012;22.5;1
199101;23.1;1
199102;23.3;1
199103;22.2;1
199104;20.9;1
199105;18.9;1
199106;17.8;1
199107;16.3;1
199108;16.2;1
199109;16.1;1
199110;17.8;1
199111;18.4;1
199112;20.9;1
199201;22.4;1
199202;23.2;1
199203;23.1;1
199204;21.8;1
199205;19.1;1
199206;18.7;1
199207;16.5;1
199208;16.4;1
199209;17.1;1
199210;17;1
199211;19.6;1
199212;20.7;1
199301;21.9;1
199302;21.7;1
199303;22.6;1
199304;20.2;1
199305;19.2;1
199306;17.9;1
199307;18.4;1
199308;16.2;1
199309;16.6;1
199310;18.3;1
199311;19.6;1
199312;21.2;1
199401;23.5;1
199402;22.1;1
199403;23.1;1
199404;20.9;1
199405;18.6;1
199406;17.4;1
199407;15.2;1
199408;17.2;1
199409;14.9;1
199410;17.5;1
199411;20.7;1
199412;20.7;1
199501;22.1;1
199502;22.9;1
199503;23.9;1
199504;21.8;1
199505;19.8;1
199506;17.3;1
199507;16.5;1
199508;17.8;1
199509;18.4;1
199510;20.3;1
199511;20.8;1
199512;21.9;1
199601;22.9;1
199602;24;1
199603;23.8;1
199604;22.9;1
199605;20.1;1
199606;18.1;1
199607;16.8;1
199608;16.4;1
199609;18.6;1
199610;19.3;1
199611;20;1
199612;22.6;1
199701;22.9;1
199702;23;1
199703;23;1
199704;20;1
199705;20.4;1
199706;18.8;1
199707;16.4;1
199708;15.6;1
199709;16.9;1
199710;17.9;1
199711;20.8;1
199712;23.3;1
199801;23.1;1
199802;23.4;1
199803;22.9;1
199804;22.5;1
199805;21.1;1
199806;20.1;1
199807;19.1;1
199808;19.5;1
199809;19.3;1
199810;20.8;1
199811;20.3;1
199812;23;1
199901;23.8;1
199902;24.4;1
199903;23.7;1
199904;22.2;1
199905;21.4;1
199906;17.9;1
199907;18.6;1
199908;17.3;1
199909;18.9;1
199910;19.7;1
199911;20.1;1
199912;21.1;1
200001;22.3;1
200002;23.3;1
200003;22.9;1
200004;22;1
200005;21.3;1
200006;18.1;1
200007;16.7;1
200008;17;1
200009;17.8;1
200010;19.7;1
200011;20.2;1
200012;21.5;1
200101;22.5;1
200102;23.5;1
200103;23.8;1
200104;21.6;1
200105;19.8;1
200106;17.6;1
200107;16.6;1
200108;17.1;1
200109;17.9;1
200110;19.1;1
200111;20.9;1
200112;21.6;1
200201;23.9;1
200202;23.9;1
200203;22.6;1
200204;21.8;1
200205;19.4;1
200206;19.5;1
200207;16.3;1
200208;17.3;1
200209;17.8;1
200210;19.3;1
200211;19.3;1
200212;21.5;1
200301;22.1;1
200302;23.2;1
200303;22.9;1
200304;21.5;1
200305;21.1;1
200306;19.3;1
200307;17;1
200308;15.3;1
200309;16.8;1
200310;19;1
200311;20.3;1
200312;22.5;1
200401;22.8;1
200402;24.4;1
200403;22.7;1
200404;21;1
200405;19.3;1
200406;18.5;1
200407;16.7;1
200408;15.4;1
200409;17.3;1
200410;19.5;1
200411;20.5;1
200412;21;1
200501;24.1;1
200502;23.3;1
200503;22.3;1
200504;21.7;1
200505;20;1
200506;18;1
200507;16.9;1
200508;16.2;1
200509;17.7;1
200510;18.7;1
200511;20.1;1
200512;21.4;1
200601;22.9;1
200602;23.4;1
200603;23.2;1
200604;22.6;1
200605;19.4;1
200606;17.2;1
200607;16.1;1
200608;15.9;1
200609;17.6;1
200610;18.4;1
200611;21;1
200612;20.6;1
200701;21.9;1
200702;23;1
200703;22.9;1
200704;21.5;1
200705;20.4;1
200706;20.9;1
200707;16.5;1
200708;18.4;1
200709;18.6;1
200710;19.6;1
200711;20.5;1
200712;21.7;1
200801;23.8;1
200802;24;1
200803;23.5;1
200804;22.2;1
200805;18;1
200806;18.3;1
200807;18.3;1
200808;17.4;1
200809;18.7;1
200810;19.7;1
200811;20.7;1
200812;22.4;1
200901;23.7;1
200902;24.4;1
200903;23.6;1
200904;21.9;1
200905;18.4;1
200906;18.3;1
200907;17;1
200908;16.6;1
200909;18;1
200910;18.2;1
200911;20.1;1
200912;22.2;1
201001;22.5;1
201002;23;1
201003;22.5;1
201004;21.8;1
201005;20.2;1
201006;20;1
201007;18.1;1
201008;18.6;1
201009;20.6;1
201010;20.7;1
201011;20.9;1
201012;23;1
201101;24.1;1
201102;23.5;1
201103;22.5;1
201104;21.6;1
201105;20.1;1
201106;19.1;1
201107;17.1;1
201108;16.8;1
201109;16.9;1
201110;19.1;1
201111;21.1;1
201112;23;1
201201;22.8;1
201202;23.3;1
201203;23;1
201204;21.6;1
201205;19;1
201206;18.6;1
201207;17.8;1
201208;16.3;1
201209;17.6;1
201210;19.3;1
201211;19.8;1
201212;22.1;1
201301;21.9;1
201302;22;1
201303;22.9;1
201304;22.1;1
201305;19;1
201306;18.5;1
201307;18;1
201308;15.8;1
201309;17.4;1
201310;19.4;1
201311;19.9;1
201312;21.3;1
201401;23.1;1
201402;22.3;1
201403;22.4;1
201404;21.4;1
201405;19.7;1
201406;18.4;1
201407;15.8;1
201408;18.1;1
201409;17.9;1
201410;18.4;1
201411;20.5;1
201412;22.8;1
201501;22.8;1
201502;24.4;1
201503;23.2;1
201504;22;1
201505;19.7;1
201506;18.2;1
201507;17.9;1
201508;17;1
201509;17;1
201510;18.6;1
201511;20.1;1
201512;22;1
201601;22.5;0
