# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97208001
# NOM_USUEL= FOND-DENIS-CADET
# LATITUDE (°) = 14.735
# LONGITUDE(°)= -61.145
# ALTITUDE (m) = 493
# NUM_SERIE= MTN297208001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 196501 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;17.8;1
196502;17.4;1
196503;17.9;1
196504;18;1
196505;19.4;1
196506;19.4;1
196507;19.5;1
196508;21.2;1
196509;21;1
196510;20.7;1
196511;20.7;1
196512;19.7;1
196601;19.4;1
196602;18.3;1
196603;18.7;1
196604;19;1
196605;19.8;1
196606;20.4;1
196607;20.5;1
196608;20.7;1
196609;20.6;1
196610;20.7;1
196611;20.4;1
196612;18.9;1
196701;18.3;1
196702;18.1;1
196703;17.7;1
196704;18.8;1
196705;19.2;1
196706;19.9;1
196707;19.9;1
196708;20.3;1
196709;20.3;1
196710;20.4;1
196711;19.9;1
196712;18.8;1
196801;17.9;1
196802;17.9;1
196803;18.1;1
196804;19;1
196805;19.8;1
196806;20.2;1
196807;20.3;1
196808;20.8;1
196809;20.6;1
196810;20.4;1
196811;20.2;1
196812;19.4;1
196901;18.2;1
196902;18.6;1
196903;19.5;1
196904;20.3;1
196905;20.9;1
196906;20.7;1
196907;20.3;1
196908;20.9;1
196909;21.1;1
196910;20.8;1
196911;20.3;1
196912;19.7;1
197001;19.2;1
197002;18;1
197003;18.5;1
197004;19.5;1
197005;20.5;1
197006;20.1;1
197007;20.2;1
197008;20.6;1
197009;20.4;1
197010;20.1;1
197011;20.1;1
197012;19;1
197101;17.9;1
197102;17.6;1
197103;17.8;1
197104;18.2;1
197105;18.9;1
