# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97209004
# NOM_USUEL= FORT-DE-FRANCE DESAIX
# LATITUDE (°) = 14.618
# LONGITUDE(°)= -61.064
# ALTITUDE (m) = 143
# NUM_SERIE= MTN297209004
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 196501 202112
# Date(s) de rupture(s) d'homogénéité : 197112 198412 199012 201012
#     Periode homogénéisée  196501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;20.3;1
196502;20.2;1
196503;20.9;1
196504;20.9;1
196505;22.5;1
196506;22.4;1
196507;22.6;1
196508;23.2;1
196509;23;1
196510;22.8;1
196511;22.7;1
196512;21.9;1
196601;21.7;1
196602;20.7;1
196603;20.8;1
196604;21.4;1
196605;21.8;1
196606;22.6;1
196607;22.6;1
196608;23.2;1
196609;23.3;1
196610;23;1
196611;22.3;1
196612;21.5;1
196701;20.7;1
196702;20.5;1
196703;20.2;1
196704;21.3;1
196705;21.9;1
196706;22.8;1
196707;22.8;1
196708;23;1
196709;22.9;1
196710;22.6;1
196711;22.1;1
196712;21.1;1
196801;20.2;1
196802;20.4;1
196803;20.6;1
196804;21;1
196805;21.9;1
196806;22.2;1
196807;22.7;1
196808;23;1
196809;22.8;1
196810;22.5;1
196811;22.1;1
196812;21.1;1
196901;20.5;1
196902;20.6;1
196903;21.6;1
196904;22.5;1
196905;23.3;1
196906;22.9;1
196907;23.2;1
196908;23.6;1
196909;23.1;1
196910;22.9;1
196911;22.5;1
196912;22;1
197001;21.6;1
197002;20.9;1
197003;21;1
197004;22.1;1
197005;23.1;1
197006;22.8;1
197007;22.7;1
197008;23.3;1
197009;23.2;1
197010;22.7;1
197011;22;1
197012;21.3;1
197101;20.9;1
197102;20.2;1
197103;20.6;1
197104;20.9;1
197105;21.5;1
197106;22.7;1
197107;22.8;1
197108;22.7;1
197109;22.9;1
197110;22.5;1
197111;22.2;1
197112;20.8;1
197201;20.8;1
197202;20.5;1
197203;21.5;1
197204;21.6;1
197205;22.4;1
197206;23.1;1
197207;23.3;1
197208;23.4;1
197209;23.3;1
197210;23.4;1
197211;22.9;1
197212;21.8;1
197301;21.5;1
197302;21.1;1
197303;21.6;1
197304;22.2;1
197305;23;1
197306;23.3;1
197307;23.6;1
197308;23.5;1
197309;23.3;1
197310;23.1;1
197311;22.4;1
197312;21;1
197401;20.9;1
197402;21.1;1
197403;20.6;1
197404;21;1
197405;22.3;1
197406;22.8;1
197407;23.2;1
197408;23.5;1
197409;22.9;1
197410;22.9;1
197411;22.8;1
197412;21.4;1
197501;20.5;1
197502;20.3;1
197503;20.8;1
197504;21.4;1
197505;22.2;1
197506;23.1;1
197507;23.2;1
197508;23.2;1
197509;23.1;1
197510;22.4;1
197511;21.9;1
197512;20.9;1
197601;19.9;1
197602;19.6;1
197603;19.7;1
197604;21.2;1
197605;22.1;1
197606;22.7;1
197607;22.9;1
197608;23;1
197609;23.3;1
197610;22.9;1
197611;22.6;1
197612;21.2;1
197701;20.9;1
197702;21;1
197703;21.2;1
197704;21.2;1
197705;22.5;1
197706;23.2;1
197707;23.3;1
197708;23.3;1
197709;23.4;1
197710;22.9;1
197711;22.5;1
197712;21.8;1
197801;21;1
197802;21.4;1
197803;21.3;1
197804;22.3;1
197805;22.9;1
197806;23.1;1
197807;23.1;1
197808;23.2;1
197809;23.4;1
197810;23.1;1
197811;22.4;1
197812;21.9;1
197901;20.4;1
197902;21.4;1
197903;21.2;1
197904;22.3;1
197905;23.2;1
197906;23.3;1
197907;23.3;1
197908;23.4;1
197909;23.4;1
197910;23.3;1
197911;23;1
197912;22.3;1
198001;21.5;1
198002;21.2;1
198003;21.2;1
198004;22.4;1
198005;23.6;1
198006;23.8;1
198007;23.6;1
198008;23.7;1
198009;23.5;1
198010;23.4;1
198011;22.8;1
198012;22.1;1
198101;21.7;1
198102;21.6;1
198103;22.2;1
198104;22.2;1
198105;23.4;1
198106;23;1
198107;23.5;1
198108;23.6;1
198109;23.6;1
198110;23.5;1
198111;23.3;1
198112;22.3;1
198201;21.3;1
198202;20.6;1
198203;20.8;1
198204;21.7;1
198205;23;1
198206;23.6;1
198207;23.4;1
198208;23.5;1
198209;23.5;1
198210;23.1;1
198211;22.3;1
198212;21.6;1
198301;21.1;1
198302;21.1;1
198303;22.1;1
198304;22.8;1
198305;23.6;1
198306;23.8;1
198307;23.8;1
198308;23.7;1
198309;23.6;1
198310;23.1;1
198311;23;1
198312;22.1;1
198401;21;1
198402;21.2;1
198403;21;1
198404;21.9;1
198405;22.5;1
198406;23.2;1
198407;23.1;1
198408;23.3;1
198409;23.3;1
198410;22.6;1
198411;22;1
198412;21.1;1
198501;21.2;1
198502;21.2;1
198503;21;1
198504;22;1
198505;22.9;1
198506;24.2;1
198507;23.7;1
198508;23.5;1
198509;23.9;1
198510;23.3;1
198511;23;1
198512;22.3;1
198601;21.3;1
198602;21.1;1
198603;21.5;1
198604;22.7;1
198605;23.4;1
198606;23.7;1
198607;23.5;1
198608;23.9;1
198609;23.6;1
198610;23.5;1
198611;22.1;1
198612;21.5;1
198701;21.3;1
198702;21.6;1
198703;21.9;1
198704;23.8;1
198705;23.6;1
198706;24;1
198707;24.3;1
198708;24.3;1
198709;24;1
198710;23.8;1
198711;23.2;1
198712;22.9;1
198801;21.4;1
198802;21.1;1
198803;21;1
198804;22.1;1
198805;22.6;1
198806;23;1
198807;23.2;1
198808;22.5;1
198809;23.2;1
198810;23.3;1
198811;22.7;1
198812;21.5;1
198901;20.7;1
198902;20.3;1
198903;20.6;1
198904;21.2;1
198905;22.5;1
198906;24;1
198907;23.9;1
198908;24;1
198909;24;1
198910;24;1
198911;23.5;1
198912;22.5;1
199001;21.5;1
199002;21.3;1
199003;21.7;1
199004;22.5;1
199005;23.9;1
199006;23.8;1
199007;24;1
199008;24.2;1
199009;24.4;1
199010;24.1;1
199011;23.8;1
199012;22.7;1
199101;21.2;1
199102;21.4;1
199103;21.5;1
199104;22.1;1
199105;22.8;1
199106;23.7;1
199107;23.6;1
199108;23.6;1
199109;23.9;1
199110;23.2;1
199111;22.7;1
199112;21.5;1
