# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97213004
# NOM_USUEL= LAMENTIN-AERO
# LATITUDE (°) = 14.595
# LONGITUDE(°)= -60.996
# ALTITUDE (m) = 3
# NUM_SERIE= MTN297213004
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 196501 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;21;1
196502;21.4;1
196503;22.2;1
196504;20.8;1
196505;22.9;1
196506;23.8;1
196507;24;1
196508;24;1
196509;23.3;1
196510;22.7;1
196511;22.5;1
196512;21.3;1
196601;21.9;1
196602;21.6;1
196603;21.3;1
196604;22.5;1
196605;23.7;1
196606;24.2;1
196607;23.9;1
196608;23.9;1
196609;23.4;1
196610;23.1;1
196611;22;1
196612;21.8;1
196701;22.2;1
196702;21.6;1
196703;20.8;1
196704;21.6;1
196705;23.2;1
196706;23.5;1
196707;23.9;1
196708;23.9;1
196709;22.9;1
196710;22.4;1
196711;22.5;1
196712;21.2;1
196801;20.2;1
196802;19.6;1
196803;20.1;1
196804;20.6;1
196805;22.2;1
196806;22.9;1
196807;24;1
196808;24;1
196809;23.3;1
196810;22.9;1
196811;22.4;1
196812;21.3;1
196901;21.4;1
196902;20.4;1
196903;21.1;1
196904;23.2;1
196905;24;1
196906;24.1;1
196907;24;1
196908;23.9;1
196909;22.9;1
196910;22.3;1
196911;22.7;1
196912;21.9;1
197001;22;1
197002;20.9;1
197003;21.7;1
197004;22.7;1
197005;22.9;1
197006;24.1;1
197007;24;1
197008;24.2;1
197009;23.3;1
197010;22.9;1
197011;21.8;1
197012;22.2;1
197101;21.7;1
197102;21.2;1
197103;21.6;1
197104;21.4;1
197105;22.4;1
197106;24.3;1
197107;24.4;1
197108;23.4;1
197109;23;1
197110;22.7;1
197111;21.6;1
197112;20.9;1
197201;22.1;1
197202;21.4;1
197203;21.1;1
197204;22.3;1
197205;23.5;1
197206;23.8;1
197207;24.6;1
197208;24.4;1
197209;23.5;1
197210;23.1;1
197211;22.9;1
197212;22.1;1
197301;21.7;1
197302;20.2;1
197303;21.7;1
197304;22.6;1
197305;24;1
197306;24.4;1
197307;24.7;1
197308;24.1;1
197309;23.3;1
197310;23.4;1
197311;22.8;1
197312;20.4;1
197401;21.9;1
197402;21.6;1
197403;21.2;1
197404;21.8;1
197405;23;1
197406;23.9;1
197407;24.1;1
197408;24.1;1
197409;22.7;1
197410;22.3;1
197411;22.5;1
197412;20.9;1
197501;20.6;1
197502;21.3;1
197503;21.3;1
197504;21.9;1
197505;23.1;1
197506;24.3;1
197507;24.1;1
197508;23.9;1
197509;22.9;1
197510;22.7;1
197511;22;1
197512;21.8;1
197601;20.7;1
197602;20.6;1
197603;21.2;1
197604;21.7;1
197605;23.7;1
197606;24.4;1
197607;24.4;1
197608;23.6;1
197609;23;1
197610;22.7;1
197611;23.3;1
197612;21.7;1
197701;20.6;1
197702;21.5;1
197703;21.5;1
197704;22.4;1
197705;23;1
197706;24;1
197707;24.1;1
197708;23.7;1
197709;23.5;1
197710;23.2;1
197711;22.4;1
197712;21.9;1
197801;20.4;1
197802;20.5;1
197803;21.4;1
197804;21.6;1
197805;23.3;1
197806;24;1
197807;24;1
197808;23.5;1
197809;22.7;1
197810;22.8;1
197811;22.5;1
197812;22.6;1
197901;19.2;1
197902;21.4;1
197903;21.2;1
197904;23;1
197905;23.6;1
197906;24.7;1
197907;24.6;1
197908;24.5;1
197909;23.7;1
197910;23.5;1
197911;22.7;1
197912;22.4;1
198001;21.4;1
198002;21.7;1
198003;22.1;1
198004;22.5;1
198005;24.3;1
198006;24.8;1
198007;24.3;1
198008;24.2;1
198009;23.5;1
198010;23.2;1
198011;23.3;1
198012;21.7;1
198101;21.1;1
198102;22.3;1
198103;21.3;1
198104;22.9;1
198105;24.2;1
198106;24.6;1
198107;24.1;1
198108;24;1
198109;23.3;1
198110;22.7;1
198111;22.9;1
198112;22.5;1
198201;22;1
198202;22;1
198203;22;1
198204;22.1;1
198205;23.5;1
198206;24.9;1
198207;24.5;1
198208;24.1;1
198209;23.4;1
198210;23;1
198211;22.6;1
198212;22.1;1
198301;22.3;1
198302;21.2;1
198303;23.1;1
198304;23.1;1
198305;24.7;1
198306;25;1
198307;25;1
198308;24.4;1
198309;24.6;1
198310;23.2;1
198311;22.7;1
198312;22.5;1
198401;21.2;1
198402;21.9;1
198403;21.8;1
198404;21.9;1
198405;23.5;1
198406;24.1;1
198407;24.3;1
198408;24.6;1
198409;23.4;1
198410;23.5;1
198411;23.2;1
198412;21.7;1
198501;21.3;1
198502;22;1
198503;21.7;1
198504;21.9;1
198505;23.7;1
198506;24.8;1
198507;24.9;1
198508;24;1
198509;24;1
198510;23.5;1
198511;22.7;1
198512;23.3;1
198601;22;1
198602;20.2;1
198603;21.6;1
198604;22.5;1
198605;23.8;1
198606;24.9;1
198607;24.5;1
198608;24.6;1
198609;23.8;1
198610;24;1
198611;22.8;1
198612;22.5;1
198701;21.4;1
198702;21.1;1
198703;20.7;1
198704;23.7;1
198705;23.9;1
198706;25.1;1
198707;25.2;1
198708;25;1
198709;24.2;1
198710;24;1
198711;23.5;1
198712;23.7;1
198801;21.8;1
198802;22.4;1
198803;22;1
198804;22.4;1
198805;24.1;1
198806;24.7;1
198807;24.9;1
198808;24.5;1
198809;24.2;1
198810;24;1
198811;23.6;1
198812;22.5;1
198901;22.4;1
198902;21.8;1
198903;22.1;1
198904;22.4;1
198905;23.3;1
198906;24.9;1
198907;24.4;1
198908;23.4;1
198909;23.8;1
198910;23.3;1
198911;23.8;1
198912;22.4;1
199001;22.6;1
199002;21.6;1
199003;22.3;1
199004;22.9;1
199005;24.7;1
199006;24.7;1
199007;24.5;1
199008;24.4;1
199009;23.7;1
199010;23.8;1
199011;23.5;1
199012;21.8;1
199101;22.6;1
199102;21.9;1
199103;22.5;1
199104;23.4;1
199105;23.8;1
199106;24.9;1
199107;24.4;1
199108;23.8;1
199109;23.3;1
199110;21.6;1
199111;22.2;1
199112;20.6;1
199201;21.6;1
199202;21.7;1
199203;22.1;1
199204;22.7;1
199205;23.6;1
199206;24.5;1
199207;24.6;1
199208;24.1;1
199209;23.3;1
199210;22.4;1
199211;22.6;1
199212;21.7;1
199301;21.6;1
199302;20.8;1
199303;22;1
199304;23;1
199305;23.5;1
199306;24.9;1
199307;24.7;1
199308;24.1;1
199309;23.5;1
199310;23.9;1
199311;23.1;1
199312;22.6;1
199401;22.2;1
199402;22.1;1
199403;21.1;1
199404;22.2;1
199405;23.9;1
199406;24.6;1
199407;24.8;1
199408;24.5;1
199409;23.2;1
199410;23;1
199411;22.9;1
199412;22;1
199501;21.3;1
199502;21.2;1
199503;21.8;1
199504;22.5;1
199505;23.4;1
199506;24.8;1
199507;24.7;1
199508;24.1;1
199509;24;1
199510;23.2;1
199511;23.3;1
199512;22.4;1
199601;21.5;1
199602;22.1;1
199603;22.3;1
199604;22.6;1
199605;24.1;1
199606;24.7;1
199607;24.5;1
199608;23.8;1
199609;24.1;1
199610;23.4;1
199611;23.1;1
199612;21.8;1
199701;22.6;1
199702;22.9;1
199703;22.1;1
199704;21.6;1
199705;23.7;1
199706;25.1;1
199707;24.8;1
199708;24.2;1
199709;24.2;1
199710;24.4;1
199711;24;1
199712;23.2;1
199801;22.4;1
199802;21.8;1
199803;23.2;1
199804;23.6;1
199805;24.3;1
199806;25.4;1
199807;24.7;1
199808;24.7;1
199809;24.3;1
199810;23.9;1
199811;23.4;1
199812;23.3;1
199901;22.2;1
199902;20.6;1
199903;22.4;1
199904;22.9;1
199905;23.6;1
199906;24.7;1
199907;24.6;1
199908;24;1
199909;23.6;1
199910;23.4;1
199911;23;1
199912;22.7;1
200001;22.3;1
200002;21.7;1
200003;21.4;1
200004;23;1
200005;23.6;1
200006;25.1;1
200007;24.7;1
200008;24.6;1
200009;23.6;1
200010;23.5;1
200011;23.3;1
200012;22.5;1
200101;21.6;1
200102;22;1
200103;21.9;1
200104;23.2;1
200105;24.6;1
200106;25.2;1
200107;24.8;1
200108;24.9;1
200109;24.3;1
200110;24.3;1
200111;22.4;1
200112;23.3;1
200201;23.1;1
200202;21.5;1
200203;22.7;1
200204;23;1
200205;24.4;1
200206;25.1;1
200207;24.9;1
200208;24.6;1
200209;23.9;1
200210;23.5;1
200211;23.4;1
200212;22.7;1
200301;21.9;1
200302;22.4;1
200303;21.4;1
200304;23.4;1
200305;25.1;1
200306;24.8;1
200307;24.9;1
200308;24.2;1
200309;24.1;1
200310;23.6;1
200311;23.5;1
200312;22.7;1
200401;21.8;1
200402;22;1
200403;21.9;1
200404;23.1;1
200405;24.3;1
200406;24.7;1
200407;24.5;1
200408;24.4;1
200409;23.5;1
200410;23.6;1
200411;23;1
200412;22.8;1
200501;22.5;1
200502;21.7;1
200503;22.9;1
200504;24.1;1
200505;24.4;1
200506;24.6;1
200507;24.7;1
200508;24.5;1
200509;24.2;1
200510;23.8;1
200511;23.3;1
200512;23.3;1
200601;23;1
200602;22.7;1
200603;22.6;1
200604;22.6;1
200605;24;1
200606;24.7;1
200607;25.3;1
200608;24.8;1
200609;24;1
200610;24.3;1
200611;23.2;1
200612;23.7;1
200701;22.2;1
200702;22.7;1
200703;23;1
200704;23.1;1
200705;24.5;1
200706;25.2;1
200707;25.2;1
200708;24.7;1
200709;23.7;1
200710;23.8;1
200711;23.7;1
200712;22.8;1
200801;21.7;1
200802;22.3;1
200803;22.2;1
200804;23.1;1
200805;23.6;1
200806;24.8;1
200807;24.9;1
200808;25;1
200809;23.9;1
200810;23.7;1
200811;23.7;1
200812;22.4;1
200901;23.1;1
200902;22.5;1
200903;22.3;1
200904;23.2;1
200905;23.9;1
200906;24.4;1
200907;25.4;1
200908;25.5;1
200909;24.5;1
200910;23.9;1
200911;23.7;1
200912;22.9;1
201001;22.9;1
201002;21.8;1
201003;23.4;1
201004;23.9;1
201005;24.9;1
201006;25;1
201007;25.6;1
