# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 97218002
# NOM_USUEL= MORNE-ROUGE-CHAMP
# LATITUDE (°) = 14.755
# LONGITUDE(°)= -61.11
# ALTITUDE (m) = 350
# NUM_SERIE= MTN297218002
# Amplitude minimale détectable de la série = 0.23
# Période homogénéisée : 196501 202112
# Date(s) de rupture(s) d'homogénéité : 197112 197612 200612
#     Periode homogénéisée  196501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;18.3;1
196502;18.8;1
196503;19.6;1
196504;18.7;1
196505;20.9;1
196506;21.4;1
196507;21.7;1
196508;21.4;1
196509;21;1
196510;21.6;1
196511;21;1
196512;20.7;1
196601;19.1;1
196602;19.3;1
196603;19.1;1
196604;20;1
196605;20.8;1
196606;22;1
196607;21.7;1
196608;21.1;1
196609;21;1
196610;20.6;1
196611;20.1;1
196612;19.1;1
196701;19.2;1
196702;19.1;1
196703;18;1
196704;19.2;1
196705;20;1
196706;20.8;1
196707;21.1;1
196708;20.9;1
196709;19.6;1
196710;19.5;1
196711;19.9;1
196712;18;1
196801;17.1;1
196802;17.2;1
196803;17.4;1
196804;18.3;1
196805;19.3;1
196806;21;1
196807;21.3;1
196808;21.3;1
196809;20.9;1
196810;20;1
196811;19.5;1
196812;19.1;1
196901;18.1;1
196902;16.8;1
196903;17.6;1
196904;20.8;1
196905;21.3;1
196906;21.6;1
196907;21.4;1
196908;20.8;1
196909;20.1;1
196910;19.6;1
196911;19.1;1
196912;19.9;1
197001;19.3;1
197002;18.7;1
197003;18.5;1
197004;20.3;1
197005;21;1
197006;22;1
197007;21.2;1
197008;21.9;1
197009;21.2;1
197010;20.8;1
197011;19.5;1
197012;19.9;1
197101;18.5;1
197102;19;1
197103;19.3;1
197104;19.5;1
197105;18.3;1
197106;20;1
197107;20.4;1
197108;21.3;1
197109;21;1
197110;21.2;1
197111;20.5;1
197112;19.1;1
197201;18.6;1
197202;19.1;1
197203;19;1
197204;20;1
197205;20.9;1
197206;21.9;1
197207;21.9;1
197208;21.7;1
197209;21.5;1
197210;20.7;1
197211;20.8;1
197212;19.3;1
197301;19.2;1
197302;18;1
197303;19.1;1
197304;19.7;1
197305;21.1;1
197306;21.8;1
197307;21.9;1
197308;21.2;1
197309;20.9;1
197310;21;1
197311;20;1
197312;18;1
197401;19;1
197402;18.6;1
197403;18.8;1
197404;18.9;1
197405;19.9;1
197406;21.2;1
197407;21.3;1
197408;21;1
197409;20.3;1
197410;20.1;1
197411;20.5;1
197412;18.3;1
197501;17.9;1
197502;18.3;1
197503;18.5;1
197504;19;1
197505;20.3;1
197506;21.7;1
197507;21.8;1
197508;21.8;1
197509;20.5;1
197510;20.1;1
197511;20.3;1
197512;19.2;1
197601;17.8;1
197602;18.3;1
197603;18.3;1
197604;18.8;1
197605;20.8;1
197606;21.4;1
197607;21.8;1
197608;21.4;1
197609;21.1;1
197610;19.7;1
197611;21.2;1
197612;20.1;1
197701;19.1;1
197702;19.3;1
197703;18.9;1
197704;19.6;1
197705;20.9;1
197706;22.1;1
197707;21.6;1
197708;21.8;1
197709;21.7;1
197710;21;1
197711;20.3;1
197712;20.1;1
197801;18.4;1
197802;18.5;1
197803;19.1;1
197804;19.8;1
197805;21.2;1
197806;21.8;1
197807;21.8;1
197808;21.2;1
197809;22;1
197810;20.7;1
197811;19.8;1
197812;19.8;1
197901;17.3;1
197902;18.7;1
197903;18.6;1
197904;20.6;1
197905;21;1
197906;22.5;1
197907;21.8;1
197908;21.7;1
197909;20.8;1
197910;20.9;1
197911;19.1;1
197912;18.9;1
198001;18.1;1
198002;19.1;1
198003;19.3;1
198004;20.4;1
198005;22.3;1
198006;22.5;1
198007;21.8;1
198008;21.6;1
198009;21;1
198010;21.3;1
198011;20.9;1
198012;19.8;1
198101;18.8;1
198102;19.2;1
198103;19.1;1
198104;20.3;1
198105;21.8;1
198106;22.2;1
198107;22.3;1
198108;21.8;1
198109;20.7;1
198110;20.7;1
198111;20.2;1
198112;20.5;1
198201;19.7;1
198202;19.4;1
198203;19.2;1
198204;19.6;1
198205;21.4;1
198206;22.3;1
198207;22;1
198208;21.7;1
198209;21.2;1
198210;20.4;1
198211;20;1
198212;19.7;1
198301;19.6;1
198302;19.1;1
198303;20.3;1
198304;20.3;1
198305;21.8;1
198306;22.5;1
198307;22.4;1
198308;21.7;1
198309;21.7;1
198310;21;1
198311;20.1;1
198312;19.6;1
198401;18.4;1
198402;19.3;1
198403;19.3;1
198404;19.4;1
198405;20.7;1
198406;21.8;1
198407;21.5;1
198408;21.9;1
198409;20.8;1
198410;21;1
198411;20.3;1
198412;18.6;1
198501;18.6;1
198502;18.8;1
198503;18.9;1
198504;19.1;1
198505;20.9;1
198506;21.9;1
198507;22.2;1
198508;21.7;1
198509;21.3;1
198510;21.1;1
198511;19.5;1
198512;20.5;1
198601;19.4;1
198602;17.5;1
198603;18.7;1
198604;20.5;1
198605;21.2;1
198606;21.8;1
198607;21.5;1
198608;22.1;1
198609;21.3;1
198610;21.2;1
198611;20.1;1
198612;20;1
198701;19.1;1
198702;18.9;1
198703;18.2;1
198704;20.5;1
198705;21;1
198706;22.6;1
198707;22.8;1
198708;22.6;1
198709;21.5;1
198710;21.6;1
198711;20.7;1
198712;21.2;1
198801;19.3;1
198802;19.4;1
198803;19.3;1
198804;19.8;1
198805;21.7;1
198806;22.2;1
198807;22.7;1
198808;21.9;1
198809;21.7;1
198810;21.5;1
198811;21.3;1
198812;19.6;1
198901;18.7;1
198902;19.2;1
198903;19.2;1
198904;20.1;1
198905;20.3;1
198906;21.6;1
198907;21.5;1
198908;20.8;1
198909;21.3;1
198910;20.9;1
198911;21.5;1
198912;20.3;1
199001;19.9;1
199002;19.3;1
199003;19.7;1
199004;20.1;1
199005;21.5;1
199006;22.3;1
199007;22.2;1
199008;22.3;1
199009;20.9;1
199010;21.4;1
199011;21;1
199012;19.5;1
199101;19.7;1
199102;19.4;1
199103;19.9;1
199104;20.7;1
199105;21.4;1
199106;22;1
199107;22.5;1
199108;22.2;1
199109;21.8;1
199110;20.3;1
199111;20.7;1
199112;19.1;1
199201;19.7;1
199202;19.5;1
199203;19.6;1
199204;20.5;1
199205;21.4;1
199206;22.2;1
199207;22.3;1
199208;21.8;1
199209;20.8;1
199210;20.4;1
199211;20.3;1
199212;19.9;1
199301;19.1;1
199302;18.5;1
199303;19.6;1
199304;20.5;1
199305;21.3;1
199306;22.6;1
199307;22.2;1
199308;21.6;1
199309;21.2;1
199310;21.5;1
199311;20.9;1
199312;20;1
199401;19.6;1
199402;19.1;1
199403;18.7;1
199404;19.4;1
199405;21.4;1
199406;21.6;1
199407;21.7;1
199408;21.8;1
199409;21;1
199410;20.7;1
199411;20.4;1
199412;19.5;1
199501;19;1
199502;19;1
199503;19.2;1
199504;20;1
199505;21.5;1
199506;22.3;1
199507;22.1;1
199508;21.3;1
199509;21.2;1
199510;20.5;1
199511;21;1
199512;20.2;1
199601;19.3;1
199602;19.8;1
199603;19.7;1
199604;19.8;1
199605;21.2;1
199606;21.9;1
199607;22;1
199608;21.3;1
199609;21.4;1
199610;21.3;1
199611;20.8;1
199612;19.8;1
199701;20.1;1
199702;20;1
199703;19.3;1
199704;19.2;1
199705;21.1;1
199706;22.6;1
199707;22.3;1
199708;22;1
199709;22.1;1
199710;22;1
199711;21.9;1
199712;21.3;1
199801;19.7;1
199802;19.5;1
199803;20.7;1
199804;21.7;1
199805;22.1;1
199806;23;1
199807;22.9;1
199808;22.8;1
199809;22.2;1
199810;22.4;1
199811;21.2;1
199812;20.9;1
199901;20.2;1
199902;18.4;1
199903;20.1;1
199904;20.6;1
199905;22;1
199906;22.5;1
199907;22;1
199908;22.4;1
199909;21.6;1
199910;21.6;1
199911;20.9;1
199912;20.4;1
200001;18.7;1
200002;19.5;1
200003;19.3;1
200004;20.3;1
200005;21.3;1
200006;22.3;1
200007;22.5;1
200008;22.6;1
200009;21.2;1
200010;21;1
200011;21;1
200012;20;1
200101;19.5;1
200102;18.9;1
200103;19.8;1
200104;20.4;1
200105;22.3;1
200106;22.3;1
200107;22.4;1
200108;22.2;1
200109;22.5;1
200110;22.3;1
200111;19.2;1
200112;21.8;1
200201;20.5;1
200202;18.9;1
200203;20.2;1
200204;20.9;1
200205;21.9;1
200206;22.7;1
200207;22.4;1
200208;22.3;1
200209;21.7;1
200210;22;1
200211;21.5;1
200212;20.3;1
200301;19.5;1
200302;19.9;1
200303;19.1;1
200304;20.8;1
200305;22.1;1
200306;22;1
200307;22.4;1
200308;22;1
200309;21.5;1
200310;21.2;1
200311;21.4;1
200312;20.2;1
200401;20;1
200402;20.5;1
200403;19.3;1
200404;20.8;1
200405;21.8;1
200406;22;1
200407;22;1
200408;22.4;1
200409;21.9;1
200410;21.7;1
200411;21.3;1
200412;21.5;1
200501;20.9;1
200502;19.3;1
200503;20.2;1
200504;21.9;1
200505;21.9;1
200506;22.9;1
200507;22.7;1
200508;22.1;1
200509;21.7;1
200510;21.5;1
200511;20.6;1
200512;20.5;1
200601;20.1;1
200602;19.7;1
200603;21;1
200604;20.7;1
200605;21.8;1
200606;22.6;1
200607;23.3;1
200608;22.6;1
200609;21.3;1
200610;22.5;1
200611;20.7;1
200612;20.6;1
200701;19.7;1
200702;20.1;1
200703;20.1;1
200704;20.5;1
200705;22.1;1
200706;22.6;1
200707;22.7;1
200708;22.3;1
200709;20.8;1
200710;20.7;1
200711;21.1;1
200712;20.1;1
200801;18;1
200802;19.1;1
200803;19.3;1
200804;20.8;1
200805;21.4;1
200806;22.5;1
200807;22.7;1
200808;22.3;1
200809;21.4;1
200810;21.7;1
200811;21.1;1
200812;20.3;1
200901;20.3;1
200902;19.5;1
200903;18.8;1
200904;20.4;1
200905;21.5;1
200906;22;1
200907;22.8;1
200908;22.7;1
200909;22.4;1
200910;21.5;1
200911;21.8;1
200912;20.5;1
201001;20.6;1
201002;19.2;1
201003;21.3;1
201004;21.3;1
201005;23.1;1
201006;22.9;1
201007;23.2;1
201008;22.4;1
201009;21.9;1
201010;21.9;1
201011;21.7;1
201012;20.7;1
201101;20.8;1
201102;20.2;1
201103;19.5;1
201104;19.6;1
201105;21.9;1
201106;23.1;1
201107;22.7;1
201108;22.7;1
201109;21.8;1
201110;22.6;1
201111;21.8;1
201112;20.2;1
201201;20.3;1
201202;20;1
201203;20.5;1
201204;21.2;1
201205;22.1;1
201206;23.2;1
201207;22.9;1
201208;22.9;1
201209;20.9;1
201210;21.9;1
201211;21.6;1
201212;20.4;1
201301;20.1;1
201302;20.3;1
201303;19.1;1
201304;20.9;1
201305;21.9;1
201306;22.6;1
201307;22.6;1
201308;22.8;1
201309;22;1
201310;22.2;1
201311;21.1;1
201312;21.3;1
201401;20.4;1
201402;20.3;1
201403;19.6;1
201404;20.6;1
201405;21.3;1
201406;22.5;1
201407;22.7;1
201408;22.7;1
201409;22.6;1
201410;21.5;1
201411;22;1
201412;19.8;1
201501;20;1
201502;20;1
201503;20.2;1
201504;21.1;1
201505;21.9;1
201506;22.5;1
201507;22.8;1
201508;23.3;1
201509;21.7;1
201510;22.5;1
201511;22;1
201512;21.5;1
201601;19.9;1
201602;20.4;1
201603;20.4;1
201604;21.3;1
201605;22.5;1
201606;22.6;1
201607;23;1
201608;22.7;1
201609;21.8;1
201610;21.9;1
201611;21.6;1
201612;21.5;1
201701;19.7;1
201702;19.7;1
201703;20.5;1
201704;21.5;1
201705;22.6;1
201706;23.1;1
201707;23.1;1
201708;23.3;1
201709;22.8;1
201710;22.6;1
201711;21.9;1
201712;21.1;1
201801;21.1;1
201802;20;1
201803;20.3;1
201804;21.2;1
201805;21.8;1
201806;22.7;1
201807;23.1;1
201808;22.8;1
201809;22.6;1
201810;21.5;1
201811;22.3;1
201812;20.5;1
201901;19.5;1
201902;19.9;1
201903;20.5;1
201904;20.6;1
201905;22.4;1
201906;23.3;1
201907;23.2;1
201908;23.1;1
201909;21.2;1
201910;21.9;1
201911;20.9;1
201912;20.9;1
202001;19.8;1
202002;20.3;1
202003;20.4;1
202004;21.3;1
202005;22.7;1
202006;23.3;1
202007;23;1
202008;23.4;1
202009;21.8;1
202010;22.1;1
202011;22.3;1
202012;19.6;1
202101;20.7;1
202102;20.4;1
202103;20.4;1
202104;21;1
202105;22.1;1
202106;22.7;1
202107;23;1
202108;22.8;1
202109;21.7;1
202110;22.5;1
202111;21.6;1
202112;21.5;1
202201;19.3;0
202202;20;0
202203;20.7;0
202204;20.7;0
202205;22.3;0
202206;22.8;0
202207;22.7;0
202208;22.7;0
202209;21.8;0
202210;21.8;0
202211;21.5;0
202212;18.9;0
