# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97210001
# NOM_USUEL= FRANCOIS-CHOPOT
# LATITUDE (°) = 14.63
# LONGITUDE(°)= -60.92
# ALTITUDE (m) = 53
# NUM_SERIE= MTX097210001
# Amplitude minimale détectable de la série = 0.26
# Période homogénéisée : 196501 201312
# Date(s) de rupture(s) d'homogénéité : 196712 199712 200512
#     Periode homogénéisée  196501 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;27.7;1
196502;27.7;1
196503;28.5;1
196504;28.3;1
196505;28.9;1
196506;29;1
196507;29.4;1
196508;30;1
196509;29.4;1
196510;29.7;1
196511;29.2;1
196512;28.6;1
196601;28.1;1
196602;26.9;1
196603;27.3;1
196604;27.7;1
196605;27.4;1
196606;27.9;1
196607;28.6;1
196608;29.4;1
196609;29.2;1
196610;28.7;1
196611;28.6;1
196612;28.3;1
196701;27.1;1
196702;26.8;1
196703;27.4;1
196704;28.2;1
196705;29.1;1
196706;29.2;1
196707;28.7;1
196708;28.8;1
196709;28.8;1
196710;29.6;1
196711;28.9;1
196712;27.9;1
196801;27;1
196802;27.7;1
196803;28.2;1
196804;29;1
196805;30;1
196806;29.6;1
196807;30.2;1
196808;30.5;1
196809;30.7;1
196810;30.8;1
196811;29.3;1
196812;28.2;1
196901;27.7;1
196902;28.3;1
196903;29.3;1
196904;29.7;1
196905;30.1;1
196906;29.6;1
196907;29.9;1
196908;30.8;1
196909;30.2;1
196910;30.1;1
196911;29.3;1
196912;28.6;1
197001;28.6;1
197002;27.5;1
197003;28.4;1
197004;29.1;1
197005;29.7;1
197006;29.3;1
197007;28.9;1
197008;30.4;1
197009;30.7;1
197010;30.7;1
197011;30.1;1
197012;28.3;1
197101;27.4;1
197102;27.4;1
197103;28.1;1
197104;28.6;1
197105;28.8;1
197106;29.9;1
197107;30.1;1
197108;29.8;1
197109;29.2;1
197110;29.7;1
197111;28.1;1
197112;27.5;1
197201;27;1
197202;27.1;1
197203;27.2;1
197204;27.3;1
197205;27.4;1
197206;27.4;1
197207;27.5;1
197208;28.4;1
197209;29.4;1
197210;30.1;1
197211;29.4;1
197212;28.3;1
197301;28.3;1
197302;28.6;1
197303;29;1
197304;29.1;1
197305;29.8;1
197306;29.6;1
197307;29.7;1
197308;30.4;1
197309;30.1;1
197310;30.3;1
197311;29.5;1
197312;28.7;1
197401;27.7;1
197402;28.5;1
197403;27.4;1
197404;27.8;1
197405;28.6;1
197406;28.9;1
197407;29.1;1
197408;29.9;1
197409;29.9;1
197410;29.4;1
197411;28.3;1
197412;27.4;1
197501;27.1;1
197502;27.5;1
197503;27.9;1
197504;28.2;1
197505;29.2;1
197506;29.6;1
197507;29.6;1
197508;29.7;1
197509;29.6;1
197510;28.8;1
197511;27.9;1
197512;27.6;1
197601;27.5;1
197602;27.3;1
197603;27.3;1
197604;27.7;1
197605;28.6;1
197606;28.5;1
197607;28.3;1
197608;29.3;1
197609;29.5;1
197610;29.1;1
197611;27.9;1
197612;27.6;1
197701;27.3;1
197702;27.8;1
197703;28.2;1
197704;28.4;1
197705;28.9;1
197706;28.9;1
197707;28.9;1
197708;29.1;1
197709;29.4;1
197710;28.9;1
197711;28.6;1
197712;28;1
197801;27.5;1
197802;27.7;1
197803;28;1
197804;28.9;1
197805;29.7;1
197806;28.6;1
197807;28.8;1
197808;29.3;1
197809;29.7;1
197810;29.2;1
197811;28.4;1
197812;28.5;1
197901;27.2;1
197902;28;1
197903;28.2;1
197904;28.9;1
197905;29.7;1
197906;29.4;1
197907;29.3;1
197908;29.8;1
197909;29.3;1
197910;29.5;1
197911;28.9;1
197912;28.6;1
198001;28.1;1
198002;28.1;1
198003;28.4;1
198004;29.1;1
198005;29.4;1
198006;29.4;1
198007;29.7;1
198008;29.9;1
198009;30.4;1
198010;30.4;1
198011;29.1;1
198012;27.8;1
198101;27.8;1
198102;28;1
198103;28.4;1
198104;28;1
198105;29;1
198106;29;1
198107;29.3;1
198108;29.6;1
198109;30.1;1
198110;30;1
198111;29.2;1
198112;28.4;1
198201;28;1
198202;27.3;1
198203;26.6;1
198204;27.7;1
198205;28.6;1
198206;29.2;1
198207;29.4;1
198208;29.4;1
198209;29.4;1
198210;29.6;1
198211;28.8;1
198212;28.4;1
198301;27.3;1
198302;27.2;1
198303;28.2;1
198304;28.8;1
198305;28.9;1
198306;28.7;1
198307;28.9;1
198308;29.2;1
198309;29.3;1
198310;29.2;1
198311;28.7;1
198312;28.7;1
198401;28.9;1
198402;29.2;1
198403;29.2;1
198404;28.6;1
198405;28.8;1
198406;28.5;1
198407;29.2;1
198408;29.4;1
198409;29.4;1
198410;29.3;1
198411;28.3;1
198412;27.9;1
198501;27;1
198502;27.2;1
198503;27.3;1
198504;27.8;1
198505;28.5;1
198506;28.6;1
198507;29.5;1
198508;29.7;1
198509;29.8;1
198510;29.3;1
198511;28.8;1
198512;28.1;1
198601;27.6;1
198602;27.4;1
198603;27.7;1
198604;28.5;1
198605;29;1
198606;29.2;1
198607;29.6;1
198608;29.8;1
198609;29.9;1
198610;29.9;1
198611;29.4;1
198612;28.1;1
198701;27.6;1
198702;27.8;1
198703;28.2;1
198704;29.6;1
198705;30.2;1
198706;29.7;1
198707;29.7;1
198708;30;1
198709;30.5;1
198710;30.1;1
198711;29.3;1
198712;28.9;1
198801;28.7;1
198802;27.9;1
198803;28.3;1
198804;29.4;1
198805;29.7;1
198806;29.5;1
198807;29.9;1
198808;30.2;1
198809;30;1
198810;30;1
198811;29.7;1
198812;29.3;1
198901;29.3;1
198902;29.1;1
198903;28.5;1
198904;27.4;1
198905;27.9;1
198906;28.4;1
198907;29.5;1
198908;29.9;1
198909;29.9;1
198910;29.9;1
198911;29.2;1
198912;28.5;1
199001;27.5;1
199002;27.3;1
199003;27.6;1
199004;28.1;1
199005;28.7;1
199006;29.5;1
199007;29.7;1
199008;30;1
199009;30.2;1
199010;30;1
199011;29.5;1
199012;28.5;1
199101;27.8;1
199102;27.6;1
199103;28.4;1
199104;28.6;1
199105;29.4;1
199106;29.6;1
199107;29.6;1
199108;29.9;1
199109;30.3;1
199110;30.4;1
199111;28.8;1
199112;28.2;1
199201;27.9;1
199202;27.8;1
199203;28.1;1
199204;29.1;1
199205;29.3;1
199206;29.3;1
199207;29.7;1
199208;29.9;1
199209;29.8;1
199210;30.1;1
199211;28.6;1
199212;28.2;1
199301;27.9;1
199302;28.1;1
199303;28.1;1
199304;29.3;1
199305;29.4;1
199306;29.3;1
199307;29.7;1
199308;30.2;1
199309;30.3;1
199310;30.4;1
199311;29.5;1
199312;29.3;1
199401;28.8;1
199402;28.3;1
199403;28.5;1
199404;29.1;1
199405;29.4;1
199406;29.4;1
199407;29.9;1
199408;29.7;1
199409;30;1
199410;30.1;1
199411;29.5;1
199412;29.3;1
199501;29.1;1
199502;28.9;1
199503;28.7;1
199504;28.9;1
199505;30;1
199506;29.8;1
199507;30.1;1
199508;30.2;1
199509;30.3;1
199510;30.4;1
199511;29.8;1
199512;29.5;1
199601;28.9;1
199602;29.1;1
199603;29.1;1
199604;29.3;1
199605;29.6;1
199606;29.7;1
199607;29.8;1
199608;30.4;1
199609;30.2;1
199610;30.1;1
199611;29.3;1
199612;28.7;1
199701;28.3;1
199702;28.1;1
199703;28.6;1
199704;29.2;1
199705;29.6;1
199706;29.7;1
199707;29.9;1
199708;30;1
199709;30.3;1
199710;30.7;1
199711;29.7;1
199712;29.5;1
199801;28.8;1
199802;29.3;1
199803;29.6;1
199804;30;1
199805;30.5;1
199806;29.9;1
199807;30;1
199808;31;1
199809;30.9;1
199810;30.3;1
199811;29.6;1
199812;28.8;1
199901;28.2;1
199902;27.8;1
199903;28.1;1
199904;28.4;1
199905;29.7;1
