# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97352001
# NOM_USUEL= SAUL_SAPC
# LATITUDE (°) = 3.624
# LONGITUDE(°)= -53.208
# ALTITUDE (m) = 219
# NUM_SERIE= MTX097352001
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 195501 201512
# Date(s) de rupture(s) d'homogénéité : 196112 198412 199312
#     Periode homogénéisée  195501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;30.9;1
195502;29.5;1
195503;30.3;1
195504;30.7;1
195505;30.4;1
195506;30.7;1
195507;31.1;1
195508;31.7;1
195509;33.3;1
195510;33.6;1
195511;32.5;1
195512;30.5;1
195601;29.9;1
195602;29.9;1
195603;30.1;1
195604;30;1
195605;29.9;1
195606;30.5;1
195607;30.9;1
195608;31.9;1
195609;32.5;1
195610;33.1;1
195611;32.1;1
195612;31.5;1
195701;28.7;1
195702;30.3;1
195703;30.9;1
195704;31;1
195705;30.6;1
195706;30.7;1
195707;31.7;1
195708;32.5;1
195709;34.1;1
195710;34.1;1
195711;33.7;1
195712;32.1;1
195801;32;1
195802;31.4;1
195803;31.3;1
195804;31;1
195805;31.6;1
195806;31.3;1
195807;31.4;1
195808;31.8;1
195809;33;1
195810;33.1;1
195811;32.9;1
195812;32.1;1
195901;30.5;1
195902;30.3;1
195903;31.3;1
195904;30.2;1
195905;31.3;1
195906;30.5;1
195907;31.3;1
195908;32.2;1
195909;32.6;1
195910;32.9;1
195911;31.6;1
195912;31.3;1
196001;30.2;1
196002;31;1
196003;31.7;1
196004;30.9;1
196005;30.9;1
196006;30.9;1
196007;31;1
196008;32;1
196009;33.3;1
196010;33.8;1
196011;32.8;1
196012;31.9;1
196101;30.6;1
196102;30.6;1
196103;31.8;1
196104;31.7;1
196105;31.1;1
196106;30.7;1
196107;31.8;1
196108;32.7;1
196109;33.3;1
196110;33.1;1
196111;32.3;1
196112;30.8;1
196201;29.6;1
196202;30.1;1
