# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97409240
# NOM_USUEL= MENCIOL
# LATITUDE (°) = -20.961
# LONGITUDE(°)= 55.626
# ALTITUDE (m) = 181
# NUM_SERIE= MTX097409240
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 196801 201312
# Date(s) de rupture(s) d'homogénéité : 196912 199912
#     Periode homogénéisée  196801 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196801;28.1;1
196802;28.5;1
196803;28.3;1
196804;27.1;1
196805;25.6;1
196806;25.3;1
196807;23.2;1
196808;23.2;1
196809;24.1;1
196810;25.1;1
196811;25.5;1
196812;26.6;1
196901;28.4;1
196902;28.8;1
196903;30;1
196904;28.3;1
196905;26.6;1
196906;24.8;1
196907;23.2;1
196908;22.8;1
196909;24.1;1
196910;25.7;1
196911;27.7;1
196912;28.8;1
197001;29;1
197002;29.5;1
197003;29.8;1
197004;27.7;1
197005;26.3;1
197006;24.8;1
197007;24.2;1
197008;23.7;1
197009;24.6;1
197010;25.6;1
197011;26;1
197012;27.5;1
197101;28.4;1
197102;28.7;1
197103;28.2;1
197104;27.1;1
197105;25.8;1
197106;24;1
197107;22.5;1
197108;22.4;1
197109;23.3;1
197110;23.8;1
197111;25.8;1
197112;27.9;1
197201;28.6;1
197202;29;1
197203;28.8;1
197204;27.6;1
197205;26.4;1
197206;25.5;1
197207;24.4;1
197208;24.1;1
197209;24.4;1
197210;25.5;1
197211;26;1
197212;27.9;1
197301;28.2;1
197302;28.5;1
197303;29.6;1
197304;27.7;1
197305;27.5;1
197306;24.2;1
197307;23.7;1
197308;23.2;1
197309;23.8;1
197310;25.3;1
197311;27.2;1
197312;28.4;1
197401;28;1
197402;28;1
197403;27.8;1
197404;27.7;1
197405;26.1;1
197406;24.7;1
197407;23.1;1
197408;23.5;1
197409;23.8;1
197410;25.1;1
197411;26.7;1
197412;28.6;1
197501;29.3;1
197502;29.7;1
197503;28.5;1
197504;28.3;1
197505;27;1
197506;23.7;1
197507;23.5;1
197508;22.8;1
197509;23;1
197510;25.1;1
197511;27.2;1
197512;26.9;1
197601;28.3;1
197602;28.6;1
197603;29.2;1
197604;28;1
197605;26.9;1
197606;25.4;1
197607;24.5;1
197608;24.2;1
197609;24.2;1
197610;26;1
197611;27.2;1
197612;29.3;1
197701;29.3;1
197702;28.7;1
197703;30;1
197704;28.2;1
197705;26.9;1
197706;25.2;1
197707;24.1;1
197708;24.4;1
197709;24.3;1
197710;25.6;1
197711;26.7;1
197712;28.8;1
197801;28.7;1
197802;29.3;1
197803;28.5;1
197804;28.4;1
197805;27.1;1
197806;25;1
197807;23.8;1
197808;24.2;1
197809;25.2;1
197810;26.6;1
197811;27.1;1
197812;28.3;1
197901;29.1;1
197902;28.9;1
197903;28.3;1
197904;27.7;1
197905;26.6;1
197906;24.8;1
197907;23.7;1
197908;23.8;1
197909;24.6;1
197910;25.7;1
197911;27.1;1
197912;28.4;1
198001;28.2;1
198002;28.4;1
198003;29;1
198004;28.2;1
198005;26.3;1
198006;25;1
198007;23.9;1
198008;23.3;1
198009;24.2;1
198010;25.7;1
198011;26.9;1
198012;28.2;1
198101;29.1;1
198102;28.8;1
198103;29.5;1
198104;28.3;1
198105;26;1
198106;25;1
198107;23;1
198108;23.6;1
198109;24;1
198110;25.9;1
198111;27.4;1
198112;28.5;1
198201;29.7;1
198202;28.4;1
198203;28.5;1
198204;27.1;1
198205;26.1;1
198206;24.1;1
198207;23.2;1
198208;23.3;1
198209;24.2;1
198210;25.2;1
198211;26.5;1
198212;27.6;1
198301;28;1
198302;29.5;1
198303;28.5;1
198304;27.3;1
198305;26.1;1
198306;24.5;1
198307;23.9;1
198308;23.7;1
198309;23.6;1
198310;24.6;1
198311;25.9;1
198312;27.6;1
198401;28.3;1
198402;29.4;1
198403;28.5;1
198404;26.5;1
198405;25.3;1
198406;23.7;1
198407;22.4;1
198408;22.7;1
198409;23.6;1
198410;24.7;1
198411;27.1;1
198412;28.6;1
198501;28.6;1
198502;28.7;1
198503;29.2;1
198504;27.6;1
198505;26.4;1
198506;25;1
198507;23.8;1
198508;23.5;1
198509;23.4;1
198510;24.4;1
198511;25.6;1
198512;27.8;1
198601;29;1
198602;28.7;1
198603;28.3;1
198604;27.8;1
198605;26;1
198606;24.2;1
198607;23;1
198608;23.5;1
198609;24.7;1
198610;25.4;1
198611;26.7;1
198612;28.6;1
198701;28.8;1
198702;28.6;1
198703;30.2;1
198704;28.6;1
198705;26.7;1
198706;24.9;1
198707;24.5;1
198708;24.4;1
198709;24.5;1
198710;25.4;1
198711;26.5;1
198712;28.3;1
198801;29.9;1
198802;30.1;1
198803;29.4;1
198804;28.6;1
198805;25.9;1
198806;25;1
198807;24;1
198808;24.1;1
198809;24.6;1
198810;25.9;1
198811;26.8;1
198812;27.7;1
198901;28.6;1
198902;29.7;1
198903;28.9;1
198904;28;1
198905;26.5;1
198906;24.7;1
198907;24.4;1
198908;23.7;1
198909;24.4;1
198910;25.1;1
198911;27;1
198912;27.5;1
199001;28.5;1
199002;28.7;1
199003;29.7;1
199004;27.9;1
199005;26.3;1
199006;25.3;1
199007;24.4;1
199008;24;1
199009;25;1
199010;26.7;1
199011;27.5;1
199012;28.7;1
199101;29.8;1
199102;30.2;1
199103;29;1
199104;27.8;1
199105;26.2;1
199106;25.2;1
199107;24.4;1
199108;24.4;1
199109;25.5;1
199110;26.1;1
199111;27.1;1
199112;27.6;1
199201;29.8;1
199202;29;1
199203;28.8;1
199204;27.2;1
199205;26.3;1
199206;24.5;1
199207;23.2;1
199208;23.3;1
199209;24.1;1
199210;26.2;1
199211;27.4;1
199212;28;1
199301;30;1
199302;29.1;1
199303;28.2;1
199304;27.4;1
199305;27.1;1
199306;25.2;1
199307;23.1;1
199308;23.4;1
199309;23.3;1
199310;24.5;1
199311;25.7;1
199312;27.5;1
199401;28.5;1
199402;29.3;1
199403;28.5;1
199404;29;1
199405;26.6;1
199406;24.6;1
199407;24.1;1
199408;24.1;1
199409;24.3;1
199410;25.2;1
199411;25.9;1
199412;27.6;1
199501;28.5;1
199502;29.7;1
199503;28.3;1
199504;27.8;1
199505;25.2;1
199506;24.9;1
199507;24;1
199508;23.5;1
199509;24.3;1
199510;25.4;1
199511;26.3;1
199512;27.5;1
199601;28.5;1
199602;28.8;1
199603;28.8;1
199604;27.7;1
199605;25.4;1
199606;24.5;1
199607;23.4;1
199608;23.8;1
199609;24.4;1
199610;24.6;1
199611;26.8;1
199612;27.9;1
199701;28.4;1
199702;28.5;1
199703;29.1;1
199704;28.5;1
199705;26.4;1
199706;24.8;1
199707;23.9;1
199708;24.3;1
199709;24.1;1
199710;24.6;1
199711;27.2;1
199712;29.1;1
199801;29.9;1
199802;29.4;1
199803;29.6;1
199804;27.8;1
199805;26.4;1
199806;25;1
199807;23.5;1
199808;24;1
199809;24.5;1
199810;25.8;1
199811;27;1
199812;27.8;1
199901;28.7;1
199902;29;1
199903;28.7;1
199904;28.1;1
199905;27.1;1
199906;25.8;1
199907;23.2;1
199908;23.7;1
199909;24.2;1
199910;25.5;1
199911;26.4;1
199912;27.8;1
200001;29.2;1
200002;28.3;1
200003;28;1
200004;27.9;1
200005;26.6;1
200006;24.2;1
200007;23.3;1
200008;23.4;1
200009;24.4;1
200010;25.2;1
200011;26;1
200012;29.2;1
200101;29.4;1
200102;30;1
200103;29.4;1
200104;28;1
200105;27;1
200106;24.4;1
200107;23.8;1
200108;24;1
200109;25.7;1
200110;25.4;1
200111;26.4;1
200112;29.1;1
200201;28.6;1
200202;29.8;1
200203;28.6;1
200204;27.6;1
200205;25.9;1
200206;24.3;1
200207;23.8;1
200208;23.3;1
200209;24;1
200210;25.3;1
200211;27.2;1
200212;28.3;1
200301;29.6;1
200302;29.8;1
200303;29.2;1
200304;28.6;1
200305;26.8;1
200306;24.7;1
200307;24.1;1
200308;23.3;1
200309;24.5;1
200310;25.8;1
200311;27;1
200312;28.5;1
200401;29.6;1
200402;30.5;1
200403;29.6;1
200404;27.9;1
200405;25.4;1
200406;24.1;1
200407;23.6;1
200408;24.2;1
200409;24.7;1
200410;25.4;1
200411;26.6;1
200412;27.4;1
200501;29.7;1
200502;29.9;1
200503;29.7;1
200504;28.6;1
200505;25.9;1
200506;25;1
200507;23.9;1
200508;23.7;1
200509;24;1
200510;25.1;1
200511;26.2;1
200512;28.4;1
200601;29.2;1
200602;29.1;1
200603;29;1
200604;28.9;1
200605;27.1;1
200606;25.8;1
200607;23.9;1
200608;23.6;1
200609;24.9;1
200610;25.2;1
200611;27.2;1
200612;28.8;1
200701;29.4;1
200702;29.3;1
200703;29.3;1
200704;28.1;1
200705;27.4;1
200706;25.7;1
200707;24.5;1
200708;24.4;1
200709;24.7;1
200710;24.9;1
200711;27.8;1
200712;28.7;1
200801;28.8;1
200802;29.5;1
200803;29;1
200804;29;1
200805;26.7;1
200806;24.9;1
200807;24.2;1
200808;24.6;1
