# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97416463
# NOM_USUEL= PIERREFONDS-AEROPORT
# LATITUDE (°) = -21.32
# LONGITUDE(°)= 55.426
# ALTITUDE (m) = 21
# NUM_SERIE= MTX097416463
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 196501 201312
# Date(s) de rupture(s) d'homogénéité : 197312 198412 200312
#     Periode homogénéisée  196501 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;30.1;1
196502;29;1
196503;27.8;1
196504;27.5;1
196505;26;1
196506;24.5;1
196507;24;1
196508;24;1
196509;25.7;1
196510;26.2;1
196511;27.5;1
196512;28.9;1
196601;30.2;1
196602;31.5;1
196603;30.1;1
196604;28.4;1
196605;27.8;1
196606;24.6;1
196607;25.1;1
196608;24.9;1
196609;26.5;1
196610;26.2;1
196611;27.8;1
196612;29.7;1
196701;30.8;1
196702;31.4;1
196703;31.6;1
196704;29.6;1
196705;27;1
196706;25.6;1
196707;25.1;1
196708;24.3;1
196709;25.6;1
196710;26.8;1
196711;28.2;1
196712;28.4;1
196801;30;1
196802;30.5;1
196803;29.8;1
196804;28.4;1
196805;26.8;1
196806;25.5;1
196807;24.7;1
196808;25.4;1
196809;25.7;1
196810;26.7;1
196811;28.1;1
196812;29.8;1
196901;31.3;1
196902;30.8;1
196903;31.6;1
196904;30.2;1
196905;27.7;1
196906;25.6;1
196907;24.8;1
196908;24.2;1
196909;25.1;1
196910;27.9;1
196911;30;1
196912;31.1;1
197001;31.4;1
197002;30.9;1
197003;30;1
197004;27.7;1
197005;26.4;1
197006;25.1;1
197007;25;1
197008;24.8;1
197009;26;1
197010;27.3;1
197011;29.1;1
197012;30.1;1
197101;31.3;1
197102;29.8;1
197103;29.8;1
197104;29.8;1
197105;28;1
197106;25.3;1
197107;24.7;1
197108;24.5;1
197109;25.2;1
197110;26.6;1
197111;28;1
197112;30.5;1
197201;31.2;1
197202;29.9;1
197203;30;1
197204;29;1
197205;27.9;1
197206;26;1
197207;26;1
197208;26;1
197209;26.8;1
197210;28;1
197211;28.4;1
197212;29.3;1
197301;30.7;1
197302;30.1;1
197303;30.7;1
197304;28.3;1
197305;27.8;1
197306;25.9;1
197307;25.2;1
197308;24.4;1
197309;25.8;1
197310;27.9;1
197311;30;1
197312;31;1
197401;30.4;1
197402;30.3;1
197403;29.6;1
197404;29.5;1
197405;27.6;1
197406;25.4;1
197407;24.6;1
197408;24.8;1
197409;25.2;1
197410;27.8;1
197411;29;1
197412;30.2;1
197501;32.4;1
197502;30.5;1
197503;29.5;1
197504;29.6;1
197505;27.3;1
197506;25.2;1
197507;25.1;1
197508;24.6;1
197509;24.7;1
197510;25.8;1
197511;28.4;1
197512;29.5;1
197601;31.1;1
197602;30.7;1
197603;30.3;1
197604;28.4;1
197605;27.1;1
197606;25.8;1
197607;25.3;1
197608;25.8;1
197609;26.2;1
197610;27.6;1
197611;29.1;1
197612;29.9;1
197701;31.1;1
197702;29.7;1
197703;31.1;1
197704;28.3;1
197705;27.4;1
197706;25.9;1
197707;25.3;1
197708;26.1;1
197709;26.9;1
197710;27.8;1
197711;29.1;1
197712;30.6;1
197801;30.8;1
197802;31.2;1
197803;29.6;1
197804;28.8;1
197805;28.2;1
197806;26.2;1
197807;24.8;1
197808;25.5;1
197809;27;1
197810;28.7;1
197811;29.4;1
197812;30.6;1
197901;30.8;1
197902;29.2;1
197903;29.6;1
197904;28.5;1
197905;27;1
197906;25.6;1
197907;25.2;1
197908;25.4;1
197909;26.7;1
197910;27.6;1
197911;29.2;1
197912;29.7;1
198001;30;1
198002;29;1
198003;30;1
198004;29.5;1
198005;28;1
198006;26;1
198007;24.6;1
198008;24.7;1
198009;25.9;1
198010;28.1;1
198011;29.4;1
198012;31.2;1
198101;30.8;1
198102;31.2;1
198103;30.4;1
198104;28.8;1
198105;26.9;1
198106;25.8;1
198107;24.3;1
198108;25.6;1
198109;26.5;1
198110;27.9;1
198111;29.2;1
198112;30.3;1
198201;30.8;1
198202;30.1;1
198203;30.3;1
198204;29.3;1
