# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98720002
# NOM_USUEL= HAO AERO
# LATITUDE (°) = -18.063
# LONGITUDE(°)= -140.961
# ALTITUDE (m) = 5
# NUM_SERIE= MTX098720002
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 196401 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196401 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196401;29.6;1
196402;29.9;1
196403;30.1;1
196404;29.4;1
196405;28.5;1
196406;27.4;1
196407;27.1;1
196408;27.1;1
196409;26.5;1
196410;27.6;1
196411;27.7;1
196412;28.6;1
196501;28.6;1
196502;29;1
196503;29.4;1
196504;29.6;1
196505;28.2;1
196506;26.8;1
196507;26.9;1
196508;26.6;1
196509;26.8;1
196510;27.5;1
196511;28.1;1
196512;28.3;1
196601;28.4;1
196602;29.2;1
196603;29.4;1
196604;29.6;1
196605;28.7;1
196606;27.1;1
196607;26.7;1
196608;26.7;1
196609;27.3;1
196610;27.4;1
196611;27.9;1
196612;28.3;1
196701;29.6;1
196702;29.7;1
196703;29.6;1
196704;28.8;1
196705;28.3;1
196706;27.7;1
196707;26.8;1
196708;26.2;1
196709;26.8;1
196710;27.1;1
196711;27.3;1
196712;27.8;1
196801;28.5;1
196802;29.3;1
196803;29;1
196804;28.7;1
196805;27.9;1
196806;26;1
196807;25.9;1
196808;26.7;1
196809;26.9;1
196810;27.6;1
196811;28.7;1
196812;29.8;1
196901;30.2;1
196902;29.7;1
196903;30.3;1
196904;30.2;1
196905;29.1;1
196906;28.2;1
196907;27.6;1
196908;26.9;1
196909;26.8;1
196910;28.4;1
196911;28.6;1
196912;29.9;1
197001;29.6;1
197002;29.5;1
197003;30.4;1
197004;29.8;1
197005;28.7;1
197006;27.4;1
197007;26.8;1
197008;26.8;1
197009;26.9;1
197010;27.2;1
197011;27.5;1
197012;28.8;1
197101;28.2;1
197102;28.5;1
197103;28.8;1
197104;28.3;1
197105;28.2;1
197106;27.3;1
197107;27;1
197108;26.5;1
197109;26.5;1
197110;27.6;1
197111;28.3;1
197112;28.8;1
197201;29.9;1
197202;30;1
197203;29.7;1
197204;29.5;1
197205;29;1
197206;27.8;1
197207;27.2;1
197208;26.9;1
197209;26.7;1
197210;27;1
197211;27.4;1
197212;29.3;1
197301;29.7;1
197302;29.2;1
197303;30.2;1
197304;29.6;1
197305;29.4;1
197306;27.2;1
197307;27.2;1
197308;27;1
197309;27.5;1
197310;27.9;1
197311;28.4;1
197312;28.9;1
197401;29;1
197402;29.2;1
197403;29;1
197404;28.9;1
197405;28.4;1
197406;27;1
197407;26.7;1
197408;25.7;1
197409;26;1
197410;27.4;1
197411;27.7;1
197412;27.5;1
197501;28.3;1
197502;29.3;1
197503;29.8;1
197504;28.9;1
197505;27.8;1
197506;27.6;1
197507;26.7;1
197508;26;1
197509;26.8;1
197510;27;1
197511;27.8;1
197512;28.3;1
197601;28.3;1
197602;28.8;1
197603;28.7;1
197604;28.7;1
197605;28.2;1
197606;27;1
197607;26.4;1
197608;25.9;1
197609;26.5;1
197610;27.6;1
197611;28.9;1
197612;29.3;1
197701;29.3;1
197702;30.7;1
197703;30.3;1
197704;29.2;1
197705;28.5;1
197706;26.9;1
197707;26.7;1
197708;26.8;1
197709;27.4;1
197710;28;1
197711;28.5;1
197712;28.1;1
197801;29.4;1
197802;29;1
197803;30.1;1
197804;29.3;1
197805;28.4;1
197806;27.6;1
197807;26.4;1
197808;26.7;1
197809;26.8;1
197810;27;1
197811;27.9;1
197812;28.7;1
197901;29.4;1
197902;30;1
197903;29.9;1
197904;29.6;1
197905;28.5;1
197906;28;1
197907;27;1
197908;26.3;1
197909;26.9;1
197910;27.1;1
197911;28.9;1
197912;29.2;1
198001;30;1
198002;30.1;1
198003;30.3;1
198004;29.6;1
198005;29;1
198006;27.4;1
198007;27.1;1
198008;27.2;1
198009;26.5;1
198010;27.7;1
198011;27.8;1
198012;29.1;1
198101;29.2;1
198102;29.5;1
