# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98749001
# NOM_USUEL= TAKAROA
# LATITUDE (°) = -14.457
# LONGITUDE(°)= -145.025
# ALTITUDE (m) = 2
# NUM_SERIE= MTX098749001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196401 201712
# Date(s) de rupture(s) d'homogénéité : 196807 198212 198912
#     Periode homogénéisée  196401 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196401;30.1;1
196402;30.2;1
196403;30.3;1
196404;30;1
196405;29.5;1
196406;28.7;1
196407;28.4;1
196408;28;1
196409;28.1;1
196410;28.5;1
196411;28.6;1
196412;29.2;1
196501;29.3;1
196502;29.6;1
196503;30.3;1
196504;30.2;1
196505;29.8;1
196506;28.8;1
196507;28.7;1
196508;28.3;1
196509;29.1;1
196510;30.1;1
196511;30.8;1
196512;31.4;1
196601;31.4;1
196602;31.1;1
196603;31.1;1
196604;31.6;1
196605;30.7;1
196606;29.3;1
196607;29.2;1
196608;28.8;1
196609;29.3;1
196610;29.5;1
196611;29.8;1
196612;30.4;1
196701;30.3;1
196702;30.5;1
196703;30.5;1
196704;30.2;1
196705;30.3;1
196706;28.8;1
196707;28.3;1
196708;27.5;1
196709;28.2;1
196710;29.3;1
196711;29;1
196712;29.2;1
196801;29.6;1
196802;30.4;1
196803;30.2;1
196804;29.9;1
196805;29.5;1
196806;28.6;1
196807;27.9;1
196808;28.1;1
196809;28.5;1
196810;28.8;1
196811;30.3;1
196812;30.7;1
196901;30.7;1
196902;30.8;1
196903;31.1;1
196904;30.8;1
196905;30.4;1
196906;29.4;1
196907;29.2;1
196908;28.5;1
196909;28.9;1
196910;30.1;1
196911;29.9;1
196912;31.2;1
197001;30.4;1
197002;30.3;1
197003;30.8;1
197004;31.1;1
197005;30.4;1
197006;29.1;1
197007;28.6;1
197008;28.6;1
197009;28.2;1
197010;28.7;1
197011;29.5;1
197012;29.4;1
197101;29.1;1
197102;29.2;1
197103;29.6;1
197104;29.5;1
197105;29.3;1
197106;28.5;1
197107;28.1;1
197108;27.7;1
197109;27.8;1
197110;28.7;1
197111;29.3;1
197112;30.1;1
197201;30.6;1
197202;30.6;1
197203;30.8;1
197204;30.3;1
197205;30.1;1
197206;29.6;1
197207;29;1
197208;28.6;1
197209;28.3;1
197210;28.3;1
197211;29.8;1
197212;30.7;1
197301;30.5;1
197302;30.6;1
197303;31.3;1
197304;31.1;1
197305;30.7;1
197306;28.9;1
197307;29.1;1
197308;28.2;1
197309;28.4;1
197310;28.8;1
197311;29.6;1
197312;29.4;1
197401;29;1
197402;29.2;1
197403;29.4;1
197404;29.4;1
197405;29.1;1
197406;28.3;1
197407;27.5;1
197408;27.4;1
197409;27.4;1
197410;28.8;1
197411;29;1
197412;29.1;1
197501;29.3;1
197502;30.3;1
197503;30;1
197504;29.8;1
197505;29.2;1
197506;28.6;1
197507;27.6;1
197508;26.9;1
197509;27.6;1
197510;27.8;1
197511;28.7;1
197512;28.9;1
197601;29;1
197602;29.3;1
197603;29.2;1
197604;29.4;1
197605;28.8;1
197606;28.2;1
197607;27.9;1
197608;28;1
197609;28.9;1
