# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98809001
# NOM_USUEL= MOUE
# LATITUDE (°) = -22.59
# LONGITUDE(°)= 167.452
# ALTITUDE (m) = 95
# NUM_SERIE= MTX098809001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 197201 201512
# Date(s) de rupture(s) d'homogénéité : 197712
#     Periode homogénéisée  197201 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
197201;27.4;1
197202;27.1;1
197203;28;1
197204;26.4;1
197205;23.9;1
197206;21.9;1
197207;21.8;1
197208;22.2;1
197209;22.4;1
197210;24.4;1
197211;26.6;1
197212;27;1
197301;28.9;1
197302;28.5;1
197303;28.1;1
197304;26.6;1
197305;24.9;1
197306;24.3;1
197307;22.6;1
197308;23.1;1
197309;23.8;1
197310;25.1;1
197311;27.1;1
197312;28.3;1
197401;28;1
197402;28.8;1
197403;27.9;1
197404;27.1;1
197405;24.9;1
197406;23.2;1
197407;22.7;1
197408;22.7;1
197409;23.3;1
197410;24.2;1
197411;26.5;1
197412;27.5;1
197501;28.1;1
197502;28.1;1
197503;28;1
197504;26.5;1
197505;24.5;1
197506;23.1;1
197507;22.5;1
197508;22.7;1
197509;23.9;1
197510;24.8;1
197511;26.4;1
197512;27.6;1
197601;28.5;1
197602;28.5;1
197603;28.6;1
197604;26.7;1
197605;24.5;1
197606;23.2;1
197607;21.9;1
197608;22.1;1
197609;22.1;1
197610;24;1
197611;25.9;1
197612;27.4;1
197701;27.3;1
197702;27.7;1
197703;27.4;1
197704;26.1;1
197705;24.7;1
197706;23.4;1
197707;22;1
197708;21.9;1
197709;22.1;1
197710;23.9;1
197711;25.3;1
197712;26.5;1
197801;27.7;1
197802;28.5;1
197803;27.8;1
197804;26.6;1
197805;24.5;1
197806;23.7;1
197807;22.5;1
197808;22.1;1
197809;23.2;1
