# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97307001
# NOM_USUEL= CAYENNE-MATOURY
# LATITUDE (°) = 4.822
# LONGITUDE(°)= -52.365
# ALTITUDE (m) = 4
# NUM_SERIE= MTX197307001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195501 201512
# Date(s) de rupture(s) d'homogénéité : 199012
#     Periode homogénéisée  195501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;29.1;1
195502;28.7;1
195503;28.8;1
195504;29.2;1
195505;28.9;1
195506;29.3;1
195507;29.4;1
195508;30.3;1
195509;31.1;1
195510;31.4;1
195511;30.4;1
195512;28.4;1
195601;28.4;1
195602;28.5;1
195603;28;1
195604;28.7;1
195605;28.4;1
195606;29.3;1
195607;29.4;1
195608;30.2;1
195609;30.2;1
195610;30.8;1
195611;30.5;1
195612;29.1;1
195701;27.8;1
195702;28;1
195703;28.6;1
195704;29;1
195705;28.7;1
195706;29.2;1
195707;29.8;1
195708;30.7;1
195709;31.8;1
195710;31.8;1
195711;31.4;1
195712;29.1;1
195801;29.3;1
195802;29.1;1
195803;29.7;1
195804;29;1
195805;30.2;1
195806;30.2;1
195807;30;1
195808;30.4;1
195809;31.3;1
195810;30.9;1
195811;31;1
195812;29.9;1
195901;28.5;1
195902;27.9;1
195903;28.9;1
195904;28.5;1
195905;29.1;1
195906;28.8;1
195907;29.2;1
195908;30.3;1
195909;30.8;1
195910;30.9;1
195911;29.4;1
195912;28.7;1
196001;28.1;1
196002;28.2;1
196003;29;1
196004;28.4;1
196005;28.2;1
196006;28.7;1
196007;29.5;1
196008;30;1
196009;30.6;1
196010;30.7;1
196011;29.9;1
196012;28.7;1
196101;28.5;1
196102;28.4;1
196103;29;1
196104;29.6;1
196105;29;1
196106;28.4;1
196107;29.6;1
196108;30.3;1
196109;31;1
196110;30.8;1
196111;30;1
196112;28.3;1
196201;27.9;1
196202;28.2;1
196203;29.2;1
196204;29;1
196205;29.1;1
196206;28.7;1
196207;29.5;1
196208;30.4;1
196209;30.9;1
196210;31.1;1
196211;31;1
196212;29;1
196301;28.1;1
196302;27.9;1
196303;28.3;1
196304;28.9;1
196305;28.8;1
196306;28.8;1
196307;30;1
196308;30.4;1
196309;30.6;1
196310;31;1
196311;30;1
196312;28.6;1
196401;28.2;1
196402;28.6;1
196403;29.1;1
196404;29.9;1
196405;28.8;1
196406;29.1;1
196407;30;1
196408;30.1;1
196409;30.6;1
196410;30.4;1
196411;29.8;1
196412;28.9;1
196501;27.9;1
196502;28;1
196503;28.6;1
196504;29.2;1
196505;28.4;1
196506;29.1;1
196507;29.1;1
196508;30;1
196509;30.8;1
196510;31.3;1
196511;29.7;1
196512;28.9;1
196601;28.4;1
196602;28.5;1
196603;28.6;1
196604;29.5;1
196605;29;1
196606;29.7;1
196607;29.4;1
196608;30.6;1
196609;30.6;1
196610;31.4;1
196611;30.4;1
196612;29.4;1
196701;28.3;1
196702;28.5;1
196703;29.1;1
196704;29.4;1
196705;27.7;1
196706;28.8;1
196707;30;1
196708;30.5;1
196709;31.3;1
196710;31.3;1
196711;31;1
196712;29;1
196801;28.5;1
196802;28.7;1
196803;28.9;1
196804;30.1;1
196805;29.6;1
196806;29.2;1
196807;29.7;1
196808;30.4;1
196809;31;1
196810;30.8;1
196811;29.6;1
196812;29;1
196901;28.7;1
196902;29.4;1
196903;30.1;1
196904;29.8;1
196905;29.5;1
196906;30.6;1
196907;30.7;1
196908;31.1;1
196909;31.7;1
196910;31.7;1
196911;31.7;1
196912;30.9;1
197001;29;1
197002;29.1;1
197003;28.7;1
197004;29.3;1
197005;29.9;1
197006;29.8;1
197007;30.3;1
197008;30.4;1
197009;31.2;1
197010;31.4;1
197011;30.7;1
197012;29;1
197101;28.2;1
197102;28.1;1
197103;28.3;1
197104;28.8;1
197105;28.8;1
197106;28.7;1
197107;29.7;1
197108;30.4;1
197109;31;1
197110;30.7;1
197111;30.1;1
197112;29.3;1
197201;28.2;1
197202;28;1
197203;29.1;1
197204;28.9;1
197205;28.9;1
197206;29.5;1
197207;30.2;1
197208;30.4;1
197209;31;1
197210;31.3;1
197211;30.2;1
197212;29.2;1
197301;29;1
197302;29.4;1
197303;29.5;1
197304;29.7;1
197305;28.9;1
197306;29.2;1
197307;30.2;1
197308;30.6;1
197309;31;1
197310;30.8;1
197311;29.9;1
197312;28.8;1
197401;27.7;1
197402;27.7;1
197403;28.2;1
197404;28.4;1
197405;29.3;1
197406;28.1;1
197407;29.3;1
197408;30.2;1
197409;30.6;1
197410;30.2;1
197411;29.3;1
197412;28.2;1
197501;27.8;1
197502;27.8;1
197503;28.4;1
197504;28.8;1
197505;28.9;1
197506;28;1
197507;29.4;1
197508;29.5;1
197509;30.1;1
197510;30.9;1
197511;30.2;1
197512;29.4;1
197601;28;1
197602;27.8;1
197603;28;1
197604;28.7;1
197605;28.3;1
197606;29.2;1
197607;29.6;1
197608;30.3;1
197609;31.6;1
197610;31.8;1
197611;31;1
197612;29;1
197701;28.7;1
197702;28.3;1
197703;28.8;1
197704;29.3;1
197705;28.9;1
197706;29.3;1
197707;29.6;1
197708;30.5;1
197709;30.9;1
197710;31.1;1
197711;30.5;1
197712;28.8;1
197801;28.4;1
197802;29.6;1
197803;28.7;1
197804;30;1
197805;29.7;1
197806;29.5;1
197807;30.7;1
197808;30.3;1
197809;31.1;1
197810;31.1;1
197811;30.8;1
197812;28.4;1
197901;28.9;1
197902;28.4;1
197903;28.8;1
197904;29.7;1
197905;29.9;1
197906;29.7;1
197907;30.1;1
197908;30.6;1
197909;31.1;1
197910;31.6;1
197911;30.8;1
197912;29;1
198001;28.7;1
198002;29.2;1
198003;28.4;1
198004;29.2;1
198005;29.5;1
198006;30;1
198007;30.6;1
198008;31;1
198009;31.2;1
198010;31;1
198011;29.9;1
198012;29.1;1
198101;29;1
198102;28.3;1
198103;30;1
198104;30;1
198105;29.3;1
198106;29.7;1
198107;30.1;1
198108;30.4;1
198109;31.3;1
198110;30.8;1
198111;30.8;1
198112;29.4;1
198201;28.7;1
198202;28.8;1
198203;28.9;1
198204;29.2;1
198205;28.7;1
198206;29.8;1
198207;30.1;1
198208;30.6;1
198209;31.2;1
198210;31.1;1
198211;30.2;1
198212;29.4;1
198301;28.4;1
198302;29;1
198303;29.6;1
198304;29.6;1
198305;30.4;1
198306;30.5;1
198307;30.6;1
198308;31.2;1
198309;31.7;1
198310;31.7;1
198311;31.1;1
198312;29.2;1
198401;28.6;1
198402;29;1
198403;29;1
198404;29.3;1
198405;28.3;1
198406;29.4;1
198407;30;1
198408;30.4;1
198409;30.5;1
198410;30.7;1
198411;29.9;1
198412;29.2;1
198501;28.6;1
198502;28.4;1
198503;28.8;1
198504;29.7;1
198505;29.6;1
198506;29;1
198507;30.4;1
198508;30.2;1
198509;31.4;1
198510;30.9;1
198511;31;1
198512;29.2;1
198601;28.5;1
198602;29.5;1
198603;29.6;1
198604;30.1;1
198605;29.5;1
198606;29;1
198607;30.1;1
198608;30.9;1
198609;32.1;1
198610;31.4;1
198611;30.4;1
198612;29.1;1
198701;28.8;1
198702;29.6;1
198703;30.3;1
198704;30.2;1
198705;30.2;1
