# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97308001
# NOM_USUEL= SAINT GEORGES
# LATITUDE (°) = 3.891
# LONGITUDE(°)= -51.805
# ALTITUDE (m) = 6
# NUM_SERIE= MTX197308001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195701 201512
# Date(s) de rupture(s) d'homogénéité : 195812 198012 198312
#     Periode homogénéisée  195701 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;27.7;1
195702;28.5;1
195703;29.5;1
195704;29.3;1
195705;28.5;1
195706;28.6;1
195707;30;1
195708;30.9;1
195709;32.7;1
195710;33;1
195711;32.5;1
195712;30.2;1
195801;30.1;1
195802;29.5;1
195803;29.2;1
195804;28.9;1
195805;30.6;1
195806;30.5;1
195807;31;1
195808;31.6;1
195809;33;1
195810;32.6;1
195811;32.5;1
195812;30.7;1
195901;28.2;1
195902;28.4;1
195903;29.4;1
195904;29;1
195905;29.5;1
195906;29;1
195907;29.7;1
195908;31.2;1
195909;32.1;1
195910;32.4;1
195911;30.6;1
195912;30.1;1
196001;28.3;1
196002;28.9;1
196003;29.2;1
196004;28.6;1
196005;28.3;1
196006;28.8;1
196007;29.6;1
196008;30.9;1
196009;31.4;1
196010;31.6;1
196011;31.4;1
196012;30;1
196101;28.8;1
196102;28.5;1
196103;29.7;1
196104;29.8;1
196105;29;1
196106;28.9;1
196107;29.5;1
196108;30.9;1
196109;31.5;1
196110;31.3;1
196111;30.9;1
196112;28.6;1
196201;28.6;1
196202;29;1
196203;29.6;1
196204;29.5;1
196205;28.9;1
196206;29.3;1
196207;30.5;1
196208;31.3;1
196209;32.2;1
196210;33;1
196211;32.7;1
196212;29.7;1
196301;28.7;1
196302;28.5;1
196303;28.4;1
196304;29.4;1
196305;29.1;1
196306;29.1;1
196307;30.7;1
196308;31.6;1
196309;32.7;1
196310;33.3;1
196311;31.1;1
196312;28.9;1
196401;28.6;1
196402;29.1;1
196403;29.7;1
196404;30.6;1
196405;29.3;1
196406;30;1
196407;30.7;1
196408;31.2;1
196409;31.9;1
196410;32;1
196411;31.4;1
196412;30.2;1
196501;28.4;1
196502;28.6;1
196503;29.4;1
196504;30.2;1
196505;28.8;1
196506;29.7;1
196507;30;1
196508;31.2;1
196509;32.2;1
196510;33;1
196511;31.3;1
196512;29.6;1
196601;28.8;1
196602;28.8;1
196603;29.3;1
196604;29.9;1
196605;29.3;1
196606;29.8;1
196607;29.9;1
196608;31.4;1
196609;32;1
196610;32.9;1
196611;31.8;1
196612;30.3;1
196701;28.5;1
196702;28.1;1
196703;29.5;1
196704;29.7;1
196705;28.2;1
196706;28.7;1
196707;29.7;1
196708;30.6;1
196709;32.1;1
196710;32.5;1
196711;32.3;1
196712;29.8;1
196801;28.9;1
196802;28.7;1
196803;29.3;1
196804;29.6;1
196805;29.1;1
196806;28.7;1
196807;29.5;1
196808;31.2;1
196809;32.7;1
196810;33;1
196811;30.7;1
196812;29.3;1
196901;29;1
196902;29.9;1
196903;30.5;1
196904;29.8;1
196905;29.2;1
196906;31.2;1
196907;31.8;1
196908;32;1
196909;33.1;1
196910;33.5;1
196911;33.5;1
196912;32.1;1
197001;29.7;1
197002;29.7;1
197003;29.1;1
197004;29.7;1
197005;30.3;1
197006;30.4;1
197007;30.6;1
197008;31.3;1
197009;32.4;1
197010;33;1
197011;31.5;1
197012;29.6;1
197101;28.3;1
197102;28.1;1
197103;28.7;1
197104;28.9;1
197105;28.3;1
197106;29;1
197107;30.2;1
197108;31.2;1
197109;32.4;1
197110;32.2;1
197111;31.5;1
197112;31;1
197201;28.6;1
197202;28.5;1
197203;29.2;1
197204;29.3;1
197205;29.1;1
197206;30.1;1
197207;30.8;1
197208;31.3;1
197209;32.5;1
197210;33.5;1
197211;32.1;1
197212;29.9;1
197301;29.3;1
197302;29.4;1
197303;29.8;1
197304;29.7;1
197305;28.9;1
197306;30.2;1
197307;30.6;1
197308;31.5;1
197309;31.3;1
197310;31.7;1
197311;31.2;1
197312;29.2;1
197401;28;1
197402;28.3;1
197403;28.7;1
197404;29.5;1
197405;29.9;1
197406;28.4;1
197407;29.8;1
197408;31.4;1
197409;31.9;1
197410;31.7;1
197411;31.1;1
197412;28.9;1
197501;28.7;1
197502;28.5;1
197503;28.8;1
197504;29.6;1
197505;29.6;1
197506;29;1
197507;30.4;1
197508;30.5;1
197509;31.5;1
197510;32.7;1
197511;31.3;1
197512;30.7;1
197601;28.3;1
197602;28.3;1
197603;28.4;1
197604;28.7;1
197605;28.5;1
197606;29.4;1
197607;30.4;1
197608;31.8;1
197609;33.2;1
197610;33.8;1
197611;32.5;1
197612;30.2;1
197701;29.3;1
197702;28.7;1
197703;29.6;1
197704;30;1
197705;29;1
197706;30;1
197707;29.9;1
197708;31.4;1
197709;32.4;1
197710;32.7;1
197711;31.5;1
197712;28.6;1
197801;28.9;1
197802;30.1;1
197803;29.2;1
197804;30.3;1
197805;30;1
197806;30.1;1
197807;30.9;1
197808;30.8;1
197809;32.4;1
197810;32.4;1
197811;32.1;1
197812;29;1
197901;29.6;1
197902;29;1
197903;29.3;1
197904;29.6;1
197905;30;1
197906;30;1
197907;31.2;1
197908;31.6;1
197909;32.3;1
197910;33.1;1
197911;32.5;1
197912;30;1
198001;29.3;1
198002;30;1
198003;28.8;1
198004;29.6;1
198005;30;1
198006;30.5;1
198007;30.6;1
198008;32;1
198009;33.3;1
198010;33.3;1
198011;31.9;1
198012;30.3;1
198101;29.4;1
198102;28.5;1
198103;30.6;1
198104;30.4;1
198105;29.6;1
198106;29.9;1
198107;30.3;1
198108;31.4;1
198109;32.4;1
198110;32.4;1
198111;32.4;1
198112;30.1;1
198201;29;1
198202;28.7;1
198203;29.2;1
198204;28.5;1
198205;28.9;1
198206;30.2;1
198207;30.5;1
198208;31.6;1
198209;32.7;1
198210;32.8;1
198211;31.8;1
198212;30.3;1
198301;29.1;1
198302;30.1;1
198303;30.2;1
198304;29.6;1
198305;30.7;1
198306;30.9;1
198307;30.8;1
198308;31.8;1
198309;32.5;1
198310;32.9;1
198311;32.3;1
198312;29.6;1
198401;29.2;1
198402;29;1
198403;29.9;1
198404;29.7;1
198405;28.8;1
198406;29.8;1
198407;30.7;1
198408;31.4;1
198409;31.7;1
198410;31.6;1
198411;30.9;1
