# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97311001
# NOM_USUEL= SAINT LAURENT
# LATITUDE (°) = 5.486
# LONGITUDE(°)= -54.032
# ALTITUDE (m) = 5
# NUM_SERIE= MTX197311001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195501 201512
# Date(s) de rupture(s) d'homogénéité : 199912 200509 200910
#     Periode homogénéisée  195501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;29.9;1
195502;29.3;1
195503;28.2;1
195504;29.9;1
195505;28.8;1
195506;30.4;1
195507;30.9;1
195508;31.6;1
195509;33.3;1
195510;34.1;1
195511;32.6;1
195512;30;1
195601;29.5;1
195602;29.3;1
195603;29.1;1
195604;29.5;1
195605;28.5;1
195606;29.3;1
195607;30.1;1
195608;31.4;1
195609;31.7;1
195610;32.2;1
195611;31.8;1
195612;29.9;1
195701;28.6;1
195702;28.3;1
195703;29.6;1
195704;30.1;1
195705;29.1;1
195706;29.6;1
195707;30.5;1
195708;32;1
195709;33.8;1
195710;33.9;1
195711;32.7;1
195712;30.1;1
195801;30.1;1
195802;30;1
195803;30.4;1
195804;29.4;1
195805;30.6;1
195806;30.9;1
195807;31.1;1
195808;31.7;1
195809;33.1;1
195810;32.6;1
195811;33;1
195812;31.1;1
195901;29.6;1
195902;29.1;1
195903;29.4;1
195904;28.9;1
195905;29.8;1
195906;29.3;1
195907;30;1
195908;31.3;1
195909;32.5;1
195910;32.1;1
195911;30;1
195912;29.8;1
196001;29.1;1
196002;28.7;1
196003;30.3;1
196004;29.2;1
196005;29.3;1
196006;29.7;1
196007;30.1;1
196008;31.4;1
196009;32.3;1
196010;32;1
196011;31.2;1
196012;30;1
196101;28.9;1
196102;29.1;1
196103;30.2;1
196104;30.6;1
196105;29.5;1
196106;28.6;1
196107;30.6;1
196108;32;1
196109;32.3;1
196110;31.8;1
196111;31.1;1
196112;28.8;1
196201;28.6;1
196202;29;1
196203;29.8;1
196204;29.7;1
196205;29.7;1
196206;29.7;1
196207;30.8;1
196208;31.7;1
196209;32.4;1
196210;32;1
196211;31.8;1
196212;29.7;1
196301;28.8;1
196302;28.3;1
196303;28.8;1
196304;29.7;1
196305;29.3;1
196306;29.7;1
196307;30.9;1
196308;31.9;1
196309;32.7;1
196310;33.1;1
196311;31.2;1
196312;29.8;1
196401;28.9;1
196402;29.7;1
196403;30.1;1
196404;31.5;1
196405;30.2;1
196406;30.2;1
196407;30.9;1
196408;32;1
196409;32.6;1
196410;31.7;1
196411;31.4;1
196412;29.5;1
196501;28.7;1
196502;28.6;1
196503;29.5;1
196504;29.7;1
196505;29.5;1
196506;29.9;1
196507;30.4;1
196508;31.5;1
196509;32.4;1
196510;32.8;1
196511;31.3;1
196512;30;1
196601;29.1;1
196602;29.2;1
196603;29.5;1
196604;30.2;1
196605;30.2;1
196606;30.6;1
196607;30.5;1
196608;31.3;1
196609;32.2;1
196610;32.8;1
196611;31.8;1
196612;30.5;1
196701;28.5;1
196702;29;1
196703;29.6;1
196704;30.3;1
196705;28.5;1
196706;29;1
196707;30.6;1
196708;31.3;1
196709;32.5;1
196710;32;1
196711;31.9;1
196712;29.8;1
196801;28.5;1
196802;29;1
196803;29.1;1
196804;29.9;1
196805;30.4;1
196806;29.7;1
196807;30.8;1
196808;31.7;1
196809;32.2;1
196810;32.1;1
196811;30.8;1
196812;29.8;1
196901;29.3;1
196902;29.3;1
196903;30.5;1
196904;30.5;1
196905;29.9;1
196906;31.1;1
196907;31.8;1
196908;33;1
196909;34;1
196910;33.6;1
196911;33;1
196912;31.6;1
197001;29.5;1
197002;29.5;1
197003;29.8;1
197004;29.7;1
197005;30.2;1
197006;30.4;1
197007;31.2;1
197008;32.1;1
197009;32.3;1
197010;32.5;1
197011;32;1
197012;29.8;1
197101;28.8;1
197102;28.1;1
197103;28.8;1
197104;28.7;1
197105;29.3;1
197106;29.2;1
197107;30.2;1
197108;31.5;1
197109;32.5;1
197110;31.9;1
197111;31.7;1
197112;30;1
197201;28.7;1
197202;28.8;1
197203;30;1
197204;29.2;1
197205;29;1
197206;30;1
197207;31.1;1
197208;31.3;1
197209;32.6;1
197210;33.2;1
197211;31.1;1
197212;29.8;1
197301;30.1;1
197302;29.4;1
197303;30.1;1
197304;30.3;1
197305;29.4;1
197306;29.8;1
197307;30.6;1
197308;32.2;1
197309;32.2;1
197310;31.6;1
197311;31.5;1
197312;29.7;1
197401;28.4;1
197402;28.7;1
197403;29.3;1
197404;29.5;1
197405;30;1
197406;29.6;1
197407;30.3;1
197408;31.6;1
197409;32.4;1
197410;31.7;1
197411;31.1;1
197412;29.3;1
197501;28.7;1
197502;28.6;1
197503;29;1
197504;29.7;1
197505;29.5;1
197506;29.1;1
197507;29.7;1
197508;31.2;1
197509;32.1;1
197510;32.7;1
197511;31.4;1
197512;30.5;1
197601;28.3;1
197602;28.6;1
197603;28;1
197604;28.7;1
197605;28.1;1
197606;29.4;1
197607;30.2;1
197608;31.7;1
197609;32.9;1
197610;34;1
197611;32.4;1
197612;29.6;1
197701;29.1;1
197702;29.1;1
197703;28.9;1
197704;29.3;1
197705;29.6;1
197706;30.5;1
197707;30.7;1
197708;32;1
197709;32.3;1
197710;32.6;1
197711;31.7;1
197712;29.1;1
197801;29.2;1
197802;29.7;1
197803;29.9;1
197804;30.4;1
197805;29.9;1
197806;31;1
197807;31.5;1
197808;31.5;1
197809;32.5;1
197810;32.2;1
197811;32.2;1
197812;28.7;1
197901;29.3;1
197902;29.1;1
197903;29.9;1
197904;29.9;1
197905;30.6;1
197906;30.8;1
197907;31.5;1
197908;32.4;1
197909;33.3;1
197910;33.1;1
197911;32.2;1
197912;30.4;1
198001;29.7;1
198002;30;1
198003;29.3;1
198004;29.9;1
198005;30.1;1
198006;31.3;1
198007;31.6;1
198008;32.3;1
198009;33.5;1
198010;32.3;1
198011;31.2;1
198012;30.2;1
198101;29.9;1
198102;29.1;1
198103;30.7;1
198104;31.1;1
198105;30.2;1
198106;30.6;1
198107;31.4;1
198108;32.4;1
198109;32.8;1
198110;32;1
198111;32.2;1
198112;30;1
198201;29.6;1
198202;29.1;1
198203;29.3;1
198204;29.3;1
198205;29.5;1
198206;30.2;1
198207;30.9;1
198208;32.2;1
198209;32.8;1
198210;32.6;1
198211;31.5;1
198212;30.3;1
198301;29.4;1
198302;29.9;1
198303;30;1
198304;29.8;1
198305;30.8;1
198306;31.5;1
198307;31.2;1
198308;32.5;1
198309;32.6;1
198310;32.6;1
198311;32.2;1
198312;29.9;1
198401;29.3;1
198402;29.5;1
198403;30.3;1
198404;30;1
198405;29.1;1
198406;30;1
198407;31;1
198408;31.9;1
198409;31.8;1
198410;32.1;1
198411;31.3;1
198412;29.2;1
198501;29.4;1
198502;28.8;1
198503;29.3;1
198504;29.9;1
198505;30.1;1
198506;29.9;1
198507;31.4;1
198508;31.7;1
198509;33.2;1
198510;32.3;1
198511;32.1;1
198512;29.7;1
198601;29.2;1
