# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97353001
# NOM_USUEL= MARIPASOULA
# LATITUDE (°) = 3.64
# LONGITUDE(°)= -54.028
# ALTITUDE (m) = 106
# NUM_SERIE= MTX197353001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195501 201512
# Date(s) de rupture(s) d'homogénéité : 196412 196812 197312 197712
#     Periode homogénéisée  195501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;31.1;1
195502;30.7;1
195503;30.1;1
195504;30.6;1
195505;29.8;1
195506;30.4;1
195507;30.5;1
195508;30.9;1
195509;32.1;1
195510;32.4;1
195511;32;1
195512;30.6;1
195601;30.2;1
195602;30.1;1
195603;30.2;1
195604;30.8;1
195605;29.9;1
195606;30.1;1
195607;30.3;1
195608;30.9;1
195609;31.6;1
195610;32.1;1
195611;32;1
195612;30.8;1
195701;28.7;1
195702;29.9;1
195703;30.2;1
195704;30.4;1
195705;29.8;1
195706;29.8;1
195707;30.2;1
195708;31.1;1
195709;32.7;1
195710;33.3;1
195711;33.1;1
195712;30.8;1
195801;31.1;1
195802;30.8;1
195803;30.6;1
195804;30.2;1
195805;31.4;1
195806;31.3;1
195807;31.3;1
195808;31.7;1
195809;33.2;1
195810;32.9;1
195811;33.2;1
195812;32.1;1
195901;30.4;1
195902;29.6;1
195903;31;1
195904;30.7;1
195905;31;1
195906;30.2;1
195907;30.8;1
195908;31.8;1
195909;32.4;1
195910;32.8;1
195911;31.4;1
195912;31.1;1
196001;29.8;1
196002;30.4;1
196003;31;1
196004;30.7;1
196005;30.3;1
196006;30.3;1
196007;30.6;1
196008;31.3;1
196009;32.2;1
196010;32.8;1
196011;32.3;1
196012;30.8;1
196101;30.1;1
196102;29.6;1
196103;30.8;1
196104;31;1
196105;29.9;1
196106;29.8;1
196107;30.5;1
196108;31.4;1
196109;32.2;1
196110;31.8;1
196111;31.2;1
196112;29.8;1
196201;29.4;1
196202;29.7;1
196203;31;1
196204;31.4;1
196205;30.4;1
196206;30.1;1
196207;30.7;1
196208;31.3;1
196209;32.3;1
196210;32.8;1
196211;32.5;1
196212;31.1;1
196301;30.4;1
196302;29.5;1
196303;30;1
196304;30.6;1
196305;30.4;1
196306;29.9;1
196307;30.7;1
196308;31.8;1
196309;32.9;1
196310;33.5;1
196311;32.9;1
196312;30.2;1
196401;29.9;1
196402;30.6;1
196403;30.7;1
196404;31.9;1
196405;31.2;1
196406;30.8;1
196407;32;1
196408;32.3;1
196409;32;1
196410;32.2;1
196411;32.7;1
196412;31;1
196501;29.2;1
196502;29.5;1
196503;30.6;1
196504;31.1;1
196505;30.5;1
196506;30.3;1
196507;30.3;1
196508;31.3;1
196509;32.2;1
196510;33.6;1
196511;32.1;1
196512;31.2;1
196601;30.2;1
196602;30.3;1
196603;30.7;1
196604;31.2;1
196605;31.2;1
196606;31.2;1
196607;30.9;1
196608;31.7;1
196609;31.8;1
196610;33.4;1
196611;32.1;1
196612;31.1;1
196701;29.5;1
196702;29.9;1
196703;30.6;1
196704;31.1;1
196705;30.1;1
196706;29.7;1
196707;30.2;1
