# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97406220
# NOM_USUEL= PLAINE DES PALMISTES
# LATITUDE (°) = -21.136
# LONGITUDE(°)= 55.627
# ALTITUDE (m) = 1032
# NUM_SERIE= MTX197406220
# Amplitude minimale détectable de la série = 0.23
# Période homogénéisée : 196501 201312
# Date(s) de rupture(s) d'homogénéité : 198709 199112 200812
#     Periode homogénéisée  196501 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;22.6;1
196502;24.1;1
196503;21.4;1
196504;21.1;1
196505;19;1
196506;18;1
196507;18.2;1
196508;16.7;1
196509;17.7;1
196510;18.7;1
196511;20.2;1
196512;21.1;1
196601;22.5;1
196602;23.2;1
196603;23;1
196604;22.2;1
196605;20.9;1
196606;18.8;1
196607;18.2;1
196608;17.1;1
196609;19.4;1
196610;19.4;1
196611;20.9;1
196612;22.6;1
196701;24.9;1
196702;24.9;1
196703;24.1;1
196704;24;1
196705;20.1;1
196706;18.7;1
196707;18.5;1
196708;17.1;1
196709;18.2;1
196710;18.8;1
196711;21.2;1
196712;22.6;1
196801;22.5;1
196802;22.8;1
196803;22.3;1
196804;21.4;1
196805;19.9;1
196806;20;1
196807;16.9;1
196808;16.8;1
196809;18;1
196810;19;1
196811;19.8;1
196812;20.4;1
196901;22.8;1
196902;23.6;1
196903;24.1;1
196904;22.7;1
196905;21.3;1
196906;19.5;1
196907;18.3;1
196908;17.8;1
196909;18.8;1
196910;20;1
196911;22.4;1
196912;23.3;1
197001;23.9;1
197002;25.2;1
197003;24.3;1
197004;21.8;1
197005;20.8;1
197006;18.3;1
197007;18.4;1
197008;16.6;1
197009;18.4;1
197010;19.3;1
197011;20.8;1
197012;21.9;1
197101;23.7;1
197102;24.4;1
197103;22.9;1
197104;22.6;1
197105;20.5;1
197106;18.7;1
197107;17.5;1
197108;16.7;1
197109;17.3;1
197110;18.5;1
197111;21.1;1
197112;22.7;1
197201;23.7;1
197202;23.7;1
197203;22.2;1
197204;22.3;1
197205;21;1
197206;20.4;1
197207;18.8;1
197208;17.8;1
197209;18.2;1
197210;20;1
197211;21.6;1
197212;23.3;1
197301;23.7;1
197302;23.4;1
197303;24.5;1
197304;22.4;1
197305;21.7;1
197306;18.3;1
197307;17.9;1
197308;18;1
197309;18.7;1
197310;19.7;1
197311;21.5;1
197312;21.9;1
197401;22.1;1
197402;21.5;1
197403;22;1
197404;21.5;1
197405;20.4;1
197406;19.2;1
197407;17.2;1
197408;17.6;1
197409;17.7;1
197410;19.1;1
197411;20.9;1
197412;22.5;1
197501;23.2;1
197502;24.1;1
197503;22.6;1
197504;22;1
197505;21.6;1
197506;18.4;1
197507;18.4;1
197508;17;1
197509;17.3;1
197510;19.5;1
197511;22;1
197512;21.1;1
197601;23;1
197602;22.9;1
197603;24.2;1
197604;23;1
197605;21.7;1
197606;19.6;1
197607;18.8;1
197608;18.7;1
197609;18.9;1
197610;20.6;1
197611;22.3;1
197612;24;1
197701;24.5;1
197702;23.8;1
197703;24.1;1
197704;23.1;1
197705;21.3;1
197706;19.9;1
197707;19.1;1
197708;19.2;1
197709;18.6;1
197710;20.2;1
