# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97418110
# NOM_USUEL= GILLOT-AEROPORT
# LATITUDE (°) = -20.892
# LONGITUDE(°)= 55.529
# ALTITUDE (m) = 8
# NUM_SERIE= MTX197418110
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 196501 201312
# Date(s) de rupture(s) d'homogénéité : 199112 199412 200409
#     Periode homogénéisée  196501 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;28.5;1
196502;29.2;1
196503;27.6;1
196504;26.8;1
196505;25.4;1
196506;24.4;1
196507;24.1;1
196508;23.4;1
196509;24.4;1
196510;25.3;1
196511;26.3;1
196512;27.3;1
196601;28.8;1
196602;29.3;1
196603;29;1
196604;28.2;1
196605;26.9;1
196606;25;1
196607;24.8;1
196608;24.3;1
196609;25.4;1
196610;25.4;1
196611;26.9;1
196612;28.4;1
196701;30.4;1
196702;30.6;1
196703;29.7;1
196704;29.1;1
196705;26.6;1
196706;25.1;1
196707;24.5;1
196708;23.9;1
196709;24.6;1
196710;25.3;1
196711;26.8;1
196712;28.3;1
196801;29;1
196802;29.1;1
196803;28.6;1
196804;27.8;1
196805;26.1;1
196806;25.6;1
196807;24.1;1
196808;24;1
196809;24.6;1
196810;25.4;1
196811;26.3;1
196812;26.9;1
196901;29.1;1
196902;29.6;1
196903;30.6;1
196904;29.1;1
196905;27.5;1
196906;25.6;1
196907;24.6;1
196908;24.2;1
196909;25.3;1
196910;26.9;1
196911;28.8;1
196912;29.2;1
197001;29.9;1
197002;29.7;1
197003;30;1
197004;28.2;1
197005;26.9;1
197006;25.3;1
197007;24.8;1
197008;24.1;1
197009;25;1
197010;26;1
197011;26.6;1
197012;28;1
197101;29.8;1
197102;29.7;1
197103;29.2;1
197104;28.4;1
197105;26.9;1
197106;25.5;1
197107;24.5;1
197108;24.2;1
197109;24.7;1
197110;25.2;1
197111;26.9;1
197112;28.7;1
197201;29.7;1
197202;28.9;1
197203;29.2;1
197204;28.3;1
197205;27.3;1
197206;26.4;1
197207;25.6;1
197208;24.9;1
197209;25.3;1
197210;26.4;1
197211;27;1
197212;28.9;1
197301;29.3;1
197302;29.7;1
197303;29.9;1
197304;28.8;1
197305;28.2;1
197306;25.5;1
197307;24.8;1
197308;24.3;1
197309;24.7;1
197310;25.9;1
197311;27.5;1
197312;28.8;1
197401;28.9;1
197402;28.7;1
197403;28.5;1
197404;28.3;1
197405;26.8;1
197406;25.5;1
197407;23.8;1
197408;24.5;1
197409;24.4;1
197410;25.9;1
197411;27;1
197412;28.2;1
197501;29.5;1
197502;29.6;1
197503;29.2;1
197504;28.9;1
197505;27.6;1
197506;25;1
197507;24.9;1
197508;24.1;1
197509;24.5;1
197510;25.4;1
197511;27.8;1
197512;27.5;1
197601;29.3;1
197602;29.1;1
197603;29.7;1
197604;28.5;1
197605;27.3;1
197606;26.1;1
197607;25.2;1
197608;24.8;1
197609;25.1;1
197610;26.9;1
197611;27.6;1
197612;29.2;1
197701;29.9;1
197702;29.4;1
197703;30.1;1
197704;28.9;1
197705;27.6;1
197706;26.2;1
197707;25;1
197708;25.1;1
197709;25.6;1
197710;26.7;1
197711;27.6;1
197712;29.2;1
197801;29.6;1
197802;30;1
197803;29.5;1
197804;28.7;1
197805;27.5;1
197806;25.9;1
197807;24.6;1
197808;25;1
197809;25.7;1
197810;26.6;1
197811;27.6;1
197812;29.1;1
197901;30.1;1
197902;29.7;1
197903;29.5;1
197904;28.5;1
197905;27.3;1
197906;25.8;1
197907;24.9;1
197908;25.2;1
197909;25.5;1
197910;26.5;1
197911;27.9;1
197912;28.9;1
198001;29.1;1
198002;29.3;1
198003;29.6;1
198004;29.1;1
198005;26.9;1
198006;26;1
198007;24.8;1
198008;24.5;1
198009;25.8;1
198010;26.9;1
198011;28.4;1
198012;29.9;1
198101;30.2;1
198102;29.7;1
198103;29.7;1
198104;29.2;1
198105;27;1
198106;25.8;1
198107;24.3;1
198108;24.9;1
198109;25.5;1
198110;26.8;1
198111;27.5;1
198112;28.4;1
198201;29.2;1
198202;28.9;1
198203;29.3;1
198204;28.3;1
198205;26.8;1
198206;25.2;1
198207;24.6;1
198208;24.4;1
198209;25.4;1
198210;26.5;1
198211;27.4;1
198212;28.7;1
198301;29;1
198302;29.7;1
198303;29.4;1
198304;28.3;1
198305;27.2;1
198306;25.7;1
198307;25.4;1
198308;25;1
198309;25.1;1
198310;26.1;1
198311;26.8;1
198312;28;1
198401;29;1
198402;29.4;1
198403;29.2;1
198404;27.8;1
198405;26.1;1
198406;25;1
198407;24.1;1
198408;24.1;1
198409;24.3;1
198410;26.4;1
198411;28.1;1
198412;28.7;1
198501;29.5;1
198502;29.3;1
198503;29.6;1
198504;28.6;1
198505;26.9;1
198506;25.9;1
198507;25.6;1
198508;25.3;1
198509;25.2;1
198510;26.3;1
198511;26.8;1
198512;27.8;1
198601;29.6;1
198602;28.9;1
198603;29.4;1
198604;28.4;1
198605;26.5;1
198606;24.7;1
198607;24.2;1
198608;24.8;1
198609;25.5;1
198610;26.5;1
198611;28.1;1
198612;29;1
198701;29.1;1
198702;28.9;1
198703;30.3;1
198704;29.3;1
198705;27.9;1
198706;26;1
198707;25.5;1
198708;25.7;1
198709;26.1;1
198710;26.7;1
198711;28.5;1
198712;29.6;1
198801;29.6;1
198802;30.3;1
198803;30.2;1
198804;29.1;1
198805;26.7;1
198806;26;1
198807;25.5;1
198808;25.3;1
198809;26.1;1
198810;27.6;1
198811;28.1;1
198812;27.9;1
198901;29.3;1
198902;29.8;1
198903;30;1
198904;29;1
198905;27.7;1
198906;26;1
198907;25;1
198908;24.4;1
198909;24.8;1
198910;26;1
198911;27.1;1
198912;28;1
199001;28.5;1
199002;28.8;1
199003;29.6;1
199004;28.9;1
199005;27.1;1
199006;26.1;1
199007;25.3;1
199008;25.2;1
199009;26.3;1
199010;27.2;1
199011;28.1;1
199012;29.1;1
199101;30.2;1
199102;30.1;1
199103;29.7;1
199104;28.2;1
199105;27;1
199106;25.2;1
199107;24.4;1
199108;25;1
199109;26.7;1
199110;26.8;1
199111;28.4;1
199112;28.2;1
199201;30.1;1
199202;30;1
199203;29.2;1
199204;27.9;1
199205;27.1;1
199206;25.7;1
199207;24.3;1
199208;24.1;1
199209;25.3;1
199210;27.2;1
199211;28.1;1
199212;29.2;1
199301;30.4;1
199302;29;1
199303;28.8;1
199304;28.5;1
199305;27.7;1
199306;26;1
199307;24.6;1
199308;24.6;1
199309;24.5;1
199310;26.1;1
199311;26.4;1
199312;28.9;1
199401;29.5;1
199402;30;1
199403;29.6;1
199404;29.5;1
199405;27.5;1
199406;25.8;1
199407;25.3;1
199408;25;1
199409;24.9;1
199410;25.8;1
199411;26.4;1
199412;28.1;1
199501;29.8;1
199502;30.4;1
199503;29.2;1
199504;28.3;1
199505;25.7;1
199506;25.3;1
199507;25;1
199508;24.4;1
199509;24.8;1
199510;26.2;1
199511;27;1
199512;27.7;1
199601;28.9;1
199602;29.4;1
199603;29.2;1
199604;28.4;1
199605;26.5;1
199606;25.7;1
199607;24.4;1
199608;24.8;1
199609;25;1
199610;26.4;1
199611;27.5;1
199612;28.3;1
199701;29.5;1
199702;29;1
199703;29.2;1
199704;29;1
199705;26.8;1
199706;25.3;1
199707;24.1;1
199708;24.4;1
199709;24.6;1
199710;25.6;1
199711;27.2;1
199712;29;1
199801;31;1
199802;29.8;1
199803;30.3;1
199804;29.1;1
199805;27.8;1
199806;25.8;1
199807;24.6;1
199808;24.6;1
199809;25.3;1
199810;26.7;1
199811;27.6;1
199812;27.9;1
199901;29.5;1
199902;29.4;1
199903;28.9;1
199904;29.1;1
199905;27.7;1
199906;26.3;1
199907;24.3;1
199908;25.2;1
199909;25.4;1
199910;25.9;1
199911;28;1
199912;28.4;1
200001;29.6;1
200002;29.3;1
200003;29;1
200004;28.6;1
200005;27.2;1
200006;26;1
200007;24.9;1
200008;24.5;1
200009;25.3;1
200010;26.2;1
200011;27.5;1
200012;29.5;1
200101;29.3;1
200102;30.5;1
200103;29.8;1
200104;29;1
200105;27.7;1
200106;25.5;1
200107;24.8;1
200108;25.4;1
200109;26;1
200110;26.6;1
200111;27.9;1
200112;29.1;1
200201;29.3;1
200202;30.1;1
200203;30;1
200204;28.7;1
200205;26.9;1
200206;25.3;1
200207;24.6;1
200208;24.6;1
200209;25.1;1
200210;26.5;1
200211;27.5;1
200212;28.9;1
200301;30.1;1
200302;30.5;1
200303;30.5;1
200304;28.8;1
200305;27.6;1
200306;25.4;1
200307;25.1;1
200308;24.6;1
200309;25.5;1
200310;26.5;1
200311;27.8;1
200312;29.3;1
200401;30.5;1
200402;30.4;1
200403;30.1;1
200404;28.5;1
200405;26.4;1
200406;25;1
200407;24.7;1
200408;25.7;1
200409;25.6;1
200410;26.5;1
200411;27.9;1
200412;28.2;1
200501;29.9;1
200502;30.4;1
200503;30.1;1
200504;29.4;1
200505;27.1;1
200506;25.8;1
200507;24.8;1
200508;24.8;1
200509;25.5;1
200510;26;1
200511;27.1;1
200512;28.4;1
200601;29.7;1
200602;29.6;1
200603;29.5;1
200604;29.5;1
200605;27.7;1
200606;26.6;1
200607;24.7;1
200608;24.6;1
200609;25.4;1
200610;26.2;1
200611;27.5;1
200612;29.6;1
200701;29.8;1
200702;30;1
200703;29.5;1
200704;29;1
200705;28;1
200706;26.3;1
200707;25.3;1
200708;25;1
200709;25.7;1
200710;25.9;1
200711;28;1
200712;29.4;1
200801;29.2;1
200802;29.6;1
200803;29.3;1
200804;29.2;1
200805;27.3;1
200806;25.3;1
200807;25.1;1
200808;25.4;1
200809;26.1;1
200810;27;1
200811;28.8;1
200812;29.6;1
200901;30.9;1
200902;31;1
200903;30;1
200904;29;1
200905;28;1
200906;26.5;1
200907;25.1;1
200908;25;1
200909;26;1
200910;27.2;1
200911;27.9;1
200912;29.9;1
201001;30.3;1
201002;30.9;1
201003;29.9;1
201004;29.6;1
201005;28.4;1
201006;26.7;1
