# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97422440
# NOM_USUEL= PLAINE DES CAFRES
# LATITUDE (°) = -21.209
# LONGITUDE(°)= 55.573
# ALTITUDE (m) = 1560
# NUM_SERIE= MTX197422440
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 196501 201312
# Date(s) de rupture(s) d'homogénéité : 197712 199312 199812 200912
#     Periode homogénéisée  196501 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;21.1;1
196502;21;1
196503;19.4;1
196504;19.4;1
196505;17.1;1
196506;15.1;1
196507;15.4;1
196508;14.9;1
196509;17.1;1
196510;18.2;1
196511;19.2;1
196512;20.6;1
196601;22.1;1
196602;22.2;1
196603;20.8;1
196604;20.7;1
196605;19.1;1
196606;16.1;1
196607;14.9;1
196608;15.3;1
196609;18.3;1
196610;18.1;1
196611;20.4;1
196612;21.9;1
196701;22.8;1
196702;22.6;1
196703;21.9;1
196704;21;1
196705;17.6;1
196706;16.4;1
196707;15.6;1
196708;15.2;1
196709;17.3;1
196710;18.6;1
196711;20.7;1
196712;20.8;1
196801;21.5;1
196802;21.9;1
196803;21.1;1
196804;19.4;1
196805;16.9;1
196806;17;1
196807;14.1;1
196808;15.6;1
196809;17;1
196810;18.2;1
196811;20;1
196812;20.5;1
196901;22;1
196902;21.9;1
196903;22.5;1
196904;21.2;1
196905;18.9;1
196906;16.1;1
196907;15.7;1
196908;15;1
196909;17.2;1
196910;20.2;1
196911;22.1;1
196912;22.1;1
197001;22.3;1
197002;22.8;1
197003;21.7;1
197004;20;1
197005;18.2;1
197006;15.7;1
197007;15.4;1
197008;15;1
197009;17.5;1
197010;18.6;1
197011;20.5;1
197012;21.8;1
197101;21.9;1
197102;21.3;1
197103;21.3;1
197104;20.2;1
197105;18.4;1
197106;15.2;1
197107;15.2;1
197108;14.7;1
197109;16.6;1
197110;18;1
197111;20.1;1
197112;22.1;1
197201;22.2;1
197202;21;1
197203;21.2;1
197204;20.7;1
197205;18.8;1
197206;17;1
197207;16.3;1
197208;16.4;1
197209;17.3;1
197210;19.3;1
197211;21.9;1
197212;22.1;1
197301;22.4;1
197302;22;1
197303;22.4;1
197304;20;1
197305;19.5;1
197306;15.8;1
197307;15.2;1
197308;15.4;1
197309;17.3;1
197310;18.9;1
197311;20.5;1
197312;20.7;1
197401;21;1
197402;20.8;1
197403;20.3;1
197404;19.9;1
197405;18.3;1
197406;15.9;1
197407;14.9;1
197408;15.4;1
197409;15.7;1
197410;18.4;1
197411;20.7;1
197412;21.4;1
197501;22.1;1
197502;21.9;1
197503;20.7;1
197504;20.8;1
197505;18.7;1
197506;15.9;1
197507;15.9;1
197508;15.1;1
197509;16.1;1
197510;18.8;1
197511;20.4;1
197512;21.1;1
197601;21;1
197602;21;1
197603;21.4;1
197604;20.1;1
197605;19.3;1
197606;16.8;1
197607;15.7;1
197608;16.8;1
197609;17.5;1
197610;19.9;1
197611;21.3;1
197612;23.3;1
197701;22.5;1
197702;21.6;1
197703;22;1
197704;20.4;1
197705;19.2;1
197706;17;1
197707;16.5;1
197708;16.5;1
197709;17.6;1
197710;20.1;1
197711;20.8;1
197712;22.6;1
197801;22.1;1
197802;21.9;1
197803;20.7;1
197804;20.6;1
197805;19.2;1
197806;16.5;1
197807;14.8;1
197808;16.9;1
197809;18.5;1
197810;19.3;1
197811;20.6;1
197812;22.1;1
197901;21.8;1
197902;21.2;1
197903;21.2;1
197904;19.8;1
197905;18.5;1
197906;15.8;1
197907;16;1
197908;16.5;1
197909;18.2;1
197910;19.1;1
197911;21.2;1
197912;22.3;1
198001;21.9;1
198002;21.2;1
198003;22.5;1
198004;20.7;1
198005;17.9;1
198006;16.7;1
198007;15.7;1
198008;15.4;1
198009;17.1;1
198010;19.7;1
198011;21.9;1
198012;22.4;1
198101;22.1;1
198102;21.6;1
198103;21.3;1
198104;20.6;1
198105;17.9;1
198106;16.9;1
198107;14.1;1
198108;15.7;1
198109;17;1
198110;19.3;1
198111;20.4;1
198112;21.6;1
198201;22.4;1
198202;21.3;1
198203;21;1
198204;20.1;1
198205;18.1;1
198206;16.2;1
198207;15.6;1
198208;16.5;1
198209;17.8;1
198210;18.9;1
198211;20.7;1
198212;21;1
198301;21.4;1
198302;23.2;1
198303;21.6;1
198304;20.2;1
198305;19.5;1
198306;16.8;1
198307;16.3;1
198308;15.4;1
198309;17.5;1
198310;19.5;1
198311;21.5;1
198312;22.5;1
198401;22.4;1
198402;22.1;1
198403;21.2;1
198404;19.6;1
198405;17.6;1
198406;15.5;1
198407;14.4;1
198408;15;1
198409;17.2;1
198410;18.8;1
198411;21.9;1
198412;21.6;1
198501;21.9;1
198502;21.9;1
198503;21.8;1
198504;19.3;1
198505;17.7;1
198506;16.5;1
198507;16.1;1
198508;15.7;1
198509;17.1;1
198510;18.2;1
198511;19.3;1
198512;21.3;1
198601;21.8;1
198602;21;1
198603;21.2;1
198604;20.4;1
198605;18.1;1
198606;15.1;1
198607;15.1;1
198608;15.7;1
198609;17.2;1
198610;18.7;1
198611;20.8;1
198612;22.3;1
198701;22;1
198702;21.6;1
198703;22.2;1
198704;21.2;1
198705;17.9;1
198706;16.3;1
198707;16.7;1
198708;16.3;1
198709;17.8;1
198710;19.1;1
198711;20.6;1
198712;21.4;1
198801;22.9;1
198802;22;1
198803;22;1
198804;21;1
198805;18.4;1
198806;16.9;1
198807;15.9;1
198808;16.2;1
198809;18.3;1
198810;19.8;1
198811;20.9;1
198812;21.3;1
198901;22.1;1
198902;22.1;1
198903;21;1
198904;19.8;1
198905;19.2;1
198906;17;1
198907;16.1;1
198908;15.3;1
198909;17.6;1
198910;19.7;1
198911;20.4;1
198912;21.1;1
199001;21.8;1
199002;21;1
199003;21.1;1
199004;20.6;1
199005;19;1
199006;17.2;1
199007;15.5;1
199008;16.3;1
199009;17.6;1
199010;20.5;1
199011;20.9;1
199012;22.2;1
199101;23.4;1
199102;22.4;1
199103;22;1
199104;19.9;1
199105;18.8;1
199106;16.1;1
199107;14.5;1
199108;16;1
199109;19;1
199110;19.9;1
199111;21.5;1
199112;21.1;1
199201;23.2;1
199202;21.6;1
199203;21.6;1
199204;19.9;1
199205;19.2;1
199206;16.4;1
199207;14.7;1
199208;15.6;1
199209;17.3;1
199210;19.7;1
199211;20.8;1
199212;21.8;1
199301;23.1;1
199302;22;1
199303;20.7;1
199304;20.7;1
199305;20.1;1
199306;16.3;1
199307;15.7;1
199308;15.4;1
199309;16.8;1
199310;18.7;1
199311;20.2;1
199312;21.5;1
199401;21.7;1
199402;21.6;1
199403;20.8;1
199404;21.3;1
199405;18.2;1
199406;16.1;1
199407;15.7;1
199408;16.1;1
199409;17.3;1
199410;18.8;1
199411;20.4;1
199412;21.8;1
199501;22.4;1
199502;22.2;1
199503;21.3;1
199504;20.1;1
199505;17;1
199506;15.9;1
199507;15.4;1
199508;15.5;1
199509;16.7;1
199510;19.2;1
199511;19.8;1
199512;21;1
199601;22;1
199602;21.1;1
199603;22.1;1
199604;20.2;1
199605;18.1;1
199606;16.5;1
199607;14.4;1
199608;15.1;1
199609;17.6;1
199610;18.7;1
199611;21.1;1
199612;21.5;1
199701;21.2;1
199702;21;1
199703;21.5;1
199704;20.3;1
199705;18.5;1
199706;16.7;1
199707;15.7;1
199708;16.6;1
199709;17.9;1
199710;18.2;1
199711;22.2;1
199712;21.9;1
199801;24.4;1
199802;22.7;1
199803;22.8;1
199804;20.2;1
199805;19.5;1
199806;17.7;1
199807;15.1;1
199808;15.9;1
199809;17.6;1
199810;18.8;1
199811;20.2;1
199812;20.8;1
199901;21.4;1
199902;21.9;1
199903;21.6;1
199904;20.9;1
199905;19;1
199906;17.1;1
199907;15.2;1
199908;16.2;1
199909;17.2;1
199910;18.7;1
199911;20.3;1
199912;21.5;1
200001;22.7;1
200002;21.6;1
200003;21.1;1
200004;20.7;1
200005;18.7;1
200006;16.1;1
200007;14.6;1
200008;15.4;1
200009;17.4;1
200010;18.3;1
200011;19.8;1
200012;21.6;1
200101;22.1;1
200102;22.1;1
200103;21.7;1
200104;20.2;1
200105;19.3;1
200106;15.1;1
200107;15.2;1
200108;16.2;1
200109;18.1;1
200110;18.7;1
200111;20.7;1
200112;22.2;1
200201;22.2;1
200202;22.4;1
200203;21.4;1
200204;20.3;1
200205;18.4;1
200206;15.3;1
200207;15.5;1
200208;15.4;1
200209;16.7;1
200210;19.2;1
200211;21.6;1
200212;22.2;1
200301;22.3;1
200302;22;1
200303;21.5;1
200304;21.5;1
200305;19.6;1
200306;16.3;1
200307;15.2;1
200308;15.6;1
200309;17.3;1
200310;19.7;1
200311;21;1
200312;22.3;1
200401;22.8;1
200402;23.5;1
200403;21.7;1
200404;20;1
200405;17.1;1
200406;15.6;1
200407;16.1;1
200408;16.5;1
200409;17.8;1
200410;19.1;1
200411;20.4;1
200412;21.6;1
200501;22.8;1
200502;22.8;1
200503;22.2;1
200504;21.6;1
200505;18.6;1
200506;16.9;1
200507;15.3;1
200508;14.9;1
200509;16.7;1
200510;18.6;1
200511;20.4;1
200512;21.9;1
200601;21.5;1
200602;22;1
200603;21.9;1
200604;21.2;1
200605;19.5;1
200606;17.6;1
200607;15.3;1
200608;16.2;1
200609;17.6;1
200610;19.1;1
200611;21.9;1
200612;22.4;1
200701;22.3;1
200702;22.6;1
200703;22;1
200704;20.5;1
200705;19.7;1
200706;16.3;1
200707;16.3;1
200708;16.7;1
200709;17.4;1
200710;18.6;1
