# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98803003
# NOM_USUEL= NESSADIOU
# LATITUDE (°) = -21.621
# LONGITUDE(°)= 165.48
# ALTITUDE (m) = 2
# NUM_SERIE= MTX198803003
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 196701 201512
# Date(s) de rupture(s) d'homogénéité : 200805
#     Periode homogénéisée  196701 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196701;29.3;1
196702;29.6;1
196703;29.4;1
196704;27.2;1
196705;26;1
196706;26;1
196707;24.3;1
196708;25.4;1
196709;24.6;1
196710;26.9;1
196711;27.5;1
196712;29.2;1
196801;29.4;1
196802;29.5;1
196803;29.7;1
196804;27.7;1
196805;26.9;1
196806;24.3;1
196807;23.4;1
196808;23.9;1
196809;24.5;1
196810;26.4;1
196811;28.9;1
196812;30;1
196901;30.2;1
196902;29;1
196903;28.5;1
196904;28.5;1
196905;26.8;1
196906;24.3;1
196907;23.8;1
196908;24.2;1
196909;24.9;1
196910;26.3;1
196911;28.6;1
196912;30.2;1
197001;31;1
197002;29.5;1
197003;30.6;1
197004;27.7;1
197005;26;1
197006;24.6;1
197007;23.8;1
197008;25.2;1
197009;26.4;1
197010;27.6;1
197011;27.6;1
197012;29.9;1
197101;29.4;1
197102;30.8;1
197103;28.6;1
197104;27.1;1
197105;26.4;1
197106;24.6;1
197107;23.7;1
197108;25.1;1
197109;25.8;1
197110;27.7;1
197111;27.7;1
197112;28.9;1
197201;29.4;1
197202;29.6;1
197203;29.8;1
197204;27.2;1
197205;26.3;1
197206;23.3;1
197207;23.8;1
197208;23.5;1
197209;24.1;1
197210;26.6;1
197211;28.9;1
197212;28.7;1
197301;31.1;1
197302;31.1;1
197303;31.3;1
197304;28.8;1
197305;27.6;1
197306;26.6;1
197307;25;1
197308;24.8;1
197309;25.6;1
197310;28;1
197311;30.1;1
197312;31.1;1
197401;30.1;1
197402;29.9;1
197403;29.7;1
197404;28.7;1
197405;26.9;1
197406;24.6;1
197407;24.5;1
197408;24.3;1
197409;25.5;1
197410;26.4;1
197411;28.3;1
197412;28.6;1
197501;29.9;1
197502;28.9;1
197503;29.7;1
197504;27.8;1
197505;26.3;1
197506;24.6;1
197507;24.2;1
197508;24.6;1
197509;25.8;1
197510;26.8;1
197511;28;1
197512;29.2;1
197601;29.8;1
197602;29.7;1
197603;30.6;1
197604;28.3;1
197605;26.6;1
197606;25.2;1
197607;23.9;1
197608;24;1
197609;23.8;1
197610;26.2;1
197611;28.2;1
197612;29.8;1
197701;29.1;1
197702;29.8;1
197703;29.4;1
197704;27.9;1
197705;26.9;1
197706;24.8;1
197707;24;1
197708;23.1;1
197709;24.2;1
197710;25.5;1
197711;28.2;1
197712;28.7;1
197801;29.9;1
197802;31.3;1
197803;29.9;1
197804;28.7;1
197805;26.7;1
197806;25.4;1
197807;23.6;1
197808;23.7;1
197809;25.1;1
197810;25;1
197811;27.7;1
197812;28.7;1
197901;29.1;1
197902;29.7;1
197903;30.6;1
197904;28;1
197905;26.2;1
197906;25;1
197907;24;1
197908;23.4;1
197909;24.6;1
197910;27;1
197911;28.1;1
197912;29.8;1
198001;31.4;1
198002;31.6;1
198003;29.5;1
198004;27.3;1
198005;27.1;1
198006;25;1
198007;23.8;1
198008;24.3;1
198009;25;1
198010;26.6;1
198011;28.2;1
198012;29.2;1
198101;29.1;1
198102;30.9;1
198103;29.8;1
198104;28.7;1
198105;26.6;1
198106;25.5;1
198107;23.9;1
198108;24;1
198109;25.1;1
198110;27;1
198111;27.3;1
198112;30;1
198201;30.3;1
198202;29.4;1
198203;29.4;1
198204;27.7;1
198205;26.6;1
198206;23.4;1
198207;23.1;1
198208;22.9;1
198209;24.8;1
198210;25.6;1
198211;27.6;1
198212;29.5;1
198301;31;1
198302;29.8;1
198303;30.2;1
198304;29.9;1
198305;28.3;1
198306;25.3;1
198307;24.4;1
198308;25;1
198309;27.1;1
198310;27.7;1
198311;29.1;1
198312;28.1;1
198401;30.2;1
198402;29.4;1
198403;30.1;1
198404;28.7;1
198405;26.4;1
198406;24.9;1
198407;24.5;1
198408;24.8;1
198409;25.4;1
198410;26.8;1
198411;28;1
198412;29.9;1
198501;30.6;1
198502;31.2;1
198503;28.9;1
198504;30;1
198505;26.2;1
198506;24.6;1
198507;23.7;1
198508;24.4;1
198509;24.8;1
198510;26.5;1
198511;27.8;1
198512;29.3;1
198601;31.3;1
198602;31.1;1
198603;28.9;1
198604;28.9;1
198605;27.2;1
198606;25.3;1
198607;24;1
198608;24;1
198609;24.7;1
198610;27.8;1
198611;27.8;1
198612;27.8;1
198701;29.8;1
198702;29.7;1
198703;29.8;1
198704;28.6;1
198705;28.2;1
198706;25.9;1
198707;24.1;1
198708;25.1;1
198709;25.2;1
198710;28;1
198711;28.2;1
198712;30.2;1
198801;29.7;1
198802;29.8;1
198803;28.8;1
198804;28.5;1
198805;27;1
198806;26.1;1
198807;25;1
198808;25.3;1
198809;26.4;1
198810;28.3;1
198811;29.5;1
198812;29.1;1
198901;29.4;1
198902;29.2;1
198903;29.7;1
198904;28.3;1
198905;26.5;1
198906;25.5;1
198907;24.6;1
198908;24;1
198909;25;1
198910;27.2;1
198911;28.4;1
198912;29.2;1
199001;30.1;1
199002;30.1;1
199003;30;1
199004;29.8;1
199005;28.5;1
199006;25.9;1
199007;25;1
199008;24.4;1
199009;24.5;1
199010;26.6;1
199011;27.3;1
199012;29.7;1
199101;31;1
199102;30.8;1
199103;28.1;1
199104;27.8;1
199105;25.8;1
199106;24.9;1
199107;24.9;1
199108;25;1
199109;25.3;1
199110;26.6;1
199111;27.6;1
199112;29;1
199201;30;1
199202;30.8;1
199203;29.4;1
199204;28.1;1
199205;27.2;1
199206;24.9;1
199207;24.2;1
199208;24.6;1
199209;25.9;1
199210;25.1;1
199211;28.2;1
199212;29;1
199301;30;1
199302;30.2;1
199303;29.6;1
199304;27.4;1
199305;26.3;1
199306;25;1
199307;25.4;1
199308;24.1;1
199309;25;1
199310;27;1
199311;28.7;1
199312;29.1;1
199401;30.2;1
199402;30.1;1
199403;29;1
199404;27.2;1
199405;26.7;1
199406;25;1
199407;23.8;1
199408;23.7;1
199409;24.8;1
199410;26.8;1
199411;29.2;1
199412;29.1;1
199501;31.2;1
199502;30.8;1
199503;30.6;1
199504;28.8;1
199505;27.2;1
199506;25.2;1
199507;24.8;1
199508;24.5;1
199509;26.2;1
199510;27.8;1
199511;29.8;1
199512;30.7;1
199601;31;1
199602;32.1;1
199603;29.9;1
199604;30.3;1
199605;26.9;1
199606;25.3;1
199607;24.2;1
199608;24.2;1
199609;26;1
199610;27.5;1
199611;28.1;1
199612;30.4;1
199701;29.2;1
199702;30.2;1
199703;30;1
199704;28.4;1
199705;27.6;1
199706;25.4;1
199707;23.7;1
199708;24;1
199709;25.3;1
199710;25.8;1
199711;29.1;1
199712;31;1
199801;31;1
199802;31.8;1
199803;30.4;1
199804;30.4;1
199805;28.2;1
199806;26.9;1
199807;26.4;1
199808;26.2;1
199809;26.3;1
199810;29.3;1
199811;28.5;1
199812;29.1;1
199901;31;1
199902;30.7;1
199903;31.2;1
199904;29.5;1
199905;28;1
199906;25.3;1
199907;25.2;1
199908;24.3;1
199909;25.7;1
199910;28;1
199911;27.6;1
199912;28.3;1
200001;30.2;1
200002;29.6;1
200003;29.8;1
200004;28.9;1
200005;28.3;1
200006;24.9;1
200007;24.7;1
200008;24.9;1
200009;26.4;1
200010;27.7;1
200011;27.7;1
200012;29.3;1
200101;30.1;1
200102;30.5;1
200103;31.4;1
200104;28.3;1
200105;28.2;1
200106;25.2;1
200107;24.6;1
200108;25;1
200109;26.2;1
200110;27.7;1
200111;29.5;1
200112;30.1;1
200201;30.9;1
200202;31.5;1
200203;29.7;1
200204;29.1;1
200205;27.1;1
200206;26.5;1
200207;24.2;1
200208;25;1
200209;26.1;1
200210;27.7;1
200211;27.6;1
200212;29.6;1
200301;29.2;1
200302;31.2;1
200303;30.2;1
200304;28.1;1
200305;27.6;1
200306;26;1
200307;24.2;1
200308;24;1
200309;25.7;1
200310;27;1
200311;28;1
200312;30.6;1
200401;31.7;1
200402;33.2;1
200403;30.3;1
