# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98808001
# NOM_USUEL= HOUAILOU P
# LATITUDE (°) = -21.278
# LONGITUDE(°)= 165.628
# ALTITUDE (m) = 11
# NUM_SERIE= MTX198808001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 198912 200212
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;29.8;1
196502;30.8;1
196503;29.7;1
196504;28.8;1
196505;27.2;1
196506;27.1;1
196507;23.7;1
196508;24.5;1
196509;24.7;1
196510;26.1;1
196511;27.8;1
196512;28.2;1
196601;29.3;1
196602;29.7;1
196603;29.5;1
196604;28.1;1
196605;26.3;1
196606;25.3;1
196607;24.6;1
196608;24.2;1
196609;25.4;1
196610;26.3;1
196611;27.1;1
196612;28.4;1
196701;28.8;1
196702;29.7;1
196703;30;1
196704;28.6;1
196705;26.6;1
196706;25.7;1
196707;24.7;1
196708;25.6;1
196709;25.3;1
196710;26.7;1
196711;27.6;1
196712;28.6;1
196801;28.8;1
196802;29.3;1
196803;29.5;1
196804;28.5;1
196805;26.6;1
196806;24.8;1
196807;24.6;1
196808;25.3;1
196809;26.4;1
196810;26.3;1
196811;28.7;1
196812;28.8;1
196901;28.9;1
196902;28.9;1
196903;28.4;1
196904;28.1;1
196905;26.9;1
196906;26.1;1
196907;24.1;1
196908;24.4;1
196909;25.7;1
196910;25.4;1
196911;26.9;1
196912;28.8;1
197001;29.4;1
197002;29;1
197003;29.1;1
197004;28.7;1
197005;26.6;1
197006;25.5;1
197007;24.5;1
197008;25.1;1
197009;26.1;1
197010;26.5;1
197011;27;1
197012;28.5;1
197101;29.4;1
197102;29.4;1
197103;29.4;1
197104;27.6;1
197105;26.6;1
197106;25.5;1
197107;25.4;1
197108;25.8;1
197109;26.3;1
197110;27.7;1
197111;28.5;1
197112;28.6;1
197201;29;1
197202;28.9;1
197203;29.2;1
197204;28.3;1
197205;26.7;1
197206;24.5;1
197207;24.5;1
197208;25;1
197209;25;1
197210;26.3;1
197211;27.8;1
197212;28.5;1
197301;29.9;1
197302;30.5;1
197303;30.2;1
197304;28.6;1
197305;27.6;1
197306;27;1
197307;25.1;1
197308;25.5;1
197309;26.3;1
197310;26.3;1
197311;28.6;1
197312;29.4;1
197401;29.7;1
197402;30.1;1
197403;29.4;1
197404;28.8;1
197405;26.9;1
197406;25.5;1
197407;25;1
197408;25.2;1
197409;26.2;1
197410;26.4;1
197411;28.1;1
197412;29;1
197501;29.9;1
197502;29.8;1
197503;29.5;1
197504;28.1;1
197505;26.4;1
197506;24.8;1
197507;24.7;1
197508;25.3;1
197509;26.3;1
197510;26.8;1
197511;28.1;1
197512;29.1;1
197601;29.7;1
197602;29.8;1
197603;29.3;1
197604;29.2;1
197605;27.1;1
197606;25.9;1
197607;24.7;1
197608;24.5;1
197609;24.6;1
197610;26.5;1
197611;28.3;1
197612;29.2;1
197701;29.9;1
197702;29.3;1
197703;29.4;1
197704;28;1
197705;27.2;1
197706;25.9;1
197707;24.5;1
197708;24.5;1
197709;24.8;1
197710;25.9;1
197711;26.6;1
197712;28.7;1
197801;30;1
197802;29.7;1
197803;29.1;1
197804;28.7;1
197805;26.9;1
197806;26.2;1
197807;25.5;1
197808;24.2;1
197809;25.8;1
197810;26.1;1
197811;27.7;1
197812;28.7;1
197901;28.7;1
197902;29.1;1
197903;29.9;1
197904;28.5;1
197905;26.6;1
197906;25.7;1
197907;24.5;1
197908;24.8;1
197909;25.4;1
197910;26.9;1
197911;27.7;1
197912;29.1;1
198001;30.2;1
198002;30.7;1
198003;30;1
198004;28.4;1
198005;26.8;1
198006;25.9;1
198007;25.2;1
198008;24.7;1
198009;25.7;1
198010;26.8;1
198011;28;1
198012;28.5;1
198101;29.9;1
198102;30.2;1
198103;30.4;1
198104;29.3;1
198105;27.4;1
198106;26.4;1
198107;25.2;1
198108;25.8;1
198109;25.5;1
198110;26.5;1
198111;27.4;1
198112;29;1
198201;29.9;1
198202;30.1;1
198203;30.1;1
198204;28.6;1
198205;26.4;1
198206;24.6;1
198207;24.2;1
198208;23.3;1
198209;25;1
198210;26.8;1
198211;27.8;1
198212;28.8;1
198301;30;1
198302;29.5;1
198303;30;1
198304;29.7;1
198305;27.9;1
198306;26.8;1
198307;24.9;1
198308;25.3;1
198309;26.5;1
198310;27;1
198311;28.1;1
198312;28.9;1
198401;29.3;1
198402;29.9;1
198403;30.3;1
198404;28.9;1
198405;26.9;1
198406;26.4;1
198407;25.7;1
198408;26;1
198409;26.7;1
198410;26.9;1
198411;28;1
198412;30;1
198501;30.8;1
198502;31.2;1
198503;30;1
198504;29.7;1
198505;26.9;1
198506;25.4;1
198507;24.1;1
198508;25;1
198509;25.6;1
198510;27.1;1
198511;27.8;1
198512;29.4;1
198601;31.2;1
198602;30.7;1
198603;29.4;1
198604;28.7;1
198605;26.6;1
198606;26.1;1
198607;24.8;1
198608;24.8;1
198609;25.7;1
198610;27.3;1
198611;27.8;1
198612;28.6;1
198701;29.6;1
198702;29.6;1
198703;28.8;1
198704;28.9;1
198705;27.5;1
198706;26.2;1
198707;24.5;1
198708;25.1;1
198709;25.6;1
198710;27.6;1
198711;28.3;1
198712;29.5;1
198801;29.9;1
198802;31;1
198803;30.1;1
198804;29.8;1
198805;28.1;1
198806;27.3;1
198807;25.7;1
198808;25.6;1
198809;26.7;1
198810;28.1;1
198811;28.7;1
198812;29.1;1
198901;30.1;1
198902;30.4;1
198903;30;1
198904;28.2;1
198905;26.4;1
198906;25.3;1
198907;25.6;1
198908;25.4;1
198909;26.4;1
198910;27.3;1
198911;28.6;1
198912;29.4;1
199001;30.5;1
199002;30.8;1
199003;30.7;1
199004;29.2;1
199005;28;1
199006;26;1
199007;25.9;1
199008;26.3;1
199009;26.5;1
199010;27.1;1
199011;27.7;1
199012;29.2;1
199101;30.6;1
199102;31;1
199103;29.5;1
199104;29;1
199105;26.3;1
199106;25.5;1
199107;26.7;1
199108;24.5;1
199109;26.5;1
199110;27.3;1
199111;27.8;1
199112;29.2;1
199201;29.5;1
199202;29.2;1
199203;29.9;1
199204;28.1;1
199205;27.4;1
199206;25.5;1
199207;24.9;1
199208;25.3;1
199209;27;1
199210;26.4;1
199211;28.4;1
199212;29.1;1
199301;29.2;1
199302;29.2;1
199303;29.5;1
199304;28.3;1
199305;27.1;1
199306;25.8;1
199307;25.9;1
199308;25.2;1
199309;26.1;1
199310;26.6;1
199311;28;1
199312;29.1;1
199401;30.2;1
199402;29.6;1
199403;30.6;1
199404;28.4;1
199405;27.1;1
199406;25.6;1
199407;24.6;1
199408;24.3;1
199409;25.5;1
199410;27.1;1
199411;28.5;1
199412;28.5;1
199501;30.1;1
199502;31;1
199503;30.4;1
199504;29.6;1
199505;28.1;1
199506;26.1;1
199507;26.1;1
199508;25.1;1
199509;26.2;1
199510;27.8;1
199511;29.3;1
199512;30.1;1
199601;30.4;1
199602;31.3;1
199603;30.6;1
199604;30;1
199605;27.8;1
199606;26.4;1
199607;24.7;1
199608;24.8;1
199609;26.4;1
199610;27.3;1
199611;28.3;1
199612;30.2;1
199701;30;1
199702;30.6;1
199703;31.1;1
199704;29.2;1
199705;27.1;1
199706;25.8;1
199707;24.6;1
199708;25;1
199709;26.5;1
199710;26.8;1
199711;28.2;1
199712;30.2;1
199801;30.4;1
199802;30.7;1
199803;30.6;1
199804;29.8;1
199805;28.3;1
199806;27.1;1
199807;26.5;1
199808;26.3;1
199809;26.6;1
199810;28.5;1
199811;28.7;1
199812;30.2;1
199901;31;1
199902;30.7;1
199903;30.8;1
199904;29.9;1
199905;27.9;1
199906;26.1;1
199907;25.5;1
199908;24.5;1
199909;26.2;1
199910;27.6;1
199911;28.4;1
199912;28.6;1
200001;30.3;1
200002;30.7;1
200003;30.6;1
200004;29.1;1
200005;28.5;1
200006;25.6;1
200007;25.9;1
200008;25.6;1
200009;26.7;1
200010;27.6;1
200011;28.2;1
200012;29.7;1
200101;30.3;1
200102;30.6;1
200103;31.1;1
200104;30.2;1
200105;28.8;1
200106;26.4;1
200107;25.9;1
200108;25.5;1
200109;26.4;1
200110;28.1;1
200111;29.3;1
200112;30.6;1
200201;31.6;1
200202;31.4;1
200203;30.7;1
200204;29.2;1
200205;27.9;1
200206;27.1;1
200207;25.4;1
200208;25;1
200209;26.5;1
200210;27.5;1
200211;28;1
200212;29.4;1
200301;30.2;1
200302;30.1;1
200303;30.8;1
200304;29.2;1
200305;28.3;1
200306;26.5;1
200307;25.5;1
200308;25.3;1
200309;26.7;1
200310;27.5;1
200311;28.1;1
200312;29.5;1
200401;30.3;1
200402;32.1;1
200403;29.8;1
200404;28.5;1
200405;27.7;1
200406;25.8;1
200407;25.2;1
200408;24.9;1
200409;25.7;1
200410;27.1;1
200411;27.9;1
200412;28.8;1
200501;30.2;1
200502;30.8;1
200503;29.9;1
200504;28.8;1
200505;27;1
200506;26.2;1
200507;25.4;1
200508;24.9;1
200509;26.6;1
200510;28.2;1
200511;28.4;1
200512;30.1;1
200601;30.4;1
200602;31.2;1
200603;30.3;1
200604;30.9;1
200605;27.9;1
200606;26.3;1
200607;25.2;1
200608;25;1
200609;25.7;1
200610;26.6;1
200611;28.3;1
200612;29.1;1
200701;29.7;1
200702;30.7;1
200703;30.5;1
200704;29.8;1
200705;28.7;1
200706;27.8;1
200707;26;1
200708;26.3;1
