# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98811001
# NOM_USUEL= KONE
# LATITUDE (°) = -21.051
# LONGITUDE(°)= 164.834
# ALTITUDE (m) = 9
# NUM_SERIE= MTX198811001
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 197510 199305 201306
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;30.5;1
196502;29.5;1
196503;28.9;1
196504;28.5;1
196505;27.3;1
196506;24.4;1
196507;22.2;1
196508;23.3;1
196509;25.6;1
196510;27.5;1
196511;28.2;1
196512;29.2;1
196601;29.7;1
196602;31.1;1
196603;29.1;1
196604;28.3;1
196605;26.4;1
196606;24;1
196607;24.1;1
196608;24.6;1
196609;26.1;1
196610;27.2;1
196611;28.3;1
196612;29.4;1
196701;28.8;1
196702;29.7;1
196703;29.9;1
196704;27.9;1
196705;25.9;1
196706;25.5;1
196707;23.7;1
196708;26;1
196709;24.6;1
196710;27.9;1
196711;27.6;1
196712;29.4;1
196801;30.3;1
196802;29.7;1
196803;29.3;1
196804;27.9;1
196805;27.3;1
196806;23.3;1
196807;23.1;1
196808;25.3;1
196809;25.8;1
196810;28.3;1
196811;31.4;1
196812;30.8;1
196901;31.1;1
196902;29.4;1
196903;28.6;1
196904;29.6;1
196905;27;1
196906;28.7;1
196907;25.2;1
196908;24.4;1
196909;25.3;1
196910;28.1;1
196911;29.2;1
196912;31.6;1
197001;30.8;1
197002;29.5;1
197003;30.5;1
197004;27.8;1
197005;25.9;1
197006;26.9;1
197007;24.2;1
197008;25.5;1
197009;25.9;1
197010;28.3;1
197011;27.6;1
197012;30.7;1
197101;29.7;1
197102;30.3;1
197103;29.7;1
197104;28;1
197105;27;1
197106;26.7;1
197107;23.2;1
197108;26;1
197109;27.4;1
197110;29.8;1
197111;28;1
197112;31.9;1
197201;30.1;1
197202;29.9;1
197203;29.4;1
197204;28.3;1
197205;26.6;1
197206;23.2;1
197207;23.3;1
197208;24.5;1
197209;25.6;1
197210;29;1
197211;30;1
197212;30.6;1
197301;32.5;1
197302;31.2;1
197303;32.6;1
197304;29.4;1
197305;27.1;1
197306;27.1;1
197307;24.1;1
197308;24.4;1
197309;26.5;1
197310;27.6;1
197311;29.8;1
197312;31.5;1
197401;30.3;1
197402;30.6;1
197403;30.1;1
197404;28.9;1
197405;26.6;1
197406;24.3;1
197407;23.7;1
197408;24.1;1
197409;26.1;1
197410;28.8;1
197411;28.6;1
197412;29.3;1
197501;31;1
197502;29.5;1
197503;29;1
197504;27.3;1
197505;24.9;1
197506;24.5;1
197507;23.8;1
197508;26.7;1
197509;26;1
197510;26.7;1
197511;29.7;1
197512;30.8;1
197601;30.6;1
197602;30.6;1
197603;29.8;1
197604;28.7;1
197605;28;1
197606;25.9;1
197607;24.2;1
197608;24.1;1
197609;24.1;1
197610;25.6;1
197611;29.7;1
197612;30.6;1
197701;30.3;1
197702;29.8;1
197703;30.6;1
197704;29.1;1
197705;27.3;1
197706;25.5;1
197707;24.9;1
197708;24.4;1
197709;24.9;1
197710;28;1
197711;29.4;1
197712;28.9;1
197801;30.3;1
197802;30.5;1
197803;30.5;1
197804;29.1;1
197805;27.2;1
197806;25.2;1
197807;24.4;1
197808;24.2;1
197809;25.9;1
197810;26.5;1
197811;29.6;1
197812;30.2;1
197901;29.4;1
197902;30;1
197903;30.5;1
197904;28.8;1
197905;26.9;1
197906;25.1;1
197907;24;1
197908;23.8;1
197909;26;1
197910;28.8;1
197911;30.4;1
197912;31;1
198001;31.9;1
198002;31.5;1
198003;30.2;1
198004;27.7;1
198005;27;1
198006;25;1
198007;24.3;1
198008;25;1
198009;26;1
198010;27.4;1
198011;29.3;1
198012;30.3;1
198101;29.4;1
198102;30.9;1
198103;29.8;1
198104;29.2;1
198105;26.6;1
198106;25.2;1
198107;24.2;1
198108;24.1;1
198109;25.9;1
198110;27.8;1
198111;27.8;1
198112;29.7;1
198201;30.4;1
198202;29.2;1
198203;29.8;1
198204;26.8;1
198205;25.7;1
198206;23.3;1
198207;23.2;1
198208;23.9;1
198209;25.7;1
198210;26.3;1
198211;28.4;1
198212;30.1;1
198301;30.9;1
198302;30.4;1
198303;30.6;1
198304;30.1;1
198305;28;1
198306;25.3;1
198307;24.2;1
198308;25.2;1
198309;28;1
198310;28.5;1
198311;30;1
198312;30;1
198401;30.6;1
198402;30.4;1
198403;31.6;1
198404;29.3;1
198405;26.7;1
198406;24.9;1
198407;24.8;1
198408;25.2;1
198409;25.8;1
198410;27.3;1
198411;28.2;1
198412;30.8;1
198501;31.7;1
198502;31.7;1
198503;29.9;1
198504;29.7;1
198505;26.6;1
198506;24.9;1
198507;23.9;1
198508;25.3;1
198509;25.8;1
198510;27.3;1
198511;29;1
198512;30.4;1
198601;31.9;1
198602;30.9;1
198603;28.7;1
198604;28.8;1
198605;26.7;1
198606;25.3;1
198607;23.9;1
198608;24.1;1
198609;25.7;1
198610;28.8;1
198611;29;1
198612;28.8;1
198701;30.4;1
198702;30.2;1
198703;29.9;1
198704;29;1
198705;27.8;1
198706;26.4;1
198707;24;1
198708;25.2;1
198709;26.6;1
198710;28.6;1
198711;28.5;1
198712;31.4;1
198801;30;1
198802;29.7;1
198803;29.2;1
198804;29.1;1
198805;27.5;1
198806;26.4;1
198807;25.2;1
198808;25.8;1
198809;27.3;1
198810;29.8;1
198811;29.9;1
198812;29.4;1
198901;29.2;1
198902;29.2;1
198903;30.7;1
198904;28.6;1
198905;25.8;1
198906;25.4;1
198907;25.3;1
198908;24.5;1
198909;26.3;1
198910;29.5;1
198911;30.3;1
198912;30.7;1
199001;31.3;1
199002;30.8;1
199003;30.8;1
199004;30.2;1
199005;29.9;1
199006;26.6;1
199007;26.3;1
199008;25.2;1
199009;26.1;1
199010;28.2;1
199011;29.7;1
199012;31;1
199101;33;1
199102;31.5;1
199103;28.6;1
199104;28.6;1
199105;26.1;1
199106;25.2;1
199107;24.6;1
199108;24.9;1
199109;26.8;1
199110;27.4;1
199111;28.6;1
199112;30;1
199201;30.7;1
199202;30.4;1
199203;29.6;1
199204;27.9;1
199205;27.8;1
199206;24.7;1
199207;24.7;1
199208;25.6;1
199209;26.7;1
199210;26.8;1
199211;29.8;1
199212;30.1;1
199301;31.1;1
199302;30.4;1
199303;29.6;1
199304;27.6;1
199305;26.7;1
199306;25.4;1
199307;26;1
199308;25.2;1
199309;26.4;1
199310;28.2;1
199311;30;1
199312;30.1;1
199401;30.7;1
199402;31.5;1
199403;30.3;1
199404;28.1;1
199405;26.8;1
199406;25.5;1
199407;24.1;1
199408;25.1;1
199409;25.8;1
199410;27.9;1
199411;30.6;1
199412;30;1
199501;31.4;1
199502;31.2;1
199503;30.9;1
199504;29.6;1
199505;27.8;1
199506;25.9;1
199507;25.1;1
199508;25.4;1
199509;27.1;1
199510;29;1
199511;30.8;1
199512;31.2;1
199601;31.3;1
199602;31.9;1
199603;30;1
199604;30.6;1
199605;27;1
199606;25.8;1
199607;24.5;1
199608;24.5;1
199609;26.6;1
199610;28.6;1
199611;29.8;1
199612;32.1;1
199701;30.4;1
199702;30.9;1
199703;31;1
199704;29.3;1
199705;26.9;1
199706;25.4;1
199707;24.1;1
199708;24.6;1
199709;26.7;1
199710;27.8;1
199711;30.9;1
199712;32.2;1
199801;31.8;1
199802;32.2;1
199803;30.9;1
199804;30.8;1
199805;28.4;1
199806;27.1;1
199807;26.6;1
199808;27.2;1
199809;27.6;1
199810;30.7;1
199811;29.2;1
199812;30.3;1
199901;31.3;1
199902;30.6;1
199903;31.2;1
199904;29.6;1
199905;27.9;1
199906;25.6;1
199907;25.4;1
199908;24.6;1
199909;26.8;1
199910;29.2;1
199911;29.4;1
199912;29.1;1
200001;30.5;1
200002;30.4;1
200003;30.8;1
200004;29.3;1
200005;28.8;1
200006;25.1;1
200007;24.8;1
200008;25.5;1
200009;27.5;1
200010;29.2;1
200011;28.9;1
200012;30.5;1
200101;31.3;1
200102;30.6;1
200103;31.4;1
200104;28.8;1
200105;27.8;1
200106;25.8;1
200107;24.2;1
200108;25.3;1
200109;26.9;1
200110;28.5;1
200111;30.5;1
200112;31.3;1
200201;31.3;1
200202;31.8;1
200203;29.9;1
200204;29.1;1
200205;27;1
200206;26.6;1
200207;23.9;1
200208;25.3;1
200209;26.8;1
200210;28.7;1
200211;29.5;1
200212;30.8;1
200301;30.2;1
200302;31.5;1
200303;30.9;1
200304;28.7;1
200305;27.6;1
200306;26.5;1
200307;24.7;1
200308;24.3;1
200309;26.3;1
200310;27.7;1
200311;29.4;1
200312;31.6;1
200401;31.9;1
200402;32.3;1
200403;30.1;1
200404;29.4;1
200405;27.4;1
200406;25.6;1
200407;24.6;1
200408;24.7;1
200409;26.7;1
200410;29.2;1
200411;29.6;1
200412;30.6;1
200501;32;1
200502;31.5;1
200503;29.8;1
200504;29.1;1
200505;26.8;1
200506;26.1;1
200507;24.8;1
200508;24.4;1
200509;26.6;1
200510;28.2;1
200511;29.7;1
200512;31.3;1
200601;31.3;1
200602;30.4;1
200603;30.6;1
200604;30.2;1
200605;27.2;1
200606;25;1
200607;24.2;1
200608;24.6;1
200609;26.3;1
200610;27.2;1
200611;29.9;1
200612;30.3;1
200701;30.1;1
200702;31.3;1
200703;30.4;1
200704;29.4;1
200705;27.8;1
200706;28;1
200707;24.4;1
200708;26.2;1
200709;26.7;1
200710;28.7;1
200711;30.2;1
200712;30.7;1
200801;31.9;1
200802;30.9;1
200803;30.3;1
200804;29;1
200805;26;1
200806;25.9;1
200807;25.8;1
200808;25.1;1
200809;27.1;1
200810;27.9;1
200811;30;1
200812;31;1
200901;31.7;1
200902;31.4;1
200903;30.7;1
200904;29.5;1
200905;26.3;1
200906;25.5;1
200907;24.4;1
200908;25.1;1
200909;26.9;1
200910;28.1;1
200911;29.2;1
200912;30.5;1
201001;30.3;1
201002;31.4;1
201003;30.9;1
201004;29.6;1
201005;27.3;1
201006;26.5;1
201007;25.8;1
201008;26.7;1
201009;29.9;1
201010;29.7;1
201011;29.9;1
201012;32.6;1
201101;30.8;1
201102;31.4;1
201103;31.4;1
201104;28.8;1
201105;26.4;1
201106;26.4;1
201107;25.1;1
201108;25.5;1
201109;25.8;1
201110;28.7;1
201111;30.5;1
201112;30.6;1
201201;30.7;1
201202;31.4;1
201203;30.6;1
201204;29.1;1
201205;27.2;1
201206;26;1
201207;24.5;1
201208;24.5;1
201209;25.7;1
201210;27.5;1
201211;29.5;1
201212;30;1
201301;29.9;1
201302;30.8;1
201303;30.4;1
201304;28.8;1
201305;26.3;1
201306;25.6;1
201307;25.6;1
201308;24.9;1
201309;27.1;1
201310;28.6;1
201311;29.4;1
201312;30.1;1
201401;31.1;1
201402;30.5;1
201403;31.4;1
201404;30.2;1
201405;27.5;1
201406;26.6;1
201407;23.9;1
201408;26;1
201409;25.4;1
201410;27.5;1
201411;29.2;1
201412;31.8;1
201501;30.5;1
201502;30.8;1
201503;30.2;1
201504;29.4;1
201505;27.5;1
201506;25.7;1
201507;24.8;1
201508;25.3;1
201509;26.1;1
201510;28;1
201511;30.1;1
201512;30.7;1
201601;31;0
201602;32.1;0
201603;31.1;0
201604;30.9;0
201605;29.5;0
201606;27;0
201607;26.5;0
201608;25.7;0
201609;27.9;0
201610;28.8;0
201611;29.4;0
201612;30.6;0
201701;31.4;0
201702;31.2;0
201703;31.5;0
201704;30;0
201705;28.2;0
201706;26;0
201707;25.4;0
201708;26.3;0
201709;27;0
201710;29.7;0
201711;30.2;0
201712;31.1;0
201801;31.3;0
201802;30.4;0
201803;30.1;0
201804;29.8;0
201805;27.2;0
201806;25.1;0
201807;25.6;0
201808;25.1;0
201809;26.2;0
201810;28.8;0
201811;30.7;0
201812;31.7;0
201901;31.8;0
201902;31.2;0
201903;31.8;0
201904;30;0
201905;28.5;0
201906;25.7;0
201907;25.2;0
201908;25.9;0
201909;26.4;0
201910;28.4;0
201911;29.7;0
201912;31.1;0
202001;32.3;0
202002;32.9;0
202003;31.5;0
202004;29.8;0
202005;26.8;0
202006;26.2;0
202007;25.6;0
202008;25.9;0
202009;27.4;0
202010;29.2;0
202011;30.1;0
202012;31.3;0
202101;31.2;0
202102;30.5;0
202103;30.9;0
202104;28.6;0
202105;27;0
202106;26.1;0
202107;25.7;0
202108;26.5;0
202109;27.1;0
202110;28.9;0
202111;30.2;0
202112;31.5;0
202201;30.9;0
202202;31.1;0
202203;31;0
202204;28.8;0
202205;28.5;0
202206;26.6;0
202207;26.5;0
202208;26;0
202209;28.2;0
202210;28.7;0
202211;30.3;0
202212;30.6;0
