# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98812001
# NOM_USUEL= KOUMAC
# LATITUDE (°) = -20.559
# LONGITUDE(°)= 164.284
# ALTITUDE (m) = 25
# NUM_SERIE= MTX198812001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;29.2;1
196502;29.1;1
196503;28;1
196504;27.4;1
196505;26;1
196506;24.6;1
196507;22.9;1
196508;23.2;1
196509;24.7;1
196510;25.5;1
196511;27.3;1
196512;28.1;1
196601;28.3;1
196602;29.9;1
196603;28.3;1
196604;27.5;1
196605;25.4;1
196606;24.2;1
196607;23.8;1
196608;23.7;1
196609;24.8;1
196610;25.7;1
196611;27.2;1
196612;28;1
196701;29.2;1
196702;29;1
196703;29.7;1
196704;27.5;1
196705;25.9;1
196706;25.8;1
196707;24;1
196708;25.1;1
196709;24.5;1
196710;26.8;1
196711;27.6;1
196712;28.9;1
196801;29.2;1
196802;29.5;1
196803;29.3;1
196804;27.3;1
196805;26.4;1
196806;24.1;1
196807;23.6;1
196808;23.9;1
196809;24.2;1
196810;25.8;1
196811;28.4;1
196812;28.8;1
196901;29.1;1
196902;28.5;1
196903;28.2;1
196904;28.3;1
196905;27;1
196906;24.5;1
196907;24.1;1
196908;24.2;1
196909;25;1
196910;26.2;1
196911;27.9;1
196912;29.8;1
197001;30.3;1
197002;29;1
197003;29.8;1
197004;27.6;1
197005;25.7;1
197006;24.6;1
197007;23.6;1
197008;25;1
197009;26.1;1
197010;27;1
197011;27.4;1
197012;29.7;1
197101;29.6;1
197102;30;1
197103;28.6;1
197104;26.5;1
197105;25.9;1
197106;24.3;1
197107;23.3;1
197108;24.8;1
197109;25.7;1
197110;27.5;1
197111;27.9;1
197112;29.1;1
197201;28.9;1
197202;29.6;1
197203;29.7;1
197204;27.5;1
197205;26.5;1
197206;23.9;1
197207;23.6;1
197208;23.7;1
197209;24.4;1
197210;26.4;1
197211;28.4;1
197212;28.3;1
197301;30.4;1
197302;30.4;1
197303;30.1;1
197304;28;1
197305;26.9;1
197306;26.3;1
197307;25.1;1
197308;24.9;1
197309;25.8;1
197310;27.7;1
197311;29.3;1
197312;29.9;1
197401;29.6;1
197402;29;1
197403;29.6;1
197404;28.4;1
197405;26.8;1
197406;24.4;1
197407;24.2;1
197408;24;1
197409;25.3;1
197410;25.7;1
197411;27.9;1
197412;29;1
197501;30.4;1
197502;29.5;1
197503;29.8;1
197504;28;1
197505;26.2;1
197506;24.2;1
197507;24.5;1
197508;24.7;1
197509;25.9;1
197510;26.9;1
197511;28.2;1
197512;29.1;1
197601;29.6;1
197602;29.4;1
197603;29.7;1
197604;27.8;1
197605;26.6;1
197606;25.7;1
197607;24.1;1
197608;23.5;1
197609;23.6;1
197610;26.2;1
197611;28.4;1
197612;29.4;1
197701;29.1;1
197702;29.9;1
197703;30.1;1
197704;27.9;1
197705;27;1
