# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98813001
# NOM_USUEL= LA FOA
# LATITUDE (°) = -21.701
# LONGITUDE(°)= 165.815
# ALTITUDE (m) = 12
# NUM_SERIE= MTX198813001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 196909 198407 200012
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;30.2;1
196502;30.1;1
196503;28.3;1
196504;28.2;1
196505;26.4;1
196506;24.9;1
196507;22.8;1
196508;23.6;1
196509;26;1
196510;27.4;1
196511;30.3;1
196512;29.8;1
196601;30.2;1
196602;31.6;1
196603;29.5;1
196604;28.2;1
196605;25.1;1
196606;24.6;1
196607;23.7;1
196608;24.2;1
196609;26.4;1
196610;26.8;1
196611;28.6;1
196612;29.8;1
196701;30.3;1
196702;30;1
196703;30.4;1
196704;28.1;1
196705;26.9;1
196706;26.5;1
196707;25;1
196708;26.4;1
196709;25;1
196710;28.1;1
196711;29.1;1
196712;30.6;1
196801;30.6;1
196802;31.3;1
196803;30.9;1
196804;29;1
196805;27.6;1
196806;25;1
196807;24.1;1
196808;24.3;1
196809;25.6;1
196810;27.8;1
196811;31.3;1
196812;30.9;1
196901;31.5;1
196902;30.5;1
196903;29.3;1
196904;29.7;1
196905;27.7;1
196906;25.5;1
196907;24.7;1
196908;25.4;1
196909;26.6;1
196910;27.4;1
196911;29.9;1
196912;32.2;1
197001;31.9;1
197002;30.5;1
197003;31;1
197004;28.3;1
197005;26.1;1
197006;24.9;1
197007;23.7;1
197008;25.4;1
197009;26.6;1
197010;28.1;1
197011;28.4;1
197012;30.9;1
197101;30.4;1
197102;31.1;1
197103;29.4;1
197104;27.4;1
197105;26.9;1
197106;25.3;1
197107;23.3;1
197108;26.1;1
197109;26.9;1
197110;29.5;1
197111;29.7;1
197112;30.7;1
197201;30.6;1
197202;30.7;1
197203;30.5;1
197204;28.1;1
197205;26.6;1
197206;23.4;1
197207;24.2;1
197208;24.7;1
197209;24.8;1
197210;27.6;1
197211;30.5;1
197212;30.7;1
197301;32.8;1
197302;32;1
197303;31.8;1
197304;29.5;1
197305;28.4;1
197306;27.7;1
197307;25.1;1
197308;25.9;1
197309;26.6;1
197310;28.9;1
197311;31.9;1
197312;31.6;1
197401;30.7;1
197402;31;1
197403;30.6;1
197404;29.2;1
197405;27.1;1
197406;24.8;1
197407;24.6;1
197408;24.8;1
197409;26.5;1
197410;27.2;1
197411;29.4;1
197412;30.5;1
197501;31.1;1
197502;30;1
197503;30.7;1
197504;28.5;1
197505;26.4;1
197506;24.1;1
197507;24.5;1
197508;25.6;1
197509;27.1;1
197510;28.2;1
197511;30.1;1
197512;30.7;1
197601;30.2;1
197602;30.8;1
197603;30.9;1
197604;28.4;1
197605;27.4;1
197606;25.8;1
197607;23.7;1
197608;23.9;1
197609;24.5;1
197610;27.5;1
197611;30.4;1
197612;31.8;1
197701;30.2;1
197702;31.1;1
197703;30.2;1
197704;28.8;1
197705;27.2;1
197706;25.4;1
197707;24.1;1
197708;24;1
197709;25;1
197710;27.1;1
197711;30;1
197712;29.8;1
197801;30.9;1
197802;31;1
197803;30.9;1
197804;29.5;1
197805;26.4;1
197806;26.1;1
197807;24.6;1
197808;24.4;1
197809;26.1;1
197810;26.7;1
197811;29.5;1
197812;30.3;1
197901;30.2;1
197902;30.4;1
197903;31.2;1
197904;28.9;1
197905;26.5;1
197906;25.4;1
197907;24;1
197908;24.3;1
197909;26.1;1
197910;28.5;1
197911;30.6;1
197912;31.6;1
198001;32.3;1
198002;32.8;1
198003;30.2;1
198004;28;1
198005;27.5;1
198006;25.7;1
198007;24.3;1
198008;25;1
198009;26.7;1
198010;28.6;1
198011;30.8;1
198012;30.8;1
198101;29.9;1
198102;32.1;1
198103;31.2;1
198104;30.6;1
198105;27.4;1
198106;26.7;1
198107;25;1
198108;24.9;1
198109;26.9;1
198110;28.9;1
198111;28.9;1
198112;31.2;1
198201;31.8;1
198202;30.5;1
198203;30.1;1
198204;28;1
198205;26.8;1
198206;24.8;1
198207;24.5;1
198208;23.5;1
198209;25.9;1
198210;27.7;1
198211;29.3;1
198212;31.1;1
198301;31.8;1
198302;30.9;1
198303;31.8;1
198304;31.3;1
198305;28.5;1
