# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98815001
# NOM_USUEL= LA ROCHE
# LATITUDE (°) = -21.482
# LONGITUDE(°)= 168.036
# ALTITUDE (m) = 41
# NUM_SERIE= MTX198815001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 197201 201512
# Date(s) de rupture(s) d'homogénéité : 198209 198712 199401 201212
#     Periode homogénéisée  197201 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
197201;27.6;1
197202;26.6;1
197203;28.6;1
197204;27.1;1
197205;25.3;1
197206;23.6;1
197207;23.4;1
197208;24.2;1
197209;23.6;1
197210;25;1
197211;27.2;1
197212;28.7;1
197301;30.7;1
197302;30.4;1
197303;29.9;1
197304;27;1
197305;26.2;1
197306;25.7;1
197307;24;1
197308;24.5;1
197309;25.3;1
197310;25.6;1
197311;27;1
197312;27.8;1
197401;27.9;1
197402;28.7;1
197403;28.9;1
197404;28.6;1
197405;26.1;1
197406;24.7;1
197407;24.3;1
197408;23.9;1
197409;25.2;1
197410;25;1
197411;25.7;1
197412;28.4;1
197501;29.3;1
197502;28.7;1
197503;28.5;1
197504;26.9;1
197505;25.8;1
197506;24.1;1
197507;24.2;1
197508;24.4;1
197509;25.3;1
197510;26.1;1
197511;27;1
197512;27.6;1
197601;28.8;1
197602;29;1
197603;29.1;1
197604;27.6;1
197605;25.7;1
197606;24.7;1
197607;23.3;1
197608;23.5;1
197609;23.6;1
197610;25.5;1
197611;26.7;1
197612;28.8;1
197701;28;1
197702;28.1;1
197703;28.7;1
197704;27.6;1
197705;26.3;1
197706;24.6;1
197707;23.4;1
197708;23.1;1
197709;23.2;1
197710;24.8;1
197711;26;1
197712;27.1;1
197801;28.4;1
197802;29.3;1
197803;28.3;1
197804;27.4;1
197805;25.5;1
197806;24.8;1
197807;24;1
197808;23.6;1
197809;25.1;1
197810;24.9;1
197811;26.6;1
197812;28.1;1
197901;27.2;1
197902;28.2;1
197903;28.6;1
197904;26.8;1
197905;25.1;1
197906;24.5;1
197907;23.2;1
197908;23.3;1
197909;24.8;1
197910;26.5;1
197911;28.1;1
197912;29.2;1
198001;30.1;1
198002;30;1
198003;28.4;1
198004;26.5;1
