# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98818001
# NOM_USUEL= NOUMEA
# LATITUDE (°) = -22.276
# LONGITUDE(°)= 166.453
# ALTITUDE (m) = 69
# NUM_SERIE= MTX198818001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 196912 198012 200005
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;28.8;1
196502;28.9;1
196503;27.1;1
196504;26.2;1
196505;24.3;1
196506;23.4;1
196507;22;1
196508;22;1
196509;23.4;1
196510;24.7;1
196511;26.5;1
196512;27.6;1
196601;27.9;1
196602;29.9;1
196603;27.9;1
196604;26.7;1
196605;24;1
196606;23.4;1
196607;22.3;1
196608;22.8;1
196609;24;1
196610;24.2;1
196611;25.8;1
196612;27.3;1
196701;28.7;1
196702;28.9;1
196703;28.9;1
196704;25.7;1
196705;24.5;1
196706;24.6;1
196707;23.2;1
196708;23.8;1
196709;23.4;1
196710;25.8;1
196711;26.8;1
196712;29.1;1
196801;27.7;1
196802;27.6;1
196803;28.2;1
196804;26.4;1
196805;25.1;1
196806;22.7;1
196807;21.7;1
196808;22.1;1
196809;22.7;1
196810;24.6;1
196811;26.8;1
196812;27.7;1
196901;27.6;1
196902;27;1
196903;26;1
196904;26.3;1
196905;24.7;1
196906;23.4;1
196907;22;1
196908;22.8;1
196909;24;1
196910;24.7;1
196911;27.6;1
196912;29.3;1
197001;30.2;1
197002;28.5;1
197003;29.7;1
197004;26;1
197005;24.5;1
197006;23.5;1
197007;22.3;1
197008;24;1
197009;24.9;1
197010;25.9;1
197011;26.5;1
197012;28.1;1
197101;28.5;1
197102;29.8;1
197103;27.3;1
197104;25.6;1
197105;24.7;1
197106;23.3;1
197107;22;1
197108;23.9;1
197109;24.6;1
197110;26.8;1
197111;26.6;1
197112;27.9;1
197201;28.5;1
197202;27.9;1
197203;29;1
197204;26.3;1
197205;24.6;1
197206;22.5;1
197207;22.4;1
197208;22.6;1
197209;22.4;1
197210;25;1
197211;28.2;1
197212;27.6;1
197301;30.7;1
197302;29.2;1
197303;28.6;1
197304;26.4;1
197305;25.5;1
197306;25.1;1
197307;23.5;1
197308;24;1
197309;24.8;1
197310;27.1;1
197311;29.3;1
197312;28.8;1
197401;28.8;1
197402;29.5;1
197403;28.8;1
197404;27.7;1
197405;24.9;1
197406;23.3;1
197407;22.9;1
197408;22.6;1
197409;24;1
197410;24.7;1
197411;26.4;1
197412;27.6;1
197501;29.1;1
197502;27.3;1
197503;28.7;1
197504;26.2;1
197505;24.4;1
197506;23.4;1
197507;22.5;1
197508;23.2;1
197509;24.3;1
197510;25.2;1
197511;27.3;1
197512;28.4;1
197601;28.7;1
197602;28.6;1
197603;29.6;1
197604;26.6;1
197605;24.7;1
197606;23.5;1
197607;22.2;1
197608;22.3;1
197609;22.4;1
197610;24.8;1
197611;27.1;1
197612;29.1;1
197701;28.2;1
197702;28;1
197703;27.8;1
197704;26.2;1
197705;25.4;1
197706;23.9;1
197707;22.3;1
197708;22.2;1
197709;22.9;1
197710;24.7;1
197711;27.2;1
197712;27.5;1
197801;28.1;1
197802;29.6;1
197803;28.4;1
197804;27.7;1
197805;25;1
197806;24.5;1
197807;22.9;1
197808;22.8;1
197809;24;1
197810;23.7;1
197811;26.7;1
197812;27.8;1
197901;28;1
197902;28.2;1
197903;29;1
197904;26.3;1
197905;24.6;1
197906;23.6;1
197907;22.6;1
197908;22.1;1
197909;23.3;1
197910;25.3;1
197911;27.3;1
197912;28.8;1
198001;30.3;1
198002;31;1
198003;27.9;1
198004;25.7;1
198005;25.3;1
198006;23.8;1
198007;22.9;1
198008;23;1
198009;23.8;1
198010;25.3;1
198011;26.8;1
198012;27.7;1
198101;27.9;1
198102;29.3;1
198103;29;1
198104;27.4;1
198105;25.3;1
198106;24.6;1
198107;22.8;1
198108;23.1;1
198109;23.6;1
198110;25.3;1
198111;26.7;1
198112;29.5;1
198201;29.9;1
198202;29.1;1
198203;28.3;1
198204;26.3;1
198205;25.3;1
198206;22.8;1
198207;22.3;1
198208;21.3;1
198209;23.6;1
198210;24.9;1
198211;26;1
198212;29.2;1
198301;30.6;1
198302;28.7;1
198303;29;1
198304;28.9;1
198305;26.5;1
198306;24;1
198307;23.3;1
198308;22.8;1
198309;25.2;1
198310;25.7;1
198311;26.5;1
198312;26.4;1
198401;28.6;1
198402;27.4;1
198403;28.5;1
198404;27.1;1
198405;25;1
198406;23.4;1
198407;23.1;1
198408;23.4;1
198409;24.2;1
198410;24.8;1
198411;27;1
198412;29.1;1
198501;29.7;1
198502;30.3;1
198503;27.6;1
198504;28.6;1
198505;24.7;1
198506;23.2;1
198507;22.1;1
198508;22.8;1
198509;23.6;1
198510;24.9;1
198511;26.6;1
198512;28.2;1
198601;31.5;1
198602;30.2;1
198603;27.1;1
198604;26.8;1
198605;25.3;1
198606;23.5;1
198607;22.3;1
198608;22.5;1
198609;23.2;1
198610;26.7;1
198611;26.9;1
198612;26.4;1
198701;28.1;1
198702;27.5;1
198703;27.9;1
198704;26.6;1
198705;25.8;1
198706;23.5;1
198707;22.5;1
198708;23.6;1
198709;23.6;1
198710;26.2;1
198711;26.4;1
198712;28;1
198801;28.1;1
198802;28.5;1
198803;27;1
198804;27.1;1
198805;25.7;1
198806;24.4;1
198807;23.5;1
198808;23.7;1
198809;25.4;1
198810;27.3;1
198811;28.8;1
198812;27.8;1
198901;28.8;1
198902;28.1;1
198903;27.6;1
198904;26.6;1
198905;24.7;1
198906;24.4;1
198907;23.2;1
198908;22.8;1
198909;24.1;1
198910;26.3;1
198911;27.8;1
198912;29.2;1
199001;29.4;1
199002;28.6;1
199003;29;1
199004;28.2;1
199005;26.5;1
199006;24.4;1
199007;23.5;1
199008;23.6;1
199009;23.5;1
199010;26;1
199011;26.1;1
199012;28.9;1
199101;29.5;1
199102;29.7;1
199103;26.7;1
199104;25.9;1
199105;23.7;1
199106;23.3;1
199107;23.3;1
199108;23.3;1
199109;24.5;1
199110;25.5;1
199111;26.1;1
199112;28.7;1
199201;29.8;1
199202;29.6;1
199203;28.4;1
199204;26.4;1
199205;25.3;1
199206;23.6;1
199207;22.8;1
