# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98818002
# NOM_USUEL= MAGENTA
# LATITUDE (°) = -22.26
# LONGITUDE(°)= 166.474
# ALTITUDE (m) = 3
# NUM_SERIE= MTX198818002
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 197806 199807 200712
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;28.4;1
196502;28.6;1
196503;27.2;1
196504;26.2;1
196505;24.4;1
196506;23.4;1
196507;21.8;1
196508;21.9;1
196509;22.9;1
196510;24.4;1
196511;26.7;1
196512;27.4;1
196601;28.1;1
196602;29.5;1
196603;27.9;1
196604;26.4;1
196605;24.1;1
196606;23.3;1
196607;22.5;1
196608;22.4;1
196609;24;1
196610;24;1
196611;25.9;1
196612;26.8;1
196701;28.4;1
196702;28.9;1
196703;28.9;1
196704;25.9;1
196705;24.8;1
196706;24.7;1
196707;23.2;1
196708;24.1;1
196709;23.3;1
196710;24.9;1
196711;26.3;1
196712;28.3;1
196801;27.7;1
196802;27.6;1
196803;27.9;1
196804;26.7;1
196805;25.2;1
196806;22.8;1
196807;21.9;1
196808;22.4;1
196809;23.2;1
196810;24.5;1
196811;27.1;1
196812;27.6;1
196901;27.9;1
196902;27.4;1
196903;26.6;1
196904;26.6;1
196905;25.3;1
196906;23.4;1
196907;21.4;1
196908;22;1
196909;23.6;1
196910;23.9;1
196911;26.8;1
196912;28.5;1
197001;30;1
197002;28;1
197003;29.6;1
197004;26.1;1
197005;24.6;1
197006;23.7;1
197007;22.6;1
197008;24.5;1
197009;24.9;1
197010;25.9;1
197011;26.4;1
197012;28;1
197101;28.7;1
197102;29.7;1
197103;27.4;1
197104;26;1
197105;25.1;1
197106;23.8;1
197107;22.5;1
197108;24.1;1
197109;24.3;1
197110;26.5;1
197111;26.4;1
197112;27.4;1
197201;28.4;1
197202;28.1;1
197203;28.9;1
197204;25.9;1
197205;24.6;1
197206;22.8;1
197207;22.4;1
197208;22.8;1
197209;22.8;1
197210;25.5;1
197211;28.2;1
197212;27.5;1
197301;30.4;1
197302;29.4;1
197303;29;1
197304;26.4;1
197305;25.7;1
197306;25.3;1
197307;23.4;1
197308;23.7;1
197309;24.4;1
197310;26.5;1
197311;28.9;1
197312;28.7;1
197401;28.6;1
197402;29.5;1
197403;28.7;1
197404;27.6;1
197405;25.2;1
197406;23.7;1
197407;23.4;1
197408;23.1;1
197409;24.2;1
