# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98821001
# NOM_USUEL= LA TONTOUTA
# LATITUDE (°) = -22.017
# LONGITUDE(°)= 166.222
# ALTITUDE (m) = 37
# NUM_SERIE= MTX198821001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 197001 201512
# Date(s) de rupture(s) d'homogénéité : 198202 199509 199712 200012 201012
#     Periode homogénéisée  197001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
197001;32.1;1
197002;30.5;1
197003;31.1;1
197004;28.4;1
197005;25.9;1
197006;24.4;1
197007;23.4;1
197008;25.1;1
197009;26.9;1
197010;28.6;1
197011;28.5;1
197012;31.4;1
197101;30.5;1
197102;31.6;1
197103;29.1;1
197104;27;1
197105;26;1
197106;24.5;1
197107;23.1;1
197108;25.6;1
197109;26.5;1
197110;29;1
197111;29.2;1
197112;30.4;1
197201;30.9;1
197202;30.2;1
197203;30.6;1
197204;28.1;1
197205;26.4;1
197206;22.9;1
197207;23.8;1
197208;24.2;1
197209;25;1
197210;28;1
197211;31;1
197212;30.9;1
197301;32.9;1
197302;32;1
197303;31.5;1
197304;28.6;1
197305;27.7;1
197306;26.7;1
197307;24.9;1
197308;25.5;1
197309;26.4;1
197310;29.3;1
197311;31.7;1
197312;31.8;1
197401;30.7;1
197402;30.9;1
197403;30.8;1
197404;29.2;1
197405;26.8;1
197406;24.3;1
197407;24.4;1
197408;24.3;1
197409;26.3;1
197410;27.3;1
197411;29.5;1
197412;30.4;1
197501;31.6;1
197502;29.6;1
197503;30.5;1
197504;28;1
197505;25.7;1
197506;24;1
197507;24.1;1
197508;24.9;1
197509;26.8;1
197510;27.7;1
197511;29.9;1
197512;30.7;1
197601;31;1
197602;30.6;1
197603;30.7;1
197604;28.2;1
197605;26.7;1
197606;25.2;1
197607;23.6;1
197608;23.8;1
197609;23.8;1
197610;26.9;1
197611;29.5;1
197612;31.7;1
197701;30.1;1
197702;30.8;1
197703;30.7;1
197704;28.6;1
197705;26.6;1
197706;24.7;1
197707;23.4;1
197708;23.2;1
197709;24.4;1
197710;26.8;1
197711;29.5;1
197712;29.6;1
197801;30.1;1
197802;31.2;1
197803;30.2;1
197804;28.8;1
197805;26;1
197806;25.1;1
197807;23.8;1
197808;24.1;1
197809;25.4;1
197810;26;1
197811;29.6;1
197812;30.6;1
197901;30;1
197902;29.8;1
197903;30.5;1
197904;27.8;1
197905;25.6;1
197906;24.6;1
197907;23.7;1
197908;23.1;1
197909;25.1;1
197910;27.9;1
197911;29.9;1
197912;31.2;1
198001;32.2;1
198002;32.3;1
198003;29.4;1
198004;27.1;1
198005;26.9;1
198006;24.5;1
198007;23.7;1
198008;24.3;1
198009;25.4;1
198010;27.6;1
198011;29.5;1
198012;30.3;1
198101;29.6;1
198102;31.4;1
198103;30.3;1
198104;28.9;1
198105;26.3;1
198106;25.3;1
198107;23.7;1
198108;24.2;1
198109;25.9;1
198110;28.1;1
198111;28.6;1
198112;31.6;1
198201;32.2;1
198202;30.1;1
198203;29.8;1
198204;27.8;1
198205;26.7;1
198206;23.2;1
198207;23.2;1
198208;22.4;1
198209;25.5;1
198210;26.8;1
198211;29.2;1
198212;31;1
198301;32.2;1
198302;30.5;1
198303;30.4;1
198304;30;1
198305;28;1
198306;24.9;1
198307;24;1
198308;24.5;1
198309;27.6;1
198310;28.5;1
198311;29.9;1
198312;29.4;1
198401;30.8;1
198402;29.6;1
198403;30.6;1
198404;29;1
198405;26.5;1
198406;24.7;1
198407;24.4;1
198408;24.9;1
198409;26.1;1
198410;27.6;1
198411;29.7;1
198412;31.6;1
198501;31.6;1
198502;31.9;1
198503;29.5;1
198504;30.2;1
198505;25.9;1
198506;24.2;1
198507;23.1;1
198508;24.4;1
198509;25.5;1
198510;27.5;1
198511;29.1;1
198512;30.5;1
198601;32.3;1
198602;31.6;1
198603;28.9;1
198604;28.8;1
198605;26.7;1
198606;24.7;1
198607;23.5;1
198608;23.8;1
198609;25.2;1
198610;29.1;1
198611;29.6;1
198612;29.4;1
198701;30.8;1
198702;29.9;1
198703;29.7;1
198704;28.4;1
198705;28;1
198706;25.2;1
198707;23.8;1
198708;25.2;1
198709;25.6;1
198710;28.7;1
198711;28.6;1
198712;30.8;1
198801;30.9;1
198802;30.4;1
198803;28.8;1
198804;28.6;1
198805;27;1
198806;25.6;1
198807;24.7;1
198808;25.2;1
198809;27.5;1
198810;30;1
198811;31.2;1
198812;30.1;1
198901;30.2;1
198902;30;1
198903;29.7;1
198904;28.6;1
198905;26.2;1
198906;25.8;1
198907;24.5;1
198908;24.1;1
198909;25.5;1
198910;28.7;1
198911;29.8;1
198912;31.3;1
199001;31.3;1
199002;30.8;1
199003;30.7;1
199004;30.3;1
199005;28.2;1
199006;25.5;1
199007;24.9;1
199008;24.4;1
199009;25.3;1
199010;28;1
199011;28.9;1
199012;32;1
199101;31.9;1
199102;31.4;1
199103;28.7;1
199104;27.5;1
199105;25.3;1
199106;24.5;1
199107;24.5;1
199108;24.9;1
199109;25.9;1
199110;27.7;1
199111;29;1
199112;30.6;1
199201;31.6;1
199202;31.9;1
199203;30.3;1
199204;28.5;1
199205;27;1
199206;24.9;1
199207;24;1
199208;25;1
199209;26.7;1
199210;26.2;1
199211;30.3;1
199212;30.5;1
199301;31.3;1
199302;31;1
199303;30.4;1
199304;27.3;1
199305;26.6;1
199306;25.1;1
199307;25.9;1
199308;24;1
199309;25.7;1
199310;28.2;1
199311;29.9;1
